"","2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences","2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00622","1642.MS00513","1642.MS00484","1642.MS00632","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00428","1642.MS00573","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00483","1642.MS00492","1642.MS00514","1642.MS00613","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00398","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.4.767.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00564","1642.MS00424","1642.MS00380","1642.MS00505","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00413","2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1001.SKB8","1642.MS00504","1642.MS00408","1642.MS00390","1642.MS00594","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00352","1642.MS00620","1642.MS00348","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","1001.SKB7"
"1642.MS00613",0.435141414825501,2.7674920490054,-1.86617464578582,-3.4503470839048,-2.2017646775317,-0.951344156583468,3.63534333432674,-2.06507633312458,-3.06241122917377,3.86247389854223,-1.98878317191542,-1.31105508392302,-2.61457681139072,NA,4.00484685260261,-1.9258014642087,0.392800060079354,1.15034721867716,3.13557926083744,0.748658560057332,-3.68101209560081,-2.05108192815098,-1.69772592977003,-1.35596589845228,6.19639373081615,-3.08108511126593,4.73344362339377,0.513596372408132,4.48852906727807,1.02768671419095,-2.19457005150687,-3.79236424801351,-1.80591013450364,0.089208348926326,0.417737625792142,-2.5212435450042,-1.99738138710265,-0.229189089294317,2.60918340039023,1.83729756933604
"2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences",-5.99014314598608,-9.22965784561081,4.8218465497638,0.640408417000228,8.22938557627305,5.75568693678041,-5.85277980698785,0.574501912571671,0.00968310857157231,-9.54867953983229,2.60850690857178,4.7091764703811,0.0124132076736948,4.00484685260261,NA,-0.105877859480551,-5.19879196835921,-3.92799636151446,-8.88511318159177,-6.68896431823827,1.02957132544653,-0.269785869341007,0.641485962032651,-0.134281872876858,-9.27301305259152,0.550887470519473,-4.46308565418497,-6.45664455328838,-5.97846201943813,-0.938239870358158,-0.427068267658277,-0.151138306055102,0.471117616320755,0.0779559276739975,-5.26799640712261,-0.479461374566168,6.71087296604883,1.01895601391618,-8.59885844222467,-1.02745213672039
"1642.MS00398",-0.489126530089411,-0.689631260526628,-2.08628992855556,-3.07268455929244,-1.87073361272114,-3.22102345290369,0.266159522731262,-3.10300176599751,-2.87429875675426,-0.239752989076844,-3.04217964828489,-2.65473005054129,-2.88509393038303,-1.9258014642087,-0.105877859480551,NA,-0.663217468374252,-0.748584989024546,-0.103945295876359,-0.458019964335852,-3.84381625311416,-2.68949605302033,-3.83200030045878,-3.29734367347803,0.0807915096880231,-4.00824133503122,0.738341673502852,-0.52015433271749,0.111470093214782,0.002458838314761,-4.15622708538015,-3.08785399892963,-3.1769564831416,-0.312203590151999,-0.778817053473379,-3.38263538755065,-0.130555596390068,-2.93156432184061,1.93981023865101,-1.24206399531245
"2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences",-5.86290928645944,-1.84862546920723,0.149456820380658,0.0343192136337835,0.9619349607183,0.0987656419789882,-1.24015353679128,-0.276231957869061,-0.253628923889583,-5.892563856502,0.37635631603983,0.413946439491633,-0.312462678542523,0.392800060079354,-5.19879196835921,-0.663217468374252,NA,-7.17308494430742,-4.61696299659151,-5.67502613619594,-0.184159459152567,-0.526575431788701,-0.328358404396034,-0.407006214485458,-6.72975075079178,-0.184588042437225,-1.24583153669698,-6.48490554692036,-4.08318076003395,-2.35179086769643,-0.757456239433827,-0.414398617940102,-0.355596682292405,-0.375346245761837,-7.27622066578216,-0.940797875488145,0.871792065546273,-0.298304432305375,-1.29602834216485,-3.99604857273609
"2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences",-6.4814128466439,-3.20728505878506,0.294631672689982,0.295575653700457,1.71366674144581,0.0191696515878135,-2.49645715517878,-0.497232588643055,-0.0884457864175808,-4.37251835752725,0.570313510757813,0.473718697643967,-0.359005148964353,1.15034721867716,-3.92799636151446,-0.748584989024546,-7.17308494430742,NA,-5.06527548642989,-5.58450340795742,-0.427833963890244,-0.7991711467485,0.124170331879718,-0.519231842644994,-7.33031664217612,-0.337720471520719,-2.32132077986018,-6.1429773099227,-3.19486527384504,-2.0592124933739,-0.809224621025426,-0.671552348624741,-0.570818325884908,-0.308969550107508,-7.64127433939644,-1.05353726847049,2.06352133981146,-0.470846810469569,-2.11182101311573,-3.12004226008222
"2382.HE003.C181.HA.4.767.rhizo.9.12.lane7.NoIndex.L007.sequences",-4.18908903725792,-7.61619704049118,2.6469829850172,0.468950107141371,6.31315869884455,4.08490706556493,-6.40113720352212,0.27849407879964,-0.0730073033212366,-7.48866128503904,2.27840010384922,2.9985514755391,0.0143689940986691,3.13557926083744,-8.88511318159177,-0.103945295876359,-4.61696299659151,-5.06527548642989,NA,-5.33542315127041,0.939313564415114,-0.355672069759425,0.163478440230998,-0.239662014867242,-5.15477951382036,0.509097366091923,-4.8645541597352,-4.82642003871943,-4.78752981589806,-0.550321549774194,-0.486016599771223,-0.312163487565564,0.369035340895507,0.0601629824842621,-5.48579983474318,-0.648551263920388,3.74859365389262,0.716936855553271,-7.67056082155911,-0.772124626453265
"2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences",-5.5323035026764,-1.91503746903413,0.358110110918387,0.0744017153558657,1.06784171888953,0.317029393175801,-1.33389995821427,-0.0751927877714364,-0.158433422969079,-7.07858255416527,0.447912867742004,0.549519538350163,-0.186360847503017,0.748658560057332,-6.68896431823827,-0.458019964335852,-5.67502613619594,-5.58450340795742,-5.33542315127041,NA,-0.0548300812606192,-0.377815026570531,-0.0348125613698155,-0.298363820952014,-6.80234977026261,0.0198607040559642,-1.12037569696062,-5.92904543737889,-5.47158225714979,-1.72506473377098,-0.65507153901729,-0.241015029858104,-0.165252486034424,-0.129025569098581,-6.83945638322309,-0.757763982017229,0.979362247965847,-0.0616754065606428,-1.26929830868581,-3.43636144215549
"1642.MS00564",-0.130221014102565,0.168761898277157,-3.21456548318033,-4.28560831981494,-3.07155952799404,-2.90916257562128,2.58236118801437,-4.54821436451134,-4.61617748687027,1.06386047304876,-3.1078003215271,-3.39900972797394,-3.89961836038977,-3.68101209560081,1.02957132544653,-3.84381625311416,-0.184159459152567,-0.427833963890244,0.939313564415114,-0.0548300812606192,NA,-4.52626824730599,-3.70232754511154,-3.94126412852228,2.56944675418982,-4.42306128185182,3.05586189546524,-0.145293817033152,2.14122052398172,0.301319081594324,-4.17724564755703,-4.53695610282095,-4.73394052287413,-3.26438877132733,-0.328983751503211,-4.45369641886255,-1.51761877450556,-3.60225524094263,3.41650870763209,0.41551760196632
"1642.MS00424",-0.434455114672713,-0.556134193648159,-2.29976714801744,-4.33433535504771,-4.45294254086415,-4.54467287710572,0.296870765967601,-4.66170886292537,-4.39956608770824,-0.312272504534205,-2.75377336956069,-4.54883741213148,-3.33639161019575,-2.05108192815098,-0.269785869341007,-2.68949605302033,-0.526575431788701,-0.7991711467485,-0.355672069759425,-0.377815026570531,-4.52626824730599,NA,-3.08422098363727,-5.87510441804178,0.28429784005886,-4.03412683931975,0.802722313572072,-0.415013781800753,0.354477024700294,0.646672418477081,-6.16066788648851,-4.67527811055583,-4.76241239532699,-3.73795269479419,-0.573080704082713,-3.78036155876674,-0.346614261109843,-3.78225099766001,2.05263742606274,-0.597821513381999
"1642.MS00380",-0.421583313083808,-1.24644579870854,-2.2675211181604,-3.26444387822198,-3.22001296307719,-3.24757375783349,0.737028681397114,-3.52042513391181,-2.86685399467257,0.33405633732132,-3.39276161606955,-2.31267807660916,-2.60096554791842,-1.69772592977003,0.641485962032651,-3.83200030045878,-0.328358404396034,0.124170331879718,0.163478440230998,-0.0348125613698155,-3.70232754511154,-3.08422098363727,NA,-3.12967412996901,0.531776729907545,-3.9859555303985,1.20844640193542,-0.206388156909235,0.768483174411234,-1.50385355448272,-3.35587799367764,-2.85960077885303,-3.49839717365731,-3.03725628988332,-0.510810636383915,-4.70426815255795,-0.671822010402504,-4.92660021380081,0.986749123671656,-3.10841055780125
"1642.MS00505",-0.256447677438862,-0.348068571654944,-3.02727392278028,-4.6599251281131,-3.80057318184946,-3.21201223583241,0.0817925555613774,-4.91033823310832,-3.25895358568261,-0.19705097239168,-2.70796882560336,-5.05255155660874,-3.90632969702937,-1.35596589845228,-0.134281872876858,-3.29734367347803,-0.407006214485458,-0.519231842644994,-0.239662014867242,-0.298363820952014,-3.94126412852228,-5.87510441804178,-3.12967412996901,NA,0.131680221283247,-4.23530643491335,0.673631561034017,-0.305868985834698,0.128094764561748,0.929795730452371,-5.06444941927187,-4.09630817248026,-3.74387217291389,-0.204234855865735,-0.484565376170221,-3.91746342422811,-0.0225689256984956,-2.77925129515054,3.15883428593899,-0.288135522401425
"2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences",-5.1159321599861,-7.32927074883685,8.7705108010514,1.27951226362733,11.0541829402519,9.35289047134994,-6.09581768270831,1.23969216696829,0.632988479125076,-9.56035151236076,3.70475025113223,7.51496346627335,0.268789719122071,6.19639373081615,-9.27301305259152,0.0807915096880231,-6.72975075079178,-7.33031664217612,-5.15477951382036,-6.80234977026261,2.56944675418982,0.28429784005886,0.531776729907545,0.131680221283247,NA,1.59880804889836,-4.50384218659407,-7.19344007056768,-6.79384975574219,-1.41405370121866,-0.265719983215146,0.563111746394787,0.941327552023716,0.199418471971085,-6.09383276448122,-0.403852376658484,10.0003951342446,1.17002598547136,-7.38105605041959,-1.98994659398957
"1642.MS00413",0.0442204654033578,0.330066028057232,-3.47891912728152,-4.26157148004815,-4.65066838981198,-4.13742376708658,1.36038691182172,-4.51475495132394,-3.86421623083563,0.644720156762835,-2.31399796662393,-3.34084878597377,-3.42422585035193,-3.08108511126593,0.550887470519473,-4.00824133503122,-0.184588042437225,-0.337720471520719,0.509097366091923,0.0198607040559642,-4.42306128185182,-4.03412683931975,-3.9859555303985,-4.23530643491335,1.59880804889836,NA,1.8995134517086,0.027725524834074,1.35730466244914,0.811203451525233,-4.18805132236442,-5.26700577708702,-3.95455766990719,-0.247085646601493,-0.142150004211059,-4.1086114858249,-0.657962075401466,-3.21674459950969,2.77410000248988,0.733585359883912
"2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences",-0.905846896664179,-5.25941653505014,6.46782912469644,1.34169787743848,9.08215334088279,6.03204665767097,-6.03293323199182,1.77430323432094,1.3217039653106,-5.85329085478179,2.14533005217624,5.90142275695127,0.788284263791419,4.73344362339377,-4.46308565418497,0.738341673502852,-1.24583153669698,-2.32132077986018,-4.8645541597352,-1.12037569696062,3.05586189546524,0.802722313572072,1.20844640193542,0.673631561034017,-4.50384218659407,1.8995134517086,NA,-0.983902003907979,-5.57437184830531,-0.983565640500504,0.393186859726894,1.04836189987996,1.71634831702163,0.166352235250671,-1.05492824797301,0.363429392097276,7.84114674859138,1.74934116231994,-7.69052790210349,-1.66105349228039
"2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences",-5.06174663634809,-1.54359844731764,0.133511637168128,-0.00489483870832324,0.758652659929155,0.144661549017911,-1.10443846339221,-0.174661329331105,-0.186383471765294,-6.57853242086848,0.227848564891149,0.36758415540527,-0.2755759974071,0.513596372408132,-6.45664455328838,-0.52015433271749,-6.48490554692036,-6.1429773099227,-4.82642003871943,-5.92904543737889,-0.145293817033152,-0.415013781800753,-0.206388156909235,-0.305868985834698,-7.19344007056768,0.027725524834074,-0.983902003907979,NA,-5.68846829111694,-2.15685436706973,-0.668849881656738,-0.169401485934512,-0.285092531108174,-0.422281885863605,-8.42462117907499,-0.813088189297333,0.58666357266321,-0.303010597529895,-1.1450282916982,-4.02474484900014
"2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences",-4.28453204188736,-6.3434303095521,7.05497266305974,1.07775641551424,8.7689740459796,6.92107370690829,-7.15019722034595,1.33134954556692,0.562820019412728,-6.930845624371,2.55082477160652,6.02838547092819,0.351154123090241,4.48852906727807,-5.97846201943813,0.111470093214782,-4.08318076003395,-3.19486527384504,-4.78752981589806,-5.47158225714979,2.14122052398172,0.354477024700294,0.768483174411234,0.128094764561748,-6.79384975574219,1.35730466244914,-5.57437184830531,-5.68846829111694,NA,-1.11086608235031,-0.121282411774278,0.442466839262611,1.2485179741837,-0.0269106249314982,-5.62811652134077,-0.207453549895511,9.05864808289308,1.4963135094152,-7.74895160810011,-1.34208938293492
"1001.SKB8",-2.49204635152242,-0.619873261371411,1.62888012244075,1.02859366909746,1.80146415095431,1.10401115195485,-0.849807329183769,0.629575327516183,1.07296378949775,-1.24652646070238,0.627785021497849,1.8731647544072,0.569998430890824,1.02768671419095,-0.938239870358158,0.002458838314761,-2.35179086769643,-2.0592124933739,-0.550321549774194,-1.72506473377098,0.301319081594324,0.646672418477081,-1.50385355448272,0.929795730452371,-1.41405370121866,0.811203451525233,-0.983565640500504,-2.15685436706973,-1.11086608235031,NA,0.472866415951135,0.871734225271503,0.135910128893076,-0.499434971619991,-2.18803328783286,-0.35643454809996,1.10946618656132,-0.0367907305030452,-0.902063834548729,-3.52180864729574
