"","1642.MS00622","2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00514","1642.MS00620","1642.MS00428","2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00352","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00513","1642.MS00594","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00484","1642.MS00408","2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00380","1642.MS00483","1642.MS00424","1642.MS00564","1642.MS00390","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00613","2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00492","1642.MS00348","1642.MS00573","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","1001.SKB8","2382.HE003.C181.HA.4.767.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00413","2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00505","1642.MS00504","1642.MS00398","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00632","1001.SKB7"
"2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences",0.879,0.84,0.9198,0.8958,0.8986,0.7052,0.947,0.828,0.8312,0.9178,0.9362,0.623,0.9366,0.8884,0.798,0.6088,0.7816,0.9854,0.9168,0.892,0.9046,0.9314,0.596,0.9002,0.8648,0.8972,0.915,0.9042,0,0.9642,0.592,0.9032,0.5296,0.9116,0.9218,0.9422,0.5882,0.4926,0.8888,0.9764
"1001.SKB8",0.9894,0.9676,0.9864,0.9924,0.9886,0.9804,0.9922,0.9604,0.9546,0.9894,0.9636,0.9796,0.991,0.9888,0.9724,0.9806,0.9718,0.9946,0.9844,0.9876,0.9842,0.99,0.979,0.993,0.9748,0.9896,0.9918,0.9914,0.9642,0,0.984,0.9914,0.9764,0.9904,0.9886,0.9922,0.9836,0.9776,0.9894,0.5036
"2382.HE003.C181.HA.4.767.rhizo.9.12.lane7.NoIndex.L007.sequences",0.896,0.8426,0.9266,0.9014,0.9126,0.733,0.9568,0.8742,0.8736,0.9292,0.9442,0.6892,0.9422,0.9006,0.8466,0.685,0.7848,0.9872,0.9242,0.905,0.9198,0.94,0.6556,0.8964,0.893,0.9054,0.9282,0.915,0.592,0.984,0,0.9012,0.6262,0.917,0.9326,0.9498,0.5314,0.5666,0.901,0.9896
"1642.MS00413",0.5352,0.955,0.5656,0.572,0.4836,0.8802,0.6552,0.9428,0.9504,0.5432,0.7276,0.9074,0.6194,0.4378,0.926,0.9086,0.9074,0.8282,0.4878,0.462,0.6194,0.5846,0.8936,0.6062,0.9674,0.5088,0.6244,0.5348,0.9032,0.9914,0.9012,0,0.9048,0.5278,0.6228,0.6274,0.9176,0.9004,0.5688,0.993
"2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8704,0.8716,0.9188,0.8916,0.9026,0.69,0.9518,0.854,0.8618,0.9136,0.9376,0.5938,0.941,0.8876,0.8132,0.6094,0.7992,0.9872,0.9206,0.8922,0.9076,0.9342,0.5908,0.8922,0.8904,0.898,0.9212,0.9024,0.5296,0.9764,0.6262,0.9048,0,0.9072,0.924,0.9474,0.6334,0.5372,0.8898,0.985
"1642.MS00505",0.554,0.9562,0.4106,0.5844,0.5198,0.8862,0.604,0.9416,0.945,0.4612,0.705,0.9132,0.6128,0.4808,0.9242,0.9212,0.9042,0.8492,0.5546,0.488,0.5842,0.61,0.9018,0.6754,0.9592,0.5196,0.6754,0.4868,0.9116,0.9904,0.917,0.5278,0.9072,0,0.456,0.5904,0.9246,0.9046,0.5552,0.9942
"1642.MS00504",0.6754,0.9582,0.469,0.7062,0.5648,0.9114,0.6224,0.9492,0.9498,0.5022,0.7504,0.929,0.6582,0.5856,0.9344,0.9342,0.9232,0.8584,0.6326,0.5562,0.5818,0.638,0.9174,0.7902,0.9638,0.6264,0.713,0.5686,0.9218,0.9886,0.9326,0.6228,0.924,0.456,0,0.5736,0.9308,0.925,0.6456,0.994
"1642.MS00398",0.7446,0.967,0.5748,0.7466,0.5884,0.9412,0.5444,0.9588,0.9608,0.5856,0.7982,0.9512,0.6672,0.6134,0.9492,0.9508,0.9388,0.7922,0.6608,0.6038,0.7038,0.5564,0.9404,0.8212,0.971,0.7086,0.6724,0.6492,0.9422,0.9922,0.9498,0.6274,0.9474,0.5904,0.5736,0,0.957,0.9464,0.726,0.9954
"2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8996,0.8542,0.9346,0.9086,0.9138,0.7208,0.9608,0.891,0.8764,0.9274,0.9468,0.6786,0.948,0.9066,0.8612,0.7232,0.8142,0.9906,0.9364,0.903,0.9264,0.9472,0.6932,0.9164,0.8986,0.9132,0.9308,0.9092,0.5882,0.9836,0.5314,0.9176,0.6334,0.9246,0.9308,0.957,0,0.5962,0.9098,0.9902
"2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences",0.873,0.8518,0.917,0.89,0.8988,0.7088,0.949,0.8506,0.8348,0.922,0.9386,0.6476,0.9382,0.8844,0.8232,0.6156,0.7888,0.987,0.9172,0.89,0.9046,0.933,0.6028,0.8872,0.8678,0.8904,0.9176,0.9026,0.4926,0.9776,0.5666,0.9004,0.5372,0.9046,0.925,0.9464,0.5962,0,0.893,0.9856
"1642.MS00632",0.4776,0.9504,0.5782,0.509,0.5692,0.861,0.7756,0.933,0.945,0.5656,0.6694,0.8944,0.5912,0.5438,0.9192,0.9054,0.9006,0.9064,0.5688,0.5522,0.5442,0.6938,0.881,0.623,0.9584,0.4986,0.697,0.52,0.8888,0.9894,0.901,0.5688,0.8898,0.5552,0.6456,0.726,0.9098,0.893,0,0.9938
"1001.SKB7",0.9944,0.9804,0.9906,0.995,0.9924,0.984,0.995,0.9754,0.9638,0.993,0.9722,0.983,0.994,0.993,0.984,0.982,0.9836,0.9958,0.9874,0.992,0.9892,0.9922,0.9832,0.9958,0.9824,0.9928,0.9946,0.9946,0.9764,0.5036,0.9896,0.993,0.985,0.9942,0.994,0.9954,0.9902,0.9856,0.9938,0
