"","2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences","2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00622","1642.MS00513","1642.MS00484","1642.MS00632","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00428","1642.MS00573","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00483","1642.MS00492","1642.MS00514","1642.MS00613","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00398","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.4.767.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00564","1642.MS00424","1642.MS00380","1642.MS00505","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00413","2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1001.SKB8","1642.MS00504","1642.MS00408","1642.MS00390","1642.MS00594","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00352","1642.MS00620","1642.MS00348","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","1001.SKB7"
"1642.MS00413",0.1036608004719,0.0652607801779,0.0215829667884,0.0208471672147,0.0244969124683,0.0232214196064,0.0766913794944,0.0191836969518,0.0212915466817,0.0753402084477,0.0206173527947,0.0202650849514,0.0216435369234,0.026016728152,0.0703767031764,0.0243447610105,0.0835594289961,0.0754188678987,0.0746636658351,0.0789226448678,0.0246297928523,0.0184586661365,0.0429528380651,0.0199800327424,0.0766617037995,0,0.0796143168664,0.0961205184307,0.0754379140063,0.1475111859173,0.0234697275034,0.0170194452584,0.0236569601711,0.0421458299208,0.0888071277557,0.024954253623,0.0268777857769,0.0259289981954,0.070305591212,0.1440278878914
"2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0575684960717,0.0352727225706,0.0802985311492,0.0864809823384,0.1047381801605,0.0799817787466,0.0259884061922,0.0783245124659,0.0834143304867,0.0310815942322,0.0836485533349,0.085178971345,0.0899476289426,0.0809732137804,0.0240553323875,0.0897893112865,0.0387630713371,0.0336770261982,0.0295774846644,0.0425005592879,0.0852414194744,0.0740943201484,0.1106529127764,0.0845377185571,0.0237931596895,0.0796143168664,0,0.0502392610287,0.0255824545994,0.1112451742963,0.0868688977257,0.0764830250342,0.0915038727019,0.0847089986522,0.0507811303683,0.088534136919,0.0861598934297,0.0822950917196,0.0241064872977,0.1199479054481
"2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences",0.0139968546332,0.0438919020886,0.0968347236479,0.099517277877,0.1198707412837,0.0977571187155,0.0486832791852,0.0893805949572,0.0938374460048,0.0355753616197,0.1009612253267,0.1037788295817,0.0896404217666,0.1129991286437,0.0372934884433,0.0874534669621,0.0171392879006,0.0198446345125,0.0380800492339,0.0221157440385,0.0936350344246,0.0819527444844,0.1130472626474,0.0878987527826,0.0347217848556,0.0961205184307,0.0502392610287,0,0.0478025621849,0.0770814654375,0.0753812903248,0.0896741061709,0.09262951681,0.0889237425936,0.0130380937525,0.0802139653117,0.11330410613,0.0890092950415,0.0503316765299,0.0732302716311
"2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences",0.0544245726597,0.0359430081291,0.0821200393204,0.0833483491979,0.1058226962581,0.0844899167362,0.0251485342486,0.0761036794295,0.0765040000041,0.0299215436782,0.0862843318045,0.0854824336195,0.0805853607468,0.0808410116718,0.0277514908478,0.0805756092783,0.0385135433394,0.0341660572576,0.032937984959,0.0417841498523,0.0809156508094,0.069705266665,0.1059588028336,0.0741802502852,0.0246098873799,0.0754379140063,0.0255824545994,0.0478025621849,0,0.1116857304804,0.0733393489813,0.0707515207738,0.0866635287936,0.0802852519144,0.0489466213071,0.0771944132408,0.0892306578863,0.0808156317263,0.0247843976985,0.125873266364
"1001.SKB8",0.0734099213129,0.1147852685475,0.1602507341571,0.1569555825047,0.1665300354247,0.1502245759731,0.1165306575221,0.1439495051036,0.1555988689656,0.1079408885569,0.1438970460094,0.1645108211555,0.1518374967349,0.153813750619,0.111786804056,0.138436122273,0.0763681135068,0.086437436191,0.1288270294292,0.0920170240009,0.1367224163403,0.143119163732,0.1166943536797,0.1618805249717,0.0991522889407,0.1475111859173,0.1112451742963,0.0770814654375,0.1116857304804,0,0.1556138429175,0.1492066997485,0.139181980532,0.1084147504641,0.0765490543014,0.132739607762,0.1522416951064,0.1348063326691,0.115301962513,0.0059776936123
"1642.MS00504",0.0786375113983,0.0559806145648,0.0272083830633,0.0170983386243,0.0236488310202,0.0244432629669,0.0724319007834,0.0190175851108,0.0201066610555,0.0663676883551,0.0241267062438,0.0218859922337,0.0191937383216,0.0357435039735,0.0641378996815,0.0210200262232,0.068876309607,0.0623447557584,0.0691709021013,0.0646603189823,0.0173270904292,0.0189847827574,0.0425647934041,0.0173776974168,0.0678023970976,0.0234697275034,0.0868688977257,0.0753812903248,0.0733393489813,0.1556138429175,0,0.0221139709675,0.0224183345125,0.0418568065968,0.0685790839037,0.0237476834844,0.0418841353745,0.0309572801312,0.0642002495103,0.1195511417948
"1642.MS00408",0.0977226029809,0.0591687129578,0.0197325675459,0.0188111593205,0.0241011433086,0.0211191614759,0.0720150295011,0.0172032462879,0.0188299574629,0.0679701180545,0.021024637325,0.0183338089239,0.0191708266181,0.0268894480477,0.0654548645446,0.0240090870242,0.0791031718975,0.0699228164739,0.0699178402041,0.072974620228,0.0228464103939,0.0178152259633,0.0453704340894,0.0175788109259,0.0704491300736,0.0170194452584,0.0764830250342,0.0896741061709,0.0707515207738,0.1492066997485,0.0221139709675,0,0.0228430487315,0.041248905472,0.0836522133298,0.0244091454319,0.0257997292382,0.0264700066366,0.0653884578434,0.1385872519735
"1642.MS00390",0.0973336109243,0.0723030558028,0.0334629262323,0.0247207925227,0.0253506537653,0.0292703376289,0.0853726386774,0.0178620574665,0.0282333504968,0.0823385556695,0.028469985474,0.0266385274259,0.0248052070007,0.0410893770722,0.0785732873395,0.0204860291733,0.085799582045,0.0778750105007,0.0843893052884,0.0820864263892,0.0254296197278,0.0227140809394,0.0313848769286,0.0250584848218,0.0819217042264,0.0236569601711,0.0915038727019,0.09262951681,0.0866635287936,0.139181980532,0.0224183345125,0.0228430487315,0,0.0451457726364,0.0867524738872,0.0179651307828,0.0367929116879,0.0232760061543,0.0800121486144,0.1293429278447
"1642.MS00594",0.099949326948,0.0740246119358,0.0460271221094,0.0394029900999,0.0482186140179,0.043800023594,0.0867168263037,0.0473402580284,0.0245581152205,0.081473129348,0.026306220822,0.0459908765579,0.0209591845953,0.0557188292296,0.0824890679945,0.0515752238373,0.0875261418253,0.0821238155268,0.0875857409243,0.0870543404554,0.0235040916508,0.0237384102877,0.0515038425607,0.0381914661289,0.0833779880813,0.0421458299208,0.0847089986522,0.0889237425936,0.0802852519144,0.1084147504641,0.0418568065968,0.041248905472,0.0451457726364,0,0.0930195735889,0.0452350178079,0.0307577853521,0.0540506048611,0.0740639042007,0.1078099038071
"2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences",0.0142631295498,0.0419432781582,0.0931205432204,0.0944542585421,0.1149311319331,0.0938254001955,0.0507796997735,0.0829864050425,0.0865763458169,0.0379926812658,0.1018550230968,0.0983204173345,0.085377003564,0.1048633674162,0.0390599215128,0.0814807163752,0.0148219164271,0.0181975320719,0.0437736293781,0.0185847540503,0.0865248707201,0.0772883464114,0.1028728402811,0.0816978439946,0.0367930824764,0.0888071277557,0.0507811303683,0.0130380937525,0.0489466213071,0.0765490543014,0.0685790839037,0.0836522133298,0.0867524738872,0.0930195735889,0,0.0737277202464,0.1080986016279,0.0852273682346,0.0495284220278,0.0704822276948
