"","1642.MS00491","1642.MS00444","1642.MS00457","2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00488","1001.SKD7","1642.MS00496","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00446","2382.SH004.C1.RH.1.602.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.512.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00363","1642.MS00357","2382.HE003.C181.HA.4.368.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00458","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00632","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00495","2382.HE003.C181.HA.3.363.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00571","1642.MS00577","2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00341","2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R5.root.10.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00344","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00540","1642.MS00405","2382.HE003.C181.HA.5.773.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00376","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00531"
"2382.SH004.C1.RH.1.602.rhizo.9.12.lane7.NoIndex.L007.sequences",4.12606719083125,4.3762524253272,3.68587589342692,-3.4452633228616,-5.19558768319202,8.46397140274963,-3.25215846139811,4.15920551061666,-5.65014928672694,4.30791486217804,NA,-7.01929843286451,0.427720705826282,1.79439495767033,-4.75757161542163,4.69580957794664,-7.20248369950221,-3.20392828206088,6.40998883615791,-7.48971714380245,3.88444281145626,-4.00501436471349,2.24949880851243,3.28013882448716,-4.36564119690832,0.532416274951826,-4.08250758749986,-6.06988259392773,-3.78063452616112,-5.02123503309005,-5.22332264183338,1.11151918953562,-3.50274377110942,5.83981200938018,3.87968468964099,-6.95839633914973,0.721695041776429,-4.7511838839706,-6.92962215773576,7.3623100306951
"2382.SH007.C6.RH.3.512.rhizo.4.12.lane7.NoIndex.L007.sequences",3.92207101674357,3.79328703904219,4.32296823001008,-4.32840725198308,-2.25509340650672,9.44314754381208,-2.67214597669639,3.47630948487807,-4.84493634764831,4.86290971655884,-7.01929843286451,NA,-0.685429502116829,1.63537153065666,-4.6398179268942,4.69129495091197,-6.29648596960875,-2.17634693339332,6.65345363245821,-6.82877067371645,3.57886418516429,-3.70008483326953,1.01317548669921,1.96644717231129,-1.97032922842891,0.758745204312164,-3.36306569809593,-3.61754230203907,-4.0314066621684,-5.89509880697621,-3.66737498719896,1.00702739647714,-2.06143373705364,5.82754504216884,3.6115207822096,-1.7266457300229,1.09467942750436,-3.22515236649799,-2.40272533177634,7.3930873824087
"1642.MS00363",-2.69370359379336,-1.54545622453371,-4.26099119784867,-1.22575953723078,-1.02291957348711,-2.36030253950995,-1.46829499977312,-4.02621808516548,0.073804183133375,-3.94351029304897,0.427720705826282,-0.685429502116829,NA,-4.41996394069309,-1.71738383864082,-4.07604900181531,-0.771048621527144,-1.11047063025407,-2.59589631364836,-0.966412250259092,-1.49381129674474,-1.68757279850363,-4.75673042100201,-2.54696798371502,-0.880846290366985,-3.64115381898948,-1.23823826739394,-0.791157935522732,-2.06951238733563,-1.09240602410428,1.93181788607845,-3.45967912118982,-0.960018611436263,-1.13118091148156,-4.74253079550541,-0.753826664530785,-4.05911079312989,-0.774492987997981,-0.810375421103331,-3.31394319069032
"1642.MS00357",-2.04524750692085,-2.1473358505676,-2.51712923941599,-0.758095771286979,-0.53152409383253,-2.29910346988626,-1.35410528207438,-2.82060904444208,2.42574260315421,-1.74087353342159,1.79439495767033,1.63537153065666,-4.41996394069309,NA,-0.853275632430993,-2.44416545200813,0.9995583236094,-0.535576427947658,-2.61578900191418,1.05818855152388,-2.02830448644853,-1.02980817783706,-3.53635199443617,-2.84262199703164,-0.538008269903099,-4.39058148636633,-0.16663599786718,0.165454346184133,-2.33157318450385,1.18797079490182,3.28631508662287,-7.41546667298006,-0.596580251889422,-2.08368386898407,-3.25938826008634,-0.323977641706977,-3.92058510834042,-0.466815208048033,-0.128291982070116,-3.07560963149353
"2382.HE003.C181.HA.4.368.root.9.11.lane1.NoIndex.L001.sequences",1.27883729746337,1.00194608895956,0.781711528442271,-3.82240201387904,-5.29956185747087,3.57013017636292,-5.40916667864449,-0.0330100439434851,-3.43301573135593,1.32239323480903,-4.75757161542163,-4.6398179268942,-1.71738383864082,-0.853275632430993,NA,1.641053424606,-7.74429200567469,-6.35152003527313,1.57982941689382,-6.12462414525627,1.20476548503713,-4.39493872769432,-0.210069574012812,0.0465524995058921,-4.61068094883306,-1.58901389149128,-7.17221728545866,-5.60048344476998,-5.79322700725073,-6.21116206490255,-2.47347818547769,-1.45210515901182,-5.00608534531544,1.95070706819778,-0.0183783592631604,-4.9015652928861,-1.10402497960425,-6.07266294989197,-5.09431585873714,1.98972476751953
"1642.MS00458",-1.84956654523078,-0.311604197726299,-3.13808930940731,0.382579049226819,0.354452047513994,-2.42778195229731,1.56913013068131,-4.26483495469191,4.52845559462122,-3.35873101390079,4.69580957794664,4.69129495091197,-4.07604900181531,-2.44416545200813,1.641053424606,NA,4.38556479238108,-0.0385706985933041,-2.03883591608834,4.90031338449019,-1.28281115366276,0.310019272770976,-3.19312752288235,-1.89809563215411,-0.0555278407619608,-1.87943979081985,2.63458242109264,1.59807908677421,0.226998988191435,4.25796477773705,5.98597276533037,-2.12955772732756,-0.11203245505665,-2.12315334669047,-3.65983685785503,0.0056645463812197,-2.558708883012,0.942349950139529,0.522606720252474,-3.48418538989023
"2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences",3.56627506615764,3.64182763332652,3.7982004818755,-6.94582167559583,-7.35522680857279,8.39154898756767,-3.46380524189428,3.10235684315059,-5.22610983636934,3.74548365080644,-7.20248369950221,-6.29648596960875,-0.771048621527144,0.9995583236094,-7.74429200567469,4.38556479238108,NA,-8.21560336908145,6.79487491271902,-7.94549064148165,3.53292878232009,-7.13572485457772,0.987135040381439,1.87363652094215,-6.09714028296684,0.331183314733801,-6.37559053633286,-6.58866123083247,-4.45083231291697,-7.97998388104989,-4.42152554925529,0.641196093441304,-4.2751907714922,5.79207243361653,3.12461933794348,-7.89730387482568,0.723022197626341,-5.46387911641755,-8.07672032392359,7.97068234297048
"2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences",-0.077882549327071,0.139535911414767,-0.195958355452437,-5.68058985196678,-6.88180233607391,0.806194774763269,-3.33749344514983,-0.300410177258941,-4.97823975912296,0.326230130764515,-3.20392828206088,-2.17634693339332,-1.11047063025407,-0.535576427947658,-6.35152003527313,-0.0385706985933041,-8.21560336908145,NA,0.309999568905608,-4.59740309688241,0.343244791161718,-6.46982859647606,-0.326195830290055,-0.242740603735723,-5.00732419589704,-0.898107269970254,-6.97901970789228,-6.7259939276282,-2.54789174728017,-7.15184324310526,-0.946617952095201,-0.748174735075074,-6.88244886053094,0.228269178145854,-0.21859389055692,-7.29774275749974,-0.652776146240723,-7.28065470562843,-6.68182343909541,0.603151408462984
"1642.MS00632",-1.20303503597763,-1.16211602417764,-3.63933212692505,1.07962036572203,0.947083974638869,-3.17834128366378,1.72918134543922,-3.85192156549389,6.51357135917297,-2.87509062293556,6.40998883615791,6.65345363245821,-2.59589631364836,-2.61578900191418,1.57982941689382,-2.03883591608834,6.79487491271902,0.309999568905608,NA,6.88483084898938,-3.52533181127552,0.605110610085204,-4.06715798136689,-4.87726381428968,0.200750003829684,-1.6168481708845,2.99388937910657,2.03358418749374,0.984947211679848,5.9331695796919,7.48757469555511,-2.32356304177573,0.251419180691712,-2.88567541478162,-3.08405570132818,0.305133522787544,-2.39137391974857,1.57314532593143,0.805718723815519,-3.39254301092597
"2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences",3.90813328420165,3.41961326473063,4.34338540955413,-5.28335901432233,-6.76712818896806,8.9336448218841,-3.14494922230879,3.54910138323005,-6.02856510917163,5.03679197486351,-7.48971714380245,-6.82877067371645,-0.966412250259092,1.05818855152388,-6.12462414525627,4.90031338449019,-7.94549064148165,-4.59740309688241,6.88483084898938,NA,3.36219709109273,-4.4384003566011,1.0687379158815,2.23917415416896,-4.48527246507921,0.160118506670147,-4.79816435329187,-6.17595221108309,-4.2348634237295,-6.91719804905663,-5.51575670204485,0.500946368604316,-3.8765289702145,6.11811435753891,3.98730490534572,-7.28229912812177,0.553258468813881,-5.84147758938005,-7.31164678578767,7.75076854622951
