"","1642.MS00491","1642.MS00444","1642.MS00457","2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00488","1001.SKD7","1642.MS00496","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00446","2382.SH004.C1.RH.1.602.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.512.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00363","1642.MS00357","2382.HE003.C181.HA.4.368.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00458","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00632","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00495","2382.HE003.C181.HA.3.363.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00571","1642.MS00577","2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00341","2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R5.root.10.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00344","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00540","1642.MS00405","2382.HE003.C181.HA.5.773.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00376","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00531"
"2382.SH004.C1.RH.1.602.rhizo.9.12.lane7.NoIndex.L007.sequences",0.08483368511,0.099119188093,0.0835133109336,0.0567758666705,0.0386815978015,0.1064737493787,0.0982836832606,0.086191782662,0.0314931964654,0.0841591806555,0,0.0224502382837,0.0780551242016,0.0844016935355,0.0487381983368,0.082442165509,0.0206145303321,0.0449090920723,0.0918944727006,0.0235350101023,0.0979072130704,0.0387894251752,0.0976309121647,0.0961798613131,0.0551990627047,0.0828404264029,0.0356981229963,0.0454124373438,0.0591670285898,0.0291282330451,0.0310817887577,0.0832398675494,0.0437004488211,0.094769258203,0.0807452763537,0.0443741441713,0.0948588838682,0.0398556508252,0.0371489965599,0.1010133968411
"2382.SH007.C6.RH.3.512.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0862655893027,0.0981160015669,0.0853183717664,0.0467356263348,0.0441386815923,0.1088730425054,0.0974256339469,0.0851056737888,0.0328505074433,0.0875911708443,0.0224502382837,0,0.0714882398691,0.0844737152953,0.0490173012588,0.0840312606445,0.0204995822867,0.0419570380597,0.0938069904732,0.0179836016658,0.0963213884272,0.0413764109949,0.0880017416712,0.0900451706732,0.061627292433,0.0850086131052,0.0340908544052,0.0504608950896,0.0686356549709,0.0208862587513,0.0353652366877,0.0847191590096,0.0448358548906,0.095889905118,0.0822751334542,0.0484271270327,0.0971220697809,0.0421923655635,0.0422277064968,0.1010298360303
"1642.MS00363",0.0277509989725,0.026047644696,0.0223153584775,0.0843679975497,0.0754667122259,0.0291897589342,0.1138123611062,0.0229292693356,0.0760904869964,0.0227442327055,0.0780551242016,0.0714882398691,0,0.020097525585,0.0710787279043,0.0231871081191,0.0718386037186,0.0780685236125,0.0282019237398,0.068661021414,0.0251881771293,0.0700700572762,0.0248608446486,0.0258377785111,0.1004425209301,0.0213728711788,0.0707911342676,0.0786470143256,0.0777033023772,0.0717335396253,0.0909980862959,0.0201147487366,0.0782268112826,0.0290025734229,0.0209913130284,0.0847533347892,0.0250974848782,0.070016911941,0.0755307902617,0.0280152146577
"1642.MS00357",0.0355391758005,0.0260110126054,0.0272704455611,0.0910190048178,0.0855836635396,0.0306618478994,0.1220924963126,0.0277544971326,0.0869042949731,0.0321154019911,0.0844016935355,0.0844737152953,0.020097525585,0,0.0821651370993,0.0295090133941,0.0830330193031,0.0892751728014,0.0331837931451,0.0807243017142,0.0297836547556,0.0799869682571,0.0287244363558,0.0289043948571,0.1083652143904,0.0162179333776,0.0802231645435,0.0916067161452,0.0824216044771,0.0860383963208,0.0932977295592,0.0160630812348,0.0869828302321,0.0318702636902,0.0227428089846,0.0935324948757,0.0217538267066,0.0766186459653,0.0862906817896,0.030366186134
"2382.HE003.C181.HA.4.368.root.9.11.lane1.NoIndex.L001.sequences",0.0964333193004,0.0998130698491,0.0904951883924,0.0473219195294,0.0347409809794,0.1089929069346,0.0627540080339,0.0894134214655,0.0523080608933,0.0950065438767,0.0487381983368,0.0490173012588,0.0710787279043,0.0821651370993,0,0.0957714850043,0.0416029188285,0.0289351063167,0.0955267641578,0.041053820529,0.0980059687813,0.02111263053,0.0931705116143,0.0897629759901,0.0404403205554,0.0800286086686,0.0267653403972,0.0341990409289,0.0292691545079,0.0440260205922,0.0692601199709,0.0803106609975,0.0291900923208,0.1016986284897,0.0865441459438,0.0309241064291,0.0949715810603,0.028356966658,0.0318055371357,0.1017284261044
"1642.MS00458",0.0228755980435,0.0300130264554,0.0213963537815,0.0965776679037,0.0893335983093,0.0269388640357,0.1460121528219,0.0211794120693,0.0809753924201,0.0198361792597,0.082442165509,0.0840312606445,0.0231871081191,0.0295090133941,0.0957714850043,0,0.0847536796937,0.0935436552555,0.0239791707624,0.0824650039774,0.0251137140541,0.0898312218946,0.0253103040104,0.0247811475611,0.1150135469631,0.0308552369486,0.0906749535837,0.0991908363225,0.1047725218622,0.0876438810453,0.0872440426281,0.0307822386417,0.0909269133119,0.0258885381604,0.0218604317996,0.0972382908766,0.0406678349517,0.0862012049983,0.088888146767,0.0251978665363
"2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0865860052671,0.0993904421428,0.0852821959693,0.0419753425299,0.0340131627767,0.108199324951,0.0966884102247,0.085409499582,0.0323371327832,0.0863150400653,0.0206145303321,0.0204995822867,0.0718386037186,0.0830330193031,0.0416029188285,0.0847536796937,0,0.0324533769383,0.0945227780012,0.0208061908279,0.0977599736044,0.0332472466241,0.0887191903337,0.0909645851008,0.0491104715493,0.0841083122669,0.027329214767,0.0486606074157,0.0613670730691,0.0211770359839,0.0330453012583,0.0847894310813,0.0368749055547,0.0968222157748,0.0824601857711,0.0414919543126,0.0968031307779,0.0342057854351,0.0379104821686,0.1028457779607
"2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences",0.0946956228464,0.1037134025646,0.09250338553,0.0203674805569,0.0165087086922,0.1123526039195,0.0693371393255,0.0915891364225,0.0413027166029,0.0958609448793,0.0449090920723,0.0419570380597,0.0780685236125,0.0892751728014,0.0289351063167,0.0935436552555,0.0324533769383,0,0.101332080696,0.0362543830061,0.1026314652504,0.0210396546779,0.094897094541,0.0946123122844,0.0167873041625,0.0863965996933,0.023040173961,0.0312683083004,0.0321724497815,0.03925094858,0.0613754930697,0.0860699180557,0.0193524468419,0.1025631056337,0.0913041050345,0.0177175007783,0.0971969386732,0.0213872974981,0.0236730923769,0.1084609764611
"1642.MS00632",0.0281678497658,0.0286290923649,0.0208231957584,0.1041707057283,0.0988648888069,0.0236022293204,0.1483327940883,0.020997632392,0.0896604459608,0.0237166245015,0.0918944727006,0.0938069904732,0.0282019237398,0.0331837931451,0.0955267641578,0.0239791707624,0.0945227780012,0.101332080696,0,0.0919794340817,0.0235275598152,0.0927232353132,0.0242217318578,0.0202389875224,0.121777747205,0.0379444862148,0.0968112851743,0.1040469026272,0.1124685983305,0.0969293747046,0.0950070165952,0.0346050228395,0.0990990172615,0.0230603923665,0.0237573208769,0.1055096938296,0.0448298295545,0.0934158300118,0.0960266949161,0.0228941642511
"2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0842360748973,0.0943330889611,0.082932988154,0.0485253358669,0.0364692637537,0.1050729222802,0.0966192366884,0.0831222864239,0.0282252971405,0.0854854642354,0.0235350101023,0.0179836016658,0.068661021414,0.0807243017142,0.041053820529,0.0824650039774,0.0208061908279,0.0362543830061,0.0919794340817,0,0.0936858655153,0.0344996709827,0.0867312759659,0.0888447191508,0.0559888149492,0.080621216274,0.0266806373336,0.0478659704264,0.0613368241676,0.0183417623876,0.0302837403433,0.0810997432788,0.0399109855826,0.09403747811,0.080422741553,0.0432086010185,0.0922275413521,0.0329087135458,0.0372348734028,0.0985820083402
