"","2382.SH008.C6.HA.1.103.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.4.443.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.423.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00546","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00353","1642.MS00624","2382.SH004.C1.RH.2.208.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00452","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00561","2382.HE003.C181.HA.1.353.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00597","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00359","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","2382.GM.181.R1.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00427","2382.DPOO1.C1.HA.1.228.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00424","1642.MS00365","1642.MS00434","1642.MS00574","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00558","1642.MS00586","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00396","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00430","1642.MS00468","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00343","1642.MS00630","2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences","1001.SKB7"
"1642.MS00561",1,1,1,-0.972,1,0.649,-0.301,1,-0.32,1,0,1,-0.505,1,0.673,1,1,-0.407,1,-0.902,0.786,0.411,-0.971,1,1,1,-0.449,-0.855,1,-0.328,1,-0.079,-0.95,1,0.98,-0.798,1,1,1,1
"2382.HE003.C181.HA.1.353.root.9.11.lane1.NoIndex.L001.sequences",-0.177,-0.94,0.00800000000000001,1,0.992,1,1,-1,1,-0.906,1,0,1,1,1,-1,0.996,1,-0.738,1,1,1,1,1,-0.952,0.998,1,1,-0.048,1,-1,1,1,-1,1,1,0.992,0.992,0.998,0.988
"1642.MS00597",1,1,1,-0.802,1,0.892,-0.97,1,-0.996,1,-0.505,1,0,1,0.967,1,1,-0.478,1,-0.928,0.862,-0.515,-1,1,1,1,-0.295,-0.211,1,-0.413,1,-0.716,-0.708,1,0.803,-0.994,1,1,1,1
"2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences",1,1,0.988,1,0.567,1,1,1,1,1,1,1,1,0,1,1,-1,1,1,1,1,1,1,1,0.998,0.99,1,1,1,1,1,1,1,0.984,1,1,0.366,0.79,0.597,1
"1642.MS00359",1,1,1,0.632,1,-1,0.986,1,0.92,1,0.673,1,0.967,1,0,1,1,-0.182,1,-0.69,-0.998,0.0940000000000001,0.894,1,1,1,0.166,0.998,1,-0.375,1,0.198,0.0980000000000001,1,-0.976,0.997,1,1,1,1
"2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences",0.351,-1,0.528,1,0.96,1,1,-0.988,1,-0.914,1,-1,1,1,1,0,1,1,-0.966,1,1,1,1,1,-0.97,0.964,1,1,0.994,1,-0.856,1,1,-1,1,1,0.994,0.993,0.986,1
"2382.GM.181.R1.rhizo.10.12.lane7.NoIndex.L007.sequences",1,1,0.996,1,0.22,1,1,1,1,1,1,0.996,1,-1,1,1,0,1,1,1,1,1,1,1,0.988,0.984,1,1,1,1,0.988,1,1,0.839,1,1,0.447,0.382,0.353,0.994
"1642.MS00427",1,1,1,0.375,1,-0.38,0.081,1,-0.777,1,-0.407,1,-0.478,1,-0.182,1,1,0,1,-0.872,-0.49,-0.862,-0.721,1,1,1,0.288,0.496,1,-0.97,1,-0.99,-0.353,1,-0.372,-0.315,1,1,1,1
"2382.DPOO1.C1.HA.1.228.root.9.11.lane1.NoIndex.L001.sequences",0.923,-0.98,0.992,1,1,1,1,-0.172,1,0.106,1,-0.738,1,1,1,-0.966,1,1,0,1,1,1,1,1,-0.924,1,1,1,0.86,1,-0.303,1,1,-0.984,1,1,1,1,1,1
"1642.MS00424",1,1,1,-0.946,1,-0.513,-0.466,1,-0.938,1,-0.902,1,-0.928,1,-0.69,1,1,-0.872,1,0,-0.422,-0.52,-0.964,1,1,1,-0.78,0.61,1,-0.808,1,-0.901,-0.998,1,0.279,-0.665,1,1,1,1
"1642.MS00365",1,1,1,0.61,1,-1,0.962,1,0.517,1,0.786,1,0.862,1,-0.998,1,1,-0.49,1,-0.422,0,0.13,0.851,1,1,1,0.782,0.998,1,-0.204,1,-0.003,0.612,1,-0.996,0.984,1,1,1,1
"1642.MS00434",1,1,1,0.59,1,0.159,0.537,1,-0.866,1,0.411,1,-0.515,1,0.0940000000000001,1,1,-0.862,1,-0.52,0.13,0,-0.429,1,1,1,-0.359,0.127,1,-0.95,1,-1,-0.395,1,-0.214,-0.378,1,1,1,1
