"","1642.MS00452","1642.MS00365","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1001.SKB7","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00574","2382.DPOO1.C1.HA.1.228.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.103.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.5.423.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.353.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00558","2382.SH004.C1.RH.2.208.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00630","1642.MS00624","1642.MS00546","1642.MS00430","1642.MS00343","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00597","2382.GM.181.R1.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00468","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00434","1642.MS00427","1642.MS00359","1642.MS00424","1642.MS00561","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.443.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00586","1642.MS00353","1642.MS00396","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences",0.0646742848995,0.0629282987195,0.0295260096108,0.1147129427382,0.0526890943735,0.0283189809498,0.0272087249571,0.0674447846822,0.0383756128533,0.0508579460392,0,0.0279650431383,0.0455871549979,0.0410798499317,0.04529801533,0.0317971206564,0.0498743927055,0.0746032734134,0.0341621067768,0.0688197874732,0.0703481789442,0.0646985003392,0.0682134498692,0.0616207827889,0.0563475365578,0.0691305775162,0.0160916396363,0.0648032401702,0.0421253365331,0.0727316379727,0.0658387123842,0.062995292324,0.058160416422,0.0702380696596,0.0359740590133,0.0456489657447,0.085920159649,0.0634861571396,0.071493707492,0.0322734393781
"2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0769635336755,0.0761152518677,0.021540779134,0.1429535049022,0.0446076194606,0.0221589144206,0.0181773249683,0.0752003765314,0.0325827423562,0.0462356431224,0.0279650431383,0,0.0291420508221,0.0322061799742,0.0344849002344,0.0288134936368,0.0410838734946,0.0779899931801,0.0270486649686,0.0748970868743,0.078971704291,0.0732664277841,0.0740707297257,0.0745406569024,0.0392673305661,0.0772123466896,0.0262382400657,0.0842635071165,0.0294834614721,0.0802638878862,0.0751750813193,0.073893578806,0.064672928172,0.0777528584602,0.0336102772109,0.0352597327642,0.0935862750678,0.0747176790099,0.08219783241,0.027984348545
"2382.SH008.C6.HA.1.103.root.6.11.lane1.NoIndex.L001.sequences",0.0814506164968,0.0739204574914,0.0311805992107,0.0786975921617,0.0328635807388,0.0349646873956,0.0287088946587,0.0861017456253,0.0276204814694,0.0268711404693,0.0455871549979,0.0291420508221,0,0.0240673662454,0.0184883236042,0.0263374214574,0.028763400086,0.0823684159329,0.0216220378354,0.0835350168978,0.091460453936,0.0816981539682,0.0763071323967,0.0766830039398,0.0374321189901,0.0814191047154,0.0340803136687,0.0885015618483,0.0218022243083,0.0839088931648,0.0781580070528,0.0747267519689,0.0691219942369,0.0815805070327,0.0321505705994,0.0250960910584,0.0974037222729,0.076672661024,0.0860306683412,0.0314018948679
"2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences",0.0763395344482,0.0767343060764,0.0264511697661,0.0711199010559,0.0227977915761,0.0369738454745,0.0281292107746,0.0868507815984,0.0180458830712,0.020044753154,0.0410798499317,0.0322061799742,0.0240673662454,0,0.0193751702631,0.0245749104261,0.0208286683796,0.0889818574311,0.0196743446266,0.0873270438879,0.0911476548558,0.0836066096582,0.0759036646119,0.0757446230131,0.0374630079676,0.0838229541048,0.0317246772364,0.0889330246047,0.0240453357824,0.0880546146989,0.0831801520739,0.0749336796717,0.0731601812707,0.0874746913773,0.0333444570405,0.0141762884034,0.1008542698662,0.0832245719688,0.0901758916216,0.0298289655125
"2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences",0.0842509356487,0.0765770279921,0.0254115138264,0.0874626953496,0.022737661536,0.0384574845018,0.0289912032708,0.0917573948928,0.0226758030329,0.0174880752968,0.04529801533,0.0344849002344,0.0184883236042,0.0193751702631,0,0.0208413708919,0.0230340703062,0.0897126435938,0.0169197132681,0.0911101719389,0.0975195032461,0.0854651849119,0.0802531765563,0.0796051303717,0.0399974150947,0.0891081156558,0.0391247333687,0.085771449469,0.0216551884741,0.0901117446539,0.0828799499512,0.0765051439684,0.0755518476021,0.0896125186686,0.0293970799322,0.0170267248947,0.1051071474314,0.0806419055126,0.0913061434103,0.0321365847742
"2382.SH004.C1.RH.5.423.root.4.12.lane7.NoIndex.L007.sequences",0.0782169122445,0.0715850051876,0.0167702051908,0.0871432048856,0.0356138215328,0.0339159953749,0.0230340255498,0.0805820176298,0.026719221665,0.0302417875517,0.0317971206564,0.0288134936368,0.0263374214574,0.0245749104261,0.0208413708919,0,0.0332223278376,0.0829302378017,0.0171207402486,0.0814051572392,0.0849849152802,0.074256738058,0.0783743103085,0.0759359293623,0.0421177792249,0.0808322500004,0.0325186019909,0.0792822738917,0.0254546414798,0.0841861267183,0.077809440634,0.0738761391785,0.0683927383916,0.0816514960008,0.0205910490558,0.0244935091321,0.0987623206479,0.0752393072838,0.086236471914,0.0310649331433
"2382.HE003.C181.HA.1.353.root.9.11.lane1.NoIndex.L001.sequences",0.0901674580729,0.0884748876205,0.0405125693337,0.0804156046776,0.018040875527,0.0439065856695,0.0419896432916,0.1050254467997,0.024623317013,0.0185952152343,0.0498743927055,0.0410838734946,0.028763400086,0.0208286683796,0.0230340703062,0.0332223278376,0,0.1039263740896,0.0235601457196,0.101224034665,0.1094014793133,0.0973666018076,0.090245285153,0.0916440236608,0.0304484950421,0.0992180612044,0.0428562480727,0.1006898324388,0.0184278481676,0.102680970764,0.0955439162593,0.0865264212492,0.0873138643956,0.1014898140163,0.0466244015708,0.0220354429442,0.1206374633642,0.0958262987465,0.1030330788341,0.0467163235224
"1642.MS00558",0.0226522853831,0.0366384412226,0.0815045172231,0.1631792624597,0.1132784174852,0.0791519777735,0.0801877657312,0.0213364986412,0.0877317306422,0.1037628313843,0.0746032734134,0.0779899931801,0.0823684159329,0.0889818574311,0.0897126435938,0.0829302378017,0.1039263740896,0,0.0836097513832,0.0214844798838,0.0246498095575,0.0213347948351,0.0218395821391,0.0326204565001,0.087317565518,0.0219264462302,0.0715373081211,0.02224698932,0.0845432422954,0.0212895716432,0.0259253833346,0.0323868089772,0.0231420292421,0.0237367655015,0.085609446367,0.0908827835506,0.0226533911172,0.0337384117765,0.0222847224198,0.0810716120373
"2382.SH004.C1.RH.2.208.root.9.11.lane1.NoIndex.L001.sequences",0.0755037010749,0.0720971574806,0.0195116528033,0.0788377854679,0.0292566502884,0.0287793720521,0.0231448362256,0.0833133759949,0.0223896403193,0.0256285284723,0.0341621067768,0.0270486649686,0.0216220378354,0.0196743446266,0.0169197132681,0.0171207402486,0.0235601457196,0.0836097513832,0,0.0815218496892,0.085734413537,0.0773664548719,0.0758591712895,0.0721401712426,0.0374492532273,0.0792450781835,0.0318651361898,0.0862505472977,0.0208429244498,0.0831209122201,0.0769138787624,0.0726351485764,0.0689274678744,0.0827656220964,0.0250093992866,0.0210566351097,0.0971454874547,0.0744953193408,0.0854793377298,0.0305707159709
"1642.MS00630",0.0212200506313,0.0316620215564,0.0784973191445,0.1663734775688,0.1060601264346,0.076026209799,0.0767363841277,0.0184599612429,0.085915745857,0.1018623624602,0.0688197874732,0.0748970868743,0.0835350168978,0.0873270438879,0.0911101719389,0.0814051572392,0.101224034665,0.0214844798838,0.0815218496892,0,0.0201278080855,0.019619603395,0.0210680746086,0.0304371378731,0.0831965934019,0.0194979773394,0.0641971249731,0.0186867244192,0.0834925419585,0.021183801237,0.0220763764151,0.0307773801012,0.0201985801952,0.0200183701091,0.082826091536,0.090141716868,0.0217563400788,0.0301389925105,0.0219768081867,0.0799046007509
"1642.MS00624",0.0244304015493,0.0339127342145,0.0802958145718,0.1560803192644,0.1113454091534,0.076508280883,0.0781248244903,0.0208982403913,0.0898527429748,0.1091550547103,0.0703481789442,0.078971704291,0.091460453936,0.0911476548558,0.0975195032461,0.0849849152802,0.1094014793133,0.0246498095575,0.085734413537,0.0201278080855,0,0.0202394399902,0.0245291483249,0.0324604174089,0.1056794731375,0.0219072403327,0.0633445486149,0.0226464291103,0.0926173491611,0.025733825762,0.0260932418487,0.0339216206244,0.0224408298522,0.0230960649921,0.0846434109394,0.0962435082199,0.025373092555,0.0333004089889,0.0258996695164,0.0801757564996
"1642.MS00546",0.0222035251979,0.0338809849879,0.0724938922704,0.147046865349,0.1045828616812,0.0745192025407,0.07135010083,0.0194106037464,0.0837450421535,0.0982131538026,0.0646985003392,0.0732664277841,0.0816981539682,0.0836066096582,0.0854651849119,0.074256738058,0.0973666018076,0.0213347948351,0.0773664548719,0.019619603395,0.0202394399902,0,0.0233856012052,0.0344736770834,0.0829680464996,0.0190174042437,0.0604829317798,0.0196188301602,0.0800317073395,0.0238510937146,0.0248260620659,0.0343611471009,0.0199152361725,0.0197250479726,0.0789548849704,0.0858494226157,0.0241185274549,0.0348366854335,0.0243521038114,0.0741771768819
"1642.MS00430",0.0208572286149,0.0238540040237,0.0767652161972,0.1418800173359,0.098638492652,0.0760315615356,0.0756204387403,0.0213930542941,0.074989814945,0.0939338490159,0.0682134498692,0.0740707297257,0.0763071323967,0.0759036646119,0.0802531765563,0.0783743103085,0.090245285153,0.0218395821391,0.0758591712895,0.0210680746086,0.0245291483249,0.0233856012052,0,0.0221917682454,0.0782033310564,0.0223058739685,0.0650327010125,0.0215690228711,0.0773411048768,0.0169024414949,0.0176476901799,0.0232185384714,0.0185491342923,0.0231667775858,0.0791506224256,0.0825605231453,0.0238883624055,0.0233215494021,0.0196824054089,0.0790586536094
"1642.MS00343",0.0259336755172,0.0179427474333,0.0738714957282,0.1295259143667,0.1113106153961,0.0744938536319,0.0757340610975,0.0288286354722,0.0797594589522,0.0959745894073,0.0616207827889,0.0745406569024,0.0766830039398,0.0757446230131,0.0796051303717,0.0759359293623,0.0916440236608,0.0326204565001,0.0721401712426,0.0304371378731,0.0324604174089,0.0344736770834,0.0221917682454,0,0.0801445604575,0.0329052873256,0.0604762028635,0.0307353838302,0.0745445376528,0.0222794372262,0.0216360886634,0.0167979690134,0.02192092687,0.0331823642055,0.0748849622074,0.0802854874618,0.0369294338301,0.0159688040804,0.0224478182352,0.0748579174056
"2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences",0.0827564509166,0.0739949677002,0.0475937750184,0.0982728131394,0.0355562524565,0.0324384581904,0.0445992553613,0.0986412911696,0.0308981652974,0.0388842968685,0.0563475365578,0.0392673305661,0.0374321189901,0.0374630079676,0.0399974150947,0.0421177792249,0.0304484950421,0.087317565518,0.0374492532273,0.0831965934019,0.1056794731375,0.0829680464996,0.0782033310564,0.0801445604575,0,0.0868245138205,0.0407425405762,0.087667255547,0.0319101442079,0.0866746129133,0.0781905606564,0.0858180563544,0.072263507374,0.0848172398245,0.0473658609925,0.0398054760528,0.1087117413989,0.0758093290565,0.0863901514254,0.0512727422369
"1642.MS00597",0.0215401114372,0.0335327002172,0.0774007019683,0.1538400219381,0.1111244397942,0.0775718979098,0.0776691603834,0.0185500514153,0.0850136958993,0.1025954788507,0.0691305775162,0.0772123466896,0.0814191047154,0.0838229541048,0.0891081156558,0.0808322500004,0.0992180612044,0.0219264462302,0.0792450781835,0.0194979773394,0.0219072403327,0.0190174042437,0.0223058739685,0.0329052873256,0.0868245138205,0,0.0655088373233,0.0201528061155,0.0826642616195,0.022185162689,0.024376875681,0.034253584648,0.0199466606305,0.0211716802864,0.0811319357811,0.0864214186845,0.0212296490194,0.0330959723433,0.0246573448414,0.0792561488084
"2382.GM.181.R1.rhizo.10.12.lane7.NoIndex.L007.sequences",0.0613549569782,0.062539596147,0.0298295518321,0.1244596925151,0.0427511147038,0.0266335734765,0.026647280966,0.0619790902934,0.0347225940202,0.0451562825355,0.0160916396363,0.0262382400657,0.0340803136687,0.0317246772364,0.0391247333687,0.0325186019909,0.0428562480727,0.0715373081211,0.0318651361898,0.0641971249731,0.0633445486149,0.0604829317798,0.0650327010125,0.0604762028635,0.0407425405762,0.0655088373233,0,0.061583114121,0.031635885985,0.070624977373,0.0651890477869,0.060359961907,0.0563796364146,0.0667515266852,0.0403919708024,0.0366269453683,0.0821703655408,0.0614766802755,0.0695917243162,0.0299686678082
"1642.MS00468",0.0186618594009,0.03055188835,0.0805393681956,0.1529770368151,0.1105357804582,0.0847105980848,0.0793055098177,0.0187318665568,0.0906467019324,0.1045113986613,0.0648032401702,0.0842635071165,0.0885015618483,0.0889330246047,0.085771449469,0.0792822738917,0.1006898324388,0.02224698932,0.0862505472977,0.0186867244192,0.0226464291103,0.0196188301602,0.0215690228711,0.0307353838302,0.087667255547,0.0201528061155,0.061583114121,0,0.0872300345958,0.0202210219852,0.022445496783,0.0274171992611,0.0184472264484,0.0195851963733,0.0923603928598,0.0945525482218,0.023032121564,0.0290689364103,0.0215600416164,0.0812783833386
"2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences",0.0790707323534,0.073454908862,0.0308000148279,0.0909107036523,0.0235443534156,0.0329788178241,0.0309924805761,0.0879633287873,0.0240835861894,0.0247950531727,0.0421253365331,0.0294834614721,0.0218022243083,0.0240453357824,0.0216551884741,0.0254546414798,0.0184278481676,0.0845432422954,0.0208429244498,0.0834925419585,0.0926173491611,0.0800317073395,0.0773411048768,0.0745445376528,0.0319101442079,0.0826642616195,0.031635885985,0.0872300345958,0,0.0851907478104,0.0784844548431,0.0760540375479,0.071331133117,0.0820886984898,0.0378853827951,0.0227038760066,0.1018813149507,0.0748128140637,0.0852181030172,0.0370653023444
"1642.MS00434",0.0199730696782,0.0239989332349,0.081615062646,0.1461966372165,0.1112764748222,0.080386201476,0.0808624981429,0.0206397372673,0.0874310550933,0.1035974321087,0.0727316379727,0.0802638878862,0.0839088931648,0.0880546146989,0.0901117446539,0.0841861267183,0.102680970764,0.0212895716432,0.0831209122201,0.021183801237,0.025733825762,0.0238510937146,0.0169024414949,0.0222794372262,0.0866746129133,0.022185162689,0.070624977373,0.0202210219852,0.0851907478104,0,0.0189225363091,0.0219821480928,0.0191797394624,0.0228858216617,0.0845443994451,0.0923673502229,0.0223171242814,0.0237521026794,0.0186375960273,0.0826881243507
"1642.MS00427",0.0211486541721,0.0208078669296,0.0773219524251,0.1475832369114,0.1057803740742,0.0766386043213,0.0767318596451,0.0225211783617,0.0817893999958,0.0956450717671,0.0658387123842,0.0751750813193,0.0781580070528,0.0831801520739,0.0828799499512,0.077809440634,0.0955439162593,0.0259253833346,0.0769138787624,0.0220763764151,0.0260932418487,0.0248260620659,0.0176476901799,0.0216360886634,0.0781905606564,0.024376875681,0.0651890477869,0.022445496783,0.0784844548431,0.0189225363091,0,0.0214669019983,0.0184478946999,0.0211156652155,0.0800650365794,0.0846903331695,0.0256438587585,0.0216976179492,0.0186588082527,0.080089634656
"1642.MS00359",0.0273566744492,0.0182243666659,0.0739005417956,0.1074128453353,0.0987684225629,0.075301228484,0.076109367391,0.0310149479296,0.0747546670681,0.0862114400963,0.062995292324,0.073893578806,0.0747267519689,0.0749336796717,0.0765051439684,0.0738761391785,0.0865264212492,0.0323868089772,0.0726351485764,0.0307773801012,0.0339216206244,0.0343611471009,0.0232185384714,0.0167979690134,0.0858180563544,0.034253584648,0.060359961907,0.0274171992611,0.0760540375479,0.0219821480928,0.0214669019983,0,0.0228196956367,0.0313370375888,0.0755384143359,0.0772795239913,0.035912077299,0.0153614352752,0.0213792508104,0.0756268340668
"1642.MS00424",0.0181408477242,0.0241367511158,0.0673709177095,0.1448186902954,0.0930651339981,0.066767995057,0.0672547018483,0.0192189403568,0.0728338754136,0.0875299904086,0.058160416422,0.064672928172,0.0691219942369,0.0731601812707,0.0755518476021,0.0683927383916,0.0873138643956,0.0231420292421,0.0689274678744,0.0201985801952,0.0224408298522,0.0199152361725,0.0185491342923,0.02192092687,0.072263507374,0.0199466606305,0.0563796364146,0.0184472264484,0.071331133117,0.0191797394624,0.0184478946999,0.0228196956367,0,0.0197792531036,0.0709749674822,0.0776207124545,0.0230102781865,0.0227372445335,0.0189441657307,0.0703965825849
