"","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00356","1642.MS00547","2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00459","1642.MS00595","1642.MS00519","1642.MS00597","1001.SKD7","1642.MS00593","1642.MS00601","1642.MS00426","2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00377","1642.MS00483","2382.SH007.C6.RH.3.513.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00629","1642.MS00493","1642.MS00613","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00611","1642.MS00525","1642.MS00577","2382.MU002.C3.HA.1.63.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00397","1642.MS00394","1642.MS00449","1642.MS00585","2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.368.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00631","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00399","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1001.SKB7","1642.MS00447","2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00554"
"1001.SKD7",0.9614,0.9836,0.985,0.9676,0.9592,0.9598,0.9814,0.9766,0.9838,0.9802,0,0.9852,0.9866,0.9762,0.9698,0.9802,0.9826,0.9586,0.9792,0.98,0.9888,0.97,0.9808,0.9842,0.9856,0.9626,0.983,0.9756,0.9846,0.981,0.9814,0.9446,0.9898,0.9462,0.9826,0.9638,0.7372,0.984,0.9552,0.9838
"1642.MS00593",0.9464,0.7902,0.6004,0.9112,0.9458,0.9598,0.601,0.5894,0.5624,0.5844,0.9852,0,0.5764,0.622,0.9612,0.7334,0.6532,0.9632,0.6738,0.5968,0.7554,0.943,0.6142,0.5596,0.5776,0.943,0.617,0.6316,0.6448,0.566,0.9244,0.9462,0.7424,0.9578,0.6338,0.942,0.993,0.646,0.9276,0.5322
"1642.MS00601",0.9476,0.7684,0.531,0.8838,0.9488,0.9646,0.5146,0.539,0.5732,0.465,0.9866,0.5764,0,0.5602,0.963,0.717,0.568,0.9596,0.5698,0.5156,0.6596,0.9398,0.5504,0.4866,0.5364,0.9374,0.5822,0.5292,0.5414,0.4902,0.8906,0.9496,0.6272,0.9608,0.6426,0.94,0.9952,0.567,0.902,0.5614
"1642.MS00426",0.926,0.641,0.5486,0.862,0.9292,0.949,0.5354,0.5806,0.6026,0.5258,0.9762,0.622,0.5602,0,0.9506,0.5844,0.5524,0.944,0.5854,0.5002,0.6942,0.92,0.5814,0.519,0.5698,0.9222,0.5168,0.4744,0.5364,0.56,0.8794,0.9348,0.6678,0.937,0.5788,0.9194,0.9934,0.5888,0.8864,0.5818
"2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences",0.6332,0.9718,0.9514,0.9108,0.6714,0.5804,0.9564,0.9482,0.966,0.9542,0.9698,0.9612,0.963,0.9506,0,0.9644,0.9638,0.6444,0.9516,0.9534,0.9574,0.6672,0.956,0.9646,0.959,0.6522,0.9544,0.9538,0.957,0.9534,0.8784,0.882,0.9604,0.6602,0.9638,0.5798,0.9876,0.9642,0.8736,0.9692
"1642.MS00377",0.9404,0.5826,0.6838,0.9192,0.94,0.9616,0.6844,0.7188,0.6906,0.6968,0.9802,0.7334,0.717,0.5844,0.9644,0,0.6802,0.9572,0.7456,0.6606,0.795,0.942,0.7138,0.6556,0.6746,0.9392,0.609,0.639,0.6666,0.7098,0.9216,0.9356,0.7776,0.9542,0.6258,0.9376,0.9884,0.668,0.9272,0.6876
"1642.MS00483",0.946,0.751,0.5366,0.9014,0.946,0.9648,0.548,0.6048,0.5718,0.529,0.9826,0.6532,0.568,0.5524,0.9638,0.6802,0,0.9594,0.607,0.4964,0.6358,0.9388,0.5468,0.5044,0.557,0.9406,0.5352,0.5508,0.512,0.54,0.9114,0.952,0.6742,0.9622,0.5904,0.94,0.9874,0.5532,0.92,0.5414
"2382.SH007.C6.RH.3.513.root.4.12.lane7.NoIndex.L007.sequences",0.5226,0.9674,0.9464,0.8876,0.6514,0.4742,0.9576,0.9246,0.9616,0.9488,0.9586,0.9632,0.9596,0.944,0.6444,0.9572,0.9594,0,0.9468,0.944,0.9594,0.6998,0.9538,0.9586,0.9502,0.6656,0.9486,0.9488,0.9468,0.9542,0.8726,0.7708,0.963,0.5698,0.9486,0.6648,0.9728,0.9642,0.8634,0.9618
"1642.MS00629",0.9292,0.778,0.5432,0.8426,0.9286,0.955,0.529,0.6038,0.693,0.5022,0.9792,0.6738,0.5698,0.5854,0.9516,0.7456,0.607,0.9468,0,0.5348,0.5546,0.9176,0.5278,0.5592,0.6002,0.9236,0.609,0.5476,0.5768,0.527,0.867,0.9332,0.545,0.9452,0.689,0.9196,0.9916,0.648,0.8704,0.6542
"1642.MS00493",0.927,0.7362,0.485,0.8662,0.9338,0.9534,0.475,0.5662,0.5728,0.4648,0.98,0.5968,0.5156,0.5002,0.9534,0.6606,0.4964,0.944,0.5348,0,0.6056,0.9188,0.5024,0.4784,0.5142,0.9206,0.5154,0.4816,0.4942,0.4838,0.8754,0.9356,0.611,0.9418,0.5758,0.9258,0.9924,0.5518,0.8866,0.5448
"1642.MS00613",0.9452,0.8396,0.6426,0.8638,0.9488,0.9656,0.6198,0.7158,0.7502,0.5964,0.9888,0.7554,0.6596,0.6942,0.9574,0.795,0.6358,0.9594,0.5546,0.6056,0,0.9362,0.5762,0.645,0.6948,0.9364,0.6652,0.6698,0.6018,0.6192,0.8834,0.9572,0.5376,0.968,0.753,0.937,0.9958,0.6812,0.9034,0.7184
"2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences",0.6576,0.9502,0.923,0.8626,0.7184,0.6952,0.9298,0.9162,0.947,0.9242,0.97,0.943,0.9398,0.92,0.6672,0.942,0.9388,0.6998,0.9176,0.9188,0.9362,0,0.9262,0.9388,0.9338,0.7232,0.9216,0.924,0.9262,0.9276,0.8302,0.8518,0.943,0.7146,0.936,0.6798,0.9846,0.949,0.8284,0.9452
"1642.MS00611",0.937,0.7764,0.5364,0.8658,0.935,0.957,0.5008,0.5606,0.6356,0.4804,0.9808,0.6142,0.5504,0.5814,0.956,0.7138,0.5468,0.9538,0.5278,0.5024,0.5762,0.9262,0,0.522,0.5716,0.9262,0.5616,0.5506,0.5174,0.4752,0.8838,0.9354,0.6126,0.9512,0.643,0.9244,0.9842,0.5914,0.8962,0.5974
"1642.MS00525",0.9454,0.7088,0.5062,0.8828,0.9458,0.9658,0.5076,0.5494,0.496,0.4716,0.9842,0.5596,0.4866,0.519,0.9646,0.6556,0.5044,0.9586,0.5592,0.4784,0.645,0.9388,0.522,0,0.497,0.9394,0.494,0.51,0.5054,0.4916,0.894,0.9478,0.6374,0.9608,0.546,0.9436,0.993,0.5396,0.9032,0.5144
"1642.MS00577",0.9376,0.6544,0.5208,0.8948,0.941,0.9574,0.558,0.5998,0.4852,0.5338,0.9856,0.5776,0.5364,0.5698,0.959,0.6746,0.557,0.9502,0.6002,0.5142,0.6948,0.9338,0.5716,0.497,0,0.9332,0.4754,0.5668,0.5758,0.5464,0.9058,0.9444,0.6866,0.9524,0.5014,0.933,0.9942,0.597,0.9102,0.5138
