"","2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00631","1642.MS00593","1642.MS00525","2382.MU002.C3.HA.1.63.root.6.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00399","1642.MS00356","1642.MS00554","1642.MS00601","1642.MS00449","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1001.SKD7","1642.MS00493","1642.MS00397","1642.MS00613","1642.MS00611","2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences","1001.SKB7","1642.MS00394","1642.MS00595","2382.HE003.C181.HA.4.368.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00426","1642.MS00547","1642.MS00597","1642.MS00377","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00447","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00629","2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00577","1642.MS00585","1642.MS00459","1642.MS00519","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.513.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00483"
"1642.MS00449",0.0869890044301,0.0341555057888,0.0279804727357,0.0218658480065,0.0933358240906,0.1011968570436,0.0209795514486,0.0403263352941,0.025503288855,0.0246684996598,0,0.0949531556163,0.1062886335303,0.1184700022701,0.1558685047739,0.0227212045326,0.0216118009205,0.0304553476001,0.0247145870486,0.0857350111064,0.167438396275,0.0231332216103,0.0300461577814,0.0936166062388,0.0259048253246,0.0223913721725,0.0236194466658,0.0317173324551,0.1065667167828,0.0247134637224,0.0927017244022,0.0286858285471,0.0763836902232,0.0237843927215,0.0233686544866,0.0215851155684,0.0249395432616,0.1202642448117,0.0991125516286,0.0226650162874
"2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences",0.0407155254152,0.089950164945,0.1095500269696,0.0956828345173,0.0147822420829,0.0144853855974,0.0896841130804,0.0793450474785,0.1033032987037,0.0980687811531,0.0949531556163,0,0.0163008179881,0.0182912165287,0.0881839775572,0.0900810351023,0.0814369040141,0.1044305852183,0.0924503854033,0.0403040114803,0.0967028158389,0.0932629123818,0.0796633950741,0.0327637427268,0.0837866163012,0.09406748046,0.0890536101543,0.0919848913047,0.0225026808348,0.107924333285,0.0216565181665,0.085492082933,0.0390636611255,0.0897998671406,0.0914122922252,0.0941712962797,0.0978395985998,0.0232084780326,0.0211154862631,0.1046722297487
"2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences",0.0490523465131,0.0955066504419,0.1142377610774,0.1009262712876,0.0197725237756,0.018986986194,0.0996258865717,0.095187971572,0.1108166024279,0.1071105834815,0.1062886335303,0.0163008179881,0,0.0224734110034,0.0920718929693,0.1001407816719,0.092758298302,0.1110579928831,0.101743368499,0.0507795022913,0.1074744383976,0.1006463043887,0.0909292695943,0.0428929542811,0.0934054427066,0.1025041479045,0.0978705974364,0.1060260947989,0.0271094450376,0.1181242364155,0.0250625097006,0.0947907822713,0.0524189893535,0.0978045013766,0.1011172503746,0.1065694081478,0.1059439692786,0.026909253884,0.0236675694061,0.114087656821
"2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences",0.0523610609842,0.1044176150142,0.1283282766855,0.1106113612709,0.0218128076038,0.0180075814681,0.1096621633189,0.0968072977617,0.1244672711828,0.120599958876,0.1184700022701,0.0182912165287,0.0224734110034,0,0.0756624678229,0.1101221021308,0.1032867862858,0.1248272303291,0.1113622821534,0.055988376885,0.0832538578765,0.1135759973799,0.1029626212828,0.0347774248201,0.1031944164781,0.1155611910825,0.1073122103755,0.1115968296061,0.0206420828454,0.132193084184,0.0241885360519,0.1074327874877,0.0539711193057,0.111004915611,0.1166268520438,0.1183485125269,0.1210256108069,0.0179133140159,0.0151974365692,0.1284062089922
"1001.SKD7",0.1084330646796,0.163121550884,0.167421263363,0.1543605747038,0.09539989006,0.0934178803132,0.1408080640616,0.1209219241276,0.1593475551769,0.166451680681,0.1558685047739,0.0881839775572,0.0920718929693,0.0756624678229,0,0.1545553035361,0.1360139137113,0.1744520969423,0.1618901377726,0.1230682053826,0.0281649659966,0.1470802295979,0.1378055198935,0.0759594171958,0.1415691586178,0.1537588445956,0.1581538518801,0.1363213877413,0.0958221532675,0.1687738021596,0.0859499782476,0.1517229722492,0.1181592289374,0.1518829109559,0.1664006047634,0.1590769974689,0.1568723111354,0.0864014980743,0.0828234568324,0.1676587267936
"1642.MS00493",0.081426394042,0.0276725282833,0.0274414685434,0.0221742108753,0.0871145392095,0.0936743748911,0.0248278460117,0.0401779580656,0.0257024168207,0.0239761939509,0.0227212045326,0.0900810351023,0.1001407816719,0.1101221021308,0.1545553035361,0,0.0225736652998,0.0295072474336,0.0235081868126,0.0806575467836,0.1706156650237,0.0222091857399,0.0283348213871,0.0901089168693,0.0251483023217,0.0219548562118,0.0215850157033,0.0343994247826,0.0974182237898,0.0291333156925,0.0888365661632,0.0258854018849,0.0709416546619,0.0230946192331,0.02262387182,0.0200287009212,0.0256875261115,0.1090597469682,0.0945609456133,0.0223364519192
"1642.MS00397",0.0775692388164,0.0309725603769,0.0243639341688,0.0228863123726,0.0812180816289,0.0844569380018,0.0195429341605,0.0299613121704,0.0244652206862,0.0253382978449,0.0216118009205,0.0814369040141,0.092758298302,0.1032867862858,0.1360139137113,0.0225736652998,0,0.0327657791087,0.0243436015184,0.0758912478263,0.1459760024835,0.0210380523022,0.0270974373994,0.0785672899037,0.0219189819128,0.0228450874963,0.0241336906507,0.0244324571649,0.090815591158,0.0265126678059,0.080740002264,0.0279287401825,0.0657954192249,0.0208891063522,0.0238880765,0.0206099967696,0.0247604833802,0.1019505300451,0.0844806004512,0.023160183169
"1642.MS00613",0.0914577739746,0.0253881476519,0.0407664261616,0.0310570808492,0.1021421063996,0.1149168509649,0.0363540957534,0.0584176694165,0.0368500662925,0.0349928942213,0.0304553476001,0.1044305852183,0.1110579928831,0.1248272303291,0.1744520969423,0.0295072474336,0.0327657791087,0,0.0295672379895,0.082356880003,0.1748990501735,0.0358740807027,0.0396539244397,0.1098019993782,0.0394165046948,0.0329807680794,0.0271762879126,0.0486310151669,0.1164019971753,0.0392164951426,0.1000743804295,0.027501391255,0.0797802865878,0.0317835377703,0.0300644196282,0.0314696687337,0.038110330662,0.1320113633786,0.1083842275392,0.0306200962695
"1642.MS00611",0.0852320100845,0.0309999235188,0.0267112828085,0.0234244117671,0.0876026396403,0.0980405508282,0.0293781411725,0.0476965030303,0.0264203378837,0.0266140496126,0.0247145870486,0.0924503854033,0.101743368499,0.1113622821534,0.1618901377726,0.0235081868126,0.0243436015184,0.0295672379895,0,0.0833438515945,0.1769422897232,0.0281772927802,0.0268475794861,0.0907130627536,0.0321561843241,0.024323578546,0.0246048702697,0.0427912561555,0.1023775636153,0.0327716600681,0.0899044501204,0.0269379990967,0.0752568075074,0.0243036322446,0.0197761569305,0.0213023248169,0.0294561566189,0.1155379225271,0.0955676366424,0.0254996231702
"2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0267730504292,0.0756575076493,0.1019950466091,0.0833186007297,0.0375584108599,0.0494767442575,0.0878187658981,0.0832788474396,0.0985432904962,0.0909415628858,0.0857350111064,0.0403040114803,0.0507795022913,0.055988376885,0.1230682053826,0.0806575467836,0.0758912478263,0.082356880003,0.0833438515945,0,0.1390594344047,0.0800637673093,0.0742947720742,0.0501309465666,0.077529758556,0.087625354837,0.0816549461633,0.0903662720173,0.0499120507954,0.101741196751,0.0383618524049,0.0744103898642,0.0324204909929,0.086778154134,0.0834402821681,0.0856223050565,0.0971255559679,0.064599234934,0.0470786692469,0.0951255230194
