"","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00356","1642.MS00547","2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00459","1642.MS00595","1642.MS00519","1642.MS00597","1001.SKD7","1642.MS00593","1642.MS00601","1642.MS00426","2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00377","1642.MS00483","2382.SH007.C6.RH.3.513.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00629","1642.MS00493","1642.MS00613","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00611","1642.MS00525","1642.MS00577","2382.MU002.C3.HA.1.63.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00397","1642.MS00394","1642.MS00449","1642.MS00585","2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.368.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00631","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00399","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1001.SKB7","1642.MS00447","2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00554"
"2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences",-0.998,1,1,1,-0.942,-1,1,1,1,1,1,1,1,1,0,1,1,-0.992,1,1,1,-0.958,1,1,1,-0.982,1,1,1,1,1,1,1,-0.994,1,-1,1,1,1,1
"1642.MS00377",1,-0.656,1,1,1,1,0.993,1,0.996,1,1,1,1,-0.172,1,0,0.982,1,1,0.972,1,1,1,0.926,0.984,1,0.143,0.806,0.978,1,1,1,1,1,0.501,1,1,0.976,1,0.99
"1642.MS00483",1,1,-0.655,1,1,1,-0.442,0.762,-0.128,-0.63,1,0.976,0.0509999999999999,-0.288,1,0.982,0,1,0.83,-0.942,0.907,1,-0.375,-0.927,-0.358,1,-0.749,-0.359,-0.87,-0.534,1,1,0.992,1,0.162,1,1,-0.323,1,-0.644
"2382.SH007.C6.RH.3.513.root.4.12.lane7.NoIndex.L007.sequences",-1,1,1,0.998,-0.986,-1,1,1,1,1,1,1,1,1,-0.992,1,1,0,1,1,1,-0.89,1,1,1,-0.974,1,1,1,1,1,-0.396,1,-1,1,-0.974,0.97,1,0.996,1
"1642.MS00629",1,1,-0.38,1,1,1,-0.619,0.882,1,-0.815,1,1,0.334,0.695,1,1,0.83,1,0,-0.344,-0.41,1,-0.544,0.0780000000000001,0.729,1,0.818,-0.193,0.459,-0.607,1,1,-0.833,1,1,1,1,0.998,1,1
"1642.MS00493",1,1,-0.979,1,1,1,-0.992,0.277,0.032,-0.998,1,0.446,-0.792,-0.888,1,0.972,-0.942,1,-0.344,0,0.643,1,-0.875,-0.986,-0.859,1,-0.852,-0.982,-0.905,-0.978,1,1,0.443,1,0.0289999999999999,1,1,-0.112,1,-0.475
"1642.MS00613",1,1,0.942,1,1,1,0.734,1,1,0.506,1,1,0.993,1,1,1,0.907,1,-0.41,0.643,0,1,0.038,0.966,1,1,0.992,0.996,0.524,0.842,1,1,-0.93,1,1,1,1,1,1,1
"2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences",-0.968,1,1,1,-0.768,-0.986,1,1,1,1,1,1,1,1,-0.958,1,1,-0.89,1,1,1,0,1,1,1,-0.44,1,1,1,1,1,0.998,1,-0.956,1,-0.874,1,1,0.999,1
"1642.MS00611",1,1,-0.562,1,1,1,-0.933,0.0569999999999999,0.954,-0.959,1,0.774,-0.217,0.551,1,1,-0.375,1,-0.544,-0.875,0.038,1,0,-0.741,0.056,1,-0.122,-0.187,-0.717,-0.996,1,1,0.464,1,0.968,1,1,0.634,1,0.588
"1642.MS00525",1,1,-0.93,1,1,1,-0.911,-0.278,-0.984,-0.992,1,-0.441,-0.969,-0.779,1,0.926,-0.927,1,0.0780000000000001,-0.986,0.966,1,-0.741,0,-0.954,1,-0.982,-0.898,-0.875,-0.974,1,1,0.802,1,-0.624,1,1,-0.493,1,-0.895
