"","2382.SH005.C3.RH.4.667.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00631","1642.MS00593","1642.MS00525","2382.MU002.C3.HA.1.63.root.6.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00399","1642.MS00356","1642.MS00554","1642.MS00601","1642.MS00449","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1001.SKD7","1642.MS00493","1642.MS00397","1642.MS00613","1642.MS00611","2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences","1001.SKB7","1642.MS00394","1642.MS00595","2382.HE003.C181.HA.4.368.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00426","1642.MS00547","1642.MS00597","1642.MS00377","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00447","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00629","2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00577","1642.MS00585","1642.MS00459","1642.MS00519","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.513.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00483"
"1642.MS00449",7.07420427021149,-1.5682973024013,-5.31796573985006,-3.41506970210267,0.681579794000146,0.785254017208169,-5.19334440795076,-1.6804141044594,-4.85596022631007,-4.60164866530407,NA,0.470636095455052,0.80563926763891,0.696932635809562,3.12236513597329,-2.41024959617185,-3.88845754572243,-2.49183633749119,-1.91894980431607,6.51690614343301,1.84171175082111,-2.31028230283383,-2.53235741663668,1.18461764170373,-2.02554064695886,-1.84415802880717,-3.10829776631149,-2.7189340035158,1.81297888565701,-0.755633223022413,0.324113881464772,-2.26076576077623,2.04570609033166,-4.22493727328491,-3.9251080284256,-4.6916808567469,-5.09628646863974,1.40852460338475,-0.109747503772057,-2.73004267618011
"2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences",-7.38145475184576,-1.13028158247818,2.54368364817175,-0.118043318784574,-6.83783697772171,-7.68528448390938,-0.842190749862114,-2.08054177946846,1.1498623280593,0.753562383467083,0.470636095455052,NA,-8.05910203578077,-6.77885190227509,-4.41662141623827,-0.0533304143870101,-1.58648026112229,1.10300761793314,0.166064177936909,-6.54230936491908,-3.56553574532804,-0.136776368909145,-1.35806431745526,-6.32457418305912,-1.00832294402491,0.177752803984908,-0.390269549603461,-0.939659566097238,-6.92631415459616,1.91327078434767,-4.73016584546185,-0.746930396928367,-6.24800984139098,-0.561242792946709,-0.129323154600611,0.282780547801495,0.0880840761733209,-5.51508145252726,-7.21957508705338,1.65695581148774
"2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences",-6.31688102243477,-1.23753080495748,1.30036927599656,-0.307010188737551,-7.38117572238893,-4.57522877874812,-0.526707551957999,-1.45791011117247,0.956547201332391,0.794521463969663,0.80563926763891,-8.05910203578077,NA,-5.45692345964124,-4.30331678886701,0.192066885274435,-1.03557342441627,1.06515451128187,0.130279487557654,-4.83977440866973,-3.62274226309139,-0.225202033396,-1.12032293358759,-6.16926617973469,-0.909369694189867,0.159248568193444,-0.360814499137513,-0.300138745594661,-6.61429386423278,2.11988576773975,-5.27898652366818,-0.5413014181378,-5.27330384569485,-0.602685543309385,0.194874364616601,0.810050279477238,0.0766538655329138,-5.54690152273982,-6.16687424992078,1.53834848405885
"2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences",-6.99267556398113,-0.923248274521084,1.22994609542562,-0.225795928126391,-6.84054124398316,-7.77273269481002,-0.274011319011982,-1.2747135841644,0.868197896593772,0.720049444035061,0.696932635809562,-6.77885190227509,-5.45692345964124,NA,-3.98888067484061,0.0684319682609439,-0.641829546591353,0.901356735793283,0.01761776791331,-3.62421618948644,-4.02565593510097,0.122125238579032,-0.361614532998844,-5.99202891113386,-0.482713031470237,0.288102109298663,-0.325888647208914,-0.502797458914297,-5.82456643712236,1.52846432011666,-5.05926744700121,-0.210583237614926,-3.57295794047721,-0.146925967851494,0.469334287946221,0.492141944734573,0.457717730474895,-6.05609849400295,-5.03999516675333,1.28610255194925
"1001.SKD7",-2.06197019819439,3.04049129768389,3.88631015624016,2.37865254733841,-3.71343077646397,-4.1115335489213,0.348193991928781,-1.34547169587478,2.95232923474712,4.23100167480879,3.12236513597329,-4.41662141623827,-4.30331678886701,-3.98888067484061,NA,2.84771037918124,0.276495820578464,4.9953384285898,3.63139404031173,-1.70344218199683,-4.41440464970472,1.84688773299936,1.21788450392605,-4.73107774599584,1.23686597479434,2.06463113170996,3.52718865789848,-0.176057956221268,-3.90089987613038,4.75208011151546,-4.58815264076028,2.89451299621512,-1.77452979100831,1.59612959456962,4.49313560845208,3.16465524237953,2.02670930184291,-4.22920720740425,-4.38407967450234,4.18688240852714
"1642.MS00493",4.30308558980083,-4.37206001903106,-4.33833984300636,-2.99690357312334,-0.0315391186656119,-0.101528292095092,-3.46283499484069,-2.11971728158679,-3.21235233102863,-3.96789326920041,-2.41024959617185,-0.0533304143870101,0.192066885274435,0.0684319682609439,2.84771037918124,NA,-4.01080208905815,-2.54809645191749,-2.19287032064036,4.66991052186195,2.01910630241461,-3.39077133465318,-2.31334550768522,0.869871054974404,-2.78924009429648,-2.313785655907,-4.17508685362222,-2.32813336895903,0.690338718084531,-0.610312107114265,0.090741943863399,-2.03301016487005,1.67129649650607,-2.82229920508709,-3.8363896153445,-5.20240264334479,-3.51422090503621,0.528240989459047,-0.565047903949388,-3.9416256488964
"1642.MS00397",0.520286240889268,-4.58564137499747,-6.8161640849212,-3.92134523140112,-1.21486599716058,-1.52739601847231,-6.32681698422659,-4.4975571498433,-4.73572514275268,-5.10255266916646,-3.88845754572243,-1.58648026112229,-1.03557342441627,-0.641829546591353,0.276495820578464,-4.01080208905815,NA,-2.87759916158889,-3.58283730481046,0.347584430218871,0.0464486329861728,-4.60601183939718,-4.04425007389413,-1.46454132535362,-5.48195112328664,-1.80861332895275,-4.74107229066518,-4.13596076765644,-0.734270860748095,-2.47997825439495,-1.33565152448356,-4.78452091580767,-0.624806614945485,-6.11105139161431,-5.13676642656713,-6.49287187257918,-4.16240145377155,-0.720289210997819,-1.81949177374832,-3.90583734340275
"1642.MS00613",6.08827581024949,-3.03953928021809,-3.90522759679954,-2.48024306019871,1.0822399506476,1.62018722770586,-3.52117681815174,-0.140231436740162,-2.73375861701844,-2.54966695620582,-2.49183633749119,1.10300761793314,1.06515451128187,0.901356735793283,4.9953384285898,-2.54809645191749,-2.87759916158889,NA,-1.81361507949487,3.71344786631459,2.30802244044721,-1.74959427579467,-2.02792593092983,2.03901689974217,-0.740180513428542,0.475730668710139,-4.516286558612,-1.77973932398697,2.44616513176565,-0.639962305226776,1.00107632260576,-2.09583968521522,2.86492397851179,-3.7052152317139,-3.79286991446319,-3.40883893425843,-3.34024045528614,2.3109459205703,0.424508603241968,-2.63753524319295
"1642.MS00611",5.44743682787583,-1.85371300649256,-5.85483935910502,-3.07082408635658,-0.287534342687754,0.342541916583893,-2.84247382768593,-1.1264919974996,-4.21956134308805,-2.16332336221751,-1.91894980431607,0.166064177936909,0.130279487557654,0.01761776791331,3.63139404031173,-2.19287032064036,-3.58283730481046,-1.81361507949487,NA,5.23462913163272,2.43012847630748,-1.36114283201146,-2.91562458143766,1.21933235819993,-0.67249973331245,-2.08327013811882,-1.24030706637949,-1.57694986036093,1.13594108086264,-0.756667663890008,-0.0741081465476595,-2.10059580267903,3.32461284568791,-2.83331497945564,-6.61236822364066,-4.6582339945629,-3.19697118763743,0.927275365484895,-0.740871242272885,-1.84360216930201
"2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences",-10.3590114855424,1.13694388718385,9.08459592542239,3.13616725770337,-5.71017133846278,-5.04621372365399,1.41270411152132,0.150100815618753,6.48425715804556,7.87567562610352,6.51690614343301,-6.54230936491908,-4.83977440866973,-3.62421618948644,-1.70344218199683,4.66991052186195,0.347584430218871,3.71344786631459,5.23462913163272,NA,-1.44350412862244,3.58686311570852,1.35941280910387,-6.26201910886412,2.97460811074187,3.81896182708792,4.50462388679607,2.44895580168953,-5.14782951880175,9.55064421065247,-5.24017763263358,3.0948460565115,-8.42125412427792,2.18019912837965,5.39162691735692,6.28971710211153,3.74083551494264,-4.29580765355358,-4.24557229114669,6.25986888730827
