"","2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00593","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00432","1642.MS00547","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.3.51.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00448","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.587.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00635","2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00621","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00374","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00552","2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00385","2382.MU002.C3.HA.1.63.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00523","1642.MS00368","1642.MS00622","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00629","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.787.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00339","1642.MS00357","1642.MS00394","2382.RU006.C181.RH.3.151.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00448",0.125326058605,0.0295755170366,0.1107560441148,0.1201595780968,0.0263906911825,0.027107218308,0.1052885327244,0.1304885890321,0.1095022334278,0.111449682921,0,0.1109822416515,0.1013338168846,0.1146181021925,0.0287628656299,0.1244806725642,0.0292633754847,0.1114266365409,0.1244249464426,0.0459163347083,0.12466086647,0.0252135884535,0.1206777926687,0.0287534996578,0.1091056293029,0.1168970325743,0.0246898124879,0.0377009656777,0.0289236317052,0.1289781252704,0.1190226546275,0.1091808568892,0.0384156539986,0.1129671202438,0.106975191708,0.0288611886695,0.0318879491142,0.027578690166,0.1106709734765,0.1128831917326
"2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences",0.0190822339834,0.1128604822517,0.0520839904561,0.0250486448391,0.0903366855064,0.0992665447458,0.0211162431172,0.0247040158329,0.0407408336721,0.0262082953731,0.1109822416515,0,0.0431808790738,0.0131962153391,0.1025129695016,0.0259361061708,0.1048312018696,0.0377112187654,0.0204074260355,0.1044582765199,0.0257094118709,0.1103948995374,0.0213736219435,0.0801395254962,0.0217841932495,0.0238905282563,0.1156765703375,0.0847956198675,0.0993142218855,0.0216661991909,0.0236696047357,0.023730094324,0.0890611479971,0.0392630139161,0.0416573629455,0.0857193758631,0.0867316471737,0.0949129843023,0.0469803917926,0.0425481343535
"2382.RU006.C181.RH.3.587.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0523130609037,0.1045276076167,0.0421892913431,0.0432970352369,0.0784533603878,0.0902560535501,0.0383557752348,0.0560932921874,0.0300728410384,0.0432316629265,0.1013338168846,0.0431808790738,0,0.0440978200842,0.0932163312947,0.0553895900786,0.0903274258696,0.0385368594402,0.0528037976276,0.0844789409059,0.0468423458303,0.104474839602,0.0547878918691,0.0740970582139,0.0443440839314,0.039091769595,0.1052068908796,0.0779934710828,0.0900693696966,0.0579265143178,0.0473002697879,0.0469041384204,0.07790049843,0.043366571836,0.025510849717,0.07804468492,0.0793393300663,0.079818878414,0.032114515216,0.0335606932447
"2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences",0.0171851967588,0.1147417224159,0.0549275718946,0.0264983464605,0.0941816425271,0.1031253595636,0.020374491595,0.0221352578147,0.0461671188437,0.0255847122235,0.1146181021925,0.0131962153391,0.0440978200842,0,0.1072476770373,0.0213415060613,0.1072576683373,0.0352059984397,0.0167618631823,0.1001033328144,0.0275797783162,0.1152538508353,0.0243173620792,0.0853413273616,0.0210430772156,0.0238659804091,0.118727381117,0.0919564206312,0.1025363155447,0.0208602754403,0.0231216713139,0.0225217589488,0.092803466492,0.0436339324889,0.0456241282304,0.089630730053,0.0921301939098,0.100414100559,0.0510393396185,0.0429491485506
"1642.MS00635",0.116478065999,0.0241173091631,0.101470739721,0.1122846947608,0.0278424922766,0.0250533022343,0.0999089930594,0.1235801347695,0.0987940002775,0.1051882409843,0.0287628656299,0.1025129695016,0.0932163312947,0.1072476770373,0,0.1213663907426,0.0241719418072,0.0993526638216,0.1173474453005,0.0466145556382,0.1230263384135,0.0233480525287,0.111104391562,0.0322713993513,0.1042178112328,0.105375530194,0.029326658117,0.0487296737546,0.0265849901421,0.1199253500924,0.1121824893299,0.101539166853,0.0320483890007,0.1035155398721,0.0988383200627,0.0354251071644,0.03876719598,0.0296337973553,0.1049663073746,0.1021141496999
"2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences",0.0237837083931,0.125313538724,0.0653234143667,0.0286204886397,0.103648054547,0.1159331989704,0.0325319680978,0.0113796367963,0.0560759331104,0.0174230143352,0.1244806725642,0.0259361061708,0.0553895900786,0.0213415060613,0.1213663907426,0,0.1227586978157,0.0412043768907,0.02235499347,0.1160812765893,0.0211261147147,0.1234301179778,0.0345832469852,0.0951433616698,0.0251654369018,0.0232597628086,0.1319357863711,0.0946673691186,0.1176076735717,0.0283556981308,0.0168855615708,0.0239297222102,0.1086852312737,0.0594638664878,0.0581669153103,0.0902952104057,0.0992172746596,0.1133336241254,0.0524208992689,0.0523972740193
"1642.MS00621",0.1150034243335,0.027864079387,0.0966209999683,0.1146551190932,0.0265567398001,0.0229996015648,0.0990810587444,0.1294785409285,0.0938503400277,0.1074316093675,0.0292633754847,0.1048312018696,0.0903274258696,0.1072576683373,0.0241719418072,0.1227586978157,0,0.0953223136077,0.1200793560422,0.0446708561193,0.1225483516801,0.0276445716454,0.1079782037055,0.0314528102056,0.1057591424143,0.108105543116,0.0269456543237,0.0429716483349,0.0230735244453,0.1201497842569,0.1160376373326,0.1050067278753,0.0267188880307,0.097144341523,0.0919057098202,0.0365238219957,0.0349839031708,0.0266073211941,0.1068147437517,0.0966629564522
"2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0446801877928,0.1091846508554,0.0323418101692,0.0448583858181,0.0872480220003,0.0961291581763,0.0347188546479,0.0413829229415,0.0353031899599,0.0359035357654,0.1114266365409,0.0377112187654,0.0385368594402,0.0352059984397,0.0993526638216,0.0412043768907,0.0953223136077,0,0.0424875045691,0.0982590673114,0.0473145799325,0.1119177940968,0.0457730298814,0.0810946378757,0.0402761156847,0.0252306020068,0.1144238338286,0.0920363684096,0.0979436827519,0.0524019474344,0.0321817463493,0.0395301939627,0.0834816595951,0.0280478730614,0.0371855023497,0.0856787667521,0.0868414922652,0.0892238287554,0.0549341746116,0.0317843453115
"2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences",0.0207493378619,0.1254299035399,0.0595190963133,0.0279468997687,0.1035096898043,0.1124012505039,0.0274196284999,0.0205306954388,0.0562936492996,0.0252446320599,0.1244249464426,0.0204074260355,0.0528037976276,0.0167618631823,0.1173474453005,0.02235499347,0.1200793560422,0.0424875045691,0,0.1161915654236,0.0254393742046,0.1218205672551,0.0187067577251,0.0924178479144,0.0202209757844,0.0262784381221,0.1286381351131,0.0964839885261,0.113840898531,0.0155863316655,0.0209949104339,0.0170033740143,0.1046023676622,0.0511605388692,0.0580144609695,0.0927754330303,0.0965572758666,0.1102412714636,0.0570079823607,0.0533612001991
"1642.MS00374",0.121547721436,0.0438083622757,0.0918742358922,0.1183838199936,0.0483919315776,0.0467417308515,0.1072884899024,0.1056811174154,0.0911396755689,0.1076196018654,0.0459163347083,0.1044582765199,0.0844789409059,0.1001033328144,0.0466145556382,0.1160812765893,0.0446708561193,0.0982590673114,0.1161915654236,0,0.1245757474644,0.0464934300371,0.1004312949151,0.0357896401415,0.107684432314,0.0972269688159,0.0501919450933,0.0494270006506,0.0484074664692,0.1137475817327,0.1129226483099,0.1075868118985,0.0478507257499,0.0983861064916,0.0901451851128,0.0425975675647,0.0446493795693,0.0368284124036,0.0909596801355,0.0921749125139
