"","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00622","1642.MS00621","1642.MS00547","1642.MS00357","2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.787.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.151.root.6.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00385","2382.SH005.C3.RH.3.51.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00593","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.587.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00374","1642.MS00629","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.63.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00432","2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00394","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00448","1642.MS00523","2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00339","1642.MS00552","1642.MS00368","2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00635","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences"
"2382.SH005.C3.RH.3.51.root.6.11.lane1.NoIndex.L001.sequences",0.6918,0.9302,0.9236,0.9288,0.9234,0.7608,0.8566,0.821,0.5664,0.9238,0,0.5262,0.6036,0.942,0.7572,0.8486,0.8384,0.9282,0.9294,0.6342,0.806,0.6548,0.5998,0.9212,0.6116,0.86,0.927,0.7988,0.95,0.9444,0.7434,0.7318,0.6634,0.9348,0.9446,0.947,0.752,0.9268,0.8326,0.813
"2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences",0.7078,0.9546,0.9538,0.953,0.9508,0.7252,0.9256,0.9018,0.5558,0.9496,0.5262,0,0.5344,0.9618,0.7552,0.8966,0.9118,0.9518,0.9528,0.643,0.8614,0.6094,0.6138,0.9496,0.5928,0.9184,0.952,0.7458,0.9658,0.961,0.6952,0.721,0.656,0.9514,0.9626,0.9652,0.7374,0.9522,0.8822,0.8862
"2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences",0.6614,0.9554,0.9526,0.9532,0.9518,0.7042,0.9064,0.8654,0.4928,0.9502,0.6036,0.5344,0,0.9614,0.7132,0.9016,0.9026,0.9534,0.9494,0.6444,0.8674,0.5632,0.5978,0.954,0.527,0.9054,0.9518,0.6898,0.9702,0.9618,0.6584,0.6652,0.6772,0.953,0.9612,0.9712,0.709,0.9538,0.895,0.8754
"1642.MS00593",0.9464,0.6206,0.588,0.6004,0.7042,0.9538,0.9134,0.929,0.9462,0.6452,0.942,0.9618,0.9614,0,0.96,0.9374,0.9016,0.7028,0.6738,0.9438,0.927,0.9532,0.943,0.6374,0.9366,0.9344,0.6316,0.9606,0.638,0.5674,0.9456,0.9402,0.9288,0.702,0.52,0.7984,0.95,0.5152,0.93,0.906
"2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences",0.4598,0.9552,0.9468,0.9512,0.9526,0.5504,0.8892,0.8266,0.7312,0.954,0.7572,0.7552,0.7132,0.96,0,0.9044,0.8982,0.9524,0.9466,0.7314,0.9,0.6894,0.716,0.955,0.6628,0.878,0.9518,0.5922,0.9654,0.9584,0.6526,0.6522,0.6712,0.9492,0.9576,0.9704,0.7266,0.9534,0.8992,0.882
"2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8858,0.8904,0.8964,0.9116,0.917,0.8828,0.7168,0.903,0.7946,0.8986,0.8486,0.8966,0.9016,0.9374,0.9044,0,0.7478,0.9228,0.8914,0.8244,0.594,0.866,0.8286,0.9016,0.7412,0.7244,0.9012,0.883,0.9346,0.923,0.8158,0.8252,0.7346,0.9376,0.9394,0.946,0.8686,0.9144,0.5716,0.6778
"2382.RU006.C181.RH.3.587.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8436,0.8458,0.8468,0.8736,0.8846,0.8948,0.5458,0.743,0.8612,0.8486,0.8384,0.9118,0.9026,0.9016,0.8982,0.7478,0,0.8746,0.8552,0.8412,0.7542,0.8892,0.849,0.855,0.7832,0.6804,0.8458,0.9102,0.8964,0.894,0.8592,0.8416,0.8032,0.9028,0.9062,0.918,0.8856,0.8626,0.7396,0.5784
"1642.MS00374",0.9306,0.6514,0.64,0.6606,0.59,0.949,0.892,0.9056,0.9302,0.587,0.9282,0.9518,0.9534,0.7028,0.9524,0.9228,0.8746,0,0.6822,0.9264,0.922,0.9432,0.9312,0.608,0.9218,0.9166,0.6042,0.9538,0.651,0.6638,0.9346,0.9258,0.9104,0.6458,0.6836,0.6988,0.9428,0.6568,0.9102,0.8876
"1642.MS00629",0.9292,0.484,0.5106,0.5432,0.6786,0.9418,0.8556,0.9048,0.929,0.5912,0.9294,0.9528,0.9494,0.6738,0.9466,0.8914,0.8552,0.6822,0,0.9298,0.886,0.9436,0.9236,0.575,0.9078,0.887,0.5476,0.947,0.6672,0.6126,0.9236,0.9182,0.898,0.7306,0.6686,0.7856,0.9396,0.5794,0.8874,0.8492
"2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences",0.6672,0.9312,0.9272,0.927,0.9256,0.6512,0.871,0.839,0.5594,0.9256,0.6342,0.643,0.6444,0.9438,0.7314,0.8244,0.8412,0.9264,0.9298,0,0.8056,0.4964,0.5824,0.9232,0.5884,0.8806,0.9246,0.605,0.951,0.9446,0.6388,0.633,0.631,0.9358,0.9446,0.9538,0.6236,0.9292,0.822,0.8274
"2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences",0.8682,0.895,0.8898,0.914,0.914,0.8824,0.7642,0.8974,0.7432,0.8898,0.806,0.8614,0.8674,0.927,0.9,0.594,0.7542,0.922,0.886,0.8056,0,0.849,0.8164,0.905,0.6854,0.7056,0.8946,0.875,0.937,0.9286,0.8384,0.8464,0.762,0.9338,0.9348,0.9468,0.8576,0.905,0.6308,0.6578
"2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences",0.6394,0.9498,0.942,0.9458,0.9462,0.6324,0.8924,0.839,0.4892,0.9436,0.6548,0.6094,0.5632,0.9532,0.6894,0.866,0.8892,0.9432,0.9436,0.4964,0.849,0,0.4604,0.9468,0.5624,0.9004,0.942,0.5412,0.9572,0.9558,0.596,0.6044,0.6094,0.948,0.9532,0.9712,0.6044,0.9454,0.8674,0.8692
"2382.MU002.C3.HA.1.63.root.6.11.lane1.NoIndex.L001.sequences",0.6446,0.927,0.9184,0.9244,0.9302,0.6692,0.8546,0.8026,0.536,0.9198,0.5998,0.6138,0.5978,0.943,0.716,0.8286,0.849,0.9312,0.9236,0.5824,0.8164,0.4604,0,0.928,0.5892,0.861,0.9234,0.6302,0.9448,0.9392,0.6368,0.6376,0.5522,0.9366,0.9446,0.9564,0.656,0.927,0.8234,0.8258
"1642.MS00432",0.9314,0.5292,0.516,0.5264,0.5878,0.9508,0.8654,0.8962,0.9272,0.5114,0.9212,0.9496,0.954,0.6374,0.955,0.9016,0.855,0.608,0.575,0.9232,0.905,0.9468,0.928,0,0.915,0.9026,0.4998,0.957,0.5622,0.5558,0.9372,0.925,0.904,0.5976,0.5826,0.6888,0.941,0.5548,0.8864,0.8666
"2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences",0.5906,0.9118,0.9118,0.9168,0.9222,0.63,0.7854,0.8416,0.477,0.9156,0.6116,0.5928,0.527,0.9366,0.6628,0.7412,0.7832,0.9218,0.9078,0.5884,0.6854,0.5624,0.5892,0.915,0,0.7718,0.9168,0.6484,0.944,0.9302,0.5996,0.6014,0.5796,0.932,0.9378,0.9516,0.674,0.917,0.7378,0.7252
