"","2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00593","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00432","1642.MS00547","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.3.51.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00448","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.587.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00635","2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00621","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00374","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00552","2382.MU002.C3.HA.1.678.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00385","2382.MU002.C3.HA.1.63.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00523","1642.MS00368","1642.MS00622","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00629","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.787.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00339","1642.MS00357","1642.MS00394","2382.RU006.C181.RH.3.151.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00448",0.996572213830079,-4.88772865243142,7.34909197459301,1.67086436681019,-2.26110062751735,-2.07230572909228,2.25080995124819,1.44598984916717,9.1662789786783,1.47923094654681,NA,1.63979656360952,6.79597102084279,1.20586148174099,-3.77386960676111,0.238670668082049,-2.71327253271861,7.19041967628427,2.11866828010196,0.876744629165121,0.302755802579227,-5.06936445737901,1.52605401298583,-2.744626480487,1.05290579047454,4.10793479227205,-4.70969841266472,-1.82502577051768,-2.24304999678016,1.56500631900773,2.50324333712912,2.28322647448781,-1.37220893909364,8.33943050808467,7.13651904194926,-3.00952540075571,-2.10406983400933,-3.52649906820997,2.51657574506253,7.09886164846658
"2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences",-3.88340958290377,1.38791874635746,-3.86792522484527,-4.06537022214419,-0.803723470389368,0.299693238259097,-3.87199507220211,-4.09841088610222,-5.8099004811568,-5.04083337228443,1.63979656360952,NA,-5.81813321359198,-6.5402722952143,1.056778110008,-4.69919039239645,1.57129522262708,-6.87986656228232,-4.54644493727276,0.720473205805108,-4.11467992273904,1.38913575445045,-4.87811353844837,-2.18065325616918,-4.48696682569454,-4.81025951457748,2.0196318666211,-1.94523480099332,0.581356044226521,-4.22306562343894,-4.45830031694048,-4.5119427128193,-0.753894936188292,-4.65636009355022,-4.88710546896175,-1.37087891620055,-1.61025533158394,-0.599430692849667,-3.65692007623425,-5.70532456497691
"2382.RU006.C181.RH.3.587.rhizo.4.12.lane7.NoIndex.L007.sequences",-5.48788456106742,8.07221625558901,-6.83589865267394,-6.91099609972048,3.85895802590165,3.36696350081334,-6.27425851198532,-5.1391152013924,-5.70727933587884,-5.51946426725558,6.79597102084279,-5.81813321359198,NA,-5.61983251038625,7.38520891159459,-6.62214384107602,8.45978968580973,-9.14714574570203,-6.12033458824597,1.55338343888097,-6.26189697860372,8.41614385854197,-5.65074410756059,1.47914767471771,-6.04524156440487,-6.1914090398018,9.86702286262574,0.0367414568758591,8.01519937064281,-6.780073882032,-4.72510182159801,-6.73090806809218,1.99746322230571,-6.94013814425462,-5.66083500746299,2.16500137040324,0.82141481763033,2.99431443061383,-7.55319578270708,-8.77179849914571
"2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences",-4.16581651728417,1.0145005724341,-3.22894374781361,-5.08855616321954,-0.803065171519156,0.182297475267125,-6.04536301986383,-5.20303624174622,-5.15108184480418,-5.01623775896751,1.20586148174099,-6.5402722952143,-5.61983251038625,NA,0.978231749244122,-5.28091980050986,1.20065046576609,-7.46473675691842,-5.9899544637258,-0.431684418203854,-4.27846815046569,1.26558213918523,-4.15377298863679,-1.80253720605681,-5.51354681099833,-5.8261846231652,1.88530641810435,-1.72760326301597,0.432947560827275,-4.59412600014209,-4.83337625541083,-6.06644209936498,-0.371734440197352,-3.41924200955217,-4.52604165483321,-1.21490970078981,-1.34100092299489,-0.322494113670222,-3.83012852775353,-5.05802646101807
"1642.MS00635",0.521844873817224,-3.95289332444282,7.33397164120337,1.42970724462674,-3.14055278542564,-1.81545996189704,2.219874788098,1.4877293499366,9.65544230638283,1.71706975983985,-3.77386960676111,1.056778110008,7.38520891159459,0.978231749244122,NA,0.385971222833886,-2.74431664596627,6.40834219010705,2.00406452987671,0.0427140110754248,0.453110286929664,-5.53935550471083,0.992744505571057,-1.3354574566265,1.09116155541217,3.3868757247128,-3.33623963676804,-1.01351170836232,-3.27237427754896,0.896237157301213,2.83122094653682,1.21483519555169,-2.7016004120699,8.38976579462463,6.87414676533283,-2.71560403153463,-1.81763647985675,-2.10211899414646,2.32503073191414,5.75249689280342
"2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences",-6.01178113662118,3.05954357852931,-2.24440782814337,-5.61722783631622,-0.885579825723272,-0.134690234933557,-5.94077823846366,-6.38527419704916,-5.20548205150741,-5.82887998237355,0.238670668082049,-4.69919039239645,-6.62214384107602,-5.28091980050986,0.385971222833886,NA,0.467834111915792,-8.83075229973577,-6.01767322738516,-0.245756788381892,-6.15621336778047,0.182644894980275,-4.4141065371151,-1.40443956172338,-5.37104857742328,-6.90838094928709,0.882044010611378,-1.76099479076952,0.0176039687522338,-4.73686394620143,-6.61651524234471,-7.17310936482837,-0.48873007400259,-4.14938449118346,-5.76334268586347,-1.63023435783601,-1.14425435448305,-0.323494281696728,-4.88649846405248,-3.05695988437614
"1642.MS00621",0.605347963273432,-4.44680331931054,7.55745802088266,1.72601210068143,-2.34900218498007,-3.36391422822663,2.17348544419099,2.25656748564203,9.9188809826454,1.98191771491674,-2.71327253271861,1.57129522262708,8.45978968580973,1.20065046576609,-2.74431664596627,0.467834111915792,NA,6.28015359229621,2.42694621465789,0.189620842045906,0.528659063719358,-3.55860162360275,0.902856230755243,-0.735782714256726,1.50722271119835,4.48914697168119,-1.85650120833881,-1.98556738139267,-3.42400362459429,1.26337928769163,3.35808928749166,1.88605497370064,-3.44281580783292,8.5518433275576,6.58216273704393,-1.8172126030517,-1.74025343753764,-2.12079938438189,3.25185197549464,5.24026284242565
"2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences",-7.22034861520723,6.53703120607654,-6.72197728898015,-7.19907957098128,1.29896860771502,2.41573711559371,-7.74190811004092,-8.64515419666674,-6.0169952617626,-8.45515308714456,7.19041967628427,-6.87986656228232,-9.14714574570203,-7.46473675691842,6.40834219010705,-8.83075229973577,6.28015359229621,NA,-6.99773040869812,2.5760967050858,-6.40373326138415,7.39905837126358,-6.4243965200951,0.231901061245113,-6.89117633679064,-9.35304646771174,10.0777769385991,-0.357353499098133,6.32064590847621,-6.24840751608908,-7.43435276739105,-8.3950752397863,1.6617750614523,-8.1674895323803,-10.4052075667045,-0.343806615048151,0.401399263568447,2.81963127335626,-5.43750034394306,-11.2663134440649
"2382.MU002.C3.HA.2.683.root.9.12.lane7.NoIndex.L007.sequences",-5.79458355421421,2.47191356270375,-4.60277565143445,-6.45189055251723,-0.147557616647482,0.796451566397085,-6.47440651224848,-6.18557302356101,-3.97220399710929,-6.48657548396883,2.11866828010196,-4.54644493727276,-6.12033458824597,-5.9899544637258,2.00406452987671,-6.01767322738516,2.42694621465789,-6.99773040869812,NA,1.12126052407483,-4.69806590721888,2.03863479956566,-5.22265035681566,-1.97007294283103,-5.91103576258497,-6.03433184516125,3.12821538223647,-1.69223012928338,1.40408788754324,-4.8646561490845,-6.05355858134251,-6.84729541277881,0.225033212507234,-4.30269993174127,-4.94636783906103,-1.48787889936902,-1.34028912353105,0.428024453439608,-4.1467451896725,-5.87703511186875
"1642.MS00374",0.655710569938615,-1.82113512514449,1.62476223101074,1.42179325038564,2.75112587674758,-0.0943814645460137,2.49508293842581,-1.03158033933621,3.14954314647085,1.27329007056222,0.876744629165121,0.720473205805108,1.55338343888097,-0.431684418203854,0.0427140110754248,-0.245756788381892,0.189620842045906,2.5760967050858,1.12126052407483,NA,0.320304342817063,-0.251600816242456,-0.988287380877017,-0.432425468141699,0.979070507412135,0.839327827608898,1.02409694143956,1.43515002165897,1.11156733173213,-0.199077057687442,1.92889464253778,1.50075756739217,0.0467784971864971,2.9219274413325,2.04398838447501,0.983465822946578,2.09661324925886,-0.804280794747752,-0.432672519005145,1.0820607697594
