"","1642.MS00418","1642.MS00462","1642.MS00503","2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.1.752.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.1.628.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00512","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00639","2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00547","1642.MS00605","2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00610","1642.MS00386","1642.MS00406","1642.MS00624","1642.MS00388","1642.MS00469","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00431","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00495","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00590","2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00357","2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.737.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00603","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00413","1642.MS00453","1642.MS00439","1642.MS00452","1642.MS00473","1642.MS00461"
"1642.MS00639",-4.13491598613618,-4.46881657354029,-4.99988663475938,0.0170772188507389,0.480654550934357,2.3894591984246,0.0801572147884866,-0.0866818804996537,-6.10220899026485,4.82884299796327,NA,2.9099970867138,-2.03372924998577,-3.36352129025704,3.51505634975137,-4.01269753826127,-4.61817046166545,-4.39632055614037,-2.1850670891434,-0.906854946720385,-3.45443272162782,3.79007238793749,-5.05395619011141,-0.737413324179245,-4.22063503810784,0.218884696141947,3.74878348768422,-4.39281101340748,3.89246088505213,-3.27293671925059,4.50811855458128,4.10378461967572,-2.36182840644814,5.71047542147688,-4.55609060761371,-2.91689058554562,-2.32076300681281,-4.09140836991532,-4.54506094075944,-2.88771692200056
"2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences",5.0373837737257,4.3112942710016,0.535360497655211,-3.76278533132913,-3.14906533349385,-3.85521177712713,-2.26569610313482,-3.6778168932651,1.19543491827815,-6.99917217151332,2.9099970867138,NA,2.67252357404843,5.84582134729627,-8.26222207667181,4.57234788745883,0.288140484492701,0.95776327780907,3.73022886049389,1.40881986193624,2.45128495663621,-5.85082559797989,0.0715908738844367,-1.50199070052029,2.72777149056415,-0.982803797504314,-5.40604621047565,4.18151442711211,-5.96498219008103,0.83845825797807,-5.07887464253208,-5.85012969503134,5.14126808710777,-5.01104885549194,1.211340251916,3.74231124010004,4.72310054456618,3.28611289011164,1.69552215213369,2.59627581236104
"1642.MS00547",-2.30417991372303,-1.74240770212521,-2.92800562694926,-0.0165724027390567,0.565833353276971,1.40326190569855,0.235714241299184,-0.15834342450399,-2.10778733514921,3.41475867193814,-2.03372924998577,2.67252357404843,NA,-3.11876050262572,2.03226813641113,-2.80061842039296,-2.47884058318905,-1.7731406968741,-0.976524136610582,-1.45027656243506,-3.40193434982689,2.19600528022503,-4.23982486096251,-0.75371573156417,-2.69245008727863,0.18057120141036,2.59841448060953,-3.4875904523523,3.05674132492178,-1.83291533333743,3.007446915865,2.8522667884821,-1.53320099943197,4.67251823961742,-1.98791434288369,-1.95203698741471,-2.17815930129301,-2.10552054296601,-4.39015556284104,-2.04802280101526
"1642.MS00605",-3.67187806493639,-2.17166799919188,-2.36985952565944,0.720295262476374,1.66092576187422,4.79676821229417,1.05446914099636,0.927827046535686,-3.83435804879688,7.96333883607784,-3.36352129025704,5.84582134729627,-3.11876050262572,NA,5.8076282199111,-1.49785812801808,-5.40032391451428,-4.68158812579564,-0.641333233952788,-1.14374346586542,-1.63769402875707,6.66943995400146,-2.98311550292338,-0.227134953141668,-3.76674494219686,0.569348025172433,6.90927674498517,-3.43998295828644,7.38259760417594,-2.07729944622219,7.5105077410945,6.84406878847467,-1.6272828112796,8.65183316378967,-2.29408688123403,-2.89590907497144,-3.26576102369994,-3.28052248970128,-3.5486025200045,-1.94930180979184
"2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences",5.05280385272384,3.95149643934029,0.167122271997158,-4.59262286367476,-4.49331475537631,-8.38504788755388,-2.506453858972,-5.65258982886884,0.85674593847186,-7.63310121970372,3.51505634975137,-8.26222207667181,2.03226813641113,5.8076282199111,NA,4.91683042686769,-0.0793458760044405,0.557081259353772,4.6823415014007,1.15389876187012,2.44414040309537,-7.16090881224064,-0.306404780632554,-6.20470147307163,2.08705913197661,-5.88389610053362,-9.73602187357059,2.9419932551927,-9.02092749894523,0.475711072530745,-6.63267257622848,-9.16156545420923,6.5114044380215,-7.76044987181084,0.75596316042998,3.85960610196738,4.55367732334102,3.45242144803992,1.41186957310662,2.22671254147773
"1642.MS00610",-3.71113095237793,-2.9571554912569,-3.62737224628511,0.217017572722589,0.997765814948279,3.48648706143863,0.395661941772499,0.0936528276929595,-5.13385530600862,7.44282129872821,-4.01269753826127,4.57234788745883,-2.80061842039296,-1.49785812801808,4.91683042686769,NA,-3.68181360169123,-3.80815068981833,-1.10743509260933,-0.566452235860424,-3.08123202441551,5.85610037195204,-3.58957729791403,-0.589644317597113,-3.1802927533495,0.372531356446298,6.2371331365219,-3.76849990047016,7.0564769948601,-1.82542395819055,6.0635241720303,5.69482890692472,-3.35783679377784,7.71789769562873,-3.52887907344787,-2.88487026727233,-2.39631033947504,-1.93981801816877,-2.57375087682044,-4.14859977446914
"1642.MS00386",-4.87308300679024,-5.18540969398487,-4.38408650173903,-0.931205897449402,-0.584865445804326,-0.148631164560178,-0.239485392565739,-0.906314189664428,-5.31594356459222,0.502331546687213,-4.61817046166545,0.288140484492701,-2.47884058318905,-5.40032391451428,-0.0793458760044405,-3.68181360169123,NA,-5.5713357328814,-2.33627567110501,-2.43662216046948,-4.72304980584712,0.00615048852180736,-4.61237239774266,-1.12853374775672,-3.99133390295871,-0.298312800236025,-0.0722635062655697,-4.51577806192444,0.0571450472247904,-4.60182879517481,0.0911460830091904,0.160946867756995,-2.40468804440495,1.55749421045406,-5.18422118666967,-3.63932683867716,-4.93628214078096,-3.82267436804184,-4.62114559635764,-3.17543796256396
"1642.MS00406",-4.55327148931394,-5.20745013248371,-4.14439360639814,-1.24608939716847,-0.800584010923623,0.25868616275177,-0.397444643052658,-1.18760353908272,-6.24809256711502,1.19891480530666,-4.39632055614037,0.95776327780907,-1.7731406968741,-4.68158812579564,0.557081259353772,-3.80815068981833,-5.5713357328814,NA,-2.97328350215024,-2.68183565658317,-5.30869081132182,0.349695572696754,-4.51542163891275,-0.965461742932389,-3.30477941869124,-0.179956387128204,0.545015915759746,-5.41109086215374,0.601111123551142,-4.40511086729276,0.468555094267978,0.62153586058619,-1.87274652120693,2.22624889296349,-4.76321681484449,-3.4351422958186,-4.20004620603403,-5.24956602324678,-3.5828616885344,-3.46766515470029
"1642.MS00624",-2.82746651173175,-2.73176935766072,-2.64354108478857,0.854792110913372,1.27605927993417,3.81661623381605,0.794497668422863,0.448596117585281,-4.18038105562756,5.45416683095064,-2.1850670891434,3.73022886049389,-0.976524136610582,-0.641333233952788,4.6823415014007,-1.10743509260933,-2.33627567110501,-2.97328350215024,NA,-1.42462524302759,-2.80796067371728,5.03140019795473,-3.21051940617359,-0.356182479072161,-3.04551324000377,0.49852516891922,5.343294130976,-2.50760478836862,6.13278673842952,-1.76337878389179,5.89627535427794,5.36085738907784,-1.47072043784713,8.29409061751653,-2.0227770980979,-1.74675707560934,-1.91433356059395,-2.44240957842761,-1.07857501153138,-2.1904575384126
"1642.MS00388",-3.13057530895542,-1.58904129536072,-1.07475698417658,-0.745940839871949,-0.510622265782688,0.986390234145321,0.142297556329211,-0.643882937447823,-1.8912574421962,2.22556036380115,-0.906854946720385,1.40881986193624,-1.45027656243506,-1.14374346586542,1.15389876187012,-0.566452235860424,-2.43662216046948,-2.68183565658317,-1.42462524302759,NA,-1.78469558626672,1.13197780898266,-1.22736707464542,-1.52290264442609,-2.54340384667011,0.659054602214308,1.23075153412782,-2.34405979757336,1.10557946594277,-2.173652648051,1.19336658192849,1.67072556240439,-0.169292102797324,2.55078139419854,-1.84303625856239,-1.00724175666186,-1.65690041493564,-1.63283159826092,-0.973064370035322,-2.81821849983292
"1642.MS00469",-3.12656690951618,-3.77803619017667,-3.6080152942069,0.0895195552995423,0.485866580061216,1.51000109229024,0.871740091774092,-0.189336322026156,-6.15439526852212,2.68302694415237,-3.45443272162782,2.45128495663621,-3.40193434982689,-1.63769402875707,2.44414040309537,-3.08123202441551,-4.72304980584712,-5.30869081132182,-2.80796067371728,-1.78469558626672,NA,1.60055634928626,-5.25450772028917,-0.622486937587162,-4.24122004694077,0.171985856446319,1.97004565516061,-3.37040021751802,2.64993000540525,-3.93544490011975,2.80343935548654,2.62855771265868,-2.16848413013162,4.4834079797265,-5.17558900724079,-3.35521564526464,-3.79020378289923,-3.28854234532654,-3.56435446875338,-3.06163041699278
"2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences",5.99205760295151,5.46363484532225,0.15027711506741,-3.44082918816128,-4.09892879443446,-7.84318667510639,-3.17060386792298,-3.89198935601254,0.678237357814296,-5.96045097939485,3.79007238793749,-5.85082559797989,2.19600528022503,6.66943995400146,-7.16090881224064,5.85610037195204,0.00615048852180736,0.349695572696754,5.03140019795473,1.13197780898266,1.60055634928626,NA,-0.203943515693887,-4.15650084684821,2.21138111212038,-5.61852136863573,-7.56999517925803,3.65818382134787,-8.35693644491199,0.275233736875744,-9.11927068594396,-6.71609552352411,8.06284861665548,-6.19168728464524,1.01513664515267,4.14608873790963,5.32999468826769,3.93770415304884,1.42468723994459,2.53218402071876
"1642.MS00431",-4.41056822247903,-5.13488134603481,-3.30573161538763,-0.865939699186771,-0.591781128819758,-0.477997631181074,-0.455669163511203,-0.979463024010865,-5.64188269801982,0.088159517967168,-5.05395619011141,0.0715908738844367,-4.23982486096251,-2.98311550292338,-0.306404780632554,-3.58957729791403,-4.61237239774266,-4.51542163891275,-3.21051940617359,-1.22736707464542,-5.25450772028917,-0.203943515693887,NA,-1.07564688921463,-4.45486145977987,-0.354808635468867,-0.379718712801044,-5.41963163017163,-0.21173280469512,-4.29967162958958,-0.0179669601664954,-0.155206110657798,-2.57442735739376,1.10302747298329,-5.70001242692639,-3.28004992132132,-4.6213786342828,-3.85972285242595,-5.26450027717007,-3.40263595507973
"2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences",-0.756438731823669,-0.333680086018344,-1.08346984683033,-6.24096924271256,-5.8287309808233,-5.93527141409367,-3.12238315758022,-6.375591424088,-0.798824990720232,-3.779486561527,-0.737413324179245,-1.50199070052029,-0.75371573156417,-0.227134953141668,-6.20470147307163,-0.589644317597113,-1.12853374775672,-0.965461742932389,-0.356182479072161,-1.52290264442609,-0.622486937587162,-4.15650084684821,-1.07564688921463,NA,-0.785239712529801,-6.92362589550732,-4.87447629804325,-0.764149263396135,-4.69310161312505,-1.06811567443343,-1.9398109168216,-5.98128557322866,-0.357536170501011,-0.799548938794338,-0.821166605783501,-0.730302726815287,-0.527314544453452,-0.835717617988275,-0.828729508495675,-1.36031184186501
"1642.MS00495",-4.10566377964721,-3.543266225083,-2.94723891039147,0.375945168171762,0.42892563374639,2.10263876670224,1.28312936045952,-0.159863977831158,-3.73156681807436,2.9420937016528,-4.22063503810784,2.72777149056415,-2.69245008727863,-3.76674494219686,2.08705913197661,-3.1802927533495,-3.99133390295871,-3.30477941869124,-3.04551324000377,-2.54340384667011,-4.24122004694077,2.21138111212038,-4.45486145977987,-0.785239712529801,NA,1.87801761238469,2.34897554499549,-3.59809975905641,2.58977019904603,-3.20692423486254,2.68382368347021,2.44259894370654,-2.52090044351039,4.51035629755228,-3.94758902431629,-3.38972092627055,-3.72096907860214,-4.13128089411414,-4.7470300975492,-4.14155568233199
"2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences",4.6891750193323,0.382611172979104,-0.11626119247345,-5.7307890400546,-8.07213253793449,-5.69133185654317,-2.43542521835233,-6.53434685565941,-0.00832838266433983,-5.72891737078179,0.218884696141947,-0.982803797504314,0.18057120141036,0.569348025172433,-5.88389610053362,0.372531356446298,-0.298312800236025,-0.179956387128204,0.49852516891922,0.659054602214308,0.171985856446319,-5.61852136863573,-0.354808635468867,-6.92362589550732,1.87801761238469,NA,-7.12157125979853,3.44346320198289,-5.1831062295905,-0.258105284284607,-0.957882359368635,-5.31488135739581,0.583627709337179,0.0882558651748133,-0.0109970174219876,0.245476124170856,0.354219347447797,0.0309353503848368,-0.0160745808143732,1.94335802167315
"2382.DPOO1.C1.HA.1.427.rhizo.4.12.lane7.NoIndex.L007.sequences",5.99500798359811,4.82277616891536,0.294548873547043,-4.38510065661368,-4.29678545038441,-8.28476864223768,-2.98003699356782,-3.72298680510238,0.708453426047622,-8.71338947458683,3.74878348768422,-5.40604621047565,2.59841448060953,6.90927674498517,-9.73602187357059,6.2371331365219,-0.0722635062655697,0.545015915759746,5.343294130976,1.23075153412782,1.97004565516061,-7.56999517925803,-0.379718712801044,-4.87447629804325,2.34897554499549,-7.12157125979853,NA,3.9219851614354,-10.5245976588401,0.475373830715849,-8.20032070724404,-10.2121071593898,8.18375641479865,-10.2892534461594,0.881851473485087,4.11636664225929,5.48028009720617,4.03412786025735,1.89274990207848,2.39870618644403
"1642.MS00590",-4.69553461240259,-3.72752576715099,-4.44969087890259,0.611225225852212,0.909571339566003,2.84680411842436,2.89375825261947,0.328149771162997,-3.54890901180458,4.59567277089174,-4.39281101340748,4.18151442711211,-3.4875904523523,-3.43998295828644,2.9419932551927,-3.76849990047016,-4.51577806192444,-5.41109086215374,-2.50760478836862,-2.34405979757336,-3.37040021751802,3.65818382134787,-5.41963163017163,-0.764149263396135,-3.59809975905641,3.44346320198289,3.9219851614354,NA,4.16698895351203,-2.7844598095031,3.94432562211299,3.47641498563961,-2.79698546924541,5.83743193294458,-4.55297765651678,-3.25550683869507,-4.81470622847717,-3.8977426948897,-4.46842815571379,-2.86288302253414
"2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences",5.59064866064925,5.96704518840305,0.419559999009247,-5.11149719632756,-5.13677819635121,-8.83177208759035,-2.58997792382603,-6.0406618226822,1.27212903637572,-7.37091808045538,3.89246088505213,-5.96498219008103,3.05674132492178,7.38259760417594,-9.02092749894523,7.0564769948601,0.0571450472247904,0.601111123551142,6.13278673842952,1.10557946594277,2.64993000540525,-8.35693644491199,-0.21173280469512,-4.69310161312505,2.58977019904603,-5.1831062295905,-10.5245976588401,4.16698895351203,NA,0.424613102820624,-8.22067984954284,-8.26014097373604,8.87632879366563,-8.28421244970321,1.17137459580404,5.12909444229275,4.85891683641022,3.99722693403577,2.68896203890497,3.01450867379669
"1642.MS00357",-3.59110240424135,-2.45781195280796,-2.52342460719416,-1.31831971671348,-0.723324501921182,0.117924083581482,-0.492802025614364,-1.1101641407758,-3.10541494213538,1.55686457753418,-3.27293671925059,0.83845825797807,-1.83291533333743,-2.07729944622219,0.475711072530745,-1.82542395819055,-4.60182879517481,-4.40511086729276,-1.76337878389179,-2.173652648051,-3.93544490011975,0.275233736875744,-4.29967162958958,-1.06811567443343,-3.20692423486254,-0.258105284284607,0.475373830715849,-2.7844598095031,0.424613102820624,NA,0.457924306866498,0.897154385206117,-0.844252280925221,2.42805457278335,-5.0507775352525,-2.50640755716002,-3.49562685129844,-4.08340190615549,-2.97667424369864,-3.07859953719647
"2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences",6.74323874857913,6.39491073349477,0.452711616943402,-5.74916704359866,-4.78951514301271,-6.86276339506421,-2.32686393560587,-7.18768403126532,1.1092608184561,-4.4070039124325,4.50811855458128,-5.07887464253208,3.007446915865,7.5105077410945,-6.63267257622848,6.0635241720303,0.0911460830091904,0.468555094267978,5.89627535427794,1.19336658192849,2.80343935548654,-9.11927068594396,-0.0179669601664954,-1.9398109168216,2.68382368347021,-0.957882359368635,-8.20032070724404,3.94432562211299,-8.22067984954284,0.457924306866498,NA,-6.68891870016996,8.70669035580672,-6.7838476331406,1.63107284434742,5.46578327560844,5.80796759834073,4.01725271373094,1.92541196319162,2.17313711494271
