"","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.737.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00428","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00401","1642.MS00351","1642.MS00512","1642.MS00479","1642.MS00562","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00604","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00600","1642.MS00565","1642.MS00374","2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00337","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00640","1642.MS00391","1642.MS00611","1642.MS00436","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00615","2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.753.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00584","1001.SKB8","2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00412","1642.MS00439","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00553","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00630","1642.MS00498","1642.MS00619"
"1642.MS00374",1,1,-0.248,1,-0.05,-0.003,0.97,0.912,0.937,1,0.996,1,0.994,0.983,0,1,0.766,1,0.998,0.559,0.986,-0.381,1,0.998,1,1,1,1,1,1,1,1,-0.013,0.491,1,1,1,0.968,0.967,0.984
"2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences",0.763,-0.692,1,-0.433,1,1,1,1,1,0.853,1,1,1,1,1,0,1,1,1,1,1,1,0.972,1,-1,0.768,1,1,0.996,0.998,-0.0679999999999999,0.96,1,1,1,1,0.976,1,1,1
"1642.MS00337",1,1,-0.411,1,0.79,-0.641,0.964,0.896,0.873,1,1,1,1,0.938,0.766,1,0,1,1,-0.029,1,0.637,1,1,1,1,1,1,1,1,1,1,-0.441,0.976,1,1,1,1,0.88,1
"2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences",0.994,0.976,1,0.972,1,1,1,1,1,1,1,0.964,1,1,1,1,1,0,1,1,1,1,0.987,1,1,-0.992,1,0.977,-0.984,-0.98,1,1,1,1,-0.968,1,-0.988,1,1,1
"1642.MS00640",1,1,-0.523,1,-0.62,0.972,-0.947,-1,-0.832,1,-0.23,1,-0.988,-0.968,0.998,1,1,1,0,-0.024,0.274,0.301,1,-0.45,1,1,-0.996,1,1,1,1,1,0.905,0.22,1,0.976,1,-0.691,-0.976,-0.032
"1642.MS00391",1,1,-1,1,-0.903,-0.083,-0.984,-0.994,-0.994,1,0.928,1,0,-1,0.559,1,-0.029,1,-0.024,0,0.948,-0.87,1,0.719,1,1,-0.387,1,1,1,1,1,-0.817,-0.765,1,1,1,0.736,-0.992,0.919
"1642.MS00611",1,1,0.355,1,-0.713,0.894,0.513,-0.623,-0.855,1,-0.982,1,0.168,0.022,0.986,1,1,1,0.274,0.948,0,0.113,1,-0.98,1,1,-0.015,1,1,1,1,1,0.548,-0.048,1,-0.311,1,-0.986,0.302,-0.982
"1642.MS00436",1,1,-1,1,-1,-0.91,0.0289999999999999,-0.824,-0.683,1,-0.182,1,-0.451,-0.174,-0.381,1,0.637,1,0.301,-0.87,0.113,0,1,-0.233,1,1,0.289,1,1,1,1,1,-0.986,-1,1,0.978,1,-0.514,-0.738,-0.608
"2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences",-0.857,-0.878,1,-0.998,1,1,1,1,1,1,1,1,1,1,1,0.972,1,0.987,1,1,1,1,0,1,0.962,0.998,1,1,0.998,1,1,-1,1,1,0.836,1,0.992,1,1,1
"1642.MS00615",1,1,0.552,1,-0.194,0.985,-0.287,-0.539,-0.6,1,-0.626,1,-0.91,-0.336,0.998,1,1,1,-0.45,0.719,-0.98,-0.233,1,0,1,1,-0.565,1,1,1,1,1,0.841,0.102,1,0.741,1,-0.684,-0.262,-0.8
