"","1642.MS00611","1642.MS00553","1642.MS00351","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00630","1642.MS00565","2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00337","1642.MS00479","1642.MS00562","1642.MS00391","1642.MS00584","2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.737.rhizo.9.12.lane7.NoIndex.L007.sequences","1001.SKB8","2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00439","1642.MS00604","1642.MS00615","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00428","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00401","1642.MS00512","1642.MS00374","1642.MS00436","1642.MS00412","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.753.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00619","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00640","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00600","1642.MS00498"
"1642.MS00337",0.052490642153,0.056388294332,0.0234358592494,0.1036923522835,0.0994427205474,0.0414583533649,0.0434357697048,0.1052718626802,0.1087794519899,0.1075618966683,0,0.0429307133782,0.0465157893204,0.028656176168,0.0499948238935,0.1023682888122,0.106337558451,0.1646362207732,0.1062392552545,0.0316596379516,0.0488003885404,0.055794033977,0.0999455161268,0.1024796732936,0.0268823659801,0.0831831212449,0.0353700916266,0.0434461547577,0.0502959222476,0.028190262904,0.0299990068096,0.1197257419434,0.1175275796503,0.0987687446057,0.0558108306072,0.1021678284569,0.0495757338134,0.1033337491075,0.0444931190163,0.0421408005915
"1642.MS00479",0.0240829640743,0.0270734971383,0.0299047273981,0.0906078524644,0.0850880819186,0.0208303743217,0.0194185080707,0.0864662283303,0.0887001899213,0.0891201114395,0.0429307133782,0,0.0201672463474,0.0222937804672,0.0239015728925,0.0857967847377,0.0858716946804,0.1734037561473,0.0960200280155,0.0230729165064,0.0216605559941,0.0261237859646,0.0880826027511,0.0877488592298,0.0217020482007,0.0755413083575,0.0206473540302,0.0191595576688,0.0486881079524,0.0227928839693,0.0270310432914,0.1143260878206,0.1147718127338,0.0866875434153,0.0254298868429,0.0867166663506,0.0221027963441,0.0905636816855,0.0235280289025,0.0194376453644
"1642.MS00562",0.0243719229708,0.0331000889084,0.0313214382753,0.0893652739117,0.0833659628957,0.0210838459624,0.0199624940606,0.0845850183026,0.085823351034,0.0880064888566,0.0465157893204,0.0201672463474,0,0.0249284626849,0.02510270521,0.0840677420273,0.0837599918537,0.1756856372445,0.0943439005568,0.0267328509027,0.022566263419,0.0262776772745,0.0878943143177,0.0854348517802,0.0242423110505,0.0735171096329,0.0218056087173,0.0216317894122,0.0453299832151,0.0248396060258,0.0292489466563,0.1121197760358,0.1115982278033,0.0855696768444,0.0249786081944,0.0841020402785,0.0244001208797,0.0904896197822,0.024255241404,0.0220177392333
"1642.MS00391",0.0287940080596,0.0327845480185,0.0261207424161,0.091780260808,0.090237656625,0.0258749453644,0.0217541605025,0.09380775799,0.0956493989874,0.0972514356423,0.028656176168,0.0222937804672,0.0249284626849,0,0.0255998604197,0.089618551608,0.0921917286559,0.1782656945012,0.0991813556843,0.0223023835829,0.0282365440282,0.0301434192103,0.0923148900849,0.0922215233414,0.019957343478,0.0800860506296,0.0213186634434,0.0221000133033,0.0499433487667,0.02125393635,0.0239533922538,0.1141007716782,0.1135991834298,0.0892052590864,0.0309969628129,0.0927762203955,0.0267453931927,0.0909053906737,0.0252163971855,0.0220431750914
"1642.MS00584",0.0291752180035,0.0328040917268,0.0401044437697,0.1045926041269,0.1078069582848,0.0273501801435,0.0227138233059,0.1081286174339,0.1067275415826,0.1084805694958,0.0499948238935,0.0239015728925,0.02510270521,0.0255998604197,0,0.1049464311265,0.1030188915654,0.1836900374589,0.1142828071968,0.025678671109,0.0244324727874,0.027274922673,0.1082666080653,0.1058678365774,0.0284646089001,0.0986572315747,0.0270507369597,0.0246003175343,0.0519393177289,0.0273391596902,0.0308419486908,0.1327994511683,0.129922530504,0.1087168635166,0.0260804050759,0.1069728875288,0.0217060699848,0.1098348685816,0.0238146447517,0.0238134036379
"2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0910473803512,0.1027338341615,0.0893450967302,0.0390071564215,0.0439203906592,0.087886179702,0.0846466071,0.0347726831559,0.0275086901692,0.0365492659699,0.1023682888122,0.0857967847377,0.0840677420273,0.089618551608,0.1049464311265,0,0.0292469402429,0.107202996501,0.0361995463933,0.0921189542276,0.0926198558934,0.1037528409914,0.0368839744655,0.0185292905956,0.0824138504466,0.0327520935101,0.0835573186556,0.08869218376,0.1067299721816,0.0899613863526,0.0963248156188,0.0493107352516,0.052457147559,0.0476330903096,0.0979788561616,0.0250202039929,0.1002745775595,0.0287575318904,0.1039054868512,0.0880866187766
"2382.SH008.C6.HA.3.737.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0867053172241,0.0918238540039,0.0856022082677,0.0370555662635,0.0362354306673,0.0872597672548,0.0859207947421,0.0309633565455,0.0244539462951,0.0301705456729,0.106337558451,0.0858716946804,0.0837599918537,0.0921917286559,0.1030188915654,0.0292469402429,0,0.1234591289506,0.0406763289854,0.0901982417268,0.0871482723589,0.1020857148299,0.0361183146131,0.0255088220395,0.0854319215386,0.0379220941008,0.0827464654437,0.0893222676854,0.1050239349208,0.0897287273263,0.0928268308867,0.0582490122352,0.0587033912408,0.0486116790815,0.0914549575031,0.0180818192325,0.1003680627507,0.0388787379265,0.1053400781615,0.0888961569193
"1001.SKB8",0.1651506792587,0.1967632172038,0.1567857894983,0.0968338657603,0.1388926711714,0.1657068452647,0.1786840328874,0.1228740919746,0.1264967151721,0.1392551352957,0.1646362207732,0.1734037561473,0.1756856372445,0.1782656945012,0.1836900374589,0.107202996501,0.1234591289506,0,0.0968076320563,0.1643281342152,0.1690439114689,0.1591465213859,0.1063368420464,0.1050580634303,0.1660389665736,0.1140656926664,0.1661519872898,0.1707073904885,0.1676223303456,0.1566785581741,0.1669707525799,0.07598124219,0.0900884022312,0.1190049496211,0.1726622955615,0.1181976337848,0.1676084761967,0.1133362395652,0.1659047329132,0.1770778153139
"2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences",0.099359347477,0.1104200366706,0.101563015416,0.0218688025173,0.0508733627376,0.1005238354083,0.0904853094095,0.0424606464845,0.0365708825608,0.0410255366709,0.1062392552545,0.0960200280155,0.0943439005568,0.0991813556843,0.1142828071968,0.0361995463933,0.0406763289854,0.0968076320563,0,0.1029946784924,0.1057000959926,0.1112010772831,0.0127376685404,0.0340650875113,0.0938744467873,0.0546272944783,0.091279079345,0.0977655397201,0.1021406227306,0.1007590698253,0.1057512639982,0.0298499852985,0.023695172805,0.047497150331,0.1105202593146,0.0391149745578,0.1100109126153,0.0255292221035,0.1140399398861,0.0992935903749
"1642.MS00439",0.0288354700475,0.0341788208412,0.0276568279112,0.0960615866629,0.0897791809172,0.0263791060823,0.0259345228915,0.0915208982955,0.0960837630568,0.0948068648751,0.0316596379516,0.0230729165064,0.0267328509027,0.0223023835829,0.025678671109,0.0921189542276,0.0901982417268,0.1643281342152,0.1029946784924,0,0.0271389862727,0.0303468259495,0.0954958561242,0.0921839922714,0.0225261115742,0.082370413843,0.0231052934011,0.0264894529975,0.04964746516,0.0208569620631,0.0242568250357,0.1193963323624,0.1203218737353,0.0921346579078,0.0284826294816,0.0906667923285,0.0271818191329,0.0952035223505,0.0269498933848,0.0229900979633
