"","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.737.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00428","2382.SH008.C6.HA.1.SH008.rhizo.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00401","1642.MS00351","1642.MS00512","1642.MS00479","1642.MS00562","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00604","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00600","1642.MS00565","1642.MS00374","2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00337","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00640","1642.MS00391","1642.MS00611","1642.MS00436","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00615","2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.753.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00584","1001.SKB8","2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00412","1642.MS00439","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00553","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00630","1642.MS00498","1642.MS00619"
"1642.MS00604",0.9084,0.9004,0.5806,0.9044,0.5306,0.6312,0.6064,0.5254,0.5302,0.8776,0,0.9046,0.5352,0.54,0.6798,0.9182,0.7502,0.9394,0.5662,0.6436,0.5016,0.5604,0.9116,0.5504,0.9114,0.9626,0.547,0.9914,0.9356,0.9302,0.8796,0.9064,0.5874,0.5664,0.9344,0.5724,0.953,0.4862,0.5558,0.4932
"2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences",0.8718,0.8518,0.8952,0.8658,0.8886,0.9074,0.905,0.901,0.901,0.845,0.9046,0,0.9096,0.902,0.9034,0.8626,0.9384,0.8204,0.9136,0.9138,0.9062,0.8936,0.8898,0.9052,0.8606,0.8348,0.9308,0.9822,0.8442,0.8036,0.7098,0.8722,0.908,0.9086,0.8444,0.9322,0.7918,0.8882,0.906,0.9018
"1642.MS00600",0.9194,0.9112,0.5546,0.9138,0.547,0.6392,0.5528,0.5264,0.5302,0.8982,0.5352,0.9096,0,0.5196,0.6848,0.9262,0.7454,0.935,0.5034,0.594,0.5824,0.5568,0.9174,0.5268,0.9178,0.9582,0.5028,0.988,0.9402,0.937,0.8988,0.9172,0.5932,0.5754,0.9252,0.6638,0.951,0.5348,0.5238,0.5304
"1642.MS00565",0.9184,0.9094,0.524,0.9084,0.5382,0.6574,0.4742,0.4602,0.437,0.8878,0.54,0.902,0.5196,0,0.6754,0.9268,0.7038,0.9264,0.52,0.4886,0.5806,0.5724,0.9148,0.5738,0.9114,0.9462,0.5132,0.9878,0.9326,0.9234,0.8902,0.9118,0.589,0.5952,0.922,0.6712,0.9386,0.5348,0.4866,0.5806
"1642.MS00374",0.9188,0.907,0.5802,0.9116,0.5884,0.6012,0.6668,0.6432,0.6478,0.895,0.6798,0.9034,0.6848,0.6754,0,0.9228,0.6858,0.9264,0.6846,0.6252,0.664,0.5708,0.922,0.6876,0.9124,0.9514,0.6936,0.9878,0.9346,0.9258,0.8912,0.915,0.5872,0.6092,0.921,0.7276,0.9498,0.6508,0.655,0.6582
"2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences",0.7078,0.6292,0.9174,0.6454,0.9012,0.928,0.9254,0.916,0.917,0.7262,0.9182,0.8626,0.9262,0.9268,0.9228,0,0.9528,0.8452,0.9322,0.9342,0.9062,0.9138,0.7362,0.9172,0.4784,0.8668,0.9424,0.9818,0.8424,0.8384,0.6728,0.7358,0.9244,0.92,0.828,0.9146,0.8972,0.9,0.9228,0.9102
"1642.MS00337",0.947,0.9436,0.6234,0.943,0.6816,0.6082,0.7104,0.6972,0.6888,0.9282,0.7502,0.9384,0.7454,0.7038,0.6858,0.9528,0,0.9612,0.7436,0.6438,0.7578,0.6706,0.9536,0.773,0.9492,0.972,0.736,0.983,0.9598,0.953,0.9282,0.9502,0.621,0.7052,0.9512,0.779,0.965,0.7356,0.6922,0.7572
"2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences",0.8128,0.798,0.9256,0.8034,0.921,0.939,0.925,0.9282,0.9312,0.8852,0.9394,0.8204,0.935,0.9264,0.9264,0.8452,0.9612,0,0.9358,0.9356,0.9348,0.9244,0.8056,0.9342,0.8366,0.6878,0.9498,0.961,0.6388,0.633,0.8796,0.8256,0.936,0.94,0.6342,0.9498,0.7084,0.9272,0.929,0.9344
"1642.MS00640",0.9256,0.9186,0.556,0.9208,0.5488,0.6584,0.5284,0.4922,0.5338,0.9102,0.5662,0.9136,0.5034,0.52,0.6846,0.9322,0.7436,0.9358,0,0.5908,0.5838,0.5836,0.9234,0.5612,0.9238,0.955,0.491,0.99,0.9402,0.9318,0.9,0.9244,0.6196,0.5804,0.9326,0.649,0.9476,0.5398,0.513,0.5684
"1642.MS00391",0.9292,0.919,0.4746,0.9212,0.535,0.5972,0.5214,0.511,0.5028,0.9038,0.6436,0.9138,0.594,0.4886,0.6252,0.9342,0.6438,0.9356,0.5908,0,0.6464,0.5404,0.9278,0.6274,0.9246,0.9566,0.576,0.9894,0.9416,0.9362,0.9028,0.9222,0.5474,0.55,0.9232,0.6926,0.9546,0.621,0.5142,0.6374
"1642.MS00611",0.9006,0.8876,0.5868,0.8896,0.538,0.6352,0.601,0.5492,0.5304,0.8656,0.5016,0.9062,0.5824,0.5806,0.664,0.9062,0.7578,0.9348,0.5838,0.6464,0,0.5734,0.905,0.5056,0.8958,0.9578,0.572,0.9788,0.9352,0.921,0.869,0.9002,0.5896,0.5662,0.9278,0.5682,0.9512,0.5012,0.587,0.4982
"1642.MS00436",0.9156,0.8998,0.4812,0.8972,0.474,0.5324,0.585,0.5342,0.5422,0.882,0.5604,0.8936,0.5568,0.5724,0.5708,0.9138,0.6706,0.9244,0.5836,0.5404,0.5734,0,0.9086,0.5684,0.9032,0.9498,0.5824,0.9884,0.9318,0.921,0.8786,0.9056,0.4966,0.4792,0.9128,0.6476,0.9444,0.548,0.5418,0.5388
"2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences",0.5782,0.5734,0.903,0.5162,0.8916,0.923,0.9112,0.9078,0.9038,0.7426,0.9116,0.8898,0.9174,0.9148,0.922,0.7362,0.9536,0.8056,0.9234,0.9278,0.905,0.9086,0,0.91,0.706,0.9094,0.9384,0.9704,0.8384,0.8464,0.807,0.4828,0.916,0.9136,0.7408,0.9254,0.892,0.8972,0.91,0.9058
"1642.MS00615",0.9164,0.9002,0.6044,0.9016,0.5714,0.665,0.5766,0.5604,0.5546,0.884,0.5504,0.9052,0.5268,0.5738,0.6876,0.9172,0.773,0.9342,0.5612,0.6274,0.5056,0.5684,0.91,0,0.908,0.96,0.5546,0.986,0.9388,0.9332,0.8904,0.914,0.6124,0.5804,0.9232,0.6214,0.952,0.5454,0.5708,0.5328
"2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences",0.7064,0.6034,0.9002,0.627,0.885,0.9204,0.9126,0.9038,0.9054,0.7126,0.9114,0.8606,0.9178,0.9114,0.9124,0.4784,0.9492,0.8366,0.9238,0.9246,0.8958,0.9032,0.706,0.908,0,0.8716,0.936,0.9732,0.8368,0.8346,0.6524,0.71,0.9128,0.9076,0.8034,0.9136,0.9024,0.8926,0.9104,0.901
"2382.HE003.C181.HA.1.753.root.9.12.lane7.NoIndex.L007.sequences",0.907,0.8852,0.9498,0.8818,0.9484,0.9646,0.9508,0.9506,0.957,0.914,0.9626,0.8348,0.9582,0.9462,0.9514,0.8668,0.972,0.6878,0.955,0.9566,0.9578,0.9498,0.9094,0.96,0.8716,0,0.9646,0.976,0.6308,0.616,0.9056,0.9092,0.9586,0.9582,0.7434,0.9692,0.514,0.9456,0.953,0.9602
"1642.MS00584",0.935,0.9276,0.561,0.9326,0.5548,0.667,0.5326,0.505,0.531,0.9218,0.547,0.9308,0.5028,0.5132,0.6936,0.9424,0.736,0.9498,0.491,0.576,0.572,0.5824,0.9384,0.5546,0.936,0.9646,0,0.9916,0.9464,0.9442,0.9208,0.935,0.5926,0.559,0.9448,0.63,0.964,0.5762,0.5036,0.5662
"1001.SKB8",0.978,0.9758,0.9886,0.9706,0.9902,0.9884,0.9882,0.9892,0.9898,0.9804,0.9914,0.9822,0.988,0.9878,0.9878,0.9818,0.983,0.961,0.99,0.9894,0.9788,0.9884,0.9704,0.986,0.9732,0.976,0.9916,0,0.9656,0.9646,0.9818,0.9718,0.9882,0.9912,0.9556,0.9914,0.9636,0.9884,0.9894,0.9894
