"","1642.MS00617","1642.MS00336","1642.MS00509","2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00601","1642.MS00599","1642.MS00556","1642.MS00516","1642.MS00527","2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00548","1642.MS00358","2382.HE003.C181.HA.1.123.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00345","2382.RU006.C181.RH.4.793.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00346","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00424","1642.MS00495","1642.MS00390","2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00606","1642.MS00401","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00503","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00446","1642.MS00436","2382.SH005.C3.RH.1.453.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00483","2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00633","1642.MS00583","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00351"
"2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0989536086932,0.1207594288151,0.1196216855913,0.0445572716945,0.0996218466094,0.0938777693158,0.0963171736878,0.1018359750506,0.1053719392023,0.0338357864815,0.0273878146273,0.1100072330433,0.1392894471861,0.0543919271715,0.0505673577896,0.1067070997691,0.0528923262118,0.1020842199594,0,0.0224065301599,0.0905757396672,0.1053033275809,0.1112354643083,0.0555913087842,0.0981659720046,0.0905931138457,0.0381037560165,0.1119771594416,0.0268440514418,0.0327017526876,0.0766450311888,0.0860345450892,0.0955140053367,0.0486392039135,0.1118789078116,0.023571767895,0.1086757288354,0.1068041973198,0.0502991029993,0.0961023942783
"2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0941140159763,0.0913333173949,0.0957665906624,0.037240442621,0.091709413875,0.088039693835,0.0892305408859,0.091098099664,0.0870857733019,0.0377568033021,0.027587806487,0.0921377507323,0.1302809700902,0.0388844170789,0.0404434354724,0.084166018743,0.0436495048437,0.0814731466011,0.0224065301599,0,0.0730279395372,0.09325601088,0.0898343771478,0.0445927594241,0.0953951971499,0.0787774520359,0.0349550369271,0.0835994524112,0.0235431404841,0.0272884598447,0.0657334013889,0.081869261358,0.0870782586609,0.0423315374875,0.0996590714185,0.0206714358542,0.1028571656957,0.100914882196,0.0433061010831,0.0821694952387
"1642.MS00424",0.025014705371,0.0267669517823,0.0226856227733,0.0807613163387,0.0235510383197,0.0271499025708,0.0219049549339,0.0215358739383,0.0247309124052,0.0783413386792,0.0781936164885,0.0222896977389,0.0679429018213,0.0851134259229,0.0881572131202,0.0317799231515,0.0821646665713,0.0256105857551,0.0905757396672,0.0730279395372,0,0.0227273061951,0.0254385516338,0.0865087115959,0.0235543067848,0.0185619088751,0.0659592894155,0.0191917334762,0.0828196629273,0.0796273333202,0.0971020295979,0.0201231455562,0.0219308727963,0.0908182207203,0.0215377416801,0.074701991991,0.0251574503505,0.0275146415329,0.0965677278545,0.0233494714963
"1642.MS00495",0.024126126303,0.0282967625908,0.0218489260235,0.1052110251681,0.0241369868324,0.0406519789663,0.0230081337199,0.0216062366577,0.0252269300117,0.0980972995337,0.0979644944249,0.0199153692041,0.0759460084524,0.1108274335001,0.1152677965402,0.0381688337096,0.1083326394072,0.0367403550122,0.1053033275809,0.09325601088,0.0227273061951,0,0.0274070441756,0.1096578889134,0.0238457225654,0.0216471061965,0.0850332289921,0.0204685840294,0.0975111454645,0.0997950881596,0.1197519503296,0.0252241888806,0.0235657129727,0.1196283164416,0.0216980700841,0.0936641880292,0.0246817869896,0.021533607319,0.120510190809,0.0321881216695
"1642.MS00390",0.038379475243,0.018806356043,0.02426224938,0.0909749302243,0.0328995364111,0.0500116350694,0.0314728000342,0.0317592983668,0.0291791777392,0.0946345713099,0.0994628855662,0.027056856953,0.0656907690668,0.0976825042139,0.1017041286083,0.0311023535099,0.0954227002346,0.0264372966808,0.1112354643083,0.0898343771478,0.0254385516338,0.0274070441756,0,0.0940360308797,0.0350246044485,0.0241498655745,0.085781013184,0.0289144329531,0.1020734428556,0.0979182476014,0.1016816182777,0.0338442367867,0.0202557129433,0.0996851927747,0.0306174588619,0.0928085278917,0.0306230592314,0.0346925747305,0.1034092699821,0.0250507363207
"2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences",0.1147741457777,0.0899273373907,0.1024390582347,0.0169158355743,0.107121426446,0.1037369335267,0.1067557224787,0.1092616461543,0.1014516002359,0.0274063402731,0.047082165273,0.1039088420594,0.1355635643747,0.0216417185696,0.0217604614004,0.0945441695267,0.0382674909623,0.0847014110373,0.0555913087842,0.0445927594241,0.0865087115959,0.1096578889134,0.0940360308797,0,0.1103809975144,0.0949020725641,0.0514003839077,0.0941967688935,0.0444536972961,0.0558688859638,0.0329263515027,0.1019844947046,0.0994408316742,0.0180910056282,0.1170496377187,0.0406774752438,0.1204481300953,0.1212849222964,0.0232047628733,0.1034602344499
"1642.MS00606",0.0216995430477,0.0371071016666,0.0235485261971,0.1055791360919,0.0227310364435,0.0372080643397,0.0236689330733,0.0223045683036,0.0269138303275,0.0971788862709,0.096892596671,0.0217597553192,0.0870625221165,0.1077159724603,0.1105309983662,0.0454926060258,0.1090461627427,0.0469334586223,0.0981659720046,0.0953951971499,0.0235543067848,0.0238457225654,0.0350246044485,0.1103809975144,0,0.0228371092215,0.0849261135413,0.0212641414948,0.0929566577871,0.1039334536112,0.126743486827,0.0228294840999,0.0269370977795,0.1169624208362,0.0251074414825,0.0939138344411,0.0252939735664,0.0238417512729,0.1178595583042,0.0349757939269
"1642.MS00401",0.0236346524422,0.0281579765498,0.0217134801681,0.0873768714722,0.0227424857894,0.0373205431115,0.0221637569706,0.0213122479391,0.0244183599454,0.0827283452628,0.0836753768748,0.0206363047009,0.0710639387537,0.0907481824737,0.0950931373516,0.0323584738817,0.0890238483752,0.0280934629055,0.0905931138457,0.0787774520359,0.0185619088751,0.0216471061965,0.0241498655745,0.0949020725641,0.0228371092215,0,0.069383810275,0.0193254318473,0.0841165369951,0.0883148966513,0.1019604885907,0.0202555373737,0.0196371307502,0.0961312681488,0.0214787586083,0.0807030580707,0.0245074723124,0.0248160269493,0.1021914187787,0.0225410618636
"2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences",0.0857871145593,0.0824705825426,0.0845308108608,0.0411380166429,0.0828115959902,0.0712137076867,0.0821477540119,0.0824176239065,0.0815076958765,0.0429342585547,0.0424232574582,0.0804144328777,0.1023243876235,0.0428082287334,0.0459737769738,0.0720307613017,0.043632447118,0.0676739085098,0.0381037560165,0.0349550369271,0.0659592894155,0.0850332289921,0.085781013184,0.0514003839077,0.0849261135413,0.069383810275,0,0.0716267807268,0.0311795883487,0.0373314652013,0.0557584382077,0.075822720652,0.0800733978756,0.060297070029,0.0813294240162,0.0306970708332,0.0918731871365,0.0963128089357,0.0528879166633,0.0717981651201
"1642.MS00503",0.0223820527116,0.0294573301704,0.0176144644384,0.0871230641745,0.0216339022519,0.0345894097404,0.0240896218797,0.0199293507813,0.0243118957956,0.086117439425,0.0879855918376,0.0178103579409,0.0792565433135,0.0913955402997,0.0955899917622,0.0409574692709,0.085611513655,0.0383481891511,0.1119771594416,0.0835994524112,0.0191917334762,0.0204685840294,0.0289144329531,0.0941967688935,0.0212641414948,0.0193254318473,0.0716267807268,0,0.1012562242841,0.0891774619178,0.0994369602356,0.0228854448808,0.0225264737095,0.0981372456689,0.0220040157007,0.0836979284877,0.0243385135951,0.0217012076021,0.103287311148,0.03176863187
"2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0934476565971,0.1090586737685,0.1087952617888,0.0367808299634,0.0932655268421,0.0851298652454,0.0885392244406,0.096071001297,0.0991528435714,0.0362157583409,0.023679163985,0.0996167254241,0.1395000536183,0.0465343100633,0.0426334947938,0.0983879662263,0.0458736918902,0.090946382599,0.0268440514418,0.0235431404841,0.0828196629273,0.0975111454645,0.1020734428556,0.0444536972961,0.0929566577871,0.0841165369951,0.0311795883487,0.1012562242841,0,0.0326172510298,0.059432921746,0.0825947638873,0.0882417606337,0.0481574530313,0.0938362015238,0.0202427397605,0.102361580815,0.1014085748275,0.0464023793737,0.0884046388049
"2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences",0.1032924303869,0.097906675966,0.1003699796352,0.0424672803873,0.1008868805189,0.0919772697572,0.096570863238,0.0987123470791,0.0957756762592,0.0492308200921,0.042396851357,0.0958868404352,0.1387785382544,0.035019625633,0.0413004735099,0.0906108830986,0.0467618070588,0.0859985231845,0.0327017526876,0.0272884598447,0.0796273333202,0.0997950881596,0.0979182476014,0.0558688859638,0.1039334536112,0.0883148966513,0.0373314652013,0.0891774619178,0.0326172510298,0,0.0812576411086,0.0922461469949,0.0953709825914,0.0544854777003,0.0976996890792,0.0264466566074,0.1091730539626,0.1111419676233,0.0419246356885,0.0901056691208
"2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences",0.1309190611625,0.0864746426674,0.1108296909673,0.0328663263537,0.1227711043314,0.1083296251681,0.1154548425088,0.1258639564635,0.1194454087177,0.0475285250228,0.0797932372671,0.1122168147688,0.1294697984306,0.0294579125592,0.0312924372813,0.096448699084,0.029339278219,0.0834917401983,0.0766450311888,0.0657334013889,0.0971020295979,0.1197519503296,0.1016816182777,0.0329263515027,0.126743486827,0.1019604885907,0.0557584382077,0.0994369602356,0.059432921746,0.0812576411086,0,0.1208042053094,0.1127559519937,0.0304047515445,0.1284105983035,0.062677509267,0.1270266437001,0.1358364992122,0.0318604149978,0.1024805246707
"1642.MS00446",0.0218509378221,0.0368391306877,0.0265888301789,0.0976206362616,0.0236234504489,0.0374618176133,0.0230960713374,0.0219749178288,0.0255415971383,0.0896169959395,0.0836552011496,0.0231234186925,0.0785128912366,0.0968796171462,0.1013668584853,0.0417285426167,0.1002204500137,0.0386936909685,0.0860345450892,0.081869261358,0.0201231455562,0.0252241888806,0.0338442367867,0.1019844947046,0.0228294840999,0.0202555373737,0.075822720652,0.0228854448808,0.0825947638873,0.0922461469949,0.1208042053094,0,0.0248159685034,0.1078612246043,0.0213969250834,0.0833722825803,0.0302924487304,0.024993829155,0.1112869794608,0.029491465817
"1642.MS00436",0.029339957389,0.023978531256,0.0217444987729,0.0944459672921,0.0260874857973,0.0419591271643,0.0270159197515,0.0244541873374,0.0260079566563,0.0914312884687,0.0931171098589,0.0230019165043,0.0867021615056,0.0980441694252,0.1016336792978,0.0312482703985,0.0986901065032,0.0268233709224,0.0955140053367,0.0870782586609,0.0219308727963,0.0235657129727,0.0202557129433,0.0994408316742,0.0269370977795,0.0196371307502,0.0800733978756,0.0225264737095,0.0882417606337,0.0953709825914,0.1127559519937,0.0248159685034,0,0.1043826836979,0.0251221634308,0.0904571168666,0.02634725189,0.027843729967,0.1063550295668,0.023272994972
