"","1642.MS00516","2382.RU006.C181.RH.4.793.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00599","2382.SH008.C6.HA.5.547.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.1.123.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00401","1642.MS00351","1642.MS00606","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00358","1642.MS00548","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00601","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00483","1642.MS00424","2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00390","2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00336","1642.MS00527","1642.MS00583","1642.MS00436","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00495","2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.453.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00509","1642.MS00617","1642.MS00503","1642.MS00346","1642.MS00556","1642.MS00446","1642.MS00345","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00633","2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences"
"1642.MS00358",0.8024,0.96,0.8774,0.9502,0.96,0.9666,0.79,0.7284,0.8596,0.9686,0,0.8002,0.944,0.8486,0.9768,0.96,0.9562,0.8254,0.7764,0.9644,0.7594,0.965,0.7454,0.809,0.8616,0.7956,0.9572,0.812,0.9612,0.9728,0.8048,0.8612,0.804,0.6876,0.8346,0.8594,0.7174,0.9496,0.8576,0.9602
"1642.MS00548",0.471,0.9242,0.7054,0.9128,0.9406,0.9252,0.516,0.623,0.5242,0.9488,0.8002,0,0.8966,0.537,0.9592,0.9302,0.9254,0.512,0.4842,0.9546,0.5798,0.9404,0.6258,0.4852,0.53,0.551,0.918,0.5038,0.9608,0.9602,0.4514,0.5532,0.4472,0.6518,0.5238,0.5602,0.6912,0.9134,0.5532,0.9354
"2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences",0.885,0.8548,0.9208,0.7006,0.8886,0.7232,0.8564,0.8886,0.8542,0.8854,0.944,0.8966,0,0.8806,0.917,0.7348,0.6818,0.9022,0.858,0.908,0.9276,0.8748,0.9458,0.9158,0.898,0.882,0.7182,0.9098,0.9156,0.9264,0.9256,0.8628,0.8902,0.8948,0.872,0.8596,0.9274,0.6684,0.8862,0.8382
"1642.MS00601",0.4942,0.925,0.688,0.8986,0.9464,0.9142,0.511,0.6306,0.5178,0.9472,0.8486,0.537,0.8806,0,0.9622,0.9096,0.9054,0.568,0.5364,0.9508,0.696,0.9462,0.7516,0.5374,0.5228,0.5644,0.9064,0.598,0.9604,0.9644,0.6216,0.5272,0.5868,0.7162,0.5196,0.5136,0.7798,0.8974,0.5658,0.9274
"2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences",0.9624,0.699,0.9726,0.8776,0.4878,0.8632,0.949,0.961,0.9556,0.4204,0.9768,0.9592,0.917,0.9622,0,0.9044,0.8742,0.9614,0.9516,0.7378,0.9638,0.6356,0.964,0.9672,0.9642,0.9472,0.8764,0.9542,0.9038,0.5488,0.9668,0.9592,0.9576,0.9604,0.9522,0.9516,0.9668,0.8808,0.9578,0.7318
"2382.DPOO1.C1.HA.5.647.rhizo.9.12.lane7.NoIndex.L007.sequences",0.915,0.891,0.9436,0.5992,0.8804,0.7406,0.8986,0.922,0.905,0.8768,0.96,0.9302,0.7348,0.9096,0.9044,0,0.5796,0.9238,0.8988,0.8566,0.9412,0.8434,0.9618,0.9314,0.9238,0.915,0.6068,0.9372,0.9472,0.902,0.9478,0.902,0.9222,0.9308,0.9048,0.8954,0.943,0.5452,0.9242,0.7512
"2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9142,0.8576,0.9444,0.5152,0.8414,0.6222,0.8854,0.9186,0.8898,0.8338,0.9562,0.9254,0.6818,0.9054,0.8742,0.5796,0,0.924,0.8916,0.824,0.9376,0.7874,0.9494,0.9276,0.9204,0.9012,0.5338,0.9306,0.9302,0.877,0.9436,0.8986,0.9156,0.925,0.9,0.8916,0.9436,0.5012,0.9138,0.7582
"1642.MS00483",0.501,0.9246,0.697,0.911,0.9404,0.9218,0.5072,0.6308,0.5678,0.9474,0.8254,0.512,0.9022,0.568,0.9614,0.9238,0.924,0,0.511,0.9532,0.6462,0.9454,0.7144,0.5386,0.5388,0.56,0.9178,0.54,0.9652,0.9646,0.5868,0.551,0.5692,0.7074,0.5224,0.5156,0.7644,0.914,0.6064,0.9358
"1642.MS00424",0.485,0.9072,0.6942,0.8796,0.9342,0.8952,0.4526,0.5578,0.5268,0.9378,0.7764,0.4842,0.858,0.5364,0.9516,0.8988,0.8916,0.511,0,0.9394,0.5792,0.9284,0.6292,0.4986,0.581,0.5284,0.8926,0.5538,0.9518,0.9538,0.5488,0.5522,0.4926,0.594,0.5132,0.5018,0.6684,0.879,0.5966,0.9136
"2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences",0.9546,0.7916,0.9682,0.833,0.6322,0.8982,0.9354,0.952,0.9472,0.6664,0.9644,0.9546,0.908,0.9508,0.7378,0.8566,0.824,0.9532,0.9394,0,0.9518,0.55,0.9492,0.9574,0.954,0.934,0.8498,0.9498,0.8016,0.5408,0.9598,0.9466,0.9498,0.9486,0.9436,0.9418,0.9598,0.8118,0.9436,0.6224
"1642.MS00390",0.6302,0.9326,0.777,0.9258,0.9484,0.9344,0.5906,0.586,0.6902,0.9524,0.7594,0.5798,0.9276,0.696,0.9638,0.9412,0.9376,0.6462,0.5792,0.9518,0,0.9482,0.5348,0.6196,0.6644,0.5816,0.9306,0.6068,0.962,0.9608,0.5596,0.7028,0.5904,0.6074,0.671,0.685,0.636,0.9324,0.6946,0.945
"2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences",0.9424,0.7278,0.9562,0.8088,0.5984,0.8336,0.9222,0.9444,0.936,0.5832,0.965,0.9404,0.8748,0.9462,0.6356,0.8434,0.7874,0.9454,0.9284,0.55,0.9482,0,0.9464,0.952,0.9466,0.9234,0.8064,0.9394,0.8444,0.5274,0.9504,0.9372,0.942,0.9418,0.931,0.9328,0.953,0.8036,0.9342,0.6336
"1642.MS00336",0.6948,0.9254,0.826,0.9414,0.942,0.9554,0.6682,0.6536,0.7532,0.9494,0.7454,0.6258,0.9458,0.7516,0.964,0.9618,0.9494,0.7144,0.6292,0.9492,0.5348,0.9464,0,0.666,0.7294,0.6602,0.9492,0.6372,0.9328,0.9652,0.559,0.782,0.5674,0.6234,0.7294,0.7674,0.6362,0.9484,0.7256,0.9486
"1642.MS00527",0.4962,0.9344,0.7168,0.9204,0.9476,0.9322,0.5354,0.6332,0.5898,0.953,0.809,0.4852,0.9158,0.5374,0.9672,0.9314,0.9276,0.5386,0.4986,0.9574,0.6196,0.952,0.666,0,0.5744,0.58,0.9278,0.5796,0.9702,0.967,0.5266,0.5754,0.5238,0.6726,0.5616,0.5506,0.692,0.9216,0.6174,0.945
"1642.MS00583",0.496,0.9256,0.6946,0.9104,0.9436,0.9208,0.5516,0.6648,0.5186,0.949,0.8616,0.53,0.898,0.5228,0.9642,0.9238,0.9204,0.5388,0.581,0.954,0.6644,0.9466,0.7294,0.5744,0,0.5616,0.9138,0.512,0.9642,0.9666,0.5658,0.4994,0.556,0.7482,0.5122,0.5352,0.8022,0.9144,0.5168,0.931
"1642.MS00436",0.5394,0.8992,0.687,0.8882,0.9206,0.9048,0.474,0.5324,0.5288,0.9292,0.7956,0.551,0.882,0.5644,0.9472,0.915,0.9012,0.56,0.5284,0.934,0.5816,0.9234,0.6602,0.58,0.5616,0,0.9008,0.584,0.9454,0.9494,0.587,0.556,0.5848,0.6376,0.5444,0.5276,0.7074,0.8998,0.5816,0.9182
"2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9072,0.8608,0.9398,0.5424,0.8478,0.6592,0.8876,0.917,0.8924,0.8406,0.9572,0.918,0.7182,0.9064,0.8764,0.6068,0.5338,0.9178,0.8926,0.8498,0.9306,0.8064,0.9492,0.9278,0.9138,0.9008,0,0.9228,0.9364,0.8754,0.9416,0.8954,0.9102,0.9228,0.8988,0.8894,0.9388,0.5872,0.9118,0.7456
"1642.MS00495",0.5106,0.9146,0.735,0.9202,0.9366,0.9288,0.5564,0.6462,0.5638,0.9386,0.812,0.5038,0.9098,0.598,0.9542,0.9372,0.9306,0.54,0.5538,0.9498,0.6068,0.9394,0.6372,0.5796,0.512,0.584,0.9228,0,0.947,0.9586,0.5114,0.5948,0.5204,0.6984,0.55,0.6026,0.735,0.922,0.5464,0.9368
