"","1642.MS00492","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00403","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00506","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00363","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00479","2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences","1001.SKD8","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00418","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00428","2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00603","2382.SH005.C3.RH.4.268.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00630","1642.MS00383","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00584","1642.MS00486","1642.MS00541","1642.MS00636","1642.MS00600","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00438","2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00571","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00437","1642.MS00515","1642.MS00408","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00559"
"1642.MS00479",0.0190776190544,0.0846559772413,0.0798414492217,0.0207228400125,0.0789100559186,0.0187539087865,0.0830726739261,0.1089872022679,0.0225676252183,0.0844326517516,0,0.0810057179299,0.1473741070634,0.0824938992976,0.0837719859799,0.0203025289914,0.0785034910541,0.0205212197953,0.0813151109298,0.0234053523748,0.0886249227586,0.0192049369572,0.0226591008782,0.1046350880489,0.0220403414822,0.0178089049119,0.019444419706,0.0206199182538,0.0218250535898,0.0818646810922,0.0200358181777,0.088074160513,0.0199267171041,0.0788631467573,0.1020467515672,0.0207483318491,0.018714625209,0.0200856855917,0.0966891629899,0.0190140114733
"2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0879447440091,0.0292362250391,0.0297246675762,0.0749638825867,0.0306444203122,0.0787472182819,0.0465297483994,0.0462825118109,0.0675224684248,0.017935917477,0.0810057179299,0,0.1041003666899,0.0281527137526,0.0412969218234,0.0870557982448,0.0401920327327,0.0764522800357,0.038591131487,0.0877945031989,0.0381224196146,0.082774688885,0.0771307945274,0.0453494887057,0.0983480315328,0.1024884401698,0.0898985408022,0.0882060675529,0.0979301387082,0.0341965127203,0.0815123452759,0.0353325133709,0.083711004274,0.0225634255748,0.0462847361914,0.0794346393086,0.0883230754351,0.0726327477926,0.0389263385465,0.0843200057776
"1001.SKD8",0.1630383882657,0.0861679441521,0.0843688309171,0.149259778985,0.0897246881434,0.1531707544859,0.0965403391208,0.0716620328243,0.1239200287949,0.1051921415794,0.1473741070634,0.1041003666899,0,0.122225695006,0.0867585062566,0.15873058344,0.1317637620268,0.1408274797486,0.1265846231281,0.1622359558978,0.0749729571099,0.1520727472528,0.1375471914779,0.0679418640711,0.1651714825421,0.162602864349,0.1551853934638,0.1582572253759,0.1626910330175,0.0854110246736,0.1404044724719,0.0724235260432,0.1404228674322,0.1189688281515,0.079511064091,0.1538679174266,0.157479340994,0.1365685720264,0.0671776091703,0.1525745436774
"2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0874403871336,0.0355890515467,0.0350538447951,0.0742546912664,0.0338364105258,0.0795820181467,0.0448464394902,0.0477481638125,0.0688715873382,0.0289876959269,0.0824938992976,0.0281527137526,0.122225695006,0,0.0464271644139,0.0895220857104,0.0317369899034,0.0785770309479,0.0329105393317,0.0866659801531,0.0385138070296,0.0845951041679,0.078234284702,0.0528350003595,0.1037333207403,0.0877561510377,0.0924826002052,0.08978241983,0.1026539751482,0.0381567618686,0.0836945564072,0.0420811033186,0.0835264788806,0.028264054797,0.0552762247054,0.0787527672369,0.0891662010874,0.0732220761123,0.0464949583513,0.0836428774693
"2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences",0.0916455631128,0.0197255838702,0.0231688227542,0.0818430123308,0.0232564182483,0.0892343546477,0.0306428460958,0.0172401505593,0.0730401313269,0.0419243027581,0.0837719859799,0.0412969218234,0.0867585062566,0.0464271644139,0,0.08570023932,0.0460746088258,0.0813075897969,0.0532089826249,0.0927322854284,0.0168700259238,0.0877994552992,0.0788886849913,0.0162614215551,0.097707736449,0.1027324488287,0.0926308406882,0.0901340676207,0.097841060053,0.0167970912011,0.0826493796378,0.0220781428695,0.0940187127079,0.0412125554992,0.0166427532293,0.0838036767837,0.0996598943476,0.076573096717,0.0279096809193,0.0887830365839
"1642.MS00418",0.0221781734094,0.0872951654718,0.0813794418417,0.0207958699395,0.0818420595915,0.0213463296246,0.0884831790167,0.1121169555985,0.020385781617,0.0890227482053,0.0203025289914,0.0870557982448,0.15873058344,0.0895220857104,0.08570023932,0,0.08229316754,0.019531917739,0.0838151727924,0.0254247282369,0.0891097617189,0.0213359363789,0.020553217695,0.1073770436526,0.0232466102011,0.0209818245983,0.0248156598604,0.0233608510713,0.0236102317703,0.0843073290372,0.0182833986605,0.0888162484405,0.0230233107773,0.0834731577341,0.104543790325,0.0194102579466,0.0217850977575,0.017900093672,0.1012188011546,0.0210335062353
"2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0842151284923,0.0457998179557,0.040539548939,0.071492255087,0.0433510375794,0.0750227520659,0.026799987572,0.0581815824873,0.0639012425723,0.0387977659979,0.0785034910541,0.0401920327327,0.1317637620268,0.0317369899034,0.0460746088258,0.08229316754,0,0.0757152493765,0.0318054333307,0.0857146238106,0.0399454350104,0.0788543007154,0.0751925654678,0.0659257902179,0.0989793229119,0.0810945063842,0.0890390774292,0.0860851792677,0.0977309532363,0.0439353045788,0.0783607172601,0.0512234122528,0.0798473840596,0.0370233954168,0.0634514119749,0.0744418552328,0.0876554767016,0.0697626590362,0.0619218722018,0.0802400813344
"1642.MS00428",0.0217278722727,0.0817385544346,0.0765159360323,0.0188621934637,0.0763205889128,0.0220129642148,0.0789058639889,0.1039124734284,0.0193113483707,0.0784792715757,0.0205212197953,0.0764522800357,0.1408274797486,0.0785770309479,0.0813075897969,0.019531917739,0.0757152493765,0,0.0782586659259,0.0272591731398,0.0837351964744,0.0227267862636,0.0183242816135,0.0991762240984,0.0260361023573,0.0212090602066,0.022535569243,0.0243804163168,0.0232859406103,0.0774406991426,0.0198608537461,0.0820402023127,0.0226681371298,0.0774096791022,0.0966525407087,0.020547318886,0.0209821867415,0.0179939065011,0.0905940938697,0.023110351617
"2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0844967235349,0.0413336960964,0.0469554403254,0.0742390195979,0.0438287242898,0.0790606028217,0.0580329231707,0.059614796667,0.0683093788407,0.03899879377,0.0813151109298,0.038591131487,0.1265846231281,0.0329105393317,0.0532089826249,0.0838151727924,0.0318054333307,0.0782586659259,0,0.0842366953423,0.0472536779629,0.0819326113893,0.0775468810825,0.0669107050583,0.0993341440719,0.0982229965543,0.0905316903857,0.0861857198583,0.0988919335263,0.0405512534572,0.081101546268,0.0597716172078,0.0845402032,0.0290438308296,0.0622317355976,0.0745835482321,0.0879855959799,0.0723750341256,0.0630128178562,0.0800388090166
"1642.MS00603",0.022297845621,0.0914268211222,0.0889752265649,0.023489714043,0.0869498738823,0.0216624150417,0.0951436191582,0.1179476736649,0.0263115349411,0.0906005581505,0.0234053523748,0.0877945031989,0.1622359558978,0.0866659801531,0.0927322854284,0.0254247282369,0.0857146238106,0.0272591731398,0.0842366953423,0,0.0972294671489,0.0224952277056,0.0291125750476,0.1141914815275,0.027108494537,0.0230729876213,0.024973889193,0.0219869690153,0.0247633811988,0.0895246191797,0.0245947248026,0.1016223411769,0.0237643512526,0.0850665048079,0.1102587067713,0.0226818236192,0.0229694884554,0.0214012916233,0.1063071363416,0.0221756817914
