"","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00515","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00428","2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00403","1001.SKD8","1642.MS00541","1642.MS00479","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00486","1642.MS00408","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00383","1642.MS00600","2382.SH005.C3.RH.4.268.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00603","2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00492","1642.MS00437","1642.MS00418","1642.MS00559","1642.MS00363","2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00584","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00571","2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00636","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00438","2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00630","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00506"
"1642.MS00486",0.9228,0.5134,0.9244,0.5324,0.9578,0.5596,0.989,0.5348,0.517,0.9578,0,0.5196,0.9416,0.5818,0.5432,0.9294,0.5668,0.9346,0.5208,0.534,0.5416,0.5074,0.5936,0.9122,0.9246,0.543,0.9304,0.5754,0.9544,0.5402,0.8912,0.916,0.5436,0.9188,0.9616,0.9606,0.9252,0.5514,0.9128,0.5508
"1642.MS00408",0.9074,0.509,0.9062,0.4484,0.9536,0.48,0.9898,0.548,0.475,0.952,0.5196,0,0.9332,0.4906,0.5714,0.9198,0.5196,0.9258,0.5096,0.4558,0.477,0.4958,0.4882,0.8874,0.9114,0.575,0.9008,0.5234,0.9482,0.5218,0.8572,0.8944,0.474,0.8968,0.9562,0.953,0.9174,0.5136,0.8552,0.4742
"2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences",0.6558,0.9412,0.814,0.9398,0.5358,0.9316,0.9776,0.938,0.9304,0.521,0.9416,0.9332,0,0.9318,0.94,0.6202,0.934,0.6712,0.9384,0.9366,0.9388,0.9414,0.9378,0.862,0.8694,0.9542,0.865,0.953,0.7462,0.938,0.8876,0.8018,0.9446,0.8054,0.5356,0.7484,0.6928,0.9322,0.5334,0.9372
"1642.MS00383",0.9084,0.5562,0.9038,0.4824,0.949,0.517,0.9844,0.5828,0.5542,0.9504,0.5818,0.4906,0.9318,0,0.605,0.922,0.5852,0.9246,0.5588,0.5128,0.5112,0.5368,0.5304,0.899,0.9138,0.6078,0.9026,0.5936,0.943,0.5896,0.8672,0.8996,0.5622,0.8972,0.9542,0.9434,0.9176,0.571,0.9112,0.5584
"1642.MS00600",0.918,0.4998,0.9214,0.5546,0.9614,0.5768,0.9872,0.4654,0.5264,0.9572,0.5432,0.5714,0.94,0.605,0,0.9248,0.5622,0.9326,0.5248,0.5934,0.5574,0.5304,0.6402,0.919,0.9278,0.5028,0.926,0.5896,0.9478,0.5266,0.8988,0.913,0.5862,0.9172,0.9614,0.9524,0.922,0.5348,0.9174,0.6004
"2382.SH005.C3.RH.4.268.root.9.11.lane1.NoIndex.L001.sequences",0.534,0.9318,0.8326,0.9214,0.5814,0.9194,0.9688,0.9224,0.9182,0.6162,0.9294,0.9198,0.6202,0.922,0.9248,0,0.922,0.5428,0.9272,0.9228,0.9222,0.9276,0.9228,0.8514,0.7602,0.9408,0.8558,0.9452,0.5542,0.9272,0.844,0.8352,0.9344,0.8494,0.5484,0.664,0.5092,0.9134,0.5744,0.93
"1642.MS00603",0.9196,0.5114,0.905,0.5662,0.9566,0.4952,0.9878,0.5516,0.5368,0.9572,0.5668,0.5196,0.934,0.5852,0.5622,0.922,0,0.9272,0.4702,0.5198,0.5404,0.5048,0.6134,0.8918,0.9212,0.586,0.902,0.5908,0.9452,0.499,0.867,0.8878,0.5918,0.8988,0.9586,0.9542,0.9152,0.4986,0.9306,0.5472
"2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences",0.4952,0.935,0.8812,0.9266,0.612,0.9216,0.955,0.9258,0.9244,0.6366,0.9346,0.9258,0.6712,0.9246,0.9326,0.5428,0.9272,0,0.933,0.9338,0.9266,0.9346,0.9238,0.8708,0.7576,0.9428,0.891,0.9496,0.6472,0.9356,0.8836,0.8778,0.94,0.888,0.5424,0.6832,0.6922,0.9194,0.6106,0.9326
"1642.MS00492",0.9112,0.4556,0.9074,0.5282,0.9586,0.5048,0.9882,0.5088,0.4792,0.9606,0.5208,0.5096,0.9384,0.5588,0.5248,0.9272,0.4702,0.933,0,0.4996,0.5124,0.4804,0.5916,0.8952,0.9292,0.533,0.9088,0.5604,0.9484,0.487,0.8758,0.8968,0.561,0.8982,0.9616,0.9534,0.9176,0.497,0.9192,0.5222
"1642.MS00437",0.9162,0.5234,0.9148,0.4974,0.9578,0.4832,0.9904,0.5792,0.5258,0.958,0.534,0.4558,0.9366,0.5128,0.5934,0.9228,0.5198,0.9338,0.4996,0,0.4544,0.4736,0.5428,0.8998,0.9266,0.5882,0.9076,0.586,0.951,0.5394,0.8704,0.9064,0.5064,0.9026,0.962,0.9572,0.917,0.535,0.9132,0.5332
"1642.MS00418",0.91,0.5176,0.9102,0.486,0.9564,0.4908,0.9874,0.5478,0.517,0.9578,0.5416,0.477,0.9388,0.5112,0.5574,0.9222,0.5404,0.9266,0.5124,0.4544,0,0.4822,0.5478,0.9022,0.9206,0.55,0.913,0.5938,0.9492,0.5404,0.8758,0.9054,0.4822,0.9052,0.9602,0.9486,0.9132,0.5418,0.9282,0.5462
"1642.MS00559",0.9188,0.49,0.919,0.514,0.9624,0.522,0.9886,0.533,0.4952,0.9616,0.5074,0.4958,0.9414,0.5368,0.5304,0.9276,0.5048,0.9346,0.4804,0.4736,0.4822,0,0.5688,0.9004,0.9284,0.5236,0.911,0.5558,0.95,0.512,0.8772,0.9002,0.5082,0.9112,0.9642,0.9556,0.9182,0.5014,0.9132,0.512
"1642.MS00363",0.9026,0.579,0.9058,0.5012,0.955,0.5516,0.9858,0.629,0.5422,0.9526,0.5936,0.4882,0.9378,0.5304,0.6402,0.9228,0.6134,0.9238,0.5916,0.5428,0.5478,0.5688,0,0.9002,0.9124,0.6248,0.9104,0.5164,0.942,0.6274,0.872,0.9032,0.478,0.9058,0.9572,0.9424,0.9146,0.6114,0.8428,0.4768
"2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences",0.8266,0.9042,0.7586,0.9038,0.9184,0.8898,0.9922,0.905,0.9042,0.9214,0.9122,0.8874,0.862,0.899,0.919,0.8514,0.8918,0.8708,0.8952,0.8998,0.9022,0.9004,0.9002,0,0.8804,0.9356,0.6938,0.9242,0.905,0.8994,0.6954,0.678,0.9114,0.748,0.9212,0.916,0.8418,0.8862,0.8512,0.8994
"2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences",0.7998,0.9234,0.8956,0.9126,0.8038,0.9118,0.9844,0.9086,0.9206,0.815,0.9246,0.9114,0.8694,0.9138,0.9278,0.7602,0.9212,0.7576,0.9292,0.9266,0.9206,0.9284,0.9124,0.8804,0,0.9434,0.9014,0.9416,0.8804,0.9214,0.8084,0.9102,0.9344,0.8984,0.8362,0.8788,0.8822,0.9036,0.857,0.928
"1642.MS00584",0.9346,0.502,0.9416,0.561,0.964,0.6062,0.9886,0.5394,0.505,0.9628,0.543,0.575,0.9542,0.6078,0.5028,0.9408,0.586,0.9428,0.533,0.5882,0.55,0.5236,0.6248,0.9356,0.9434,0,0.9384,0.5606,0.9614,0.5644,0.9208,0.9356,0.5594,0.935,0.964,0.962,0.9392,0.5762,0.9122,0.5674
