"","1642.MS00492","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00403","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00506","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00363","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00479","2382.SH004.C1.RH.4.417.rhizo.4.12.lane7.NoIndex.L007.sequences","1001.SKD8","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00418","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00428","2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00603","2382.SH005.C3.RH.4.268.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00630","1642.MS00383","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00584","1642.MS00486","1642.MS00541","1642.MS00636","1642.MS00600","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00438","2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00571","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00437","1642.MS00515","1642.MS00408","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00559"
"1001.SKD8",2.36472042525956,-2.84971213224675,-2.9461458845362,1.06267228165619,-3.37430476948455,1.12602233698989,-2.60741102059531,-3.8257863992574,-1.0072166942359,-2.38316367160595,0.808056447974371,-2.66218896168338,NA,-1.21109065247082,-3.27767730647869,2.01815114934958,-1.19613689756567,0.374804304091327,-1.1032232122582,2.42758949721411,-4.27321003628803,1.3707406505512,0.0916261326539466,-4.40154234132555,2.45788333180497,2.06875055911008,1.35952426491668,1.85709088041513,2.30622611466207,-4.03739178819288,0.178621601712123,-3.47515179765141,0.128536302598795,-1.66475981413044,-4.51642453641982,1.37190427854555,1.60544381948835,-0.0843946718067642,-4.54120987726065,1.22933440968643
"2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences",5.07110338093348,-2.81152694308153,-2.86300288639284,1.41852124427998,-4.82228430683025,0.790469569761691,-2.9937117067276,-3.54953518339291,-0.940666903252539,-7.43211867149985,1.82740529619947,-10.2180438286948,-1.21109065247082,NA,-4.10901269287434,6.54064303975282,-9.01091734118383,1.9551516317546,-2.72918300902405,6.33973586081147,-4.02337572038007,5.11517342513884,1.36754479033097,-3.5850466982131,7.4582848791539,3.78717220730294,5.74065164153208,5.49319625021691,7.30686959014709,-6.36570062217601,1.03731622415308,-3.27251771020465,0.743071487056415,-9.33711655652401,-4.66481634778099,2.02424793052855,4.27522625618897,0.0746005635478944,-5.81393995532659,2.40595362233091
"2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences",0.568782677589296,-3.91106997487466,-7.25987993278207,-0.52039435183773,-3.57836626028074,-0.309939456832805,-3.96749362459065,-7.41301103493818,-1.59378884899963,-4.66979940030201,-0.49181944878065,-5.2650377641511,-3.27767730647869,-4.10901269287434,NA,0.109919187582957,-3.90864054841822,-0.833094766744101,-2.67456307668905,1.02337027454658,-7.72849985463196,0.339333470352038,-1.05071963295925,-3.25630676149071,0.918512083654199,1.66661533805387,0.419433266033866,0.230192235015427,1.1534264994323,-7.49161886177764,-0.790608723946227,-5.98687903463211,-0.0782725995534207,-4.36484046998355,-8.049270786236,-0.608638177677647,0.944621432266477,-1.3980924952774,-3.39105677882893,0.0298428219828145
"1642.MS00418",-3.54077325865185,0.211471043788958,2.68553120883905,-3.30467832328663,0.958776159094697,-4.65779974297756,0.32937555414274,0.694173403156079,-4.36025723674813,6.67669794849427,-4.94323475798103,6.11180102602336,2.01815114934958,6.54064303975282,0.109919187582957,NA,5.75313700445775,-3.99564162062907,2.1636227502635,-1.51569585210399,2.32275760448603,-5.54782713670031,-3.22972771826611,0.957056794531858,-3.04990713679971,-2.98518363572292,-3.14369522838844,-4.20094328145646,-2.85714474319175,1.89002297248346,-4.2232742815777,0.550238769834073,-5.12677758250766,5.02736917503939,0.333021372670403,-3.75671003455829,-4.57426982913204,-5.13266422143385,1.02796525901178,-1.08719522636917
"2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences",5.72283191548271,-2.86063065413476,-5.70211584904617,2.34636749440839,-4.9011477996548,0.755692715815302,-6.40005722507409,-3.21927732316746,-1.03862458622094,-8.26056951567167,1.86473625126114,-8.35994944746679,-1.19613689756567,-9.01091734118383,-3.90864054841822,5.75313700445775,NA,2.16252925838518,-3.34192516552211,8.92642185945956,-5.2325536818928,5.28491268227745,2.128718874353,-3.00280671341292,7.16415424276901,3.39059956926649,6.30556782442167,7.21640654463917,6.98746080588786,-5.99235117052289,0.846394617231362,-2.62061299852204,0.685460575763705,-8.53995383703352,-4.01407872350733,2.61013584429275,5.22838856818093,0.633522386638317,-3.2261561514685,2.67278847344801
"1642.MS00428",-3.26377981056712,-0.637669075441924,-0.317035992923996,-4.57965103677594,-0.0621209627118589,-4.70573037875236,-0.0993204351914141,0.00244236964349173,-4.87642157801773,1.90823221522296,-4.2234739665749,1.84576959364887,0.374804304091327,1.9551516317546,-0.833094766744101,-3.99564162062907,2.16252925838518,NA,1.25760694489694,0.20313086483752,-0.1051256383104,-3.94243594561314,-5.16734365963356,0.0506957505669708,-2.09529950936818,-3.1683960420817,-3.94589620709014,-3.43749764801362,-2.49438524207372,0.714521820276555,-3.96459316261175,-0.500964616037592,-5.49119395624369,2.2224049672781,-0.75781437603488,-3.78409177608179,-4.3241926138537,-4.76939140675269,-0.284102731132877,-1.05189553102228
"2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences",2.33147521918872,-2.86494546570308,-2.0633223371455,0.882954037865796,-3.18324455898894,0.826803045543622,-1.69480896076508,-3.08306701141643,-0.504063744331452,-2.6004346567276,1.38785547131556,-2.61853466744532,-1.1032232122582,-2.72918300902405,-2.67456307668905,2.1636227502635,-3.34192516552211,1.25760694489694,NA,2.77060234000472,-2.94251386640694,2.18429690580945,0.917557485769758,-2.59156674618097,3.90194326374475,3.79580449484211,2.61229499182776,2.44295858851722,3.77400952072125,-4.5377403434005,0.930711177860702,-1.98116985616883,0.945239325797887,-2.81689052059431,-3.56942842627322,0.754596230693496,2.35780357825149,0.380478444736854,-2.58503523849475,1.30626589725695
"1642.MS00603",-1.40770943428345,0.440334317454148,1.71784208370094,-1.17778974497096,1.71430425938788,-3.44691961129017,1.00104628634525,1.27958611372678,-1.32840583553562,7.7253636700355,-2.33471143346222,8.01323343144811,2.42758949721411,6.33973586081147,1.02337027454658,-1.51569585210399,8.92642185945956,0.20313086483752,2.77060234000472,NA,1.93816430944416,-3.0697919622748,0.0426637901725193,1.84064210854106,-1.55142155106516,-1.97308560248995,-2.99429017497318,-3.11370140208529,-2.00468245696106,3.13811628387109,-2.25236973961063,1.49355351462515,-3.4678062633198,6.94845298799744,1.08911136737764,-2.02698678248213,-2.56128927752952,-2.83137770287626,1.43603729979299,-0.929854050388657
"2382.SH005.C3.RH.4.268.root.9.11.lane1.NoIndex.L001.sequences",1.3772010288391,-6.1128729181939,-6.41542418903431,-0.0585794556949606,-3.19132148176582,-0.333868637747743,-6.87742452059784,-6.74698554781939,-1.34733922157247,-4.27347285625947,0.351453009855211,-4.93000384741852,-4.27321003628803,-4.02337572038007,-7.72849985463196,2.32275760448603,-5.2325536818928,-0.1051256383104,-2.94251386640694,1.93816430944416,NA,0.806201065543154,-0.125312354467228,-7.34323083247311,2.13959993440597,2.23955868498466,1.00003319241547,1.14004936127309,2.27969218856263,-7.61544815571626,0.000667103201179984,-6.45562235669172,0.0545400388936844,-5.26902727373731,-6.09075369403495,0.304770439274602,1.0114570340247,-0.833140670121887,-6.40838231259733,0.669588009637877
"1642.MS00630",-4.44840368737561,0.161171049048142,0.755935303365915,-3.40567172901784,0.682120232221959,-4.50290030345601,0.209386498003054,0.61879804510886,-3.77952825442219,5.09833377879273,-5.76709758577671,5.32187028447137,1.3707406505512,5.11517342513884,0.339333470352038,-5.54782713670031,5.28491268227745,-3.94243594561314,2.18429690580945,-3.0697919622748,0.806201065543154,NA,-3.63245596505263,1.07275545213711,-3.04659370792064,-4.5713797372905,-4.39009811331695,-3.72806139530273,-3.5780669351538,2.02529791273111,-6.42070524603865,0.583594970218401,-3.93702438357056,4.58922624046632,0.306129193010495,-4.51599253647314,-4.35138744041761,-4.34355203584872,0.564289841409057,-4.25491849189979
