"","2382.SH004.C1.RH.4.15.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00371","1001.SKD8","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00386","1642.MS00567","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00517","1642.MS00621","1642.MS00466","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00361","1642.MS00446","1642.MS00595","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00524","2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00591","1642.MS00395","1642.MS00449","1642.MS00421","1642.MS00375","2382.MU002.C3.HA.4.75.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00491","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00635","2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00619","1642.MS00432","2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00604","2382.HE003.C181.HA.4.568.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00474"
"1642.MS00517",0.0812287337776,0.0796591352815,0.0780843515899,0.0763990982907,0.0365276375157,0.1325828941379,0.0938851388868,0.020311256163,0.0191698579106,0.0750369541199,0,0.0205431201335,0.0177509503963,0.0928446263938,0.0812736736868,0.0257222627405,0.0200676441376,0.0226766248722,0.078751644872,0.022747426468,0.0874003055269,0.0783325480564,0.0741647633719,0.0247808966699,0.0197930371171,0.0213066879645,0.0189965840264,0.0332126329292,0.0805932143284,0.0245283366493,0.0784264636995,0.0191052762337,0.0860312952455,0.0750488978938,0.0234539331424,0.0211230998451,0.080911500264,0.0202329915237,0.091290636706,0.0179526211705
"1642.MS00621",0.0923915264009,0.0937723419713,0.088974163441,0.0813765894339,0.0415765289996,0.148556004277,0.087685652313,0.0236660483349,0.0206471131443,0.0826077089115,0.0205431201335,0,0.0199653820046,0.1069683200293,0.0911148686155,0.0315333255915,0.0211381884385,0.0267055056363,0.0871740794719,0.0222542528922,0.1036453249197,0.0913696400948,0.0805090085242,0.0281549232924,0.0235622177174,0.0214231255736,0.0224568866331,0.0401986542628,0.0961358964281,0.0251084738682,0.0920903977596,0.0211883374702,0.1043103457026,0.0811712361415,0.0216642416214,0.0230178004046,0.1063029515731,0.020883132441,0.105305586004,0.02028031087
"1642.MS00466",0.0899180233568,0.0891197821449,0.0884165917859,0.0861245506071,0.0391278226969,0.1495588674907,0.102106727045,0.0198544372445,0.0198633512423,0.0818900789038,0.0177509503963,0.0199653820046,0,0.099811635325,0.0882853846956,0.0260466595314,0.020647036678,0.0251913481178,0.0865537133185,0.0253243263106,0.0956471854624,0.0866551495649,0.084668040945,0.0263552554705,0.0174547978829,0.023079919308,0.0198711225209,0.033585703415,0.0898720769275,0.0233824298824,0.0869756564189,0.0209048104925,0.0925589049457,0.0857936156351,0.0236640090061,0.0200134025835,0.0870988584811,0.0212176119295,0.0990154016477,0.0174579393989
"2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences",0.0293895334494,0.0241048016324,0.0233943182243,0.0430672966191,0.09208103668,0.0704810287939,0.0507530390517,0.0875637154298,0.1055691169302,0.04309447526,0.0928446263938,0.1069683200293,0.099811635325,0,0.0337385629272,0.0867611602856,0.1009324389558,0.0879986519764,0.0586349532746,0.1105575421636,0.0205595186241,0.0246172830502,0.0481319857147,0.0925055641254,0.0919424096109,0.1058018269283,0.0861774797186,0.1034851984673,0.023571520742,0.0959374290018,0.0212580506958,0.1055259748788,0.0177183614322,0.0451772922109,0.1137153329306,0.0939976125011,0.0212366477873,0.105406122079,0.0092896869704,0.0998565125
"2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences",0.0304189262667,0.0325840283309,0.0228251807413,0.0351261291176,0.0858132765638,0.0890953422169,0.03237232333,0.0789651805193,0.0899995689982,0.047144510293,0.0812736736868,0.0911148686155,0.0882853846956,0.0337385629272,0,0.0813974644837,0.0865205629485,0.0767670007746,0.0607756079114,0.0894421382089,0.0307383347823,0.0220601248714,0.0362970186137,0.0764833639354,0.0837421072353,0.0909454119142,0.0789604972259,0.0951976116133,0.0178429249838,0.0808091420802,0.0239040746201,0.0941420991315,0.0292692353202,0.031326489279,0.0942107366882,0.0800887270436,0.0230408501151,0.0872120384337,0.0340300366663,0.087660215442
"1642.MS00361",0.0763726322124,0.0743721404586,0.0755933744897,0.0787566997058,0.0236466636817,0.1243010504601,0.0893765759885,0.0210187537023,0.0301061657169,0.0830677143682,0.0257222627405,0.0315333255915,0.0260466595314,0.0867611602856,0.0813974644837,0,0.0297998349671,0.0321909228028,0.0789207579169,0.0337799680517,0.0823516925099,0.0788501821929,0.0799795517016,0.0341243642799,0.0209168545481,0.0265781433342,0.0210682367268,0.0221214487122,0.0802349919585,0.0343057128411,0.0768727003364,0.0328789851086,0.084073484504,0.0805898709516,0.0363518328917,0.0239959091745,0.0777835926903,0.032328018541,0.0865248828132,0.0287478445974
"1642.MS00446",0.0858090809934,0.0885580808872,0.084538388535,0.0766201450496,0.0391719743665,0.1476136823331,0.082700005787,0.022827007263,0.0228751212396,0.0788185538517,0.0200676441376,0.0211381884385,0.020647036678,0.1009324389558,0.0865205629485,0.0297998349671,0,0.0256868441925,0.0836223273997,0.0200521733858,0.0912106958484,0.0809198101822,0.0749506197894,0.0313860639371,0.0225726534087,0.0199206576029,0.0208858951403,0.0368239924342,0.0830692294052,0.021963782436,0.0842476301028,0.0248283298399,0.0933651280671,0.0760658443535,0.0223545459734,0.020071026287,0.0851974475338,0.0216282896495,0.097579346252,0.0195543887563
"1642.MS00595",0.0723135661794,0.073539453641,0.0743904546796,0.0704349884365,0.0409210948386,0.1289229293854,0.0822774571129,0.0258905843242,0.024899548505,0.0694417490177,0.0226766248722,0.0267055056363,0.0251913481178,0.0879986519764,0.0767670007746,0.0321909228028,0.0256868441925,0,0.0755054282651,0.0286984091153,0.0782696177567,0.0699536918105,0.069514098955,0.0277068146352,0.0253655157587,0.0274145433457,0.023329283499,0.0411570992794,0.0732838574356,0.0308845798071,0.0752946953949,0.0248721162814,0.0818303194318,0.0697077961678,0.028017899216,0.025835798543,0.0758689283402,0.0272530620925,0.0875537802663,0.0244296054763
"2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0530415771602,0.0529438096925,0.0570156048839,0.0428520209486,0.0782956349833,0.1192823887882,0.0500495600537,0.0725442080994,0.0896180174295,0.0220032344124,0.078751644872,0.0871740794719,0.0865537133185,0.0586349532746,0.0607756079114,0.0789207579169,0.0836223273997,0.0755054282651,0,0.0901302572461,0.0659050791785,0.0454711797823,0.0506062932217,0.0886326335411,0.0794231973513,0.0894812450307,0.072414326513,0.0911833605692,0.0596555003109,0.0802043590893,0.0538299597153,0.0923297199235,0.0519913578956,0.0530680844913,0.0929015702146,0.0763724089058,0.0498463682168,0.0906279643655,0.0644660396671,0.0855531557238
"1642.MS00524",0.0962007363395,0.0963445446664,0.0901299002961,0.0836593018685,0.0459830754809,0.1575561534458,0.0844988639491,0.0255089347357,0.0229394603992,0.0843983376363,0.022747426468,0.0222542528922,0.0253243263106,0.1105575421636,0.0894421382089,0.0337799680517,0.0200521733858,0.0286984091153,0.0901302572461,0,0.1038496886001,0.0902321552077,0.0802608752035,0.0300935334089,0.0233857356289,0.0213287056786,0.0227779994605,0.0434431371975,0.0923266122882,0.022873178229,0.0909670821377,0.02613320095,0.1003165195212,0.0813636064103,0.0217637369879,0.0225298478467,0.0917531266037,0.0202138358321,0.1064293889241,0.0225671657227
