"","1642.MS00517","1642.MS00621","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","1001.SKD8","2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00371","1642.MS00421","1642.MS00595","1642.MS00604","2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00386","1642.MS00567","1642.MS00474","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00375","1642.MS00591","2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00466","2382.HE003.C181.HA.4.568.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00524","2382.SH004.C1.RH.4.15.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00491","1642.MS00432","2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00361","2382.MU002.C3.HA.4.75.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00449","1642.MS00395","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00635","2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00446","1642.MS00619","2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences"
"2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9038,0.883,0.7198,0.8596,0.981,0.5702,0.9366,0.899,0.904,0.902,0.5914,0.9104,0.9198,0.905,0.8258,0,0.9486,0.9198,0.8688,0.9166,0.8694,0.5338,0.8976,0.7606,0.8844,0.8958,0.8594,0.9254,0.784,0.899,0.9138,0.8178,0.9042,0.7788,0.763,0.7198,0.8416,0.8916,0.8964,0.7582
"1642.MS00375",0.7226,0.7268,0.9272,0.9598,0.9876,0.9502,0.603,0.6576,0.7424,0.7428,0.9484,0.6754,0.7252,0.7096,0.9244,0.9486,0,0.7936,0.9512,0.7242,0.9632,0.9462,0.7116,0.9482,0.745,0.6688,0.9666,0.576,0.9502,0.6454,0.6652,0.9488,0.7422,0.9504,0.9506,0.9482,0.9544,0.7106,0.7178,0.9508
"1642.MS00591",0.6468,0.6588,0.9164,0.952,0.99,0.9122,0.7984,0.6748,0.6592,0.5988,0.9136,0.7066,0.6336,0.6414,0.9226,0.9198,0.7936,0,0.9422,0.6688,0.956,0.9108,0.6484,0.935,0.6618,0.691,0.9582,0.7414,0.934,0.688,0.696,0.937,0.6338,0.9292,0.9356,0.926,0.949,0.6956,0.6696,0.9222
"2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences",0.9354,0.9218,0.8814,0.6512,0.955,0.8786,0.9476,0.93,0.9008,0.9352,0.8782,0.9222,0.9292,0.921,0.8906,0.8688,0.9512,0.9422,0,0.9298,0.6272,0.8632,0.9334,0.6864,0.9266,0.9254,0.7256,0.9324,0.588,0.933,0.9284,0.6192,0.9298,0.619,0.6966,0.6372,0.5064,0.9276,0.93,0.6134
"1642.MS00466",0.4688,0.5582,0.8954,0.95,0.9878,0.9198,0.7104,0.5348,0.6196,0.584,0.9126,0.5392,0.468,0.4998,0.9006,0.9166,0.7242,0.6688,0.9298,0,0.9524,0.91,0.5816,0.9234,0.588,0.528,0.9532,0.6506,0.9306,0.5758,0.5042,0.9318,0.545,0.9202,0.93,0.924,0.9398,0.585,0.5798,0.9264
"2382.HE003.C181.HA.4.568.root.4.12.lane7.NoIndex.L007.sequences",0.952,0.9396,0.9058,0.2902,0.9686,0.8926,0.9626,0.9458,0.9218,0.957,0.8952,0.943,0.9498,0.9414,0.9266,0.8694,0.9632,0.956,0.6272,0.9524,0,0.8788,0.9532,0.7474,0.9536,0.951,0.7776,0.9528,0.7164,0.9478,0.948,0.6408,0.9462,0.5972,0.7146,0.733,0.4714,0.9492,0.953,0.6908
"2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9062,0.884,0.7408,0.8614,0.981,0.5926,0.9322,0.8956,0.9014,0.9006,0.6132,0.9088,0.9138,0.8972,0.8118,0.5338,0.9462,0.9108,0.8632,0.91,0.8788,0,0.8932,0.7848,0.8736,0.8926,0.8768,0.9232,0.8018,0.8974,0.9094,0.8276,0.9054,0.795,0.7826,0.7066,0.8498,0.8894,0.8942,0.7456
"1642.MS00524",0.559,0.4916,0.8756,0.9518,0.9902,0.9024,0.7524,0.5508,0.617,0.4958,0.8916,0.6224,0.5682,0.5354,0.8818,0.8976,0.7116,0.6484,0.9334,0.5816,0.9532,0.8932,0,0.9292,0.4864,0.521,0.9618,0.6836,0.9308,0.488,0.5956,0.93,0.551,0.9198,0.9304,0.9164,0.9448,0.4892,0.476,0.9206
"2382.SH004.C1.RH.4.15.root.6.11.lane1.NoIndex.L001.sequences",0.924,0.9142,0.8788,0.7622,0.949,0.8256,0.9298,0.9228,0.8944,0.9318,0.824,0.9118,0.9302,0.9156,0.8912,0.7606,0.9482,0.935,0.6864,0.9234,0.7474,0.7848,0.9292,0,0.9212,0.9118,0.5476,0.9218,0.5526,0.926,0.9294,0.777,0.9218,0.7348,0.6056,0.5556,0.6706,0.9226,0.9276,0.6816
"1642.MS00491",0.5586,0.5258,0.8616,0.9472,0.9898,0.8844,0.739,0.558,0.6252,0.5186,0.8752,0.6474,0.5972,0.5312,0.8718,0.8844,0.745,0.6618,0.9266,0.588,0.9536,0.8736,0.4864,0.9212,0,0.5522,0.9566,0.6916,0.9176,0.5484,0.6278,0.9206,0.5998,0.9118,0.9258,0.9062,0.9376,0.5036,0.535,0.901
"1642.MS00432",0.4998,0.516,0.871,0.9502,0.985,0.9018,0.6644,0.4804,0.597,0.5684,0.8864,0.5498,0.5306,0.5024,0.8726,0.8958,0.6688,0.691,0.9254,0.528,0.951,0.8926,0.521,0.9118,0.5522,0,0.9458,0.6124,0.9192,0.4866,0.5254,0.925,0.5548,0.9184,0.9104,0.908,0.9376,0.4862,0.5224,0.9212
"2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences",0.9568,0.951,0.9384,0.7924,0.9528,0.8794,0.9584,0.9526,0.9214,0.9616,0.8908,0.9426,0.9546,0.9466,0.95,0.8594,0.9666,0.9582,0.7256,0.9532,0.7776,0.8768,0.9618,0.5476,0.9566,0.9458,0,0.9494,0.5608,0.958,0.9546,0.8114,0.9492,0.7662,0.6706,0.556,0.7056,0.9508,0.957,0.7166
"1642.MS00361",0.662,0.6722,0.912,0.9522,0.9836,0.9284,0.5796,0.582,0.7018,0.696,0.9278,0.6052,0.6574,0.6364,0.905,0.9254,0.576,0.7414,0.9324,0.6506,0.9528,0.9232,0.6836,0.9218,0.6916,0.6124,0.9494,0,0.9304,0.6398,0.5882,0.9356,0.6792,0.9304,0.9278,0.9314,0.9464,0.6912,0.7052,0.93
