"","1642.MS00377","1642.MS00474","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.472.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00351","1642.MS00570","1642.MS00523","2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00536","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00471","1001.SKB8","1642.MS00508","2382.SH007.C6.RH.5.523.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.1.378.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.3.587.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00419","1642.MS00574","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","1001.SKM9","1642.MS00518","2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00520","1642.MS00548","1642.MS00421","2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00443","2382.DPOO1.C1.HA.5.448.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00442","1642.MS00524"
"1642.MS00570",-2.85562855374926,-5.27149616256053,7.17051106118117,-0.488640267208925,-0.787430521659615,0.583230140927195,-0.556807489358354,0.902188148460507,0.302873208854748,-3.19662227552674,NA,-4.4306243544572,-0.56445635661466,-1.00710823731685,-0.982051147272391,7.82466593780255,-1.2980534707785,0.0752132137442992,-5.7806791426413,2.06953441658456,-6.43903879703831,-0.213904323502136,-0.43782094497897,-0.351496236801426,5.13799704529061,-4.9537281287896,-4.71468141764456,-0.373574692314256,5.11735634642534,3.3536179311065,-4.14763574791998,0.26001508815347,-4.34723505772914,-5.40562833247349,-5.7243942597651,0.271417437074897,-4.88778756807829,-0.509684994423963,-4.22095866069783,-4.8531303563104
"1642.MS00523",-1.69139387899217,-3.55556381360672,11.8851042223656,4.39569133596792,2.76059031064553,11.9893502693112,2.97965452526856,13.2921440368766,10.6452048055957,-1.51334717793457,-4.4306243544572,NA,3.51889513263628,1.05409894175547,1.49728109161147,14.7106484730802,-0.70470161285801,8.41522307238021,-2.67096825816557,1.75809719222069,-3.20919038055875,5.41832108678542,2.81408934210107,3.4460971242691,11.205754474594,-4.19070513414608,-0.323686278454207,2.76324527031194,11.3084542034184,3.81625246970834,-2.07930458403793,8.15412694749599,-4.00689046077951,-1.94446520704991,-2.12590965751942,9.03357851470978,-3.52416714472038,2.10825469013173,-3.64392312834972,-2.03466960749356
"2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences",-0.518315044929502,0.906922303550655,-3.61402678174686,-7.36575466486919,-6.51344455117315,-4.60562497985662,-4.30824185856155,-3.85239466216193,-4.87873343310946,-0.339825595143606,-0.56445635661466,3.51889513263628,NA,-6.93747548770102,-5.17803307943553,-3.12878027991376,0.320793729707989,-6.36862245105558,-0.272599663921228,-3.06663873947349,-0.85423168380999,-6.6346230929568,-4.67384516018897,-5.46315941233105,-5.05916751275023,1.15885548859305,1.67133925512405,-8.34523606085144,-3.78335410220975,-3.83353807501693,0.566185622440837,-3.88061275987115,-0.620718825411376,0.454510735973578,-1.00131907883473,-6.6570829833247,1.74022825410157,-5.3491086247222,1.80489664894284,2.72614413248886
"2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences",-1.340531113815,-0.0963109503086302,-2.42897422698249,-5.79243581750112,-6.14115187257575,-6.56218704507749,-3.94233498856096,-4.94045737516808,-2.71623921811661,-1.07478049701165,-1.00710823731685,1.05409894175547,-6.93747548770102,NA,-5.16300952309593,-2.2131478706509,-0.390538195356283,-2.20599359493351,-0.689798214221381,-0.534763510689876,-1.20455350292686,-5.82059917629172,-4.20181597839826,-5.90712614269746,-6.52753978126529,-0.424994058646315,-0.011196280051552,-8.65343615682731,-4.07640299438048,-0.321469033046122,-0.612854122847536,-4.75607646084126,-1.10089606329148,-0.435656773695784,-1.19191257117933,-4.95470367250508,0.057278803736572,-5.41933127689117,-0.0596057074151964,0.546830782715386
"2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences",-1.00089551004343,0.164486413313439,-2.84028021783618,-7.19289259387047,-5.26509098792095,-5.36526795164552,-3.42065654723965,-4.20113915442024,-5.53171877913242,-1.25518071941093,-0.982051147272391,1.49728109161147,-5.17803307943553,-5.16300952309593,NA,-2.74696963746301,-0.315411466226282,-4.93803585219275,-0.92570679013203,-2.39981368484419,-1.1210750844679,-5.94196739495653,-5.08377946404178,-4.17488381913541,-5.56059491684957,0.245642321690269,0.198577791453474,-4.68566960570808,-3.18633605965868,-3.57507186441117,-0.364982802953991,-5.45173671371418,-1.07727619187481,-0.214134082372131,-1.48016495402784,-4.84231165404617,0.328449735952017,-4.70910556617216,0.453027511535736,0.949600028010349
"2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences",3.71376777516029,10.3743472218919,-6.76494838975942,-2.23693648875952,-3.68476996030576,-5.36652860558548,-3.17703644182179,-6.90778988903352,-6.32130922196893,2.3625098798346,7.82466593780255,14.7106484730802,-3.12878027991376,-2.2131478706509,-2.74696963746301,NA,2.03234061220055,-6.14306526503539,8.32450892915772,-0.179135947655371,7.38667582116118,-3.87853579985955,-2.41253044652474,-3.48114724210787,-5.34881817350893,7.51985095771486,9.27104203751692,-1.77695088002478,-5.38396301891357,-0.686118665272185,9.29470995310995,-4.85234455173746,9.63669646807128,9.7758322891315,6.1527859320763,-5.07232149254817,10.3958729547562,-2.04202664705272,10.7678137363113,12.0853968945853
"1642.MS00536",-1.22580352819226,-0.888585378155257,1.53390893237078,0.602281486853335,-0.14583665511375,1.4297550019741,0.171255364556537,1.69981758410596,1.04564412862259,-1.10013543582167,-1.2980534707785,-0.70470161285801,0.320793729707989,-0.390538195356283,-0.315411466226282,2.03234061220055,NA,0.841095868391809,-0.95025988688445,1.07254676169185,-1.1319465374166,0.651120622842713,0.439924688604893,0.489928403845941,1.22006534732217,-3.65863333751217,-0.740780386155572,0.614806046749447,1.23868999703815,2.78344943658064,-0.975974993640657,0.920594229058004,-1.21973745813347,-0.895071746381942,-0.905343739231325,0.864059437032359,-0.892014481967286,0.109496196986013,-0.926016033329137,-0.587328597098687
"2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences",1.11772635510678,4.71829046494218,-7.96178923750362,-3.68715731094641,-4.35419413285912,-7.40000098965461,-4.51640739176547,-5.31848601852186,-8.06666623641528,0.866962326523439,0.0752132137442992,8.41522307238021,-6.36862245105558,-2.20599359493351,-4.93803585219275,-6.14306526503539,0.841095868391809,NA,1.16602455404271,-0.912232805108216,-0.252328860166753,-4.28659938261066,-6.00573301814826,-4.15803379735212,-8.3994536878289,3.18409959910488,4.06664591839255,-3.45621124757265,-8.32198566407125,-0.70625342827261,2.33322832303214,-8.66689880425813,0.183665372541479,1.99879271472439,0.906326802465101,-8.74240322945064,4.34722804857919,-4.70030843478261,4.55928452091293,5.56232450103576
"1642.MS00471",-2.48582430157015,-4.16700573674468,7.46095544662511,0.147887491449253,-0.496377078734019,1.65509620568125,-0.430433672455656,2.2526764241391,1.28781737540818,-3.13773064652713,-5.7806791426413,-2.67096825816557,-0.272599663921228,-0.689798214221381,-0.92570679013203,8.32450892915772,-0.95025988688445,1.16602455404271,NA,1.59732423492846,-6.35726727715133,0.200891749154279,0.00143437477524765,0.10708644721549,4.69518896997479,-5.249255193435,-3.11330962670236,0.233211325783925,6.33795620503874,3.28939983682767,-4.94640821955748,1.14799161309069,-6.05736427555829,-4.40684934571723,-4.42173982664635,1.10852303118862,-4.38416671773167,-0.329502554254971,-3.49716095641775,-2.33170911008955
"1001.SKB8",0.307283135067156,1.24379009196787,-1.11380838651493,-2.22400273828136,-3.16818786055656,-1.66060926544108,-1.83706935619986,-1.10002142542537,-1.91675699963742,0.529382504464837,2.06953441658456,1.75809719222069,-3.06663873947349,-0.534763510689876,-2.39981368484419,-0.179135947655371,1.07254676169185,-0.912232805108216,1.59732423492846,NA,1.85724168050839,-2.16043613388025,-2.10853357845902,-2.05180429360446,-1.54249667206286,0.981081903138646,1.10964778483274,-2.87565912062848,-0.733600305993381,-4.08524177764137,1.20864325578127,-0.568488843524071,1.93047474108146,1.69266161561364,0.490977763942408,-1.28227893458072,1.03591272513381,-2.1705773380849,1.05763161275485,1.62459946288987
"1642.MS00508",-3.21268479632686,-6.7779771009663,6.0730496936212,-0.73271044616006,-1.0268476295032,0.0726144256704639,-0.912691165840474,0.320830799323718,-0.147468248833805,-2.82343460896102,-6.43903879703831,-3.20919038055875,-0.85423168380999,-1.20455350292686,-1.1210750844679,7.38667582116118,-1.1319465374166,-0.252328860166753,-6.35726727715133,1.85724168050839,NA,-0.634733389363563,-0.657975652130496,-0.642436745816152,4.29310197770623,-5.57918857470693,-4.78374661116876,-0.719055561696265,5.66677289436767,2.96076741679344,-4.62254490735319,-0.134422802481322,-5.98487556344002,-3.74812213577253,-5.04444476674058,-0.155067579641681,-5.11871416536535,-0.856103101615368,-5.4502183369124,-4.17256452320355
"2382.SH007.C6.RH.5.523.root.4.12.lane7.NoIndex.L007.sequences",0.11139879896876,1.60970152931593,-3.91437765264088,-2.92400580073984,-4.00895720815173,-6.07716611171121,-4.31505051954744,-4.43770383780943,-5.30536492351983,-0.560897905633659,-0.213904323502136,5.41832108678542,-6.6346230929568,-5.82059917629172,-5.94196739495653,-3.87853579985955,0.651120622842713,-4.28659938261066,0.200891749154279,-2.16043613388025,-0.634733389363563,NA,-4.36901489185657,-5.94153751870812,-7.12433652169854,1.42253067137393,2.34529627138192,-6.11966928404361,-3.36669321035931,-2.68560892662908,0.79599689032634,-3.84482032660653,-0.230815362020289,1.0303409035666,-0.597614346383994,-5.22131793808519,2.3545831446419,-3.59638432854136,2.47017506375682,3.50384597351643
"2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences",-0.178591065179675,1.46024785663922,-3.08407786772995,-5.75230490576254,-5.47702195483686,-5.09157089334516,-4.06777450105401,-4.56679849828231,-5.9268821527032,0.100809560996838,-0.43782094497897,2.81408934210107,-4.67384516018897,-4.20181597839826,-5.08377946404178,-2.41253044652474,0.439924688604893,-6.00573301814826,0.00143437477524765,-2.10853357845902,-0.657975652130496,-4.36901489185657,NA,-5.33295417162166,-5.14006940485734,1.65980306532137,1.38779341613546,-6.78829070791451,-3.38237701832531,-2.88528591608684,0.940481052200239,-4.20438960540043,-0.462677308430137,0.833284868787755,-0.280486369801346,-4.8538853524338,1.73739055621746,-4.30447306120311,1.73939186510904,2.07835535875995
"2382.RU006.C181.RH.1.378.root.9.11.lane1.NoIndex.L001.sequences",-0.559904677805487,1.67683905460171,-4.06820736789073,-5.44153551009882,-4.61651472855423,-5.31120186154623,-4.49387303941804,-4.87317820277477,-5.03582186030288,-0.833950960521755,-0.351496236801426,3.4460971242691,-5.46315941233105,-5.90712614269746,-4.17488381913541,-3.48114724210787,0.489928403845941,-4.15803379735212,0.10708644721549,-2.05180429360446,-0.642436745816152,-5.94153751870812,-5.33295417162166,NA,-6.89062778157567,0.570647220065168,1.78182926793078,-4.38259502063883,-3.42901137856544,-2.34644324137553,1.01682199845886,-4.48235804317078,-0.412211468095115,1.01860654891865,-0.426730906742602,-4.90265600115059,1.76863338956749,-4.75555467889252,1.36706929761283,2.58907089258383
"2382.RU006.C181.RH.3.587.rhizo.4.12.lane7.NoIndex.L007.sequences",1.6086225641894,7.39944560726044,-8.10558323466908,-5.46064914293181,-5.63724124913221,-9.78910329950838,-5.63612629053352,-5.85483578560658,-9.16648454129481,0.609261994192571,5.13799704529061,11.205754474594,-5.05916751275023,-6.52753978126529,-5.56059491684957,-5.34881817350893,1.22006534732217,-8.3994536878289,4.69518896997479,-1.54249667206286,4.29310197770623,-7.12433652169854,-5.14006940485734,-6.89062778157567,NA,4.74047782906908,5.87947359707072,-3.89466654568941,-6.97656122806586,-2.03937843340056,5.4368813659739,-6.669931807183,5.93488275819653,6.3834356721355,2.37665915738481,-7.2256288144193,6.07875403012001,-5.85362628033841,6.28293495381117,7.47377681760242
"1642.MS00419",-2.3149652508758,-4.29953180548921,5.38270803723744,1.6957420564385,0.150414382938804,4.36516983277151,0.354677225662577,5.94499968043469,3.092929750523,-2.06897178422771,-4.9537281287896,-4.19070513414608,1.15885548859305,-0.424994058646315,0.245642321690269,7.51985095771486,-3.65863333751217,3.18409959910488,-5.249255193435,0.981081903138646,-5.57918857470693,1.42253067137393,1.65980306532137,0.570647220065168,4.74047782906908,NA,-2.63745059867252,1.0384785798271,4.30484006368267,2.71038537584989,-3.4024078701873,3.67522533906142,-5.479767331333,-3.97175876066465,-3.51886318840396,2.83211556072042,-4.6861235974547,1.15658655532701,-4.76997110479619,-2.76444947621395
"1642.MS00574",-2.17289329565465,-4.66499622051761,8.26322411597489,2.32620612317417,0.64131165498937,6.82203645342553,0.752319367043278,7.6622821907345,5.21855076085308,-2.12428520433739,-4.71468141764456,-0.323686278454207,1.67133925512405,-0.011196280051552,0.198577791453474,9.27104203751692,-0.740780386155572,4.06664591839255,-3.11330962670236,1.10964778483274,-4.78374661116876,2.34529627138192,1.38779341613546,1.78182926793078,5.87947359707072,-2.63745059867252,NA,1.43664714056947,6.41272299579714,2.11687847246548,-3.26662049105844,4.05155224229476,-5.57146166642603,-3.21914687722077,-3.21776919432017,3.95676690416442,-2.36837768651576,0.704747762650759,-2.35772042232636,-1.97314330346475
"2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences",-0.290882768847002,0.88247525713557,-2.13959284785381,-7.45669778615541,-5.69807823485116,-3.00058372855099,-3.58033491975523,-2.63846718962874,-3.69068161517896,0.115430199510146,-0.373574692314256,2.76324527031194,-8.34523606085144,-8.65343615682731,-4.68566960570808,-1.77695088002478,0.614806046749447,-3.45621124757265,0.233211325783925,-2.87565912062848,-0.719055561696265,-6.11966928404361,-6.78829070791451,-4.38259502063883,-3.89466654568941,1.0384785798271,1.43664714056947,NA,-2.12942556833185,-3.7303977938748,0.708838061147723,-2.73750614884153,-0.487361019540451,0.623452803652721,-0.598440755395337,-3.96774191681286,1.5388716123577,-5.00281198556344,1.44821919300711,2.02162605004568
"2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences",2.72887240982851,7.7485307634987,-5.32346126383583,-3.55973651732573,-3.49299714175099,-7.1729395907687,-3.28945470839549,-4.76031434641214,-8.06966254690883,2.33045501555233,5.11735634642534,11.3084542034184,-3.78335410220975,-4.07640299438048,-3.18633605965868,-5.38396301891357,1.23868999703815,-8.32198566407125,6.33795620503874,-0.733600305993381,5.66677289436767,-3.36669321035931,-3.38237701832531,-3.42901137856544,-6.97656122806586,4.30484006368267,6.41272299579714,-2.12942556833185,NA,-0.497578094012552,5.78469020502682,-7.34974029546731,6.5467512520405,7.00926027876059,3.22910689403656,-8.9386512344712,5.3178205720871,-3.32141641979506,6.41035096390432,6.80793615805276
