"","1642.MS00377","1642.MS00474","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.472.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.5.797.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00351","1642.MS00570","1642.MS00523","2382.SH007.C6.RH.2.508.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00536","2382.SH007.C6.RH.5.722.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00471","1001.SKB8","1642.MS00508","2382.SH007.C6.RH.5.523.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.1.378.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.3.587.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00419","1642.MS00574","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences","1001.SKM9","1642.MS00518","2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00520","1642.MS00548","1642.MS00421","2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00443","2382.DPOO1.C1.HA.5.448.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00442","1642.MS00524"
"1642.MS00574",0.0348267230091,0.0197606840951,0.088348156458,0.1059844479645,0.1070462650316,0.0882635019386,0.0926611613416,0.0857458010941,0.0867422069029,0.0308064424518,0.0263430515945,0.0256994025629,0.0989993431284,0.1077305500353,0.0984338889127,0.0922905716521,0.0192449909168,0.0830218110374,0.0224236161323,0.1635953176403,0.0211609659188,0.0930837928425,0.1120143049067,0.0919835790682,0.080921439349,0.0262008754325,0,0.1120479412898,0.0835380650621,0.1739737168088,0.0207579914862,0.0895509723428,0.021655983616,0.019944180026,0.0223117607955,0.083644562481,0.0233650221123,0.1088909236877,0.0241888537785,0.0227504783698
"2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences",0.1011421072787,0.1058122843346,0.07422361182,0.0157627809613,0.0124825259111,0.0429496044893,0.0211745858063,0.0481052181704,0.0406573389246,0.1041908632479,0.1037961580865,0.1269824309967,0.0152006548687,0.0127295974211,0.0172591251789,0.0746369679831,0.1045400788127,0.0453877877407,0.1018348480315,0.0667005448934,0.0941069009256,0.0234041320655,0.0190465580574,0.0241123563584,0.0447217343566,0.1105176185099,0.1120479412898,0,0.0558041168299,0.0808496078705,0.1064043400467,0.0511058244571,0.0995724346834,0.1079676653671,0.090983628373,0.05107242409,0.1160284444584,0.0186051648276,0.1142340753238,0.1178512107779
"2382.DPOO1.C1.HA.1.627.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0903746560917,0.0896247708933,0.051957913922,0.051377967016,0.0601005053128,0.0297399675027,0.0331624349461,0.0337879919139,0.0304414572665,0.0825403212393,0.0873384727921,0.1035856210997,0.0477807141948,0.0572011837338,0.0427709030062,0.0449078140614,0.0807473350149,0.0253316432136,0.081425123918,0.129613349357,0.0814943428443,0.039327550178,0.0603025501253,0.0452771772498,0.0329691452387,0.0857289350591,0.0835380650621,0.0558041168299,0,0.1415104297409,0.0857787494184,0.0311689748363,0.0890879946129,0.0890976955183,0.0763270616782,0.0193115600019,0.0867900860026,0.0460943231428,0.0887810383795,0.0855285322499
"1001.SKM9",0.1705902074459,0.177288736796,0.1336471725415,0.1031908598141,0.0852776603431,0.1166409984301,0.1169376494064,0.1283948826359,0.1121004177479,0.1690937535043,0.2266462023327,0.18874479134,0.0926805912706,0.156184387968,0.0992480648567,0.1439107649421,0.1879848023254,0.1417745886619,0.1959025333234,0.0173871386205,0.2310031494439,0.1051861217668,0.1156460269558,0.110080265317,0.121303120922,0.1752930423094,0.1739737168088,0.0808496078705,0.1415104297409,0,0.1760931774822,0.1402951376648,0.2275351963802,0.1950935989123,0.1675805521838,0.1371195773151,0.1797593461762,0.1098708924377,0.1805247314241,0.1808801362996
"1642.MS00518",0.0355418449037,0.0193414623476,0.0907011706039,0.0999741531173,0.1012140418291,0.0870359580621,0.0888545907001,0.0885618863488,0.0881206260856,0.0319489872764,0.0273239552106,0.0262698594401,0.0941028272516,0.1015254739304,0.09643457224,0.0941843734113,0.021170791378,0.0841074896891,0.0202683082108,0.165322714881,0.0204170290036,0.0881546239996,0.1092991265717,0.0871320295447,0.0818649764209,0.0251128078233,0.0207579914862,0.1064043400467,0.0857787494184,0.1760931774822,0,0.0915942886958,0.020398467306,0.0208352326071,0.0231221175802,0.0858848363679,0.0230872297169,0.1066538973159,0.0232659941966,0.0236364699123
"2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences",0.095472267817,0.0965203660171,0.0446106107781,0.0485740794508,0.0522655397389,0.0321422630031,0.0378542859945,0.0297456934488,0.0310043305548,0.0914311179506,0.0950172092637,0.1093397807741,0.037667004179,0.0510850311554,0.0422730645287,0.0453530928647,0.0864104652128,0.0224109004823,0.0887002299258,0.1354540855558,0.0875842512886,0.0406747468708,0.0541768329683,0.038281953689,0.0345250056537,0.0927452353176,0.0895509723428,0.0511058244571,0.0311689748363,0.1402951376648,0.0915942886958,0,0.0928555605428,0.0944921817124,0.0845057263403,0.0300994424562,0.0937674453464,0.0466080857622,0.0953910092158,0.0951545710848
"1642.MS00520",0.0329904995258,0.0193859982862,0.0907048523358,0.0959513734194,0.0941919512713,0.0910974646453,0.0873662175722,0.0911648510084,0.0897767755237,0.0328538105339,0.0238296153419,0.0233574096125,0.0907954540149,0.093723837829,0.0904357314826,0.0950804413437,0.0229760108881,0.0878290987476,0.0182283465819,0.2061681677166,0.0163337111607,0.0893031604087,0.1036129105989,0.0861510151023,0.0841856775023,0.0245585196876,0.021655983616,0.0995724346834,0.0890879946129,0.2275351963802,0.020398467306,0.0928555605428,0,0.0189861496933,0.0242411618318,0.0899795258149,0.0237581912819,0.1010998652455,0.0239876105974,0.0264062946827
"1642.MS00548",0.0336186170751,0.0191320236082,0.0944790394252,0.1010694623323,0.1008661640962,0.089755426982,0.0911503874305,0.0909363207306,0.0912082794567,0.0301102891855,0.0229158885552,0.0241815635727,0.0947057325794,0.1038240654148,0.0973451685169,0.0971094696303,0.0205196110683,0.0875869456358,0.0205896294419,0.1789537356916,0.0188269554992,0.0923776560635,0.1124786959122,0.0927798553047,0.0861096664694,0.0242178568771,0.019944180026,0.1079676653671,0.0890976955183,0.1950935989123,0.0208352326071,0.0944921817124,0.0189861496933,0,0.0224292413173,0.0891478663527,0.022107703824,0.1078531505767,0.0242807023595,0.0255339654986
"1642.MS00421",0.0263851295762,0.0222882109743,0.0778096288957,0.0894496068877,0.0918948675209,0.0765981625508,0.0801766909158,0.0767086091076,0.0753586454521,0.0236902212782,0.0269390847309,0.0270301636149,0.0820463711299,0.0914797800214,0.0844744216546,0.0805881911426,0.0218185091488,0.0760745586618,0.0212994573388,0.1517628217146,0.0232200037814,0.0789511382612,0.0979903091885,0.0763216258199,0.070304923673,0.0223035589197,0.0223117607955,0.090983628373,0.0763270616782,0.1675805521838,0.0231221175802,0.0845057263403,0.0242411618318,0.0224292413173,0,0.0789360065735,0.0242525758867,0.0947825324852,0.0236044297998,0.0250722797734
"2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0889141740483,0.0900613488275,0.05188990465,0.0455202859137,0.0504282541644,0.0321059783223,0.0316514897354,0.036402961621,0.0303729530668,0.0819715288619,0.0904169700615,0.1029777826624,0.0422195985266,0.0538792635424,0.0379111107383,0.051030590491,0.0813406277526,0.02601219148,0.0830056076164,0.1212359974593,0.0831211034149,0.0371086480848,0.0534806595254,0.0441059844075,0.0368119020415,0.0848155973359,0.083644562481,0.05107242409,0.0193115600019,0.1371195773151,0.0858848363679,0.0300994424562,0.0899795258149,0.0891478663527,0.0789360065735,0,0.0877118636181,0.0424314223525,0.0889759486508,0.0871555661219
