"","1642.MS00457","1642.MS00517","1642.MS00402","1642.MS00353","1642.MS00450","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00541","2382.RU006.C181.RH.2.783.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00472","1642.MS00384","2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00471","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00423","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.1.602.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00628","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00390","1642.MS00526","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00466","1642.MS00434","1642.MS00639","1642.MS00331","1642.MS00362","2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00520","1001.SKB9","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00502","1642.MS00339","1642.MS00579","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences"
"1642.MS00434",-0.824,0.0349999999999999,-0.665,0.39,-0.895,1,1,1,1,-0.107,1,0.469,-0.21,1,0.188,1,1,-0.847,1,1,0.186,1,1,-0.224,-0.38,1,0.0600000000000001,0,0.179,0.0980000000000001,0.097,1,0.783,1,1,0.204,0.199,0.462,1,1
"1642.MS00639",-0.718,-0.812,-0.458,0.966,-0.216,1,1,1,1,-0.023,1,0.466,0.496,1,0.271,1,1,-0.295,1,1,-0.693,1,1,1,-0.673,1,0.396,0.179,0,0.996,0.219,1,0.957,1,1,0.712,1,0.359,1,1
"1642.MS00331",0.384,-0.566,0.119,-0.637,0.481,1,1,1,1,0.632,1,0.475,-0.998,1,-0.816,1,1,-0.299,1,1,0.952,1,1,-0.914,0.577,1,-0.568,0.0980000000000001,0.996,0,-0.1,1,-0.321,1,1,-0.788,-0.998,0.349,1,1
"1642.MS00362",-0.382,0.018,-0.436,-0.928,0.266,1,1,1,1,0.318,1,0.659,-0.429,1,0.311,1,1,-0.681,1,1,0.596,1,1,0.53,0.447,1,0.559,0.097,0.219,-0.1,0,1,0.984,1,1,0.837,0.322,0.828,1,1
"2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,0.914,0.984,0.851,0.958,1,1,1,1,1,1,0.998,0.858,1,1,0.69,1,0.952,1,1,1,1,1,1,1,1,1,0,1,1,0.992,1,1,1,0.998,1
"1642.MS00520",0.672,-0.666,0.856,0.903,0.72,1,1,1,1,0.193,1,0.556,-0.654,1,-0.95,1,1,0.738,1,1,0.98,1,1,0.0549999999999999,0.12,1,-0.759,0.783,0.957,-0.321,0.984,1,0,1,1,-1,-0.85,-0.514,1,1
"1001.SKB9",1,1,1,1,1,1,0.981,0.966,1,1,0.998,1,1,0.57,1,0.694,1,1,0.998,1,1,0.98,0.978,1,1,0.971,1,1,1,1,1,1,1,0,0.99,1,1,1,0.742,0.99
"2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,-0.999,-0.926,0.996,1,-0.121,1,1,-0.809,1,-0.932,1,1,-0.944,0.98,1,-1,-0.934,1,1,0.732,1,1,1,1,1,0.992,1,0.99,0,1,1,1,0.0640000000000001,-0.884
"1642.MS00502",-0.071,-0.901,0.283,0.591,0.016,1,1,1,1,-0.546,1,-0.122,-0.912,1,-1,1,1,-0.001,1,1,0.555,1,1,-0.221,-0.398,1,-0.974,0.204,0.712,-0.788,0.837,1,-1,1,1,0,-0.939,-0.851,1,1
"1642.MS00339",0.694,-0.282,0.667,-0.594,0.571,1,1,1,1,0.825,1,0.746,-0.992,1,-0.74,1,1,0.221,1,1,0.998,1,1,-0.966,0.855,1,-0.398,0.199,1,-0.998,0.322,1,-0.85,1,1,-0.939,0,0.607,1,1
"1642.MS00579",-0.194,-0.471,0.172,0.862,-0.211,1,1,1,1,-0.519,1,-0.127,0.12,1,-0.409,1,1,-0.003,1,1,-0.379,1,1,0.484,-0.601,1,-0.793,0.462,0.359,0.349,0.828,1,-0.514,1,1,-0.851,0.607,0,1,1
"2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,-0.565,-0.738,0.998,1,0.972,1,1,-0.946,1,-0.926,1,1,-0.165,0.97,1,-0.632,-0.602,1,1,-0.486,1,1,1,1,1,0.998,1,0.742,0.0640000000000001,1,1,1,0,-0.418
"2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences",1,1,1,1,1,1,-0.938,-0.767,0.978,1,0.551,1,1,-0.994,1,-0.982,1,1,-0.996,0.996,1,-0.954,-0.93,1,1,-0.565,1,1,1,1,1,1,1,0.99,-0.884,1,1,1,-0.418,0
