"","2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.1.602.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00628","1642.MS00450","1642.MS00517","1642.MS00639","1642.MS00502","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00466","1001.SKB9","1642.MS00384","1642.MS00434","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00423","1642.MS00390","1642.MS00362","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00457","2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.783.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00402","1642.MS00579","1642.MS00541","1642.MS00526","1642.MS00472","1642.MS00331","1642.MS00353","1642.MS00520","1642.MS00471","1642.MS00339"
"2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences",-5.6526309157933,-5.35912086028728,-3.78434546033964,-5.26205501042013,-4.29838184902336,7.11352084960983,8.40296480254962,2.28793258663722,6.08332697814723,1.77572241764675,NA,-4.76195674119326,4.65768210794509,-0.940670852788937,0.876541962754382,7.3503583689471,-5.83042423914416,4.13531566976237,4.2565996058905,2.60010531518478,-4.95788283112075,-6.0688451572168,-3.38078382609936,-3.21687205130539,5.78462117864294,-4.33119458841728,-6.02986313591856,-3.02441947419148,-5.13714019877589,-4.67219185695458,6.3696217467129,5.23171202957012,8.9640524795175,6.45055737042036,5.2335584029043,1.4337004907421,1.83953152919319,1.21142256064048,2.16872626503906,0.880531650683145
"2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences",-5.32297352551185,-4.90404332255928,-6.63535678055187,-4.73582339935456,-4.67971100761116,6.16784383072155,7.96407960609999,1.94197701359952,4.6814743632201,0.584448838708346,-4.76195674119326,NA,3.97688006624782,-0.885486909827746,0.141201409771505,6.729487714809,-5.95772850051003,2.87289459760938,2.20965811628623,2.8947522425893,-4.80347359760794,-5.52021674248371,-4.08638394439707,-3.99474340100559,6.14240901311871,-4.36828436278442,-5.6327426115131,-4.58015351232852,-5.2426746349916,-7.34911723968197,5.10421553900999,3.93003993533025,6.80721067205397,5.57806974051521,4.01276863625985,0.104686038909402,1.46879041578014,0.45111878511253,1.4987389895395,0.00974639341262139
"1642.MS00466",4.51906621756863,1.07245542734048,5.8777723504104,0.699886633097341,2.84592548380827,-2.19993936511848,-4.07443297605814,-4.928706714592,-4.157543266552,-3.5010816777006,4.65768210794509,3.97688006624782,NA,1.3708636429903,-3.97089160975003,-3.71108602245386,1.24066381522002,-4.06174034336772,-3.60504999468762,-3.53308619809802,1.26405877831671,0.843837946541478,0.952450312506882,2.5666813244741,-4.95410217832647,0.388357920899172,0.782536627235902,0.907444587153799,0.948072788762938,1.20152896481344,-3.34405564878611,-3.17098408132277,-4.46793734527032,-4.31734051241909,-4.69987399217373,-4.69451281538344,-3.18956034604976,-4.07327455069173,-4.99621164643945,-2.96834925848912
"1001.SKB9",-1.32156599183192,-2.00110916801317,-1.97230031749024,-2.53569868913284,-2.29945648593221,1.54236891584377,2.00489210963675,0.338928222092794,1.66649296105039,-0.140518385243827,-0.940670852788937,-0.885486909827746,1.3708636429903,NA,-0.546553372739176,1.44503840865869,-2.61575747218908,0.910491826380131,-0.045439034778763,0.277122401638494,-3.57731346023905,-2.12251825447216,-1.87351887242644,-2.57539705312456,0.921881268851977,-2.67189785395294,-2.72386697238931,-1.72645897524732,-2.01951828285627,-1.00030436224481,0.961368568634178,1.10841492763828,1.22695769543756,1.29155733767934,0.6971938164748,-0.751750381390823,-0.585976477613206,-0.273447060570825,0.245387893324781,-0.933421874721221
"1642.MS00384",-0.182664533253858,-0.776709503305016,1.72964729350365,-1.26614663901177,-0.894006092671087,-3.3850566501621,-3.06879329627031,-3.43149643329453,-4.49622379345867,-5.05775453776983,0.876541962754382,0.141201409771505,-3.97089160975003,-0.546553372739176,NA,-3.91017202398262,-1.36780594424151,-5.21089820078496,-5.11997863140309,-3.08036887358822,-1.41038207453352,-1.16950891139814,-0.608793222558791,-1.15588958749116,-4.2172782700748,-1.21988326460374,-1.52068028787245,-0.569901795562698,-0.813181883250737,-0.857549503978175,-3.69723509708042,-3.76868838944015,-3.53473839068052,-3.25711044377337,-5.04277297070708,-6.56262383581996,-3.95025018214503,-5.23804809503646,-4.64517283160638,-3.83633403110754
"1642.MS00434",6.70256069957192,0.953515686748746,7.08531278041504,0.627094080183248,0.958791637833546,-4.10987091236212,-4.60429774487542,-4.12753353729926,-3.15005051137413,-4.9945037212201,7.3503583689471,6.729487714809,-3.71108602245386,1.44503840865869,-3.91017202398262,NA,0.544246075579454,-3.73327879309437,-5.38306742375375,-3.20647123817034,0.598519341423274,0.03541795789176,0.361842371852055,1.82546205247206,-4.21848365627405,-0.166111584478615,0.302538964138516,0.828142013688658,0.885212235218086,5.43634505985666,-2.55585492945828,-4.16870479125803,-2.87634866489647,-3.22564456163676,-5.21075199907617,-4.89193046168626,-2.82557235094048,-5.01527126336434,-4.50239753772993,-3.84694942424475
"2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences",-6.10389187753823,-6.8364683219508,-6.2912179687026,-3.17066852797312,-3.43637406917962,0.700922010527993,0.751223471506223,-0.861667610956205,-0.0290701304918693,-0.93797809733393,-5.83042423914416,-5.95772850051003,1.24066381522002,-2.61575747218908,-1.36780594424151,0.544246075579454,NA,-0.574099776137349,-0.872699367058681,-2.08572278464487,-5.88319970594024,-6.28431681655068,-6.04552493826874,-4.46151890229689,-0.386280889695385,-5.91341038010184,-6.56671638822942,-3.67920763423557,-6.27928913028896,-4.06169539855052,-0.376656962400964,0.663728599471269,0.716016838427623,0.413735482045168,-0.520350112439516,-1.93422625097081,-0.799167629494964,-1.04125429822246,-0.804242568645006,-1.60176463228103
"1642.MS00423",3.40699036702912,-0.104033544404615,4.09717065809531,-0.377290578513197,-0.187671633713809,-2.21087896404867,-2.45754610742883,-3.47396633226561,-3.1862766805212,-4.52868466560386,4.13531566976237,2.87289459760938,-4.06174034336772,0.910491826380131,-5.21089820078496,-3.73327879309437,-0.574099776137349,NA,-3.11638846451689,-3.4699210788304,-0.0841123988642463,-0.542975434321627,-0.497581106611073,0.130899671593298,-3.43590859930406,-0.485701281823079,-0.801495641478426,-0.202983068158668,0.0411294912690456,0.873509754454919,-1.61203508136156,-3.28562431813589,-3.24314814276061,-3.34574354159257,-4.46355021169836,-4.51912237273352,-3.13257430104137,-4.41482260361824,-4.56748049086794,-3.34807203236717
"1642.MS00390",2.37624055066868,-0.433030666881332,4.22146935985315,-0.840884416568489,0.0585724291419856,-1.83595227309947,-2.50332342462516,-3.76254375039332,-2.5829449104411,-4.96066479276094,4.2565996058905,2.20965811628623,-3.60504999468762,-0.045439034778763,-5.11997863140309,-5.38306742375375,-0.872699367058681,-3.11638846451689,NA,-3.82017882053636,-1.23447368226378,-0.756036731839292,-1.18309392802595,-0.335328543680619,-2.82042786061044,-1.11890203040106,-0.957033897742229,-0.480404638778299,-0.102589659565892,1.28777230987996,-2.76299052951925,-2.78145434779239,-2.43418158973911,-1.93726869915776,-3.97390589207425,-6.88286660167238,-4.07139952249373,-4.67324114139498,-4.22509791114028,-6.82208624842066
"1642.MS00362",0.632635860353391,-1.07177860308298,2.99653663834627,-1.89033216570087,-1.95721460677169,-1.81690502825494,-1.71949640945484,-2.53171855180402,-1.78725489959969,0.26004871178784,2.60010531518478,2.8947522425893,-3.53308619809802,0.277122401638494,-3.08036887358822,-3.20647123817034,-2.08572278464487,-3.4699210788304,-3.82017882053636,NA,-2.19763042917373,-1.60337485349105,-1.59482939611609,-1.48035979439859,-2.44554021988957,-1.49051444385682,-2.19277697829211,-1.44252774877997,-1.55020537230376,-0.45718483078578,-2.59259631371092,-2.05534687553984,-2.36070623900948,-2.08832064401829,-4.20532591724281,-4.00251733216983,-4.36629052257701,-0.813304266176645,-2.68491120286812,-3.95026626536827
"2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences",-4.78680439416127,-6.15889021922396,-5.25202909835166,-4.25250643317883,-3.54940571301628,1.99459007484098,0.820278777944083,-0.619111749748329,0.458937252519035,-1.00006224378364,-4.95788283112075,-4.80347359760794,1.26405877831671,-3.57731346023905,-1.41038207453352,0.598519341423274,-5.88319970594024,-0.0841123988642463,-1.23447368226378,-2.19763042917373,NA,-5.81207232025951,-3.00944282035159,-4.00866586907658,0.532710537701623,-7.43841866471777,-6.12252910195335,-3.85161392604979,-5.83154291254406,-5.02646632165266,0.370545879170462,0.843564032146192,0.964073528518392,0.962584562419805,-0.588588045627223,-2.15051330482595,-1.52464652891538,-0.851150650088923,-0.433208721959905,-1.79374630946907
"2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences",-4.72779994082765,-6.39771828198749,-4.2631986172535,-3.73651810839023,-2.83465024334831,0.361722420006524,0.20330719891364,-0.499144988331063,-0.0409416389017134,-0.677388825756286,-6.0688451572168,-5.52021674248371,0.843837946541478,-2.12251825447216,-1.16950891139814,0.03541795789176,-6.28431681655068,-0.542975434321627,-0.756036731839292,-1.60337485349105,-5.81207232025951,NA,-3.52958790152879,-3.83758793760652,-0.45716541555374,-5.07650271382724,-4.75509246096008,-3.82939516124378,-4.97717933308554,-2.72582499459336,-0.647912607392847,0.45694008726118,0.386362727584827,0.294159389173357,-0.485419540506031,-1.49632307357051,-0.943704398074693,-0.714007539446418,-0.557773452908441,-1.27354545121839
"2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences",-3.4148113365482,-3.72380457153404,-3.21328402677613,-3.75460417766975,-3.34839999700966,0.810273581172972,0.462089478860061,-0.515074291024552,0.258212394605707,-0.80817207412653,-3.38078382609936,-4.08638394439707,0.952450312506882,-1.87351887242644,-0.608793222558791,0.361842371852055,-6.04552493826874,-0.497581106611073,-1.18309392802595,-1.59482939611609,-3.00944282035159,-3.52958790152879,NA,-3.16667522543515,-0.202161490005784,-3.08514126886938,-6.76142132286057,-4.23710389101142,-4.5946425341904,-3.7079104666653,-0.0413660139050685,0.709024663565393,0.626098293624015,0.521245772754594,-0.374129565569278,-1.68705032403436,-1.32528159556081,-0.873967798166605,-0.651283861023402,-1.55440107341957
"2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences",-4.16228547361924,-4.70480164316629,-2.95561711544575,-4.2666576799747,-3.42236556910476,3.05501771904356,2.44913600412491,0.174234810586416,1.50527953218704,-0.273827485894922,-3.21687205130539,-3.99474340100559,2.5666813244741,-2.57539705312456,-1.15588958749116,1.82546205247206,-4.46151890229689,0.130899671593298,-0.335328543680619,-1.48035979439859,-4.00866586907658,-3.83758793760652,-3.16667522543515,NA,1.34598734763278,-3.94579447047438,-4.13931867709926,-3.53148743339489,-4.67790974987664,-5.61774458422322,1.23057040030685,2.32643974487932,2.03836340318528,2.13205199273636,0.563700407509544,-1.52550880481034,-1.50466754665026,-0.427326653048425,0.0366740170233803,-1.43293710772715
"1642.MS00457",5.84188596887282,0.786022627125752,5.82574249765483,-0.0870446714943167,0.0623571624715002,-3.98739225076129,-3.32368166428484,-4.7589277011034,-4.21349809818982,-4.0380636483791,5.78462117864294,6.14240901311871,-4.95410217832647,0.921881268851977,-4.2172782700748,-4.21848365627405,-0.386280889695385,-3.43590859930406,-2.82042786061044,-2.44554021988957,0.532710537701623,-0.45716541555374,-0.202161490005784,1.34598734763278,NA,-0.281147006073812,-0.564253806171853,0.41076006573808,-0.0254646609242729,3.21852201098873,-2.34706493955045,-3.36157263776643,-3.12909153374879,-4.5377816213913,-4.89418489994016,-3.98204131081224,-2.45568715473702,-5.78406131125121,-6.25310575561794,-2.7599286244065
"2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences",-2.33533609604833,-5.51537888086909,-1.13396780919819,-4.68648479208902,-3.11637727259998,0.557590998403154,0.0945031836710186,-0.659015191223367,-0.0545635761873119,-0.790869567158998,-4.33119458841728,-4.36828436278442,0.388357920899172,-2.67189785395294,-1.21988326460374,-0.166111584478615,-5.91341038010184,-0.485701281823079,-1.11890203040106,-1.49051444385682,-7.43841866471777,-5.07650271382724,-3.08514126886938,-3.94579447047438,-0.281147006073812,NA,-6.01343111836773,-3.6016039509626,-6.09853018755136,-2.80971701093005,-0.252955100970272,0.252482318352332,0.0639392252927767,0.178138273663955,-0.501378314121202,-1.67388712807889,-1.39961594492138,-0.96479884520027,-0.563358100848771,-1.59943828266173
"2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences",-5.435622320578,-6.50023824576328,-5.58358203804402,-3.58312875266731,-3.49831864568109,0.233038083492125,0.546483938101279,-0.845012018692923,-0.217232351029809,-1.13884116972983,-6.02986313591856,-5.6327426115131,0.782536627235902,-2.72386697238931,-1.52068028787245,0.302538964138516,-6.56671638822942,-0.801495641478426,-0.957033897742229,-2.19277697829211,-6.12252910195335,-4.75509246096008,-6.76142132286057,-4.13931867709926,-0.564253806171853,-6.01343111836773,NA,-3.58501379354103,-5.77266513508009,-4.25421177436864,-0.696236139806572,0.181961133290066,0.49858380509988,0.317296152442429,-0.558786405459962,-1.96899459683147,-0.866688698748644,-0.9682034434775,-0.951975030512826,-1.56856060447673
"2382.RU006.C181.RH.2.783.root.9.12.lane7.NoIndex.L007.sequences",-3.71221837795475,-3.6143530654972,-3.855191324147,-3.48885555371166,-3.45996655426741,1.04868384729296,1.18298520072382,-0.128344104143499,0.415337464098641,-0.646480629119626,-3.02441947419148,-4.58015351232852,0.907444587153799,-1.72645897524732,-0.569901795562698,0.828142013688658,-3.67920763423557,-0.202983068158668,-0.480404638778299,-1.44252774877997,-3.85161392604979,-3.82939516124378,-4.23710389101142,-3.53148743339489,0.41076006573808,-3.6016039509626,-3.58501379354103,NA,-5.98359867258777,-3.61896583646917,0.322115936613752,0.878615161454054,1.3589493319851,0.958536024189769,0.0266628557239974,-1.33226237197488,-1.21012847338278,-0.669382868890342,-0.32856657736165,-1.19990905725091
"2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences",-4.91535793540945,-6.10788719872756,-6.24578717316648,-4.24953045901458,-4.14371240554945,0.891325671982383,0.986269639884001,-0.113337257248935,0.292110235972259,-0.352874491449314,-5.13714019877589,-5.2426746349916,0.948072788762938,-2.01951828285627,-0.813181883250737,0.885212235218086,-6.27928913028896,0.0411294912690456,-0.102589659565892,-1.55020537230376,-5.83154291254406,-4.97717933308554,-4.5946425341904,-4.67790974987664,-0.0254646609242729,-6.09853018755136,-5.77266513508009,-5.98359867258777,NA,-3.24034039833208,-0.32212531691241,0.935489507168998,0.925957996003241,0.869580152066263,0.0195277054570513,-1.21860346209815,-0.452871847870654,-0.453920098116211,-0.23702673158638,-1.0182230834819
"2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences",-5.08478246842955,-2.90295802447427,-7.22793180820651,-4.12257947700719,-4.71886030703885,5.62755200800993,7.30068559974766,0.529770531437443,5.35994184539809,0.198263573216957,-4.67219185695458,-7.34911723968197,1.20152896481344,-1.00030436224481,-0.857549503978175,5.43634505985666,-4.06169539855052,0.873509754454919,1.28777230987996,-0.45718483078578,-5.02646632165266,-2.72582499459336,-3.7079104666653,-5.61774458422322,3.21852201098873,-2.80971701093005,-4.25421177436864,-3.61896583646917,-3.24034039833208,NA,3.17325892225793,4.02524400138307,4.71778831318586,5.20963157871545,2.41227675267101,-0.962129762919976,-0.862251747055044,0.0166367386626107,0.272869554283606,-0.746492460180255
