"","2382.HE003.C181.HA.2.557.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.1.602.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.248.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00628","1642.MS00450","1642.MS00517","1642.MS00639","1642.MS00502","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00466","1001.SKB9","1642.MS00384","1642.MS00434","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00423","1642.MS00390","1642.MS00362","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.2.283.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00457","2382.SH004.C1.RH.1.3.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.1.23.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.783.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.768.root.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","1642.MS00402","1642.MS00579","1642.MS00541","1642.MS00526","1642.MS00472","1642.MS00331","1642.MS00353","1642.MS00520","1642.MS00471","1642.MS00339"
"2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0357003845992,0.0313889886086,0.0316401563814,0.0383019373866,0.0319147721588,0.0891735865933,0.0958415642796,0.0863977921005,0.0906655682087,0.0926418051471,0,0.0446143009246,0.1014682700162,0.1173958109255,0.0798615128675,0.0943086061795,0.0435479809492,0.0822134414645,0.1012412353222,0.0807141654596,0.0502926511389,0.0312078345438,0.0418480491026,0.0429746779747,0.0889005514083,0.0525232061215,0.0441144528697,0.0651822107568,0.0505598865716,0.0395535713801,0.0864142832145,0.0946968395138,0.1028738922146,0.09282682198,0.0868550486718,0.0838112851921,0.0910057435318,0.0978418098407,0.0868757986322,0.0865143728158
"2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences",0.034155449492,0.0437673713592,0.0329570779191,0.0397151368295,0.0442177631376,0.0842154644055,0.0903917901224,0.0824182496049,0.08364585952,0.0814686712437,0.0446143009246,0,0.0972724482137,0.1224647743881,0.0721145144378,0.0891555377831,0.0477094694388,0.0756009630059,0.0912927962499,0.081565393395,0.0616306534173,0.0422368940917,0.0464481185853,0.0473083131269,0.0847837268369,0.0604656063541,0.0517347006986,0.0379342300343,0.0456810119127,0.0304971561667,0.079846658488,0.08880716969,0.0947441964142,0.0869814396037,0.0819091927355,0.0742146414495,0.0869870260246,0.0878352761161,0.082536585032,0.078252031687
"1642.MS00466",0.105320368627,0.0952874379139,0.107802228913,0.0963210983047,0.0962557755838,0.0246561139651,0.0204760757996,0.0187728533834,0.0226710500402,0.0203159603297,0.1014682700162,0.0972724482137,0,0.1585930849044,0.0212631915905,0.0215270214328,0.1111601755939,0.0213967722979,0.0255252518621,0.0263993592079,0.1143770474708,0.1051189559587,0.1025904746409,0.1061225315304,0.0188769360963,0.1151313473396,0.112709018267,0.1079191186776,0.116410673347,0.0752184999604,0.0208415515616,0.0210374041766,0.0212949363371,0.0199329248971,0.0203111227841,0.0223902520664,0.0312390122856,0.0201929968093,0.0186606134439,0.0247761895934
"1001.SKB9",0.1155304704586,0.0774602829812,0.1031742293531,0.0818655035791,0.0835886426245,0.1635878112617,0.1623173370193,0.1400104915537,0.1618385408573,0.1389240377942,0.1173958109255,0.1224647743881,0.1585930849044,0,0.1255279990533,0.1562997129637,0.0795616308753,0.1505451069473,0.1387258149316,0.1421422514031,0.0586343071808,0.0732647878578,0.090170030813,0.0769862992359,0.1510863817686,0.0594099768852,0.0801733751028,0.1090998448237,0.0814786641683,0.1134206428656,0.1488154032171,0.1538672452226,0.1540398708601,0.1582811926206,0.1401016653723,0.1223513831006,0.1300860029606,0.1356976252008,0.1416695998989,0.120733219639
"1642.MS00384",0.0741036670546,0.0762037152176,0.0848829937674,0.0779680953276,0.0728828788094,0.0239718918363,0.0234184208511,0.0220173499557,0.0244783135414,0.0224272343881,0.0798615128675,0.0721145144378,0.0212631915905,0.1255279990533,0,0.0207388047876,0.0848037328432,0.0194850583974,0.0207277097019,0.0215507772834,0.0881576444851,0.0789409792293,0.0873234952716,0.0763616026752,0.0204513804908,0.0891388562439,0.0873103206366,0.090883446184,0.0915310642535,0.0613371090182,0.0190823638546,0.0247216426374,0.024695585082,0.023056588197,0.0217877925105,0.0183946795641,0.0216930919989,0.0240464171256,0.0209392265487,0.0198217459961
"1642.MS00434",0.0929739147556,0.0896231159163,0.0912062937665,0.0922636185618,0.0880091197627,0.0246043562377,0.0195582850895,0.0230973320839,0.026587788639,0.0229121276862,0.0943086061795,0.0891555377831,0.0215270214328,0.1562997129637,0.0207388047876,0,0.0998287773005,0.0211471713615,0.0213915676065,0.0236409234858,0.104098705268,0.093176167514,0.0920681294357,0.0922144428664,0.0204848879181,0.1043095079865,0.103388516979,0.10158270695,0.1102642441919,0.0802108739113,0.0221302599681,0.0236597108306,0.02583221705,0.0236526993809,0.0238108048294,0.0213013336541,0.0267456551331,0.0240004239063,0.0226848279531,0.0228299244596
"2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences",0.0406347410716,0.0302892461191,0.0418850569679,0.0150170843782,0.0218866022083,0.0988118017098,0.101631103698,0.0898714911227,0.0957735792847,0.0919888884155,0.0435479809492,0.0477094694388,0.1111601755939,0.0795616308753,0.0848037328432,0.0998287773005,0,0.0893037431904,0.0941208410964,0.0797483374078,0.0170673741281,0.0170665628175,0.0183730837426,0.0231457497122,0.0931041672644,0.0207633789377,0.0107198172257,0.0372777453256,0.0189343979561,0.0498925225062,0.090137365105,0.1030921845693,0.1028501730466,0.0989482030237,0.0924157989853,0.0793534053552,0.095346211162,0.0895595009323,0.0896990655359,0.0801014749366
"1642.MS00423",0.0794380032609,0.0795148572738,0.0800214591007,0.0828324094735,0.0784177828401,0.0237086321349,0.021650940978,0.0218409870507,0.0252463927011,0.0228488200032,0.0822134414645,0.0756009630059,0.0213967722979,0.1505451069473,0.0194850583974,0.0211471713615,0.0893037431904,0,0.0260779739017,0.0234911049505,0.0980765120361,0.0840942980473,0.0841869803321,0.0820850019724,0.0196763440396,0.0980343428368,0.0929022410847,0.0898272641378,0.0995428012183,0.0666547011219,0.0209174338235,0.0243436128162,0.0226543895577,0.0228825124852,0.0230809624395,0.022341417716,0.0296206724456,0.0252086572632,0.0223133241111,0.0240878139039
"1642.MS00390",0.0933033837035,0.0842428670074,0.0978830717244,0.0872377529062,0.0842634314103,0.0348095542122,0.0281552024628,0.0288690063555,0.0349434855262,0.0242820912507,0.1012412353222,0.0912927962499,0.0255252518621,0.1387258149316,0.0207277097019,0.0213915676065,0.0941208410964,0.0260779739017,0,0.0260755505133,0.0952197283513,0.0890437459925,0.0852892199574,0.0859517965151,0.0278992531994,0.0950135060688,0.0982368328665,0.0970662869448,0.1064207873389,0.0830299307559,0.0274176735859,0.0305826346738,0.03168894905,0.0322046515226,0.0289499978807,0.0196597154147,0.0227472686889,0.0239686360523,0.0260800862206,0.0163958009839
"1642.MS00362",0.0752918084765,0.0726838365397,0.0798186812455,0.0745527339254,0.0707042641364,0.0302723049448,0.028552823379,0.0270384664002,0.0295307708,0.0340032262976,0.0807141654596,0.081565393395,0.0263993592079,0.1421422514031,0.0215507772834,0.0236409234858,0.0797483374078,0.0234911049505,0.0260755505133,0,0.0865755182179,0.0738788029972,0.0778490008613,0.0748607238655,0.0244698909446,0.0854208527092,0.0827224744332,0.0810899701359,0.0828244464996,0.0635295366364,0.0243799881185,0.0319935979879,0.030379943597,0.0291291983098,0.02736110603,0.0224425020884,0.0192057323646,0.0354579188383,0.0270062323366,0.0237538578928
