"","1642.MS00612","2382.RU006.C181.RH.5.798.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00629","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00522","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00427","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00484","1642.MS00435","1642.MS00621","1642.MS00611","1642.MS00551","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00530","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00596","1642.MS00627","2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00338","1642.MS00370","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00527","1642.MS00520","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00486","1642.MS00440","2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.568.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00502","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.432.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00628","2382.DPOO1.C1.HA.5.448.root.4.12.lane7.NoIndex.L007.sequences"
"1642.MS00484",0.0280498687048,0.1233103586508,0.0393761360931,0.1218245353038,0.0195199523618,0.1142405331942,0.0274048953722,0.1270688806622,0.1075038293982,0.1196864663728,0,0.0280619487273,0.0288689265727,0.0291683572598,0.0301386930223,0.1217796364857,0.0234358265273,0.1135525437963,0.0284491582958,0.0296186916481,0.120125557134,0.1269793032428,0.0330473853268,0.1056407966846,0.1261854426781,0.1135858731212,0.0246276845851,0.0221970330754,0.1255789601994,0.0200454408143,0.0232448979074,0.1252868901408,0.1289365954873,0.0221283014239,0.117079038352,0.1159694371305,0.1139358165199,0.1102883604473,0.0296114967775,0.1333709728599
"1642.MS00435",0.025930197078,0.0923989901064,0.0257194926703,0.0942917237175,0.0243525045998,0.0758558152736,0.0218440586992,0.0934704344141,0.0800172639282,0.0875313526543,0.0280619487273,0,0.0239142175522,0.0253692438314,0.0260458321839,0.0882755450495,0.0217159057605,0.0809964366725,0.0243183156548,0.0242986294584,0.080230870364,0.0917051851223,0.0261778527682,0.0925636714851,0.099537849756,0.0719897357934,0.024997024999,0.0246114031062,0.0909616886959,0.0228529408554,0.0189780293197,0.094413700201,0.0939028956244,0.0246405792019,0.0811774215651,0.0766187349657,0.0781534681307,0.0731845912883,0.0240689167679,0.0989504525102
"1642.MS00621",0.0219250693071,0.1069642707877,0.0242453697811,0.1106140859661,0.0245464550959,0.0869893718015,0.0261983699567,0.1046572779042,0.0920165768221,0.1064379884223,0.0288689265727,0.0239142175522,0,0.0220401124321,0.0289355379513,0.0995448462982,0.020168358606,0.09394733269,0.0210726743362,0.0198309401229,0.0903831864198,0.104555107439,0.0403133354742,0.1039026768905,0.1125928033423,0.0846591651023,0.0262033762297,0.0248520602409,0.1038249974138,0.0205932470783,0.0238559355163,0.1070169425413,0.1077069429615,0.0227830398926,0.0908345793368,0.0863382990602,0.087566467698,0.0849836534008,0.0195977806432,0.1058638607377
"1642.MS00611",0.0231728602306,0.1002197397289,0.0269515519634,0.1050955327463,0.0263971442635,0.0868312853999,0.0293172318071,0.0999576600111,0.089079006871,0.0950421469036,0.0291683572598,0.0253692438314,0.0220401124321,0,0.0310709509502,0.0939340487418,0.021744650776,0.0914048298486,0.0230524391118,0.022246155255,0.0912141293384,0.1011033971266,0.0420091424183,0.1047055861144,0.1115198271804,0.0839242681331,0.0273828400702,0.0262564132729,0.1017445762883,0.0226230341339,0.0268015245705,0.1023223722838,0.1024321520633,0.0247824771323,0.0889964844364,0.0846907656659,0.0899145255504,0.0848640079394,0.0210900080298,0.107364538498
"1642.MS00551",0.0253463203421,0.0940450149251,0.0260064340622,0.0954485349574,0.028614493713,0.0849199222403,0.0268609374464,0.0948493947658,0.0842472819482,0.090095375159,0.0301386930223,0.0260458321839,0.0289355379513,0.0310709509502,0,0.0881565597821,0.0242648415401,0.0855435114222,0.0238608947154,0.0294090360596,0.0888844597728,0.0929511235487,0.0378665671858,0.0998950582447,0.1026344747807,0.084055839445,0.0288724278412,0.0257215234278,0.0974663549029,0.0233256769951,0.023536816947,0.0966009632464,0.0986533611197,0.0259424080605,0.0863649051275,0.0858590174838,0.0824096737418,0.0845045360929,0.026947006237,0.0990599459228
"2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences",0.1025420190761,0.0281926860852,0.0845545900077,0.0217171997904,0.1062631933572,0.0368507127651,0.0890582355722,0.0123442452393,0.0272045153572,0.0280050036488,0.1217796364857,0.0882755450495,0.0995448462982,0.0939340487418,0.0881565597821,0,0.0933195239296,0.0224496940866,0.096107718249,0.0947818762688,0.0368034257352,0.0136482701905,0.0918770294741,0.112616347569,0.0301595753856,0.0462834668705,0.094529673856,0.0880891758955,0.0198368227459,0.1109629726161,0.0885931351412,0.0233645829756,0.0136885366872,0.090567713815,0.0511238126962,0.0537599826615,0.0329531629219,0.0398439130584,0.093514905899,0.0223623375366
"1642.MS00530",0.0211997969452,0.0966255698435,0.0240581310659,0.1003696974247,0.0211438050367,0.0861115473263,0.02312112193,0.0985944932215,0.0874402654459,0.0935294761956,0.0234358265273,0.0217159057605,0.020168358606,0.021744650776,0.0242648415401,0.0933195239296,0,0.0884084710744,0.0219461262642,0.019823423896,0.0910250530264,0.0991689432341,0.033600761817,0.1000277347297,0.1076576659106,0.0858396047409,0.0246319709311,0.0212274618868,0.100645712741,0.0179655362853,0.0200109834849,0.1010196611644,0.1031563953058,0.0195890980283,0.0922468025843,0.0884869463841,0.0862039377564,0.0851856457166,0.0204036414548,0.1060038945016
"2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences",0.0980091051562,0.0372336839172,0.0796229660331,0.024403613939,0.0987329891612,0.0382300395076,0.084112464886,0.0211186693388,0.0283068830344,0.0350341786841,0.1135525437963,0.0809964366725,0.09394733269,0.0914048298486,0.0855435114222,0.0224496940866,0.0884084710744,0,0.0905748169239,0.0898946994816,0.0364207613239,0.0222429628847,0.079023558232,0.1077082380583,0.0282352219039,0.0350644854835,0.0904864299963,0.0841232925724,0.0184857972096,0.1042257827509,0.0817181099616,0.0231984616345,0.0211463280478,0.0848352127822,0.0563342014642,0.0445489921419,0.0372654793815,0.037439774221,0.0905328374648,0.0195120547197
"1642.MS00596",0.0219114297338,0.1010669582739,0.0231940981721,0.1036869395081,0.0256126021963,0.0873866601527,0.0269409433082,0.1012768321437,0.0908426259549,0.0964685591657,0.0284491582958,0.0243183156548,0.0210726743362,0.0230524391118,0.0238608947154,0.096107718249,0.0219461262642,0.0905748169239,0,0.0209617119034,0.09102407409,0.0998649045652,0.0359422355095,0.1040692711192,0.1101985463602,0.0846023396756,0.0243839253468,0.0240239426737,0.1023242307349,0.0219629280739,0.0246457092346,0.1041964977609,0.1044344586475,0.023757288455,0.0916001165423,0.0847855100345,0.0862332733248,0.0855264501202,0.0205046602786,0.1068283355108
"1642.MS00627",0.0212307780874,0.1013170667601,0.0219054810434,0.1048856711559,0.0259434887662,0.0844850285922,0.0275914799089,0.0986228930858,0.0894170445713,0.0941516093736,0.0296186916481,0.0242986294584,0.0198309401229,0.022246155255,0.0294090360596,0.0947818762688,0.019823423896,0.0898946994816,0.0209617119034,0,0.0887933358834,0.1008453967254,0.0395408388868,0.1056611801213,0.1107984278494,0.08204085984,0.0265454121881,0.025002036743,0.1005679788886,0.0226806014461,0.0238634381312,0.1013543071206,0.1018716952432,0.0239455501715,0.0902147712313,0.0851731640936,0.0865760827626,0.083933599727,0.0189406614622,0.1040787288833
"2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0988670538697,0.0479530774102,0.0777007879183,0.0467978827611,0.1018448583619,0.0177275052291,0.0864207185275,0.0378282628731,0.0287723526124,0.0466098769627,0.120125557134,0.080230870364,0.0903831864198,0.0912141293384,0.0888844597728,0.0368034257352,0.0910250530264,0.0364207613239,0.09102407409,0.0887933358834,0,0.0409280784372,0.0873051737553,0.1198429104932,0.0399188008924,0.0260288878824,0.0933267943716,0.0919403675403,0.0412958538465,0.1088649604525,0.0850319728916,0.0320342891163,0.0413272718194,0.0894206969554,0.0487630287229,0.0340330298805,0.0291299741176,0.027671970655,0.0900335709061,0.040789112095
