"","1642.MS00612","2382.RU006.C181.RH.5.798.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00629","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00522","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00427","2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00484","1642.MS00435","1642.MS00621","1642.MS00611","1642.MS00551","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00530","2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00596","1642.MS00627","2382.SH004.C1.RH.1.402.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.558.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00338","1642.MS00370","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00527","1642.MS00520","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00486","1642.MS00440","2382.SH004.C1.RH.1.403.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.568.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00502","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.432.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.562.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.582.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00628","2382.DPOO1.C1.HA.5.448.root.4.12.lane7.NoIndex.L007.sequences"
"1642.MS00484",-4.09535922421587,3.61792703081538,-1.14867702889254,1.98606529887294,-5.63315356182061,10.1269587760719,-1.72484939711851,2.45240106830652,2.34137031829905,1.97095612780552,NA,-4.06861635271873,-2.40008457123331,-4.21462283989273,-2.74683460696915,1.96304565750321,-3.88209138529383,2.47839925487376,-4.62215108542501,-3.52627087889298,11.881375181886,3.39711603245621,-2.26004185658543,-0.06523435030078,3.7606052102558,8.88478198796591,-4.62663578429067,-3.41244519768333,1.50310218124772,-3.9609028930082,-3.27882277630841,2.62605756249434,1.32343209220388,-4.82467535563438,11.9279253424721,10.6475382647682,7.29304263016003,10.4709998356224,-4.633450079169,2.2362281284799
"1642.MS00435",-2.61620726398446,0.736976554158952,-3.68293778625021,-0.678875087994142,-3.72362897852829,1.44304703418052,-2.40391492946074,-0.0969796577587501,-0.217691734059985,-0.055876320158775,-4.06861635271873,NA,-2.4044964396751,-2.54998668213552,-3.06328387957784,-0.424770783908614,-4.37459906117338,-0.943550244241281,-3.60741724550044,-1.69656625936378,3.14812526764556,-0.242065233207666,-4.51031751737869,-2.47842973444514,0.0701424924616715,0.378594573448485,-2.086776751929,-5.38963663333454,-0.659928768523349,-3.85243635469937,-5.96784308062979,0.263403289977811,-0.77631718981577,-4.68483159312951,4.5546018450918,2.49804721017051,0.617502463526369,2.91075726525096,-3.35170572728428,-0.243595109680939
"1642.MS00621",-2.17773510757503,2.98653362517295,-3.36775723540077,1.85207630043536,-2.62600335902272,6.77572450363975,-1.86739204477347,1.03598863161864,1.51527379708138,1.7063940292156,-2.40008457123331,-2.4044964396751,NA,-2.8302660977687,-0.657816528820291,0.770400030639871,-4.70978472644637,1.06176349004899,-3.51549946955056,-2.89948464856765,8.37520514166396,1.62931221082967,-0.4171991486899,-1.23824610850257,2.56002590901145,5.42160935620599,-1.84462220012733,-4.04831560595713,0.610586918407348,-4.64749396688698,-1.74857083717957,1.63804154531912,0.370235483129936,-3.46477517751553,8.844235677156,6.86150086212746,4.42761149327209,8.36763419325164,-3.69539398789423,0.647204354720607
"1642.MS00611",-1.88888543631369,1.61050679661124,-1.8029451683682,0.756685012137421,-2.98931403509466,4.50879555589616,-2.18489210111715,0.546674447680976,0.750399766351577,0.494984597140608,-4.21462283989273,-2.54998668213552,-2.8302660977687,NA,-0.0958019948586538,0.0574557077358084,-3.47974954448203,0.532939914586782,-2.46136576918801,-2.21138867089683,6.26957806604956,0.914500542343701,-0.438802240016507,-0.883733329785673,1.75850373763531,3.59330778503993,-1.59094285778392,-3.74876216202813,0.153710900182579,-3.0982963380662,-2.45916581168373,0.885851329640396,-0.119043749285989,-3.49368895519207,6.57694326900641,4.58115057861298,3.81717381093872,5.59983801112181,-2.89181136829701,0.455644530687468
"1642.MS00551",-1.67890402525624,0.117175612660851,-1.42072929332969,-0.944972517503676,-2.04902012645459,1.35034320899311,-2.91510126981832,-0.333703717078152,-0.25534611245909,-0.0921155316932886,-2.74683460696915,-3.06328387957784,-0.657816528820291,-0.0958019948586538,NA,-0.841286239071859,-2.33938581318016,-0.862020924973581,-2.16877142135218,-0.129918254093547,2.1579284681433,-0.756065291467062,-1.68190321225253,-1.16201054381684,-0.0842843362962939,1.22206329248942,-1.33095897398454,-2.73808714372155,-0.578556730290731,-2.39696820115685,-3.45159303935365,0.105517729332792,-0.800587198138809,-2.08537391572604,3.21128172986709,2.18233947925633,0.22777003837453,2.26971036560925,-0.770617534806589,-0.443424361666154
"2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences",0.736362684830618,-4.1289627398243,-0.76396648829719,-7.17220335595585,0.813744133753207,-3.80604941154604,-0.713192370449004,-1.70904442738265,-5.75774512249636,-5.380021414824,1.96304565750321,-0.424770783908614,0.770400030639871,0.0574557077358084,-0.841286239071859,NA,-0.121938867041442,-4.6170679785093,0.330556063374717,0.159084994272834,-4.20070625463471,-5.26024594625081,-0.870747634266139,-2.21511475777031,-4.59404881977665,-3.40825467750504,-0.324603156857532,-0.852351075505963,-5.85179499578512,1.13607959950624,-0.517721895527475,-5.60101151279626,-5.76461993776448,-0.71977499605243,-3.42516483513575,-2.49939354968368,-3.24922126651273,-3.07239868735752,0.158716092265815,-5.4363780778579
"1642.MS00530",-4.34537016521075,1.10937277407782,-5.30703426721017,-0.087489271096551,-3.04225048215337,3.0827085615543,-2.47439840790393,0.230260975551671,0.275353280198541,0.470903626188242,-3.88209138529383,-4.37459906117338,-4.70978472644637,-3.47974954448203,-2.33938581318016,-0.121938867041442,NA,-0.0768342330841075,-4.13543788405819,-4.63618277999511,4.6087044625804,0.505839575143074,-2.55651104754869,-1.48710001392149,0.937884324702288,2.62106253219832,-2.45479134994302,-4.23281214414269,0.0509532262480391,-5.05046144665845,-4.11275458110507,0.677706756085696,-0.140169277514338,-3.94861459030848,6.11522439054807,4.16568329940862,1.6694745507235,4.13665212703695,-2.87013860450302,0.224917268253368
"2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences",1.12629132209425,-3.34203899977473,-0.925211830187316,-4.87846751240989,0.883179820909626,-5.88751281333782,-0.928037844847917,-4.21793516948384,-4.97557584318898,-2.84143359754304,2.47839925487376,-0.943550244241281,1.06176349004899,0.532939914586782,-0.862020924973581,-4.6170679785093,-0.0768342330841075,NA,0.58893887721209,0.209534891917368,-6.08099018422152,-4.46013659387646,-1.67601972066178,-2.57216696787997,-4.20155048727606,-4.93649361665566,-0.33633611891564,-0.922424026740751,-3.44120396775901,1.35478662355631,-0.829120074031645,-4.48003836534609,-4.81868804277692,-0.908112676162979,-3.8908003985093,-3.24366272105662,-6.14503528972972,-4.70443185867999,0.620806142828964,-3.59763463931203
"1642.MS00596",-3.28626386241233,1.81918119894065,-3.37283490346054,0.481156967422591,-3.33714645037061,5.35791966481752,-2.35770812142883,0.806920674315436,1.26214009450302,0.737228055015787,-4.62215108542501,-3.60741724550044,-3.51549946955056,-2.46136576918801,-2.16877142135218,0.330556063374717,-4.13543788405819,0.58893887721209,NA,-2.32274988811717,6.68872769237662,0.901073664487943,-2.77509496736423,-1.12905900061705,1.9518080665293,4.07142087474936,-2.35645192453408,-4.43433360075714,0.399209870027014,-3.8427993715106,-4.61361765486807,1.33982713204933,0.0927618374264872,-4.06550304266163,7.63657452846394,5.37816577241409,3.14639369785647,6.56775283231133,-3.75371605011345,0.652381287750753
"1642.MS00627",-2.73322763701555,1.78306474002581,-3.54471578874427,0.767370089976392,-2.44719245135422,4.68170213254198,-1.47167846132832,0.45198295236987,1.11787433476602,0.518314937210476,-3.52627087889298,-1.69656625936378,-2.89948464856765,-2.21138867089683,-0.129918254093547,0.159084994272834,-4.63618277999511,0.209534891917368,-2.32274988811717,NA,6.10457457247008,1.14194289945431,-0.327988489230182,-0.446085086513575,2.07792893409497,3.33402290418019,-1.55921542536696,-4.13888310808995,0.125530143455658,-2.85683483083203,-3.54170991779835,0.999324609385379,-0.0978306073335253,-3.77500229199797,7.62617790067678,5.23443806257594,2.9549006767306,6.09914470370961,-3.21321381425509,0.363774738005502
