"","2382.HE003.C181.HA.5.772.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00379","1642.MS00478","1642.MS00376","1642.MS00541","2382.SH005.C3.RH.3.663.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00345","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00438","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00503","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00582","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00581","1642.MS00600","1642.MS00555","2382.SH005.C3.RH.5.673.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00599","1642.MS00558","1642.MS00630","1642.MS00577","1642.MS00452","2382.MU002.C3.HA.1.63.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00482","1642.MS00447","1642.MS00366","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00638","2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.1.528.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00433"
"2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0337432662372,0.0750995527182,0.0841636233088,0.1025476409805,0.093985945705,0.0962782803486,0.0580795141303,0.0511538913771,0.0861163600244,0.0396606208601,0,0.0519773757118,0.0832447656181,0.0592508050188,0.0417581130373,0.0848010109555,0.0282354693656,0.0265833740051,0.0940828653615,0.0395651365105,0.0925316710512,0.1012388302558,0.0952292106762,0.0472150704951,0.0830621812069,0.0855905094017,0.0832269282974,0.0882506188752,0.084219104237,0.038888731205,0.0981459865082,0.1008807166008,0.0839653210862,0.0378522957031,0.0285456481513,0.0829527861309,0.0504012116055,0.0533176672006,0.0353894374163,0.0757581468446
"2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences",0.0404332722209,0.0242138182285,0.0927615254869,0.1091946626589,0.0904991258407,0.0993683635991,0.029185685428,0.0111636193851,0.0899350473751,0.034401061327,0.0519773757118,0,0.0907573134971,0.021221490937,0.0306378568249,0.0850655555684,0.0442714162211,0.0528337554507,0.1099613450258,0.03489731291,0.109012575261,0.107129271745,0.1090178363658,0.0235998263378,0.1038378088128,0.0935833173575,0.0914382863149,0.0919172625201,0.0929871523663,0.0284026397741,0.1134352575659,0.1130537597669,0.0785148381503,0.0298140671791,0.0442317961778,0.0939732841329,0.030601512467,0.0266147722175,0.0307677146116,0.0838072157808
"1642.MS00438",0.0769297772621,0.1106903123369,0.0180981976351,0.0216312338582,0.0297665569726,0.0245796158197,0.100337704805,0.0869067585486,0.0345558780453,0.0801850002426,0.0832447656181,0.0907573134971,0,0.0908387638157,0.0785199937835,0.0207553213299,0.1011059562002,0.0842683291632,0.02095582492,0.0780326995861,0.0232887100596,0.0224444609235,0.0248402229908,0.0876977972038,0.0361022474184,0.0209135461546,0.0214216280224,0.0218289816559,0.0226355494965,0.0819111532719,0.0194976097917,0.0211307287372,0.0263119478244,0.083033632118,0.081310493847,0.0233942157466,0.0894417634843,0.0908303091512,0.0775808069806,0.0189680141923
"2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences",0.0439632593988,0.0223505023641,0.0892026276273,0.1125865530842,0.0806020150453,0.104692904066,0.0227614069255,0.0226530232223,0.0858169923186,0.0571528732249,0.0592508050188,0.021221490937,0.0908387638157,0,0.0287601153095,0.087540578989,0.046537094637,0.058165979762,0.1082914652892,0.05271210463,0.1128871122724,0.109668460494,0.11218452591,0.0180429677496,0.1047772374552,0.096867703782,0.095864812429,0.0939865420673,0.0937678114097,0.0243891127456,0.1132954767314,0.1094893591869,0.0753122110063,0.0280914302791,0.0498514874468,0.094353705797,0.0223307542142,0.0191217128723,0.0327715249008,0.0854445119943
"2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences",0.030706966569,0.0360323779189,0.0797466172875,0.0953684922761,0.0842761043332,0.0882131321671,0.0237274733225,0.0308537745167,0.0793938479162,0.0421147356149,0.0417581130373,0.0306378568249,0.0785199937835,0.0287601153095,0,0.0772252256387,0.0576576780986,0.0340177726749,0.0904305145484,0.0400731986255,0.0895879607209,0.095293623395,0.0914379363964,0.0203452215082,0.0847262675496,0.08301433613,0.0814934313876,0.0819557793343,0.0798565595237,0.0216008411928,0.0900571261811,0.0954223818203,0.0760740074194,0.022061848924,0.0303571287146,0.0832705120388,0.0213131637198,0.0238260563864,0.0229099766926,0.0704936215825
"1642.MS00503",0.077992644998,0.1031886336911,0.0262572769473,0.0205663224815,0.0354916387486,0.0191101948089,0.0945376807253,0.0816607787424,0.0402883047666,0.0788323016087,0.0848010109555,0.0850655555684,0.0207553213299,0.087540578989,0.0772252256387,0,0.1065826079079,0.0831864014044,0.0210725265249,0.0756111122272,0.021506656515,0.0202265735263,0.0246970095074,0.0830516519847,0.0356190678384,0.0240682418546,0.0204600376186,0.0189413134878,0.0211410078709,0.080298795719,0.0203534495582,0.0269108295655,0.0322966102476,0.0799542919212,0.0804801232407,0.021454339881,0.0889866412479,0.0870209023617,0.0764615830533,0.0228703066438
"2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0285971700252,0.0616967804439,0.078726105183,0.1018035804021,0.0891384493495,0.09054871729,0.0493215217411,0.0422946949207,0.1004369562257,0.0374298643425,0.0282354693656,0.0442714162211,0.1011059562002,0.046537094637,0.0576576780986,0.1065826079079,0,0.02212936159,0.0912200101525,0.0319007583375,0.090463453524,0.0977397404994,0.0899157045184,0.0478438363176,0.0799010865741,0.0921305569848,0.0792368119671,0.1000532448251,0.0777534854554,0.0469654841208,0.0936171031783,0.0969005591203,0.1148776582188,0.0429232565859,0.0236688057548,0.0882205913558,0.1003577273595,0.0463094160676,0.0361889409191,0.0684411292613
"2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0332216505726,0.0682044606641,0.0867028148531,0.1054179331801,0.0974020071792,0.0979499138364,0.0521897024239,0.0521252570705,0.0927470007855,0.0480480638892,0.0265833740051,0.0528337554507,0.0842683291632,0.058165979762,0.0340177726749,0.0831864014044,0.02212936159,0,0.0969155629391,0.0407198464857,0.0953475727742,0.102641966144,0.0936381556934,0.0459325352317,0.0886569235711,0.0861502316088,0.0846739731772,0.0887678174504,0.0860637611921,0.0367257417197,0.0992566012104,0.1024276313453,0.090485132102,0.0249815786236,0.0280539566004,0.0878280174063,0.0440694887804,0.0539871757806,0.0276307533187,0.076350705437
"1642.MS00582",0.0906114243656,0.128798378238,0.0301282488027,0.0237983671292,0.0431179996237,0.025673541526,0.1162879595719,0.1060012969251,0.0493150475012,0.09683217639,0.0940828653615,0.1099613450258,0.02095582492,0.1082914652892,0.0904305145484,0.0210725265249,0.0912200101525,0.0969155629391,0,0.0928894249312,0.021460506016,0.022022671173,0.0250669467923,0.1029026713923,0.0413023174995,0.0223989162188,0.0221124482317,0.02216563226,0.0259890425129,0.0942499193581,0.0227990933166,0.026005821901,0.0415809822013,0.0964437177375,0.0932255811881,0.0250363198446,0.1023262981452,0.1077748730252,0.0904569180617,0.0243457975678
"2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0343752493375,0.0626491497805,0.0817009756692,0.0999200751477,0.088691490666,0.0889648415898,0.0579794580597,0.0286086518598,0.0851712534859,0.019690048886,0.0395651365105,0.03489731291,0.0780326995861,0.05271210463,0.0400731986255,0.0756111122272,0.0319007583375,0.0407198464857,0.0928894249312,0,0.090168560632,0.0978519400924,0.0893481122896,0.0472886206987,0.0755775083591,0.0810626086226,0.0785980000899,0.0825979296833,0.0809537225882,0.043235053792,0.1006834015214,0.0997665634143,0.0851194200589,0.0408537895318,0.0393631467412,0.0807311523242,0.0547887356214,0.0604173901196,0.0392806395046,0.0690677552708
