"","2382.HE003.C181.HA.5.772.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00379","1642.MS00478","1642.MS00376","1642.MS00541","2382.SH005.C3.RH.3.663.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.788.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00345","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00438","2382.GM.181.R1.root.10.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00503","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00582","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00581","1642.MS00600","1642.MS00555","2382.SH005.C3.RH.5.673.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00599","1642.MS00558","1642.MS00630","1642.MS00577","1642.MS00452","2382.MU002.C3.HA.1.63.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00482","1642.MS00447","1642.MS00366","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00638","2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.1.528.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00433"
"1642.MS00582",5.53275453015234,1.81589172498415,-2.54148320186646,-3.11131450438532,-2.51175779942063,-2.78534628909877,2.03501038434023,4.22030937510728,-1.21058975791205,9.6860548619718,7.99152157745759,3.16382443471907,-4.41213550719976,1.94252471512243,6.32322614885311,-2.89313091250034,8.26691585727037,8.96178535015168,NA,7.58251694445857,-1.57934765088715,-4.8997849093315,-2.51952818141621,3.5926310225957,-0.371159152472164,-4.11010538364713,-3.87620373594085,-3.22323468132683,-1.99113315021246,2.55092012125874,-4.04206914791687,-2.58816526578642,-1.93609420861619,2.12999519717467,8.97160127595771,-2.09342685412644,6.46419551482724,1.6126320985618,3.52467466938047,-2.51652992859181
"2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences",-7.57439489443491,-4.83764910950831,3.55553571118513,8.11933874958646,0.448978173147207,6.28240309027501,-4.90486157744253,-5.67604432912783,0.842288082958122,-6.6435026034534,-5.95020541352453,-4.45482031144344,0.991425810380464,-4.92310607347618,-5.7409303143812,0.535087224975762,-8.48184069330466,-6.23742561249135,7.58251694445857,NA,5.86489144431041,7.82829964198494,6.35571960786464,-5.03679940542795,-0.26250795492145,2.74661888174765,4.2827984858873,2.24530983745595,4.5141614593188,-5.23624360329135,7.24552416912918,8.27469177952917,-0.00559827779453028,-4.81639998552879,-7.03119325759179,3.40010794693225,-4.25788181736654,-4.19029103932577,-5.65045680368614,1.11802411751961
"1642.MS00581",4.01333183525864,1.27779817889818,-3.3249194467924,-2.54755020947643,-2.70868566472318,-2.73908205871383,1.19689546756678,3.07682837687585,-2.59756918436122,6.83960002773312,5.69028956412472,2.66672596618817,-2.00432657447129,2.18838605852604,1.16661371975426,-1.63505282680388,5.93503419423119,6.90397263342921,-1.57934765088715,5.86489144431041,NA,-2.10247693798911,-1.78358312704194,1.97767186467615,-1.38250972319431,-3.02676759612162,-1.70452913915746,-2.0763407997237,-2.68759633709677,1.26361136722843,-2.39015023782313,-2.55209262032138,-2.13977199028322,1.4885437850793,6.03808434786416,-2.22856165072584,0.464736638003667,1.42270949793329,2.10976320167806,-2.91593726132994
"1642.MS00600",5.80699363322504,1.19863551664656,-3.96644249889056,-3.53070414662565,-2.57087316775857,-4.1523048736381,1.36482753740719,4.00256990241318,-2.44731836640479,8.9861087211502,8.44633297752041,3.39213733861072,-5.05844244609245,1.89905989587754,1.93519102109583,-4.07332274331826,8.51993987600018,9.12794933451987,-4.8997849093315,7.82829964198494,-2.10247693798911,NA,-3.14792699885575,2.21615737619078,-0.43374340060261,-3.73776795386737,-3.35391750499496,-4.27676536770343,-3.25362451417678,1.76100017693553,-4.0087004462683,-4.35939825649513,-2.75468983238738,2.22149147270415,9.10467439802859,-3.70428583373293,0.658325627831249,1.67707906386767,2.71768490868813,-3.13833199784191
"1642.MS00555",5.26156640374996,1.59521452801582,-3.56175418076782,-2.61761855867009,-2.50589682971636,-2.96048448945728,1.61005499063605,3.1029678439624,-2.14817692789028,7.65011391909963,7.13519450246617,2.68805579189305,-3.71525026284757,2.45902149258823,1.24557247745575,-1.6921283315415,6.83784802635839,7.16178938124174,-2.51952818141621,6.35571960786464,-1.78358312704194,-3.14792699885575,NA,2.41240768912632,-0.10505654565705,-3.36087855143076,-3.57379502286717,-3.53106762679855,-2.93511908898488,2.04529791241864,-2.8199416298816,-2.39095923090348,-2.61737052491675,1.88753054814858,7.91335943397923,-1.37031581490917,0.666737947637189,2.26353207819293,2.73320442426885,-2.5216835137415
"2382.SH005.C3.RH.5.673.root.9.12.lane7.NoIndex.L007.sequences",-6.44235046266875,-4.64197422545975,-0.586483257904874,2.4432947907988,-1.39799734965121,0.905061761024655,-5.46311552699503,-6.39820230228516,-1.57250160598936,-5.0384724452259,-5.15312687564687,-5.3372098795117,-0.414500077026347,-4.86366541743531,-4.38392903619391,-0.809972347390018,-3.53957352307981,-4.51595293780384,3.5926310225957,-5.03679940542795,1.97767186467615,2.21615737619078,2.41240768912632,NA,-0.355252182469405,-0.110229593405997,0.354429870860769,-0.447882413221438,-0.0836831666513052,-5.70086931897701,2.5338539055817,2.17541549322266,-1.95367202542715,-3.72752000983333,-5.33545435243121,0.0325569839628661,-5.07723850306201,-5.47170566825905,-6.13718280218332,-0.85151561441366
"1642.MS00599",-0.329259093309496,0.185081228104074,-0.703973000955613,-1.23859690505047,-0.719982477867902,-0.832874435067663,0.305585877441548,-0.336490780469394,-0.310281200465658,-0.121764177720803,-0.0795888933522757,0.0273418262060551,-0.624931225038735,-0.357948668477245,-0.405379880244981,-0.560377736172532,-0.201067678714062,0.175078152244441,-0.371159152472164,-0.26250795492145,-1.38250972319431,-0.43374340060261,-0.10505654565705,-0.355252182469405,NA,-0.379864571330682,-0.644460244497339,-0.78137183974558,-0.546691908581576,-0.186290527329352,-0.503870203381446,-0.513333682441698,-0.52293837896087,-0.265446330646656,0.187514468333472,-2.60856750526976,-0.748365512418776,-0.289717191348934,-0.0647404266933287,-0.791236744934735
"1642.MS00558",1.22579083276895,-0.112122192890075,-3.54635845533315,-3.05649724936437,-2.24098805222132,-2.99694120145667,0.106263379032746,0.972482660862219,-1.39376996282043,3.34471890864547,3.14747439804594,1.53550011523991,-4.30095188693876,-0.221691867863664,0.293785280457508,-2.80992249534647,5.20920864784866,3.17266255796256,-4.11010538364713,2.74661888174765,-3.02676759612162,-3.73776795386737,-3.36087855143076,-0.110229593405997,-0.379864571330682,NA,-3.42391321667232,-2.35941783338653,-3.04910912014315,-0.0113560541192176,-4.58202462521417,-2.73759911469965,-0.810508940844656,0.171144905208061,3.01241859680111,-1.82629419322011,-0.137562270956791,-0.46309631673414,0.383750076682054,-3.67644411727673
"1642.MS00630",2.96150921789059,-0.306747211410444,-3.91768427249471,-4.16788449760855,-2.57717524564711,-3.47908707933639,0.55621681459915,1.8915744418999,-2.50884096003851,5.74899490921403,4.99937084553522,1.22289628500945,-5.36810338185298,0.317874303288248,0.563957301848563,-3.80032964968014,4.77194985791636,5.89048491274194,-3.87620373594085,4.2827984858873,-1.70452913915746,-3.35391750499496,-3.57379502286717,0.354429870860769,-0.644460244497339,-3.42391321667232,NA,-4.56267620195748,-2.2360196351995,0.476931968975394,-3.48325123416401,-2.9792955955014,-2.88297782214709,0.561152537446414,5.04152527249235,-2.36946247735888,0.0815052114216737,-0.248735835114225,1.02583107560824,-3.02250502835397
"1642.MS00577",1.03420688591829,-0.681095791226953,-4.09182400774364,-3.85492808852711,-2.9435764828394,-5.38432936420509,-0.520521940983632,0.566209668207215,-2.72622013394479,2.69816280550528,2.80699665086694,1.64620633108857,-4.48199039622264,-0.38814338066933,-0.0650595434227142,-3.81433845644716,5.30981491076935,2.50487782352644,-3.22323468132683,2.24530983745595,-2.0763407997237,-4.27676536770343,-3.53106762679855,-0.447882413221438,-0.78137183974558,-2.35941783338653,-4.56267620195748,NA,-3.14021693920822,-0.421102984706786,-4.02270000141026,-2.51611441396181,-3.07854521193948,-0.241766344525665,1.98526157264152,-4.5067842613659,-0.378634668792958,-0.98916374266386,0.29023173415788,-4.33172297204258
"1642.MS00452",2.45228730335143,-0.840994111425339,-3.60366954347428,-2.86815938394878,-2.89349747253075,-4.39076681657233,-0.221510305437264,1.14355713464842,-3.65159738311032,5.76697254602105,4.22716512241567,0.875007766727728,-3.27457647881439,-0.290252818088531,0.01601653627475,-2.85753867915492,3.1291524581054,5.12686171671169,-1.99113315021246,4.5141614593188,-2.68759633709677,-3.25362451417678,-2.93511908898488,-0.0836831666513052,-0.546691908581576,-3.04910912014315,-2.2360196351995,-3.14021693920822,NA,-0.235967434132866,-2.65958587902645,-1.99837863444322,-3.14619156134242,-0.0897514389688692,4.15151646980296,-3.63107998059665,-0.274592688466596,-0.939549545928905,0.288780124642229,-3.19558026591391
