"","1642.MS00636","1642.MS00566","1642.MS00527","1642.MS00507","1642.MS00347","2382.SH008.C6.HA.2.732.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00389","1642.MS00332","1642.MS00398","2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00611","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00447","1642.MS00614","1642.MS00558","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00461","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00459","1642.MS00403","1642.MS00448","2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00594","1642.MS00489","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00600","2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.75.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00569","1642.MS00622","1642.MS00467","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00438","1642.MS00500","2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00526","1642.MS00465"
"1642.MS00611",0.020153928189,0.0279760913011,0.0266743633754,0.0272539540235,0.0470135941145,0.0827637717626,0.0264718494726,0.0443695440172,0.0380846373627,0.0971049029659,0,0.0841015013918,0.0304012078532,0.0208801007321,0.0258943711288,0.0845353471943,0.0870214298076,0.0279648440797,0.1103620071781,0.0205709368238,0.026776876581,0.026035765475,0.0992947528294,0.024555037923,0.0257167653566,0.0851068970168,0.024466677001,0.0974961035042,0.1044793149577,0.0876850261123,0.0227995714149,0.0211822131876,0.0262545536794,0.100451182732,0.0835735838479,0.0241634228182,0.0229648070931,0.1025227140498,0.0234195813853,0.0274965913856
"2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0903039220635,0.1107218944844,0.1044037781461,0.1248354790996,0.1035100094051,0.023512589921,0.1027165640449,0.118734228828,0.110206563183,0.0439048591804,0.0841015013918,0,0.1026294301379,0.0866842779906,0.0980800225334,0.022627475552,0.0341855062324,0.0999798991952,0.0666337139714,0.0874169431249,0.0778090576139,0.1035220069627,0.0477783037406,0.0809888766699,0.1101876916673,0.0559983438044,0.1061857961781,0.0649693327056,0.0529141851178,0.0485602415824,0.0893304522096,0.0870561933647,0.1051475122178,0.0484281694744,0.0227902372086,0.1070769702723,0.1013312089923,0.0539905257343,0.0891694170889,0.1005663394845
"1642.MS00447",0.0266942625597,0.0274800493594,0.0231518704872,0.0254357266559,0.0334397077664,0.0999415055028,0.0240634610534,0.0290522515263,0.0247825612225,0.1078881647855,0.0304012078532,0.1026294301379,0,0.0349707355134,0.0276775041103,0.100763426676,0.1008351919779,0.0258641075008,0.1134557339707,0.0271312648207,0.0283574887793,0.0209509835081,0.1113801573518,0.0398833965904,0.0227841847778,0.1011121504047,0.0251073895219,0.1101478274406,0.121440696889,0.1000589664973,0.0327626753395,0.0300435632496,0.0265690576369,0.1140110749627,0.1008762301483,0.0211996502103,0.0269795214822,0.1168050268689,0.025239192556,0.0267480635029
"1642.MS00614",0.0240055578748,0.0359442421196,0.028392691449,0.0302967754254,0.0572781981542,0.0856882749057,0.0312633080045,0.0535192668495,0.0449685876587,0.1052307073326,0.0208801007321,0.0866842779906,0.0349707355134,0,0.0265360149819,0.0854998045407,0.0929103858015,0.0361897238087,0.1239969782856,0.0251364823015,0.0324562525108,0.0295534070774,0.1052476475187,0.0289939211136,0.0300615559008,0.0977432843215,0.0310392095884,0.116183372597,0.1172586117887,0.0970631099477,0.0248747182276,0.0227200614715,0.0324015224911,0.1085566057507,0.0873856954737,0.0270714536224,0.0270466607927,0.1165614564676,0.02760267813,0.0350589844391
"1642.MS00558",0.0247154412481,0.0301874986356,0.0254922710969,0.0219688725373,0.0446028818935,0.097360734413,0.025348412154,0.0370285892953,0.0326448455661,0.0946151761132,0.0258943711288,0.0980800225334,0.0276775041103,0.0265360149819,0,0.0932827117727,0.0886967451262,0.0266273479687,0.1054174000059,0.0238230294509,0.025708152016,0.0228903896353,0.0987884482865,0.0389366747864,0.0229420760785,0.084833722222,0.022810647705,0.0957938117907,0.1091116454147,0.0881574513359,0.0237259485399,0.0233170360013,0.0237354213519,0.1018789050728,0.0874946940031,0.0208253795896,0.0209875158729,0.1036520269726,0.0230954382889,0.0273339122219
"2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0873078371153,0.1033636090459,0.0971333280612,0.1121082156092,0.0952524637702,0.0171274316173,0.0907395052886,0.1065943235247,0.0985703022943,0.0353169316419,0.0845353471943,0.022627475552,0.100763426676,0.0854998045407,0.0932827117727,0,0.0335891645319,0.0934068093826,0.0592503471064,0.0866989016689,0.0756814621425,0.0988632106204,0.0388204799947,0.0769371792019,0.1055144174755,0.052500400179,0.1031598444858,0.0565665854098,0.041407945737,0.0391220673267,0.0860777924555,0.0861701871062,0.1026035190099,0.0469568152746,0.0246181230747,0.0972799478634,0.0951403530175,0.0428015327468,0.0861016883261,0.0939307033304
"2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences",0.091178634347,0.0937929374271,0.0879623230106,0.0888295510162,0.0850868583131,0.0376424281482,0.0779097299928,0.0866456903605,0.0817059534531,0.0259645716762,0.0870214298076,0.0341855062324,0.1008351919779,0.0929103858015,0.0886967451262,0.0335891645319,0,0.0869638549825,0.0388952301009,0.0900826236568,0.0790200522802,0.0983798866343,0.0231545479386,0.0815916402681,0.0996860162145,0.0422617880707,0.1006601234297,0.0444916379148,0.0274060426014,0.0182790620626,0.0898484789133,0.0902489588111,0.0926942273263,0.0318428799523,0.0241863288847,0.0836937785226,0.0812404972882,0.0287061817282,0.0879316840557,0.088200728089
"1642.MS00461",0.0257018771546,0.0229018217179,0.0227073019004,0.0219582786491,0.0410711027694,0.0968243476997,0.0249575696576,0.0348303100781,0.0267119532182,0.0947724661213,0.0279648440797,0.0999798991952,0.0258641075008,0.0361897238087,0.0266273479687,0.0934068093826,0.0869638549825,0,0.0985287527295,0.02442664833,0.0248523075903,0.0251486260623,0.0954454241961,0.0349342581583,0.0211235285459,0.0830121476679,0.0233995152705,0.0934033327718,0.1033050294097,0.0846099180714,0.026495263839,0.0275328035068,0.0208014239102,0.1043487500497,0.0867589817831,0.0223466824037,0.022368796711,0.0982685849846,0.0226381577818,0.0187093099167
"2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences",0.1020099852901,0.0966561694327,0.1015550581608,0.0957536241812,0.0822901903314,0.0598340431754,0.0849758561789,0.0806000533546,0.0783866161574,0.0209649323607,0.1103620071781,0.0666337139714,0.1134557339707,0.1239969782856,0.1054174000059,0.0592503471064,0.0388952301009,0.0985287527295,0,0.1025073817645,0.0861718618045,0.1099906072685,0.0339695565789,0.0780806121599,0.0995914786571,0.0363271614196,0.1129298853294,0.0281966719529,0.0155991569319,0.0294821007966,0.1056301671752,0.1073685526844,0.0970344331669,0.0210754341995,0.0630970114423,0.0951862166068,0.0919732571168,0.0206394685454,0.1012768794766,0.0921529502581
"1642.MS00459",0.019129720603,0.0251315354351,0.0242273575861,0.0231472693126,0.0366589371551,0.0856280875357,0.0223098013252,0.0353077275753,0.0306981339693,0.0998877119553,0.0205709368238,0.0874169431249,0.0271312648207,0.0251364823015,0.0238230294509,0.0866989016689,0.0900826236568,0.02442664833,0.1025073817645,0,0.0210358418375,0.0223369456721,0.1024246263867,0.024188562885,0.022950188785,0.0826567148182,0.0233638705935,0.0962144537966,0.1086024034903,0.0891051244899,0.0193595752728,0.0207635706566,0.021191908581,0.1060883312017,0.0872842410885,0.0209357850454,0.0194096616394,0.1053050743582,0.0191031738428,0.0231423764666
"1642.MS00403",0.0247293622995,0.0283617611797,0.0271665606697,0.0237794313538,0.0271145325431,0.0755879133795,0.0198471068852,0.0286619603677,0.0284282257354,0.0859106905921,0.026776876581,0.0778090576139,0.0283574887793,0.0324562525108,0.025708152016,0.0756814621425,0.0790200522802,0.0248523075903,0.0861718618045,0.0210358418375,0,0.0254178204545,0.0881472656927,0.0361401568347,0.0239888310864,0.0753705913237,0.0256182172978,0.085367744528,0.0909081276245,0.0792785628489,0.0240868920063,0.0238448981139,0.0217674208639,0.0907667205771,0.0774164562947,0.0220589413618,0.0211846714864,0.0892054695419,0.0214497514119,0.024023398612
"1642.MS00448",0.023694142672,0.0261830961479,0.0227556426165,0.0209362897558,0.0345778783821,0.0978149699762,0.023155668055,0.0288878481341,0.0259325948363,0.1040701263323,0.026035765475,0.1035220069627,0.0209509835081,0.0295534070774,0.0228903896353,0.0988632106204,0.0983798866343,0.0251486260623,0.1099906072685,0.0223369456721,0.0254178204545,0,0.1096597020699,0.037387445462,0.0197136630573,0.0953534768805,0.0211028689974,0.1044154184308,0.1185689864034,0.0981416886234,0.0260270169968,0.0258280518792,0.0224252837871,0.109833133461,0.1003035232386,0.0185805916186,0.0223916594138,0.1137764385742,0.0222866433584,0.022975172389
"2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences",0.1013279435563,0.102342431307,0.0974650726717,0.0950016092555,0.0971964270601,0.0425875875604,0.0824226108213,0.0939720936834,0.0867700205569,0.0164145375572,0.0992947528294,0.0477783037406,0.1113801573518,0.1052476475187,0.0987884482865,0.0388204799947,0.0231545479386,0.0954454241961,0.0339695565789,0.1024246263867,0.0881472656927,0.1096597020699,0,0.1103522003299,0.1137802512592,0.0484150596859,0.1077570032068,0.0427926377221,0.0202990356598,0.0241513123002,0.0976008230521,0.1004059790482,0.1037323683193,0.0246875501612,0.039555466238,0.0937541548749,0.0917652023796,0.0258395402031,0.0995094495165,0.09566060264
"1642.MS00594",0.0228038218973,0.0254381330427,0.0360735657205,0.0308037172338,0.0483812509229,0.0757789248781,0.0351453256084,0.0479092421189,0.0557278414326,0.1045175406356,0.024555037923,0.0809888766699,0.0398833965904,0.0289939211136,0.0389366747864,0.0769371792019,0.0815916402681,0.0349342581583,0.0780806121599,0.024188562885,0.0361401568347,0.037387445462,0.1103522003299,0,0.034823734562,0.0694108813689,0.0360403248695,0.0762661955699,0.0833022225561,0.07557721073,0.033520105892,0.0335875957575,0.0358905480871,0.1065128164171,0.0784243943515,0.0340662487531,0.0321645350668,0.0784481059702,0.0326482326987,0.0321662212617
"1642.MS00489",0.0248037461451,0.0223344621681,0.021447423554,0.0187414821281,0.0392050975183,0.1065954639947,0.0233688344894,0.032336768159,0.0254330526526,0.109615160297,0.0257167653566,0.1101876916673,0.0227841847778,0.0300615559008,0.0229420760785,0.1055144174755,0.0996860162145,0.0211235285459,0.0995914786571,0.022950188785,0.0239888310864,0.0197136630573,0.1137802512592,0.034823734562,0,0.0997783576498,0.0217097561417,0.1086322331639,0.1209355949146,0.1038156569566,0.0259106172462,0.0250303346988,0.0178865380291,0.1186535805293,0.096307582312,0.0222687850255,0.0189539187878,0.1174514144735,0.0194612863952,0.0183023165983
"2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences",0.086117269083,0.0880930201251,0.08659386606,0.0850122585277,0.0819035188875,0.0535408770466,0.0695424995722,0.0794534958636,0.0784608174457,0.0336211946303,0.0851068970168,0.0559983438044,0.1011121504047,0.0977432843215,0.084833722222,0.052500400179,0.0422617880707,0.0830121476679,0.0363271614196,0.0826567148182,0.0753705913237,0.0953534768805,0.0484150596859,0.0694108813689,0.0997783576498,0,0.096157656948,0.0141604545537,0.0384492616335,0.0386148461424,0.0832830901421,0.0884032632856,0.0884512807147,0.0390750052446,0.0519660729662,0.0796507026927,0.0775152727214,0.0339555704115,0.0839546562187,0.0821486549381
"1642.MS00600",0.0222778327782,0.0229053551663,0.0256855972728,0.0204853225079,0.0388347778801,0.1017650245533,0.0279719068228,0.0359345224478,0.0303540162451,0.1057427118167,0.024466677001,0.1061857961781,0.0251073895219,0.0310392095884,0.022810647705,0.1031598444858,0.1006601234297,0.0233995152705,0.1129298853294,0.0233638705935,0.0256182172978,0.0211028689974,0.1077570032068,0.0360403248695,0.0217097561417,0.096157656948,0,0.1057656471815,0.11112754515,0.1014924573788,0.0251841163579,0.0239503744528,0.0214590430587,0.1115022382082,0.1002942443578,0.0224308923944,0.0211519098607,0.111912283904,0.0215705358869,0.0221736676278
"2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences",0.096775395652,0.0959572108937,0.0955354782195,0.0926576758784,0.0861750305336,0.0586106556115,0.0770252954187,0.0838819850551,0.0846892978345,0.0281831902275,0.0974961035042,0.0649693327056,0.1101478274406,0.116183372597,0.0957938117907,0.0565665854098,0.0444916379148,0.0934033327718,0.0281966719529,0.0962144537966,0.085367744528,0.1044154184308,0.0427926377221,0.0762661955699,0.1086322331639,0.0141604545537,0.1057656471815,0,0.0334184577758,0.0365948046435,0.0963587304904,0.1000081511732,0.0989942741471,0.029765527519,0.0622046754329,0.0883389238311,0.0864989942465,0.0297414689738,0.0960825437025,0.0900155569417
"2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences",0.1083615314231,0.104889497648,0.1047503209617,0.1028206517195,0.0992180008154,0.0432859612847,0.0892431753854,0.0937530776124,0.0925931308989,0.0137618433581,0.1044793149577,0.0529141851178,0.121440696889,0.1172586117887,0.1091116454147,0.041407945737,0.0274060426014,0.1033050294097,0.0155991569319,0.1086024034903,0.0909081276245,0.1185689864034,0.0202990356598,0.0833022225561,0.1209355949146,0.0384492616335,0.11112754515,0.0334184577758,0,0.0208417831802,0.1084635531525,0.103690801048,0.1101235536511,0.0142116733895,0.0469317693804,0.1022410695539,0.0992280851506,0.0129974007791,0.1072284698788,0.1005449607891
"2382.MU002.C3.HA.4.75.root.6.11.lane1.NoIndex.L001.sequences",0.090464322115,0.0920767401109,0.0865422975797,0.0887729261903,0.086253928894,0.0489243816241,0.0736969492275,0.0835434536106,0.0793708731512,0.0207717604244,0.0876850261123,0.0485602415824,0.1000589664973,0.0970631099477,0.0881574513359,0.0391220673267,0.0182790620626,0.0846099180714,0.0294821007966,0.0891051244899,0.0792785628489,0.0981416886234,0.0241513123002,0.07557721073,0.1038156569566,0.0386148461424,0.1014924573788,0.0365948046435,0.0208417831802,0,0.0892541011781,0.0906769376303,0.0941330934891,0.025220290406,0.0247318979043,0.0825891956239,0.082652255572,0.0183634840189,0.0872717999595,0.0859214908975
"1642.MS00569",0.0221383742099,0.0285089442283,0.0278378879442,0.0228508768057,0.0456766625332,0.0865967886742,0.0260024095925,0.0461150764375,0.0371923949808,0.0960964348337,0.0227995714149,0.0893304522096,0.0327626753395,0.0248747182276,0.0237259485399,0.0860777924555,0.0898484789133,0.026495263839,0.1056301671752,0.0193595752728,0.0240868920063,0.0260270169968,0.0976008230521,0.033520105892,0.0259106172462,0.0832830901421,0.0251841163579,0.0963587304904,0.1084635531525,0.0892541011781,0,0.0207324701496,0.0229542625929,0.1060110646734,0.0854010732291,0.0237630158419,0.0209415796375,0.1030411822787,0.0219111500613,0.0252634746353
"1642.MS00622",0.022284270147,0.0296331666638,0.0248495633132,0.0253756539254,0.0432078428775,0.0853049292894,0.0237582783208,0.0408913530398,0.0347412764581,0.0952828983198,0.0211822131876,0.0870561933647,0.0300435632496,0.0227200614715,0.0233170360013,0.0861701871062,0.0902489588111,0.0275328035068,0.1073685526844,0.0207635706566,0.0238448981139,0.0258280518792,0.1004059790482,0.0335875957575,0.0250303346988,0.0884032632856,0.0239503744528,0.1000081511732,0.103690801048,0.0906769376303,0.0207324701496,0,0.0244825449998,0.1027728574322,0.0860887209679,0.0238602842808,0.0210752431179,0.1055280433134,0.0222156151401,0.0271560167997
"1642.MS00467",0.0229284906897,0.022553335593,0.0244589561509,0.0174956005649,0.0362503086071,0.1049654717034,0.0234549165395,0.0299786522709,0.0249579598503,0.1026928846388,0.0262545536794,0.1051475122178,0.0265690576369,0.0324015224911,0.0237354213519,0.1026035190099,0.0926942273263,0.0208014239102,0.0970344331669,0.021191908581,0.0217674208639,0.0224252837871,0.1037323683193,0.0358905480871,0.0178865380291,0.0884512807147,0.0214590430587,0.0989942741471,0.1101235536511,0.0941330934891,0.0229542625929,0.0244825449998,0,0.1124372385747,0.0901958467242,0.0224926017869,0.0194805842583,0.1042661805758,0.0191690363008,0.0173233598316
