"","2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00489","1642.MS00622","1642.MS00389","1642.MS00569","1642.MS00403","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00594","1642.MS00459","2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00566","2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00600","1642.MS00526","1642.MS00467","1642.MS00527","1642.MS00465","1642.MS00611","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00461","1642.MS00558","1642.MS00614","1642.MS00332","2382.MU002.C3.HA.4.75.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00448","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00636","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00438","1642.MS00500","2382.SH008.C6.HA.2.732.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00347","1642.MS00398","1642.MS00447","1642.MS00507","2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences"
"2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences",0.4992,0.917,0.891,0.9176,0.891,0.8852,0.8858,0.9384,0.9014,0.764,0,0.8252,0.8316,0.9204,0.8832,0.9096,0.9034,0.9062,0.93,0.9012,0.9062,0.863,0.873,0.909,0.9054,0.9116,0.9398,0.808,0.9076,0.8078,0.9064,0.841,0.9156,0.9044,0.8754,0.93,0.937,0.9278,0.9282,0.8076
"2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences",0.7598,0.9526,0.9438,0.9516,0.9416,0.9402,0.8882,0.964,0.951,0.5184,0.8252,0,0.5856,0.948,0.4886,0.9506,0.9458,0.9496,0.9588,0.9362,0.9446,0.856,0.8468,0.9444,0.9412,0.9462,0.9654,0.658,0.9558,0.7302,0.9472,0.436,0.9516,0.943,0.8654,0.9642,0.9614,0.9578,0.9576,0.6056
"2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences",0.7764,0.964,0.9552,0.9586,0.949,0.9484,0.9042,0.9692,0.9612,0.6264,0.8316,0.5856,0,0.9542,0.6626,0.9594,0.9556,0.955,0.9672,0.9432,0.9538,0.8764,0.8804,0.9518,0.9534,0.9542,0.9704,0.7586,0.9654,0.8206,0.9562,0.6322,0.96,0.9556,0.8862,0.9684,0.9646,0.9652,0.9642,0.7318
"1642.MS00566",0.9358,0.5694,0.6514,0.5994,0.5964,0.6446,0.936,0.7076,0.6406,0.9406,0.9204,0.948,0.9542,0,0.964,0.5484,0.557,0.4982,0.5706,0.483,0.6394,0.9278,0.9356,0.4972,0.576,0.6926,0.6924,0.938,0.6466,0.9478,0.6154,0.9474,0.5622,0.5302,0.935,0.7352,0.6174,0.6232,0.489,0.9376
"2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences",0.8312,0.9642,0.9548,0.962,0.9516,0.9496,0.867,0.972,0.9564,0.6904,0.8832,0.4886,0.6626,0.964,0,0.962,0.9544,0.9594,0.9648,0.9498,0.956,0.8622,0.8544,0.954,0.9514,0.9596,0.9752,0.7568,0.9642,0.8302,0.9566,0.6096,0.962,0.9516,0.8668,0.9694,0.9718,0.9642,0.9676,0.6194
"1642.MS00600",0.9346,0.5386,0.5696,0.6434,0.5456,0.5768,0.922,0.701,0.5496,0.9398,0.9096,0.9506,0.9594,0.5484,0.962,0,0.5236,0.527,0.5928,0.5418,0.5824,0.9152,0.9236,0.5236,0.5556,0.629,0.7474,0.9298,0.5436,0.9478,0.5266,0.9458,0.5862,0.5388,0.9228,0.7306,0.6986,0.5888,0.5774,0.9264
"1642.MS00526",0.939,0.5076,0.494,0.5972,0.4674,0.5052,0.9124,0.6786,0.4946,0.9374,0.9034,0.9458,0.9556,0.557,0.9544,0.5236,0,0.5214,0.5328,0.5426,0.5134,0.9032,0.908,0.5258,0.5474,0.5318,0.7538,0.927,0.5472,0.9472,0.5044,0.9414,0.5414,0.5252,0.9086,0.73,0.6882,0.5252,0.6084,0.9182
"1642.MS00467",0.9356,0.4602,0.5928,0.5934,0.5506,0.5926,0.9328,0.7042,0.5716,0.9452,0.9062,0.9496,0.955,0.4982,0.9594,0.527,0.5214,0,0.5788,0.4708,0.594,0.9202,0.9334,0.4984,0.5538,0.6342,0.7054,0.9334,0.5926,0.9442,0.5666,0.945,0.5444,0.5038,0.934,0.7042,0.6476,0.599,0.5398,0.929
"1642.MS00527",0.9552,0.5512,0.589,0.5308,0.5672,0.5842,0.9354,0.7234,0.5704,0.954,0.93,0.9588,0.9672,0.5706,0.9648,0.5928,0.5328,0.5788,0,0.6058,0.5724,0.9278,0.9324,0.5704,0.5366,0.59,0.673,0.9446,0.5884,0.9694,0.5824,0.9594,0.498,0.4914,0.9322,0.709,0.5934,0.5588,0.5626,0.945
"1642.MS00465",0.9246,0.5406,0.6204,0.6286,0.5842,0.5928,0.9236,0.7206,0.6108,0.9332,0.9012,0.9362,0.9432,0.483,0.9498,0.5418,0.5426,0.4708,0.6058,0,0.6274,0.9094,0.925,0.4544,0.6058,0.6834,0.7292,0.9214,0.624,0.938,0.5966,0.9354,0.583,0.5358,0.9252,0.713,0.6544,0.6368,0.5826,0.9216
"1642.MS00611",0.9426,0.5792,0.4732,0.6318,0.4946,0.5408,0.9024,0.636,0.5008,0.938,0.9062,0.9446,0.9538,0.6394,0.956,0.5824,0.5134,0.594,0.5724,0.6274,0,0.8896,0.9038,0.62,0.5724,0.457,0.7876,0.9238,0.6,0.952,0.4744,0.9472,0.5902,0.5534,0.9006,0.7496,0.7492,0.5914,0.661,0.9172
"2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9126,0.9192,0.8752,0.922,0.8876,0.8898,0.6044,0.9354,0.8962,0.8474,0.863,0.856,0.8764,0.9278,0.8622,0.9152,0.9032,0.9202,0.9278,0.9094,0.8896,0,0.583,0.9156,0.896,0.9056,0.9528,0.8018,0.9324,0.9286,0.898,0.8648,0.9156,0.894,0.5468,0.9382,0.9444,0.9312,0.9358,0.7456
