"","1642.MS00636","1642.MS00566","1642.MS00527","1642.MS00507","1642.MS00347","2382.SH008.C6.HA.2.732.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00389","1642.MS00332","1642.MS00398","2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00611","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00447","1642.MS00614","1642.MS00558","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00461","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00459","1642.MS00403","1642.MS00448","2382.MU002.C3.HA.1.478.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00594","1642.MS00489","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00600","2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.75.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00569","1642.MS00622","1642.MS00467","2382.HE003.C181.HA.5.573.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.2.682.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00438","1642.MS00500","2382.SH004.C1.RH.5.223.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00526","1642.MS00465"
"1642.MS00611",-4.19233848381802,-3.1738024612034,-1.53025981359907,-2.21009173298477,-0.232338448582828,4.18538637497175,-2.74181250196988,-1.41100026588708,-1.54215787296772,0.321976807794278,NA,5.96272500846198,-1.26169566093668,-2.48325878304262,-1.8492037736845,4.87539039107509,1.42330565141355,-2.45653023732701,0.561458829808902,-4.34277933127029,-1.44030285831259,-3.41727273875966,0.370224683058642,-2.5308980732126,-2.43691749670358,0.97296816410918,-4.12452962537536,0.312341765773891,1.09741925400083,0.617558952515588,-2.28080232763774,-2.64924175232914,-2.68233164299287,-0.175309864045475,4.35699634238924,-2.75661951899008,-2.45418703154975,2.58202794222424,-2.062970693961,-2.96387573162622
"2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences",7.18767500467983,7.65058379558898,5.32107700524383,5.3886204356714,4.44972126255789,-5.22575926147841,3.82956911841526,4.84779976652928,4.32822734480569,-4.99456803760774,5.96272500846198,NA,10.3333564017254,4.82695275953906,6.72169438797981,-6.3952948703726,-4.62077288394998,8.3779861610253,-2.20052045157978,6.26557329476573,3.83200947468703,9.1939738521156,-4.06744676710029,-0.176653391133869,9.36858073430471,-2.93389432462893,11.5628918446078,-2.71993141269037,-2.00097321408571,-0.235911370687798,8.06927188199062,7.17540033327723,7.55505328603346,-4.3383903440612,-5.13707546169499,5.37059289386962,5.35057243138629,-1.4397999383597,6.7157971061945,7.66690923723209
"1642.MS00447",-2.93286180212802,-3.60493054657689,-3.00076317769481,-3.48175478025985,-1.70883876642121,7.82233902350376,-2.018835621827,-3.01854782263379,-2.87048729633036,1.3887580596773,-1.26169566093668,10.3333564017254,NA,0.743403970250908,-2.70303554857304,7.80128009468989,3.71617447324985,-3.58960998969572,0.461713178313666,-2.60571608946972,-0.989349773771938,-3.92916120330813,1.72287161936311,-1.23570026925921,-3.1847029520156,3.28550368276398,-5.13497960502679,1.38542252372941,2.61895248572022,1.88272867412422,1.68215636337863,-0.806530762516993,-2.82856042884587,0.627876692800006,7.74537495317218,-3.60362126228232,-1.04120655301557,4.36635324648305,-2.22872355513837,-4.05490177854564
"1642.MS00614",-2.15922293427422,-1.42421769791996,-1.49273990771797,-1.34228581993821,2.33681939886417,4.10904278480212,-1.01801245325433,0.888336244774861,-0.128174585049708,0.937781980059399,-2.48325878304262,4.82695275953906,0.743403970250908,NA,-0.894100060631211,3.78339640704584,2.23511458716073,-0.963041660756445,1.57688820128594,-1.84655070284426,1.42173206386868,-1.28724298795458,0.985034241996405,-1.6814225380563,-1.3548452633371,2.80684941679076,-2.24727413293102,2.06309531050544,2.23986001503911,1.49217151059539,-1.01839921848779,-1.15394688427418,-1.26350307084139,0.272158110056313,5.07928962396229,-0.988545687396092,-0.833221972234928,4.11170540231532,-0.608418299669199,-1.83195960445399
"1642.MS00558",-1.84810089397922,-2.06650254493,-2.98914886279635,-4.56839230467286,-0.254749610824294,5.57913027365264,-4.03564877681479,-2.54666467542168,-2.07517401302657,-0.256780163093487,-1.8492037736845,6.72169438797981,-2.70303554857304,-0.894100060631211,NA,4.75589695733686,1.19259570030431,-3.66938739701303,-0.0933465849891529,-3.67066082187762,-2.4826393438862,-4.17616140770186,0.0864849539885777,-1.00746402466985,-4.66839333417451,0.56014479168063,-5.21120623583463,0.0140433189795649,1.38336416202572,0.41250174467026,-2.80277967175608,-3.27532998202308,-4.05120059691287,-0.266112620584243,3.53790129425955,-5.23834334478566,-3.88787644106635,2.19102310579039,-3.86907281184725,-3.55984037551601
"2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences",5.15520150778855,5.47926145690591,3.42052440736567,3.35860216919299,2.61517953929885,-6.59916023905981,1.64418473964299,2.40016093977553,1.9913750854738,-5.76938541007878,4.87539039107509,-6.3952948703726,7.80128009468989,3.78339640704584,4.75589695733686,NA,-5.50559348501184,5.41051062630689,-4.41910879295238,5.12796624657419,2.26342435014672,6.72583588631526,-5.71813658652193,-0.820231632350714,7.4567778814588,-4.12310312313741,9.67619161183714,-3.58975121135286,-2.90832804999994,-2.0624307586005,5.5307427522925,5.93552782139729,5.89488648780797,-4.74861799567713,-4.99931463516697,3.22144182917937,3.60050931729225,-3.99876533929683,5.06891202887947,4.92969239957457
"2382.MU002.C3.HA.5.298.root.9.11.lane1.NoIndex.L001.sequences",2.29102476844659,1.35287938899055,0.359518083783661,0.0078418962842556,-0.113926979686834,-4.43104485707585,-1.04391588937785,-0.823778901587605,-1.04633284474509,-5.86163645104809,1.42330565141355,-4.62077288394998,3.71617447324985,2.23511458716073,1.19259570030431,-5.50559348501184,NA,1.27697179922345,-4.69867468225051,2.19155215598191,0.198026207147912,3.04253961747928,-5.70387275935209,-1.00491210918563,2.83511332466705,-5.30139243842358,4.48998146142496,-3.95228451860374,-6.11772621911097,-6.97995327668799,2.31202631858276,2.68360645345131,1.47307512687224,-4.96959558330954,-6.57076248947481,-0.0764777536226382,-0.144176582970779,-5.27763570297027,1.73712825576824,1.27234169453356
"1642.MS00461",-3.1382684722665,-2.02789950134693,-3.11473136418657,-3.90780333464708,-1.87111803306701,6.19985561580591,-3.13050472186709,-3.17471299670282,-3.01232504987057,-0.170531146834639,-2.45653023732701,8.3779861610253,-3.58960998969572,-0.963041660756445,-3.66938739701303,5.41051062630689,1.27697179922345,NA,-0.437456757488721,-3.44188232531991,-2.66123280062707,-2.96444105301062,-0.344898692720325,-1.36017404012273,-2.75628581040843,0.759595606142131,-3.04946364382412,-0.112325006592677,0.94785350528077,0.663718764845414,-2.66263528140943,-2.41214226026704,-3.32543975261482,0.125046345879109,3.74523767376212,-3.88552411588407,-3.19990072873489,1.82705516920872,-2.45433357606227,-2.90540151634254
"2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences",-0.319259292445808,-0.983529479819085,-0.59206058547514,-0.836873060167302,-2.41280369356351,-4.40343082489025,-1.57640919451929,-2.37923908439803,-2.2031223778282,-5.1675401281397,0.561458829808902,-2.20052045157978,0.461713178313666,1.57688820128594,-0.0933465849891529,-4.41910879295238,-4.69867468225051,-0.437456757488721,NA,-0.310030870101557,-1.49939428464637,0.206175803189961,-4.74643421514627,-1.96400941776842,-0.449455790857141,-4.79481168781003,0.937923060148476,-3.6570130654503,-6.98928651081769,-6.43656718896015,0.331977901751019,0.329780546180488,-0.705565796882954,-5.8185588418816,-2.66664103545166,-0.817847850748271,-0.984729552545437,-7.08456144480922,-0.139754225465752,-1.0097758614066
"1642.MS00459",-4.77554514477555,-5.16104186814667,-3.07329868424997,-5.14559749421095,-1.61523570213354,5.23040414561631,-3.69315365613592,-3.32699674273466,-3.05498250117478,0.666926274012184,-4.34277933127029,6.26557329476573,-2.60571608946972,-1.84655070284426,-3.67066082187762,5.12796624657419,2.19155215598191,-3.44188232531991,-0.310030870101557,NA,-3.7001872704459,-4.40666969471362,0.799969745551516,-3.40660898564892,-3.47300290258242,0.768617870134945,-4.1623066548125,0.210171045012268,1.5553222269825,0.654208821434653,-4.69720946247117,-2.2025841507826,-4.13752185281577,0.116864398344244,5.42844700052737,-5.29727489089556,-5.17716188329979,2.88031815786562,-5.23106016501882,-5.8934279561333
