"","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00508","2382.DPOO1.C1.HA.5.448.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00385","1642.MS00527","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.5.773.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.4.135.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00555","2382.GM.181.R4.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00417","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00611","2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00596","1642.MS00409","2382.DPOO1.C1.HA.1.428.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00530","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00504","2382.DPOO1.C1.HA.4.642.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00589","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R2.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00453","2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00377","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00464","2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00548"
"2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences",-5.14623776695085,-0.79294451638053,-6.1625673444942,-0.570089603811251,-0.0776084330465829,-2.53533751889977,-6.43263175079108,-5.74914744988096,1.88617961071952,-2.9504825293475,NA,-7.10948629709858,-6.4822766830942,-5.05703968702047,-0.0526720361865574,-5.52806525374242,-4.37445426779127,-5.76431582646081,-5.86041715355551,0.734292635579522,-5.48858462228363,1.36870821498052,-0.87414445767275,-6.8321382028956,0.486254296230977,-4.81491344498541,-0.867429829384408,-5.13829320528558,2.53143530135918,-2.26682971435856,0.1703703759956,-7.00799562710006,-6.15133544822401,0.87953682328799,-5.16494483292148,-0.308946011848074,-5.01449623565538,0.132604294655045,-5.77331505798358,0.170238363347401
"2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences",-4.62107147080058,-0.782002985710918,-6.98684504443527,-0.636946585027415,-0.107220486129849,-1.77010050143245,-7.10239178491249,-6.96046292039813,1.19216462249614,-2.34676731496224,-7.10948629709858,NA,-5.67704618298447,-4.75089320943298,-0.0960874278371495,-5.12720068339358,-3.50926221859108,-6.94693426740662,-4.88548073465331,0.351586183995162,-5.17056326589241,0.469887775075434,-0.731544914789838,-6.52460537475234,0.303835658828812,-5.5996361130637,-1.04058487755527,-1.73400820103891,1.37230160663068,-3.15235107731556,-2.07700317688015,-8.09821652909278,-6.25276911023649,0.174872126750922,-4.97749082481272,-0.113814778015078,-6.66933504357483,0.136123930800501,-7.06626139789117,0.0909255325096314
"2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences",-4.15793143124156,-0.724244820637189,-5.17160925897283,-0.543406336988695,-0.103192552032494,-1.20184934290744,-5.44605312822815,-5.78592524965904,0.703539797092877,-2.11283813204285,-6.4822766830942,-5.67704618298447,NA,-3.75053628020203,-0.137324241963087,-4.42821146401024,-4.71099206425297,-5.94849822683887,-5.76267643435217,0.247564412494076,-6.33329678992249,0.554508245578081,-0.740456246637673,-4.85524829647078,0.291749183526442,-5.61750754434014,-1.00795058271705,-1.7674422667718,1.16119785146191,-3.26838858623759,-1.91940947495572,-5.13608088197321,-3.33457017322784,0.0475978760336806,-4.82145988324902,-0.330121550909795,-5.70342978431016,-0.0194796061598786,-6.08210986803358,0.0348917548663404
"2382.DPOO1.C1.HA.4.442.rhizo.4.12.r1.lane7.NoIndex.L007.sequences",-8.6113192448531,-0.0303518672524175,-5.95446887013554,2.07734118085012,1.62778056318743,-5.19233965510379,-6.91549283703832,-6.35225510402213,6.90269835194224,-6.07316955132836,-5.05703968702047,-4.75089320943298,-3.75053628020203,NA,3.01111167046471,-6.20238755718718,-3.92266306682406,-4.61938810574355,-7.42739030910833,4.94300784691248,-3.62281379520159,6.58592188045682,0.168820219475186,-5.05895531437643,4.87038666686385,-3.21811790707305,-0.327357924628262,-7.59498722356848,10.4590375621346,-5.83646791657501,-5.83530307188928,-5.3713901601559,-5.43806801423041,4.91430931942736,-4.29071564761456,3.05470464939092,-5.65739518837928,2.82345392799673,-4.26025295137793,2.77029633369566
"1642.MS00417",4.15230032308327,-6.35218590667547,-0.000911316280485989,-4.6164974290299,-1.14417325878516,8.11942142670474,-0.246739396537577,-0.282818840600647,-3.40773219593439,1.73566165484512,-0.0526720361865574,-0.0960874278371495,-0.137324241963087,3.01111167046471,NA,-0.110599407853876,-0.0759170057435332,-0.257223898456385,-0.440422872489387,-2.14729162182659,-0.191067472810738,-3.1609188671244,-5.31879864556565,-0.200581070541302,-3.56017624920687,-0.155214249151943,-3.8864591861187,5.34685395894789,-4.07143495613717,5.32509034298673,3.91429433497287,0.416327491022918,-0.245891201490667,-2.57121388099073,-0.0264660084934835,-4.53024042249139,2.69708428188169,-4.04800303321246,-0.377971908078395,-4.14188508536091
"2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences",-5.51602488152318,-0.845710593072512,-6.08575525263107,-0.739360822078237,0.00114050827729699,-2.52723094329151,-7.29944466712306,-6.70267874207274,1.87473476640822,-3.58021451854026,-5.52806525374242,-5.12720068339358,-4.42821146401024,-6.20238755718718,-0.110599407853876,NA,-5.16218230799044,-5.42379698542054,-5.55307798960431,0.553072203819572,-5.86464306586743,0.947488255637891,-0.932841700694195,-5.4727400858802,0.885198385080401,-5.56669720230309,-1.36279632587149,-2.86981387952817,2.51637141534866,-4.13612935195171,-3.29335774431014,-5.19745005495268,-5.33493262912396,0.33986229010773,-5.47922656144958,-0.26508345598963,-6.05021663795134,0.269690546241808,-5.37772789951799,0.25992025765179
"2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences",-4.57886944340703,-0.755525998141817,-3.47432125073872,-0.578047273894454,-0.0112298171476862,-2.22251782675409,-4.34470299284946,-4.20604802639505,1.27057095107948,-2.68936782236821,-4.37445426779127,-3.50926221859108,-4.71099206425297,-3.92266306682406,-0.0759170057435332,-5.16218230799044,NA,-3.85237926363741,-4.61761044164881,0.550348208245958,-4.68992558770005,0.763080680015027,-0.748397830709343,-3.97266985204708,0.417871309921707,-3.6650560742775,-1.08390440984321,-1.92980071499866,1.76545116134962,-3.38440010989058,-1.14501818393348,-3.57086759700042,-2.92319783843078,0.432741945275802,-3.17887318004575,0.128712920848843,-5.22229745902812,0.00674030095333872,-3.85529543750513,0.231050406220318
"2382.SH005.C3.RH.4.668.root.9.12.lane7.NoIndex.L007.sequences",-4.82823143321341,-0.931845507834935,-4.24844189998997,-1.18098134274548,0.0218369404557388,-3.0473000697389,-5.73740361941884,-5.08008369082175,1.84075973533315,-4.56336941773057,-5.76431582646081,-6.94693426740662,-5.94849822683887,-4.61938810574355,-0.257223898456385,-5.42379698542054,-3.85237926363741,NA,-5.05523285960134,0.868243126844259,-5.82849019464394,1.36573348419026,-1.12732942589604,-6.46821024489282,0.899090104304334,-5.47168896945107,-1.49855721494375,-4.00502864980704,3.34097192861874,-4.00103344645274,-4.11955283693167,-5.96072867667611,-4.31520303832369,0.647140391616891,-5.58658459546994,-0.217282025202508,-6.88504882480882,0.131033923352958,-4.73360922699262,0.136956167344783
"2382.HE003.C181.HA.2.127.root.6.11.lane1.NoIndex.L001.sequences",-6.21559202375411,-0.843524738220776,-5.20210485130865,-1.14429666894147,-0.078476068547536,-3.45905005706997,-6.65999498064208,-6.749000127143,1.61418624856522,-4.0277381469165,-5.86041715355551,-4.88548073465331,-5.76267643435217,-7.42739030910833,-0.440422872489387,-5.55307798960431,-4.61761044164881,-5.05523285960134,NA,0.25017378402145,-6.73096487417572,0.620608510796572,-0.991939362917212,-5.85570331675008,0.285677687309899,-4.72652141703825,-1.21919928784814,-3.63832924050069,2.18209213739634,-4.21027901152348,-2.34741686927098,-6.28528530807685,-5.1893669212673,0.0313846150947622,-5.00629778139692,-0.150784054878025,-6.49897418432459,-0.147661204688983,-4.89078862718378,0.10126258256702
"1642.MS00611",6.36886018153949,-3.52640306435008,0.2841170591614,-0.86924978028262,-1.25494428573113,9.48578274249822,0.0549062604475051,0.125719312787003,-1.87869751025541,5.07555588337511,0.734292635579522,0.351586183995162,0.247564412494076,4.94300784691248,-2.14729162182659,0.553072203819572,0.550348208245958,0.868243126844259,0.25017378402145,NA,2.08845745958637,-1.70368139068904,-3.22178616943531,0.0960445049069737,-2.00290153419891,1.83545983103038,-1.84413930624876,7.63340353983601,-3.95505347351045,7.35099397353201,6.5684923677567,0.867701612044573,-0.0295897335358597,-2.5239956877833,0.18475491080975,-1.71612804918623,6.11142626540578,-2.53022109959888,0.0553481966743255,-2.02780219235652
