"","1642.MS00405","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00473","1642.MS00463","1642.MS00380","2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00550","2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00568","1642.MS00490","1642.MS00545","1642.MS00599","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00503","2382.SH008.C6.HA.3.538.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00376","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00574","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00399","1642.MS00338","1642.MS00468","1642.MS00364","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00522","2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00538","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00609","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00504","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00506","1642.MS00586","1642.MS00500","2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00367","2382.SH007.C6.RH.4.517.rhizo.4.12.lane7.NoIndex.L007.sequences"
"1642.MS00545",-5.28478520061493,6.72157167736754,-5.17313963706202,-4.62286073168616,-2.8984854578285,0.261912509124551,-3.67758044050345,2.16023930988604,-4.37782640607131,-6.36660853561878,NA,-0.713651256614133,1.2239044029111,-4.60023414933714,1.35537269607528,-2.91066128920405,0.280412524922058,-3.88710618534848,0.584874317010007,-5.27338102744612,-3.53943620259889,-4.81697452892499,-2.90046473607093,2.40543575423906,-3.1313673829805,0.0751064300269577,4.95738689406405,4.21970128166493,-4.57591244597343,0.248039023326178,-4.81396714082013,-0.0198663090715643,-4.11994626569336,0.095134883688559,-6.01652756560191,-3.66683798336198,-6.41480643805632,-0.216951998406043,-3.68428379234981,2.10575822568917
"1642.MS00599",-0.795970226311798,0.866819039515623,-0.424503081503145,-0.814493440414284,-0.479855936765178,0.116617563424494,-0.709095967629614,0.273325147126955,-0.885267520952137,-1.04941399049393,-0.713651256614133,NA,-0.837888975176014,-1.15094904853977,-0.918642731795912,-1.29621997069264,-0.302845833894977,-0.287277535996575,-0.538978387699698,-0.537113512495786,-0.97240312701955,-1.40405396650084,-2.84037060623483,0.0896789046956552,-0.20900314690168,-0.743838629589094,0.0919471524106179,0.287071779303504,-0.472732446880783,-0.0462234556768079,-0.803749730812186,-0.731390390960045,-1.35810866084279,-0.908768590425955,-0.575960349503125,-0.687070836089932,-0.598034803290705,-0.817687225872337,-1.05166921651795,-0.403807560559088
"2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences",0.926805906457821,-0.521109683146062,1.29221313021787,1.22421014328087,-0.28076208798574,-3.52922972432711,3.40016898854352,-3.42574174885061,1.18033820686335,3.33017948318441,1.2239044029111,-0.837888975176014,NA,-0.0886359564782758,-4.19353000215392,-1.03001109813561,-5.59473547583045,2.33860793141924,-4.00668342054868,0.225716538449396,-1.51122682163816,2.27221030891997,-1.71492275628726,-4.4604753583589,2.6381688618179,-3.77677706324414,-1.44041168907656,-1.7974624946734,1.64141140807407,-4.00918936109126,3.53567600186487,-3.38635693293526,-1.38428921732149,-4.10787333702616,0.5853325406279,4.36255194944762,0.571115548243714,-3.98999558108447,-1.39149808017787,-4.01918967806361
"1642.MS00503",-3.60837505339799,4.67600852445291,-4.45597447423267,-4.23691733359077,-2.62865212496407,-0.735912731301941,-5.85898476211463,0.659924308630424,-3.33543356552711,-2.50873174552669,-4.60023414933714,-1.15094904853977,-0.0886359564782758,NA,0.276721687678577,-3.06761310718617,-0.46671739328291,-3.21677938411478,-0.455162632617479,-3.34438474281989,-1.89252607410024,-3.6686766853793,-2.79019471979158,1.07101286985483,-2.9636638045247,-0.59452704183817,3.47856383106903,3.11492127926176,-3.81788757933771,-0.536756684062336,-3.46034826742395,-0.625378993648934,-4.21171618279687,-0.750216197841464,-4.92283514733567,-3.25560624252261,-4.5751630121863,-0.786086558259489,-3.46135797332442,0.371028149863891
"2382.SH008.C6.HA.3.538.root.4.12.lane7.NoIndex.L007.sequences",1.79510402478206,-3.36901218799469,2.07197802597425,2.45291718799362,-1.47920006274861,-1.14328846556,4.84006213345275,-8.30222682905729,2.56294773280551,1.65420523621361,1.35537269607528,-0.918642731795912,-4.19353000215392,0.276721687678577,NA,-0.853803314530902,-1.97208331726196,0.781128930011978,-6.62860874789368,0.289842271023059,-1.69935257250115,1.50933296785008,-0.828387565789415,-8.4337884891966,3.44513279205947,-7.00446550416655,-4.843297013816,-4.42247239548877,0.49795450568366,-2.05608758311138,1.78267932218389,-7.41100514229239,-1.48870716181876,-6.98418680386404,0.799353300088387,6.71043778767066,0.753744134953553,-2.53553665432084,-1.14539208830045,-4.14816940688927
"1642.MS00376",-3.43715537925043,2.54929578963269,-2.81851773976603,-3.18595939049563,-5.01194176547894,-1.48838579799078,-3.20057731485558,-0.399962312186184,-2.9538641774984,-3.13758441219049,-2.91066128920405,-1.29621997069264,-1.03001109813561,-3.06761310718617,-0.853803314530902,NA,-1.59725717259858,-3.00057988601285,-1.24930857152244,-4.26188531648559,-3.95674938054121,-3.05677949970842,-5.42582434548203,0.402416734813364,-2.78218387951536,-1.34878395291021,0.931633742647892,0.682938162128676,-3.1647300114631,-1.35869031640713,-2.53319931372664,-1.62542578383083,-3.57937750466295,-1.39670957580469,-3.07148288070285,-3.14775498156767,-3.46826787322936,-1.96460496829957,-3.46636061549298,0.755746431309625
"2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences",-0.0234510690242553,-6.53103964138755,0.208183120527924,0.31892463225724,-0.479483573144836,-5.57841852547462,1.37025614161326,-6.95355492668769,-0.036587278864234,1.64882582801341,0.280412524922058,-0.302845833894977,-5.59473547583045,-0.46671739328291,-1.97208331726196,-1.59725717259858,NA,0.802222588799414,-5.42343907026435,-0.31107755262177,-1.48971787095076,0.800698813865766,-2.09146508544018,-7.81047985726386,1.30217226680372,-5.46691108752075,-6.99803148707555,-4.42325864669049,0.731100602260048,-7.9808637444068,1.46931209634271,-6.4713604936062,-1.33142323210677,-5.90599517873831,-0.296529211296507,2.37016677805259,-0.293802523797646,-5.52089234757497,-1.73276459783368,-5.76853093346278
"1642.MS00574",-3.15053411421943,9.13620354459822,-3.26868824287224,-3.48672201500666,-2.49046768094089,0.973735030398003,-3.88136605361057,3.77937945600985,-3.36107972182325,-4.10648816104317,-3.88710618534848,-0.287277535996575,2.33860793141924,-3.21677938411478,0.781128930011978,-3.00057988601285,0.802222588799414,NA,1.36274192207234,-3.16446028308648,-2.7298157880721,-3.83341686335273,-3.28737930927891,5.32355623389864,-3.10709011780945,0.886033872424307,6.04628902545533,5.24586284644733,-4.35804072781507,1.07888620002769,-3.45902829969075,1.05149752166134,-3.35437737819823,1.12899538550799,-5.23907779381983,-4.63783901296191,-4.76767219070973,1.64820379861642,-3.26752254512038,3.14498119459816
"2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences",0.245685856190334,-3.90520688377791,0.438849723102518,0.631583320624683,0.0285946594199897,-6.1620826771815,1.95068331927274,-7.6446388334885,0.430396508062664,2.46783576971271,0.584874317010007,-0.538978387699698,-4.00668342054868,-0.455162632617479,-6.62860874789368,-1.24930857152244,-5.42343907026435,1.36274192207234,NA,-0.0938862450991481,-1.73461299357149,1.31629317403023,-2.02312435176022,-7.71821419937999,1.68521982206886,-8.0920229615889,-4.75153003100615,-3.98555744005774,1.25569484941775,-6.96244875516427,2.12671843111047,-7.21772781080356,-1.48130625065885,-8.71009849893557,0.119792960117484,3.17383332022957,-0.119657492406157,-5.27440565045237,-1.75769821711082,-4.71187222527179
"1642.MS00399",-4.54912894359067,5.70198022073643,-3.14608261927905,-4.36465996724197,-3.29531262077571,-0.420860543362268,-4.08274651346068,0.954275771864469,-4.00995010127346,-3.25710169750923,-5.27338102744612,-0.537113512495786,0.225716538449396,-3.34438474281989,0.289842271023059,-4.26188531648559,-0.31107755262177,-3.16446028308648,-0.0938862450991481,NA,-5.63594355041278,-3.8985698006806,-3.61544929347382,1.96870331747526,-3.41422900802793,-0.209465235411423,3.97992785304551,3.86485964562284,-3.44580696744721,-0.442559140664324,-4.06799228031422,-0.482511768113213,-5.29986101504403,-0.537373150003955,-3.69317434475638,-4.25464264763748,-4.4609155866801,-0.572323207312559,-5.20638298141297,1.25624356938445
