"","1642.MS00405","2382.SH005.C3.RH.3.662.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00473","1642.MS00463","1642.MS00380","2382.SH008.C6.HA.5.748.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00550","2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00568","1642.MS00490","1642.MS00545","1642.MS00599","2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00503","2382.SH008.C6.HA.3.538.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00376","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00574","2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00399","1642.MS00338","1642.MS00468","1642.MS00364","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00522","2382.DPOO1.C1.HA.4.35.root.6.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00538","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00609","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00504","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00506","1642.MS00586","1642.MS00500","2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00367","2382.SH007.C6.RH.4.517.rhizo.4.12.lane7.NoIndex.L007.sequences"
"1642.MS00545",0.0208824808659,0.111339601168,0.0214918868115,0.0240446200455,0.0601350400977,0.1089236807407,0.0219274134678,0.1027498482709,0.0214395578013,0.0192627357958,0,0.0437792509928,0.1004981688675,0.0197760053957,0.1137838451166,0.0406039956133,0.1135031808821,0.0214370251806,0.1059698032466,0.0228562888715,0.0340739338149,0.0205011732784,0.0555986146521,0.0960348963466,0.0243531017231,0.0955510224717,0.1090295804735,0.1018688816259,0.0218679658967,0.1151084467327,0.0216455601659,0.1026546737371,0.0229147746471,0.1104238473416,0.0212822040516,0.0235125510127,0.0197770594011,0.1112906111288,0.0291572228797,0.0965964130739
"1642.MS00599",0.0429709358903,0.0987444398075,0.0470577692909,0.0464781828644,0.0830596021725,0.1225396308408,0.0462968282876,0.1033668254472,0.0448713535746,0.0424258030747,0.0437792509928,0,0.0946424464484,0.0389611742598,0.1086985334242,0.06319564417,0.1214273610787,0.0465182256646,0.1087263791791,0.0482325935979,0.055636165395,0.0349143448009,0.0580131272157,0.0947214079826,0.0449595868763,0.0986982016843,0.0943998920743,0.094696273947,0.047033730853,0.1227631288404,0.0418783490501,0.1059425586509,0.0419433153708,0.1094993998428,0.0407366277423,0.0478544914363,0.0444634212237,0.1170053864033,0.0494339542167,0.0930903413667
"2382.SH005.C3.RH.5.473.root.4.12.lane7.NoIndex.L007.sequences",0.0914227935804,0.0570365708329,0.0945427395299,0.0953371975178,0.1179798481641,0.0326830457755,0.107076991839,0.0214747177901,0.0973761581691,0.121447975021,0.1004981688675,0.0946424464484,0,0.0918486798126,0.0278117930166,0.0975274959167,0.039317914155,0.1021676004356,0.025209531415,0.0951176071886,0.0829469241639,0.109752541507,0.0975877757903,0.0319083739133,0.1102250890395,0.0256647993603,0.0524685490875,0.0593548714217,0.09943546382,0.0337205744966,0.107750102757,0.0203201609633,0.0782785746975,0.0255284948214,0.0962740100128,0.1171052646647,0.0954815950545,0.0237739340808,0.078943265165,0.0464082601438
"1642.MS00503",0.0229417656119,0.1154055028001,0.0222026201319,0.0226827730965,0.0578383711254,0.0994121936259,0.0200683248236,0.0952205258411,0.0210636809981,0.0199248553242,0.0197760053957,0.0389611742598,0.0918486798126,0,0.1102149364058,0.0395277666358,0.1062717299246,0.0212122033445,0.097753916797,0.0236029387214,0.033119710383,0.0210603513526,0.0525050427103,0.0924038401307,0.0228347156513,0.0904465380222,0.1131894861036,0.1073250698488,0.0215115170988,0.1063869401322,0.0219567953719,0.0967229505489,0.0198938206363,0.1028078339596,0.0213331510451,0.0226581342635,0.0211276334051,0.1052005272785,0.0293131594098,0.0896689533768
"2382.SH008.C6.HA.3.538.root.4.12.lane7.NoIndex.L007.sequences",0.1077286340069,0.0671761627974,0.1123355682097,0.1140723541833,0.1231285907115,0.0347363106651,0.1267644458759,0.0249053231364,0.1158137845608,0.1344240575044,0.1137838451166,0.1086985334242,0.0278117930166,0.1102149364058,0,0.1157655200479,0.0408031032142,0.1201155689162,0.0181386882368,0.1077710687428,0.0954981781653,0.1310343564497,0.1179652371945,0.0496438781176,0.1278049954414,0.0226771058822,0.0595960480921,0.0695847955438,0.1166096157339,0.0292106961594,0.1282504958722,0.0157858563039,0.0914698597854,0.0150924270908,0.1120221895997,0.1374587580017,0.1104036405434,0.0148714342594,0.0917716361017,0.0622528453764
"1642.MS00376",0.0342737398432,0.1079111018165,0.0403200384676,0.0405871717656,0.0233420113721,0.1017886596248,0.0434360591743,0.0974733882199,0.0413960376314,0.0397771384319,0.0406039956133,0.06319564417,0.0975274959167,0.0395277666358,0.1157655200479,0,0.1051321570396,0.0431398388458,0.1014797021132,0.0299436736591,0.0240703234198,0.0394528554478,0.0340372310195,0.0981454939813,0.039828706781,0.0948164613534,0.0969173167846,0.1007978672768,0.0413727554957,0.106004709762,0.048635134203,0.0967403954224,0.0347242485154,0.1038868222253,0.0398798259916,0.048084073571,0.0370841187452,0.1052083902379,0.0230439003654,0.10382636009
"2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences",0.1066117078219,0.0518380603521,0.1089831385791,0.110803790354,0.1333738731028,0.0173473326864,0.1197070630207,0.0279296184642,0.1089619003958,0.1298023430995,0.1135031808821,0.1214273610787,0.039317914155,0.1062717299246,0.0408031032142,0.1051321570396,0,0.1146271050333,0.0186222725622,0.1096601079816,0.1021173107914,0.1192592940855,0.1052365607714,0.0504535423936,0.1234138236445,0.0249329936566,0.0471552835301,0.0583602019381,0.1140358978275,0.0149186199789,0.1192974503223,0.0283944796851,0.0944355198765,0.020383524303,0.1087266180164,0.13323009279,0.1063082586735,0.0300176832217,0.0929134504273,0.0516457394993
"1642.MS00574",0.0229531907967,0.095806808886,0.0215944614482,0.0251112914496,0.0653756820046,0.1124512278949,0.0225609080816,0.1041842939248,0.022606790528,0.0220691934516,0.0214370251806,0.0465182256646,0.1021676004356,0.0212122033445,0.1201155689162,0.0431398388458,0.1146271050333,0,0.1071482571986,0.0260938918622,0.0369699537495,0.0222767113964,0.0574205814278,0.0924947364324,0.0248362977029,0.0988517515425,0.0943779745782,0.0886545387997,0.0213421114755,0.1203430481576,0.0206165878251,0.1132060800948,0.0262688433421,0.115462023102,0.0213075417151,0.0236790653142,0.0213515116352,0.1269851169495,0.031803752573,0.0908864115146
"2382.SH008.C6.HA.2.733.root.9.12.lane7.NoIndex.L007.sequences",0.0979977012966,0.0470869086207,0.1012721019479,0.103398758405,0.1293709055713,0.0139129522533,0.1119290000824,0.0189405567187,0.102596188248,0.1274688264611,0.1059698032466,0.1087263791791,0.025209531415,0.097753916797,0.0181386882368,0.1014797021132,0.0186222725622,0.1071482571986,0,0.1025339201333,0.0907837677367,0.1139965664016,0.1015631990749,0.0338969335511,0.11542038802,0.0170873710942,0.038209146027,0.048042977985,0.1068451043306,0.0142527931211,0.1132511607832,0.0168481744104,0.083951429373,0.0106869579766,0.1035709913521,0.1264735087624,0.0996340546474,0.0179651609396,0.0844570944175,0.0451237332494
"1642.MS00399",0.0234913473201,0.1214672301914,0.0283241111911,0.0256489957522,0.0424003962029,0.103711040576,0.0251939794866,0.0988712653489,0.0243338573721,0.0218434115895,0.0228562888715,0.0482325935979,0.0951176071886,0.0236029387214,0.1077710687428,0.0299436736591,0.1096601079816,0.0260938918622,0.1025339201333,0,0.0226469806375,0.0237154039082,0.0465529966536,0.1002438253185,0.023726796297,0.094851430892,0.116599086429,0.1138811943053,0.0267991282411,0.1083064747488,0.0280431405002,0.0991799023468,0.0226550875769,0.1045819323266,0.0277249981119,0.0261186146598,0.0243275033895,0.1080800024976,0.0245767773096,0.0996990097891
