"","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00472","2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00600","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00477","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00568","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00425","2382.SH008.C6.HA.2.333.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00513","1642.MS00561","1642.MS00355","1642.MS00546","2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00633","1642.MS00333","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00419","2382.SH008.C6.HA.1.103.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.2.208.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00595","1642.MS00421","2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.5.472.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00368","2382.SH008.C6.HA.4.115.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00478","1642.MS00411","1642.MS00376","1642.MS00516"
"2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences",0.0244671456262,0.0215573299802,0.0870119270155,0.020845173803,0.1062494665951,0.0273076160527,0.0900839000921,0.0391292084254,0.0159452043516,0.0925417082322,0,0.0375843159003,0.0798103447161,0.0169666466466,0.1003023073137,0.0923958743553,0.0731883886272,0.0916367628281,0.0383201961672,0.1110770929805,0.071369370415,0.0371615652334,0.0905968974802,0.0194790928467,0.0188895823222,0.023064637911,0.0205974468841,0.0201350361519,0.0149904199049,0.0795828729721,0.0823386006516,0.0246755943331,0.0193266418583,0.0302064723139,0.0777378440893,0.0246906170468,0.1115113799332,0.0859170574018,0.0815278835138,0.1027952410359
"2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0570663208826,0.0303203668303,0.0869519820786,0.0445595356301,0.1089749290678,0.0565044129046,0.0935408899089,0.0218246982355,0.0355122781242,0.0915043042761,0.0375843159003,0,0.0806155963132,0.0426957450899,0.0958928067336,0.0939130890484,0.0793882020281,0.0889551486427,0.026701920919,0.1062014196261,0.0858413857189,0.0272850193273,0.0908202105555,0.0385916199857,0.0370734341276,0.0290500198904,0.043834766899,0.0349977933626,0.046550695327,0.0795363037239,0.0814170586005,0.0423791063682,0.0382943158968,0.0310933644353,0.087999440834,0.0459773153973,0.1091450106272,0.085407362422,0.0945493054745,0.0968653560871
"1642.MS00425",0.0820573159275,0.07476001012,0.0197233728369,0.0922150656654,0.0242773992865,0.0810887658116,0.0185218305643,0.0762824359902,0.0819794452069,0.021227195546,0.0798103447161,0.0806155963132,0,0.0860062693536,0.0179709801683,0.0208486402949,0.0258349050323,0.0227226533959,0.0838721814889,0.0261207504411,0.0204522627542,0.079064163165,0.0228170449619,0.0760275197216,0.0844708004593,0.0771600559255,0.0935034492195,0.0748825654577,0.0878890201559,0.0253360073838,0.0180524159477,0.0806564325968,0.0790788886571,0.0751595908349,0.0266754680102,0.0713047192223,0.0226246269709,0.0192451899137,0.030789241144,0.0217002427723
"2382.SH008.C6.HA.2.333.root.9.11.lane1.NoIndex.L001.sequences",0.0278483242358,0.0225921038353,0.093007995467,0.0232876947053,0.1125296922498,0.0276081053897,0.0949028117423,0.0425640785418,0.0180310048285,0.0958673938874,0.0169666466466,0.0426957450899,0.0860062693536,0,0.1075726757604,0.0996071198126,0.0847779776017,0.099178110609,0.0486523907726,0.1144719557749,0.0816525616438,0.0366078958973,0.1014938929971,0.0242118838091,0.0249371636057,0.0238009511295,0.025284872843,0.0205924032675,0.0161621418229,0.0871831511955,0.0891156377312,0.0278323592644,0.01708213622,0.0330658149159,0.09257366278,0.0292071701335,0.1188786379143,0.0935740744276,0.0963675723358,0.1084193691664
"1642.MS00513",0.1049912719376,0.0934297283345,0.019332817296,0.1103076707525,0.0202801757974,0.1069618153316,0.0184801330662,0.0901102405444,0.0997502175444,0.0194402456832,0.1003023073137,0.0958928067336,0.0179709801683,0.1075726757604,0,0.0202747997878,0.0309009475937,0.0232797438935,0.0930146180364,0.0241126503679,0.02557835611,0.0889594094976,0.0241743528088,0.0974767156792,0.1024262294122,0.0942985004556,0.1103010512471,0.0925043956688,0.1145510306859,0.0258794517081,0.0204961934624,0.0959800625479,0.0986946339436,0.0840488038901,0.0332248116613,0.0963873272782,0.0201188678533,0.0209959530062,0.0338243131649,0.020036715602
"1642.MS00561",0.0953635207258,0.0872303793979,0.0215243484254,0.1008937821824,0.0221287598505,0.0949580059497,0.0208396652855,0.0877579876663,0.0936903619541,0.0200348503702,0.0923958743553,0.0939130890484,0.0208486402949,0.0996071198126,0.0202747997878,0,0.0343618833827,0.0216463663298,0.0909601962509,0.0257240183967,0.0288461408582,0.0898174671632,0.0293753774587,0.091604605148,0.0964878931011,0.0887664652488,0.10412715761,0.0876098162999,0.1017487742753,0.0290574440222,0.02256403732,0.0917787815416,0.0932115906128,0.0865374326609,0.0372692210155,0.0876157002912,0.0236405022321,0.0234274064848,0.0394537248985,0.0213724692312
"1642.MS00355",0.0696108834298,0.0734498092698,0.032417805682,0.088640152273,0.0376079694653,0.0775811169269,0.0334502189736,0.077774165213,0.0787909912637,0.0345377244091,0.0731883886272,0.0793882020281,0.0258349050323,0.0847779776017,0.0309009475937,0.0343618833827,0,0.0370785086476,0.0827666550818,0.0384917590844,0.0223592906869,0.0866267641869,0.0259659235061,0.0755453422883,0.0790448311546,0.0814686624633,0.0783533214286,0.0714229011535,0.083515716636,0.0363544934759,0.0249226680327,0.0785491735413,0.0731895272734,0.0721640086272,0.018027682161,0.0665889082801,0.0337095162337,0.0237755519967,0.0179706936165,0.0337408345311
"1642.MS00546",0.0977137055353,0.0830240203663,0.0254123853666,0.0993681100353,0.0252629850514,0.0989993175862,0.0235276426452,0.0813022608221,0.0920412316453,0.0210519136903,0.0916367628281,0.0889551486427,0.0227226533959,0.099178110609,0.0232797438935,0.0216463663298,0.0370785086476,0,0.0853023268562,0.0283954133856,0.0347392624883,0.0815149673335,0.0267624523607,0.0890101657746,0.0956166512129,0.085415581818,0.1015799920567,0.0833835927861,0.1029961717447,0.029586462461,0.0244446710841,0.0877653780758,0.0913304847752,0.0789255752985,0.0428457114912,0.086873490923,0.0281712105843,0.0237113671354,0.04423030802,0.020045375205
"2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0582724031852,0.0378007204967,0.0846043928311,0.0464936705962,0.106776840782,0.0650375737854,0.0927171337101,0.0242021054584,0.0356976080916,0.0911078961392,0.0383201961672,0.026701920919,0.0838721814889,0.0486523907726,0.0930146180364,0.0909601962509,0.0827666550818,0.0853023268562,0,0.1014821002845,0.0950991734636,0.0282940522462,0.0888686493581,0.0387045344583,0.0456887720544,0.0383191243018,0.0493969755973,0.0403084497367,0.0494099694953,0.0786110963312,0.0804579192197,0.0423668927039,0.0444636872553,0.0262736954218,0.0958234680585,0.0449242007522,0.1080261606055,0.086966850732,0.0946617219597,0.0931455775806
"1642.MS00633",0.1142110029645,0.0987809944461,0.0252065416303,0.1166381893778,0.0236092334518,0.1105233901676,0.0221166972829,0.0994176018182,0.11186739221,0.0249532500803,0.1110770929805,0.1062014196261,0.0261207504411,0.1144719557749,0.0241126503679,0.0257240183967,0.0384917590844,0.0283954133856,0.1014821002845,0,0.0298955960767,0.1037457040013,0.0313044429325,0.1032941880241,0.1148134648747,0.1003523519418,0.1213690955606,0.1003440872726,0.1175140154369,0.0276289747127,0.0261264304799,0.1077231801789,0.1044985356794,0.1010296962652,0.0418288576711,0.0986133229239,0.0230733120746,0.0286121743342,0.0446278038653,0.0231659621533
