"","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.258.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00472","2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00600","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00477","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00568","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00425","2382.SH008.C6.HA.2.333.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00513","1642.MS00561","1642.MS00355","1642.MS00546","2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00633","1642.MS00333","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00419","2382.SH008.C6.HA.1.103.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.2.208.root.9.11.lane1.NoIndex.L001.sequences","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00595","1642.MS00421","2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.5.472.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00368","2382.SH008.C6.HA.4.115.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00478","1642.MS00411","1642.MS00376","1642.MS00516"
"2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences",-6.33240654611105,-6.37187797673768,0.509496602572957,-5.73249464671913,3.61078053428862,-7.66963054613437,0.463112439117161,-3.67618900307319,-5.76213391318952,1.36078704406089,NA,-4.80153877543781,-0.471332476876962,-5.53346276478621,1.45869307968363,0.906337176029797,-2.08772190572244,0.816560111238115,-4.82608216174523,4.11802772967038,-1.7656846406003,-3.27298726706004,1.05208122244375,-6.85752469693185,-5.86065054364708,-5.59303119263723,-5.71889556993883,-7.82025646738893,-5.442518955952,-0.281882872712525,-0.141716326976601,-5.84533660346339,-6.56374781284246,-3.84265270450195,-1.55553283026904,-6.88237563223229,4.24667671003719,0.281746369349239,-1.79540303106631,2.81758438056507
"2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences",-3.64790240174608,-2.7460264121907,4.56553309020341,-3.28999341015849,9.79382590101454,-2.84501335474406,3.2861306224094,-8.25106899513166,-3.326844098543,3.91002948440377,-4.80153877543781,NA,1.12199759774805,-2.78430916711631,3.7142933488134,3.74824454759128,0.50236803687752,3.03372153261069,-6.77184547930919,9.18805198547749,0.47952984407279,-6.8214248886595,5.42047788994021,-5.0914603684532,-5.3650849071331,-5.00743803594331,-4.42626719796464,-2.90502134240105,-2.51889476397505,2.05922958998295,2.589383021436,-4.18218607970821,-3.53003007083913,-5.47491947636094,0.468264654598013,-4.48295564098495,10.4781335332755,3.34696134998784,1.18384653993617,6.78606652822203
"1642.MS00425",-1.49235399440955,-0.288163686335741,-5.39144603448884,-0.0822964900507389,-1.95562120248298,-1.91125978451403,-4.07254344797917,0.962761772662398,0.609582351403521,-2.30706381646553,-0.471332476876962,1.12199759774805,NA,0.0530332836442649,-6.54890982446558,-1.48724645757145,-2.56862306445139,-1.25380641282891,2.01580664707351,-1.87177136720882,-5.29644309196862,1.11011793095563,-2.72575818197099,0.676263664081584,-0.664333057635195,0.0247586891888539,-0.38876777006596,-0.541441132025661,0.10583254643068,-2.93675053668053,-4.43818186100289,-0.138321568387735,-0.0491607329797213,0.854090958987909,-4.09526256930733,-0.806054616303641,-3.37053266315538,-2.97784167292997,-3.31639476164123,-3.83732690993235
"2382.SH008.C6.HA.2.333.root.9.11.lane1.NoIndex.L001.sequences",-6.9606710936585,-4.9532515573051,1.42256085204597,-5.73903050274701,4.52110594466434,-7.94211368180965,0.915159732508374,-3.47869802163084,-6.22284880451047,2.043343642352,-5.53346276478621,-2.78430916711631,0.0530332836442649,NA,2.3337243459353,1.65168918059373,-0.402841686197318,1.5750562560488,-2.11132959002161,4.65011029418463,-0.882712276828774,-3.89397275974747,2.57456845286127,-6.12255999318745,-6.80343751255843,-8.13329693326514,-5.90680563537004,-4.42310389751978,-6.09316339473888,1.46891161365183,0.642774641268424,-6.27026135986972,-6.28143311359419,-3.9759575326154,-0.278159127907346,-6.83959763026632,5.24129047645908,1.18013446721444,-0.207748541668862,3.50389884466013
"1642.MS00513",0.168035782466014,1.15325710204336,-5.92930695132262,0.925785039278535,-2.62710429354094,-0.287261377063531,-4.10768452117381,3.4215036310034,2.84496514093721,-2.25768037245797,1.45869307968363,3.7142933488134,-6.54890982446558,2.3337243459353,NA,-1.83695387858073,-2.45844014229916,-1.31754975823772,3.6894039389402,-2.79928531694355,-3.62137083762124,2.54553056074612,-3.65413348744913,4.01089809267872,0.542906613819371,1.61785326976723,0.749976340075293,1.33653297538209,2.39158548431153,-2.25460872582126,-4.0350003788687,1.24068361548963,2.19926533066259,2.35439050213055,-2.92430126577768,2.1011756527343,-4.67011561349406,-2.94001285323495,-3.38747025358281,-3.32331998235781
"1642.MS00561",-0.733335683347493,0.857166339239913,-6.3432025764778,0.462904972000394,-3.04061806036988,-1.22840818676195,-4.24831440653162,3.21844350980246,2.18767995066316,-3.78536066741574,0.906337176029797,3.74824454759128,-1.48724645757145,1.65168918059373,-1.83695387858073,NA,-2.04760967418581,-4.3080047113988,3.81598276886511,-1.21009835007694,-1.50947261397684,3.02113173280816,-1.52641122843344,2.52208923480519,0.163760147573281,1.36208576153124,0.525868537825328,0.911825129717763,1.63912536476093,-1.63751316351126,-1.82889900180335,1.26511673146154,1.74021690367457,3.33643371480042,-2.20852723649606,1.02487008281993,-1.15009445946462,-1.37972749458974,-2.66278373363853,-4.41044468379098
"1642.MS00355",-2.92218338430694,-0.898100124036121,-3.2014685797864,-0.497999263449966,-1.84717118417874,-2.72853963641525,-2.53966817764755,0.316110750210117,-0.232591874046805,-1.90442702506641,-2.08772190572244,0.50236803687752,-2.56862306445139,-0.402841686197318,-2.45844014229916,-2.04760967418581,NA,-1.07551023119357,0.979938294813831,-2.79989371911141,-2.95091064717953,2.17842625142144,-2.57886317794061,-0.895957660743554,-1.79915566070476,-0.370711082225513,-2.00989822041558,-1.49709094827918,-0.677011223289385,-2.67039996549444,-2.86692707383238,-0.714565610068578,-1.26707215856586,-0.722012401248761,-3.38449275090348,-2.22010788060182,-2.28899258869121,-3.64892778480456,-5.32276934305642,-2.1261384363196
"1642.MS00546",-0.661256711149268,0.563001450404398,-4.4665410598571,0.480908274011634,-4.54958580351872,-1.06250881298511,-4.23791718900574,2.08132722377651,2.07787561645211,-5.98652840139912,0.816560111238115,3.03372153261069,-1.25380641282891,1.5750562560488,-1.31754975823772,-4.3080047113988,-1.07551023119357,NA,2.76976339792055,-1.43947603326471,-0.677168438646893,1.90625335217593,-0.74765184512167,1.81958785580109,0.260304418914929,1.13855799372225,0.374550441603686,0.395150608987418,1.72824831875214,-1.37406885790051,-1.13481882643324,0.798838293520765,1.39890199129523,1.72846782631201,-0.284130421184187,0.782453457440244,-0.998431633569826,-0.822211284883117,-1.56447570791106,-4.95940638096379
"2382.SH005.C3.RH.1.652.rhizo.9.12.lane7.NoIndex.L007.sequences",-4.46853266298016,-1.17062691543688,5.09501677146962,-2.13055138720581,10.6615395726723,-2.69032080990606,3.48012690879328,-7.85137650698023,-2.96246437538501,4.41046954406765,-4.82608216174523,-6.77184547930919,2.01580664707351,-2.11132959002161,3.6894039389402,3.81598276886511,0.979938294813831,2.76976339792055,NA,9.80310443061503,1.7368078408088,-7.50020839282903,5.68280444325928,-4.55572102616232,-3.83373646959126,-3.83772631841165,-3.27923054509235,-2.20904452514891,-2.47883390388964,2.54850928525276,3.46435416297734,-3.54486870323848,-2.68877951038762,-5.97442822867229,1.59274641349245,-4.44980810531907,10.9227001300628,4.51099072598985,1.42404219019241,6.36951628611185
"1642.MS00633",1.16086990341992,2.81409387492849,-3.5117792529589,1.84898612283609,-3.22638935904711,0.320548072641745,-3.17696965974679,9.61238084163944,6.38230139661611,-1.30022610198268,4.11802772967038,9.18805198547749,-1.87177136720882,4.65011029418463,-2.79928531694355,-1.21009835007694,-2.79989371911141,-1.43947603326471,9.80310443061503,NA,-3.57125829121013,9.63409030831855,-2.39419229918248,4.872123673918,2.76222057046405,4.48728114862186,2.6049170066275,3.60088755531388,4.83011350488689,-3.11322756250311,-3.9079515654911,3.82712494070131,5.30345235827839,10.9364099020361,-2.38880558409847,3.5726648158119,-2.68928555253411,-1.3188655114979,-2.79223216804229,-3.68270423008693
