"","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00441","1001.SKB8","2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00467","1642.MS00463","2382.HE003.C181.HA.2.758.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00606","1642.MS00423","1642.MS00585","1642.MS00343","1642.MS00335","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00429","1642.MS00567","2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00578","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00507","1642.MS00564","1642.MS00358","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00414","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00596","2382.SH008.C6.HA.4.115.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00542","1642.MS00489","1642.MS00391","1642.MS00613","1642.MS00402","2382.MU002.C3.HA.4.692.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00630","1642.MS00437","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences"
"1642.MS00335",0.0874444505508,0.0244011472324,0.1564292279933,0.0878497671285,0.0728838386972,0.0276127542257,0.0254474132553,0.0908300918167,0.0321488019901,0.0251821092421,0.0304865020945,0.0222238848638,0,0.074143158808,0.0207894594746,0.0255173171752,0.075534119442,0.0799439737301,0.0299094966144,0.0802589790004,0.0306843059832,0.0278078765557,0.0704479603107,0.0737455228579,0.0233082060685,0.097099735055,0.0776787818807,0.0913951106268,0.0939846668433,0.0320902633461,0.0683771051108,0.0287742445397,0.0262256425371,0.0210467965267,0.0396686771623,0.0242893179943,0.086297412287,0.0290050083906,0.0249336514666,0.0762088916686
"2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0235620561866,0.0821830324721,0.0992701824024,0.0459783150362,0.0273154568677,0.0933622005621,0.0807643286388,0.0456967297904,0.0899201013511,0.0736213396281,0.0854315916982,0.0777854686238,0.074143158808,0,0.0794881952323,0.089331504646,0.0285926020638,0.0330871754098,0.0966776808858,0.0408591145607,0.0890707447081,0.083104347046,0.1062305226723,0.0328924794224,0.0838401332279,0.0631603235871,0.0238557063777,0.0505941440215,0.0393730660212,0.0864540595802,0.0398036597576,0.0868365689684,0.101151348805,0.08420229555,0.0919215676545,0.0774955099589,0.038912610624,0.0834229110461,0.0770821755967,0.0307281383298
"1642.MS00429",0.083576736904,0.0243079996382,0.1441224359448,0.0973740002302,0.084498958715,0.0254403496735,0.0239785775946,0.1084477695998,0.0311986201651,0.0256498660231,0.0298548850463,0.024294974518,0.0207894594746,0.0794881952323,0,0.0268097719226,0.0862568160124,0.0881482782545,0.0272830830878,0.0917339574463,0.0291718351351,0.027759888213,0.0653020733468,0.0882522074971,0.0228840179072,0.1269248379304,0.0834931713482,0.103503210334,0.1057192296396,0.028388657351,0.0859349215745,0.0267955060523,0.0248607096532,0.022010911615,0.0413356760901,0.0251147874455,0.0930657899155,0.0285497041054,0.0225816141472,0.0878512413271
"1642.MS00567",0.0954825629259,0.0200698718067,0.1628253262619,0.1058064874867,0.0906608114771,0.0193470423493,0.0205090942346,0.106653062164,0.022020638879,0.0224659736086,0.0202136174824,0.0333616139522,0.0255173171752,0.089331504646,0.0268097719226,0,0.0927818367327,0.0951240633651,0.0183044256583,0.0945534281685,0.0164460459214,0.0184160781572,0.0688117824595,0.0881927129958,0.0221965206873,0.1155979435376,0.091638206517,0.1066646383903,0.1124736303475,0.0220732966486,0.0864943958749,0.016982836681,0.0214678948472,0.0227252805967,0.0336063964332,0.0229539597604,0.1023188272378,0.0197601127724,0.0230077949119,0.095453487504
"2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences",0.0359403314344,0.0904026282845,0.0775038452837,0.0301625282865,0.0171785634049,0.0983514770501,0.0892161849101,0.0244503180966,0.0992224058956,0.0814296424729,0.0925453558289,0.0827619738123,0.075534119442,0.0285926020638,0.0862568160124,0.0927818367327,0,0.0454216051546,0.100541222078,0.0224117846978,0.0878730185109,0.0879299235933,0.1153086906989,0.0241326208328,0.0865999766952,0.0377663072285,0.0314693568466,0.0222593960075,0.0234132260498,0.0973605566645,0.0294315518205,0.0913712061826,0.1086763123697,0.0882410544834,0.1059760368342,0.0850560449174,0.0468491326549,0.0928004178923,0.0878599233706,0.0189087787306
"2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0320132781952,0.0872226879792,0.1270977700817,0.056665235392,0.043589466372,0.0928633889753,0.0894431231243,0.0543862856056,0.1006265933234,0.0780646467498,0.0896935267149,0.0864964755327,0.0799439737301,0.0330871754098,0.0881482782545,0.0951240633651,0.0454216051546,0,0.1062189241683,0.0426024522704,0.0934621561795,0.0908415032936,0.1251415671261,0.041035368827,0.0891912078651,0.065101738896,0.0326010124344,0.0597199661079,0.0506930060898,0.0932682824312,0.0375277649089,0.0927805870655,0.0999870591256,0.0916968680618,0.0913926164279,0.0825894431566,0.0454685919178,0.0890519386161,0.083426242909,0.0441592559147
"1642.MS00578",0.1101827166738,0.0233454206507,0.1799008833706,0.1117882913213,0.0983412526448,0.0207766622181,0.0211619119724,0.1124338282158,0.02290231717,0.0261642221031,0.0229880484287,0.0378629047107,0.0299094966144,0.0966776808858,0.0272830830878,0.0183044256583,0.100541222078,0.1062189241683,0,0.1018695955975,0.017624049624,0.0190739813493,0.07339352219,0.0963032072767,0.0265087097157,0.1220532625937,0.0994306710765,0.1126695930307,0.117312558074,0.024045687005,0.0952446247155,0.0178188855697,0.0206972408683,0.0224302576489,0.0375363749569,0.0260303224401,0.1099406999014,0.0229009112744,0.0262240496475,0.102108361439
"2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences",0.0437501062709,0.0895988251658,0.104239694152,0.0191373155625,0.0232306367902,0.098183434897,0.0920148741675,0.0203163373012,0.0986295427956,0.0835141755588,0.090746867449,0.0875214427007,0.0802589790004,0.0408591145607,0.0917339574463,0.0945534281685,0.0224117846978,0.0426024522704,0.1018695955975,0,0.0908582004768,0.0901347626931,0.1068478013889,0.0208378486714,0.0886361309216,0.0296499798385,0.0366373537546,0.0148155567669,0.0174870872476,0.0953269724388,0.0269491166704,0.0930144180845,0.1095023360052,0.0899759005343,0.1051848539425,0.0853261090056,0.0373888470791,0.0926277616588,0.0884973712907,0.0194759227231
"1642.MS00507",0.1075240037842,0.0210586578634,0.1814901097009,0.1014320815331,0.0869683181015,0.0175560064589,0.020913352688,0.1019695245791,0.0237031566878,0.023128980985,0.0217511406152,0.0389692196364,0.0306843059832,0.0890707447081,0.0291718351351,0.0164460459214,0.0878730185109,0.0934621561795,0.017624049624,0.0908582004768,0,0.0205648082635,0.0843848202084,0.0862971610459,0.0238464367946,0.1133897132457,0.0919348688177,0.1015325885311,0.1135433904324,0.0224140864204,0.0838310482326,0.0184477877676,0.0183847252102,0.0214240358879,0.035656028139,0.0252831033093,0.1000130336082,0.0221447866419,0.0242636216005,0.0916071969506
"1642.MS00564",0.085192506281,0.0225369077745,0.1480634524227,0.0981877762021,0.0863756010916,0.0192218076941,0.0233754576181,0.1014104251305,0.025457686778,0.0229389891473,0.0241628391507,0.0346397633075,0.0278078765557,0.083104347046,0.027759888213,0.0184160781572,0.0879299235933,0.0908415032936,0.0190739813493,0.0901347626931,0.0205648082635,0,0.0814688755438,0.0846653486821,0.025624583739,0.111206856621,0.0841700719761,0.0998178034494,0.1021888776612,0.0231853163085,0.082206301556,0.0177560241988,0.0218365348522,0.0231106582927,0.0312026958171,0.0238748083465,0.0975684068657,0.0212613507168,0.0268375660376,0.089632204519
