"","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00441","1001.SKB8","2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00467","1642.MS00463","2382.HE003.C181.HA.2.758.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00606","1642.MS00423","1642.MS00585","1642.MS00343","1642.MS00335","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00429","1642.MS00567","2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00578","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00507","1642.MS00564","1642.MS00358","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00414","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00596","2382.SH008.C6.HA.4.115.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00542","1642.MS00489","1642.MS00391","1642.MS00613","1642.MS00402","2382.MU002.C3.HA.4.692.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00630","1642.MS00437","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences"
"1642.MS00585",4.60549422865745,-5.09159878835291,0.61380178950741,0.733612600642808,3.16044754669879,-2.54062781886399,-5.01319645141391,0.0107719190830386,-3.95443056112651,-4.24627295468983,NA,-1.50459200071262,-2.53898504864671,5.17697003047429,-2.98547998205317,-5.9052655665093,2.60125165452539,4.99606804459256,-5.82644117083955,0.188107822781914,-5.5218803215492,-4.78015264739186,0.905685134072607,1.12718601643892,-3.54350997276166,-0.0990573370348212,4.81428503291254,0.684685081524964,0.596495733081223,-3.51543327836483,1.21798371380401,-5.70287998167478,-3.90907482055418,-4.14947197964871,-3.28270941521447,-3.86977780960095,5.70516143684741,-4.69012513170633,-4.31720665135181,1.80081896063176
"1642.MS00343",1.84236773556554,-2.96678209475989,0.0414847483445413,-1.28700060224717,-0.142813958366346,-3.23258313601622,-2.54903700815978,-0.981306809732498,-0.387157405490768,-3.70898844396963,-1.50459200071262,NA,-2.34011171658014,0.312903292053339,-5.55728915920974,-3.18095731608922,-0.469354771550786,1.26446343655593,-2.68499033260112,-0.942837792879209,-1.41157775945156,-3.4791511638653,1.19444514673414,1.16724648541273,-4.04396864850302,-1.28445958203456,1.43904196234367,-0.380121599148272,0.141199307475811,-2.69112271488087,-1.20471740944652,-1.47005261655935,-1.82712936699094,-2.54993798500465,-1.25886932851494,-3.19906314824368,2.71473888217964,-2.73135912004408,-2.95992915485762,-0.7883986231951
"1642.MS00335",2.09747085706734,-1.50944924005484,0.607733280940706,-1.18334521632643,-0.7867750545032,-1.73374396559263,-2.46617225433731,-1.53101613257495,-1.09087600246803,-1.46010394990433,-2.53898504864671,-2.34011171658014,NA,-0.320464556167927,-6.45327841338394,-2.21279717681478,-0.889834488945658,-0.0664287203681871,-1.78218932896764,-1.35352369553496,-0.262964983532586,-2.18352205729027,2.08159158398321,-1.06873062178693,-0.993253105371453,-1.96357337797099,0.0876653708980221,-1.17043037499952,-0.674415475384414,-1.09345142208757,-1.38772557193347,-0.872446360587628,-1.61548323547455,-3.17586394213863,-0.577679273263096,-1.84341703029365,1.11316746920343,-1.48614578905416,-1.14468589911586,-1.28067763612597
"2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences",-7.43070586056115,1.94992061238192,-1.94157574975446,-6.17026901417844,-6.04855412142611,4.28528705433725,3.29415917232969,-7.35854522176404,8.45787030097338,1.39472995910003,5.17697003047429,0.312903292053339,-0.320464556167927,NA,2.16514765317457,3.48575287312496,-5.06633833302856,-8.55619537234748,2.79789285788467,-5.54671810313259,1.04040868216752,2.60683689432562,1.86002407298425,-6.3192971807148,3.25914669216048,-4.9836031837268,-8.61449843482476,-5.93691369509767,-6.86487588760479,6.44524693850772,-5.66227372814417,3.98797688662191,6.85702026690726,1.43385161751951,5.42405405406298,3.82348361598002,-2.94092235898514,5.52130728226714,2.02751085198119,-4.04256993038418
"1642.MS00429",3.85885944654481,-3.35416990055681,0.106556305338895,-0.336007364739581,0.715248952715853,-4.39190434208143,-3.89297726011942,-0.286615703755464,-1.76489527206534,-3.49955404340853,-2.98547998205317,-5.55728915920974,-6.45327841338394,2.16514765317457,NA,-4.00646738425375,0.350586538678661,2.85302755047577,-4.69340770612866,-0.299854918252467,-3.25723697119584,-4.39213010842467,-0.621482879055708,0.911094101837076,-4.42154545389596,0.178452068819976,3.36896725952628,-0.196346261891432,0.082645054757331,-3.96423779201623,0.819298768786746,-4.00734590493823,-3.7779523013344,-4.65135668684728,-1.75701836898753,-3.4424169661005,4.28895447880527,-3.07622809147827,-4.24794970023665,-0.0902459608547409
"1642.MS00567",5.4626618229499,-5.99918660391517,1.0394480323669,0.647976482180967,2.11072833385237,-2.35843582801848,-5.12510049848544,-0.266363201235494,-2.94129898255198,-3.87617712496336,-5.9052655665093,-3.18095731608922,-2.21279717681478,3.48575287312496,-4.00646738425375,NA,1.63517451739089,3.59484938339907,-5.84720995404701,0.290289228766709,-6.43701196985015,-6.9997240708809,-0.470586443140883,1.10977377110343,-4.71499903789121,-0.441492946225994,4.24152334630906,0.221436407781612,0.511706276753758,-5.33342181507628,0.914555320359169,-7.62307132579728,-2.50586587857572,-4.24340961058888,-3.34331013187233,-3.32135785555286,6.05013743773154,-4.85209409184321,-5.03178927291881,1.11550967849557
"2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences",-2.97871852112575,1.13435466041808,-2.51702380748339,-6.71661415291426,-8.68099224987299,2.46692078225708,1.93732002541035,-6.12280076350568,4.48735102840995,0.527889332713881,2.60125165452539,-0.469354771550786,-0.889834488945658,-5.06633833302856,0.350586538678661,1.63517451739089,NA,-5.38363416607261,1.57756195664681,-7.91409920771178,-0.124701391355922,1.30173560635818,1.58040037238362,-7.2751365325622,1.1044644192301,-4.65571014199607,-5.97770838250189,-8.30993318172267,-6.4313107009837,3.84903488073553,-5.25199076969751,1.716908847227,4.53116959636596,0.544380691957078,3.55891246946706,1.54237592392761,-1.76909668867916,2.88071843999461,1.23302496220841,-6.73503792165985
"2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences",-8.29407193261377,1.78299387152069,-0.909737937983307,-5.50363482272413,-5.4378398842777,2.88790275140741,3.73900524860536,-4.97268533221735,9.51547537041386,1.42952057586427,4.99606804459256,1.26446343655593,-0.0664287203681871,-8.55619537234748,2.85302755047577,3.59484938339907,-5.38363416607261,NA,2.81966261442639,-6.77371229433118,0.786373421314695,2.45634087928737,2.95317641467874,-5.91107757104811,2.85931756003715,-3.82611852774215,-8.777508777224,-4.94656422334917,-5.36549205749105,6.97978346096527,-5.73772649317827,2.91062906223151,4.97022588485653,1.29015531556226,4.80516071287456,3.30051603416834,-3.03439647302504,5.52350650380413,2.60834173379131,-4.0811018838558
"1642.MS00578",4.8534314000134,-5.01048489705172,1.90094995838638,0.71940744058795,1.864964553848,-2.91287926002628,-4.49871897710845,-0.155282005780967,-4.6239539770394,-4.59669848484018,-5.82644117083955,-2.68499033260112,-1.78218932896764,2.79789285788467,-4.69340770612866,-5.84720995404701,1.57756195664681,2.81966261442639,NA,0.485778324716953,-6.08592543330762,-5.92186021346971,0.308329647985762,1.15463327561667,-4.2323191492279,-0.0679991480911047,3.03473956419403,0.322390786106693,0.517319866476833,-6.60765919927453,0.913448268010215,-6.63993780096463,-3.54082522761414,-4.71285573585036,-4.05883219178474,-3.67466694309277,4.14312559823308,-5.85166318172587,-5.78773598493523,1.08314960708993
"2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences",-4.16487491031862,-0.284203894313549,-1.72542456464166,-6.20399819730966,-6.9140512516329,0.684064821752079,0.330024559652657,-6.52409351976751,1.75406471185735,-0.656895634196945,0.188107822781914,-0.942837792879209,-1.35352369553496,-5.54671810313259,-0.299854918252467,0.290289228766709,-7.91409920771178,-6.77371229433118,0.485778324716953,NA,-0.685325347810719,-0.323671938620342,-0.771559811371057,-7.10797191996619,-0.258336904946844,-5.7869525962614,-6.49608636776591,-7.82598998856911,-6.53610864778445,1.1766120142571,-6.96799339070903,0.0778433602023729,2.27089213322522,-0.50964726710686,1.52495648656473,-0.21225846609579,-5.29101632552966,0.770517030639867,-0.2042703299291,-7.01272823062197
