"","1642.MS00489","2382.MU002.C3.HA.4.493.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00542","1642.MS00402","2382.HE003.C181.HA.5.572.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00429","2382.SH007.C6.RH.2.507.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00606","2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00358","1642.MS00423","2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00596","1642.MS00567","1642.MS00564","2382.SH008.C6.HA.4.115.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00613","1642.MS00467","1642.MS00391","1642.MS00335","1642.MS00437","1001.SKB8","1642.MS00585","1642.MS00463","2382.HE003.C181.HA.2.758.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.23.root.6.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00441","1642.MS00578","1642.MS00343","2382.SH004.C1.RH.3.213.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.4.692.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00630","2382.SH004.C1.RH.3.612.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00414","1642.MS00507"
"1642.MS00358",0.8462,0.9714,0.9546,0.8074,0.8172,0.9666,0.8082,0.9532,0.8596,0.965,0,0.8124,0.9766,0.8528,0.8052,0.827,0.9532,0.8958,0.8048,0.7634,0.7544,0.8144,0.9854,0.845,0.813,0.9764,0.9846,0.9574,0.9546,0.975,0.787,0.8252,0.7364,0.9546,0.961,0.9634,0.8552,0.9496,0.7722,0.8128
"1642.MS00423",0.5536,0.9326,0.9042,0.5488,0.45,0.8844,0.558,0.8874,0.4954,0.9102,0.8124,0,0.9432,0.531,0.5396,0.592,0.8774,0.6566,0.549,0.5508,0.5786,0.4766,0.9882,0.5156,0.5302,0.9546,0.9652,0.8922,0.8846,0.9512,0.4766,0.6458,0.5966,0.9162,0.9168,0.8982,0.503,0.875,0.4902,0.6288
"2382.SH004.C1.RH.4.418.root.4.12.lane7.NoIndex.L007.sequences",0.9622,0.5488,0.743,0.9548,0.943,0.9002,0.9544,0.8598,0.9518,0.6494,0.9766,0.9432,0,0.9462,0.9474,0.9508,0.8086,0.9598,0.9572,0.957,0.9514,0.9522,0.9706,0.9506,0.9504,0.5156,0.6696,0.6592,0.8696,0.4944,0.9548,0.9656,0.9546,0.7018,0.663,0.896,0.9406,0.842,0.9538,0.9636
"1642.MS00596",0.5642,0.9426,0.9104,0.579,0.5066,0.8984,0.6222,0.8966,0.4974,0.9198,0.8528,0.531,0.9462,0,0.5388,0.5724,0.9044,0.5592,0.582,0.6456,0.675,0.5232,0.9892,0.4782,0.5544,0.9574,0.9686,0.8994,0.8918,0.957,0.541,0.639,0.6696,0.9256,0.923,0.901,0.477,0.8804,0.5614,0.6326
"1642.MS00567",0.5278,0.9448,0.92,0.474,0.555,0.9196,0.6102,0.9172,0.5272,0.9274,0.8052,0.5396,0.9474,0.5388,0,0.5164,0.899,0.7052,0.4492,0.5212,0.602,0.5766,0.9902,0.5248,0.4952,0.9548,0.9684,0.9174,0.9166,0.9566,0.498,0.4796,0.6872,0.934,0.9324,0.9252,0.5076,0.9128,0.5572,0.483
"1642.MS00564",0.5784,0.9398,0.9038,0.5096,0.5954,0.924,0.6558,0.9066,0.5678,0.9212,0.827,0.592,0.9508,0.5724,0.5164,0,0.895,0.7052,0.5328,0.5946,0.665,0.6352,0.9842,0.5876,0.5586,0.95,0.9664,0.9136,0.908,0.9538,0.5958,0.5558,0.7118,0.9206,0.921,0.9202,0.566,0.9028,0.6176,0.5974
"2382.SH008.C6.HA.4.115.root.6.11.lane1.NoIndex.L001.sequences",0.918,0.82,0.652,0.901,0.8898,0.818,0.9104,0.8344,0.9126,0.721,0.9532,0.8774,0.8086,0.9044,0.899,0.895,0,0.9274,0.8972,0.906,0.897,0.9006,0.9534,0.9064,0.9062,0.7024,0.7612,0.7168,0.8568,0.7744,0.8998,0.9344,0.9104,0.6862,0.6774,0.8634,0.8886,0.842,0.8982,0.9206
"1642.MS00613",0.684,0.9578,0.924,0.7326,0.6482,0.8924,0.732,0.9128,0.6464,0.9264,0.8958,0.6566,0.9598,0.5592,0.7052,0.7052,0.9274,0,0.728,0.758,0.7518,0.599,0.993,0.6192,0.706,0.9716,0.9778,0.9108,0.8986,0.9678,0.6568,0.7864,0.7682,0.9434,0.937,0.9068,0.6044,0.8964,0.6584,0.7642
"1642.MS00467",0.4602,0.9474,0.9272,0.475,0.5642,0.9238,0.6142,0.9264,0.5618,0.9336,0.8048,0.549,0.9572,0.582,0.4492,0.5328,0.8972,0.728,0,0.5316,0.6116,0.5888,0.9904,0.5644,0.4926,0.9576,0.9706,0.9228,0.9234,0.959,0.5256,0.532,0.6948,0.9364,0.9328,0.927,0.5648,0.9184,0.571,0.5398
"1642.MS00391",0.575,0.9458,0.9222,0.523,0.5664,0.9294,0.5768,0.9192,0.6094,0.9266,0.7634,0.5508,0.957,0.6456,0.5212,0.5946,0.906,0.758,0.5316,0,0.4718,0.5688,0.9894,0.6172,0.5516,0.962,0.969,0.9232,0.9282,0.9598,0.4718,0.5506,0.6426,0.9348,0.9374,0.9302,0.621,0.9176,0.5242,0.5226
"1642.MS00335",0.6498,0.9376,0.9146,0.6066,0.607,0.9224,0.6086,0.9138,0.6702,0.9146,0.7544,0.5786,0.9514,0.675,0.602,0.665,0.897,0.7518,0.6116,0.4718,0,0.5964,0.9864,0.669,0.6026,0.9566,0.9662,0.915,0.9212,0.9546,0.5468,0.6148,0.6118,0.928,0.9286,0.9282,0.6654,0.911,0.5576,0.5796
"1642.MS00437",0.5416,0.9484,0.9126,0.5946,0.4816,0.9012,0.5302,0.9,0.5342,0.9216,0.8144,0.4766,0.9522,0.5232,0.5766,0.6352,0.9006,0.599,0.5888,0.5688,0.5964,0,0.9924,0.5168,0.5422,0.9636,0.9736,0.9046,0.9064,0.962,0.4898,0.6736,0.6038,0.9294,0.9298,0.913,0.535,0.892,0.4564,0.6444
"1001.SKB8",0.9918,0.9752,0.9552,0.9834,0.9896,0.9858,0.9894,0.9648,0.9896,0.9592,0.9854,0.9882,0.9706,0.9892,0.9902,0.9842,0.9534,0.993,0.9904,0.9894,0.9864,0.9924,0,0.9862,0.9908,0.9692,0.981,0.9664,0.9758,0.9658,0.9868,0.9908,0.9874,0.9442,0.9672,0.9788,0.9884,0.969,0.9894,0.9906
"1642.MS00585",0.5346,0.9468,0.9174,0.5574,0.5012,0.9074,0.5926,0.9052,0.4858,0.9232,0.845,0.5156,0.9506,0.4782,0.5248,0.5876,0.9064,0.6192,0.5644,0.6172,0.669,0.5168,0.9862,0,0.5442,0.9604,0.9704,0.9082,0.9048,0.958,0.515,0.6216,0.667,0.9348,0.9304,0.918,0.4774,0.896,0.5436,0.6256
"1642.MS00463",0.51,0.945,0.9148,0.4888,0.5262,0.9184,0.5562,0.9112,0.53,0.9204,0.813,0.5302,0.9504,0.5544,0.4952,0.5586,0.9062,0.706,0.4926,0.5516,0.6026,0.5422,0.9908,0.5442,0,0.9544,0.9674,0.9104,0.912,0.9574,0.5066,0.5602,0.6624,0.9258,0.9328,0.9248,0.5452,0.9014,0.5432,0.5814
"2382.HE003.C181.HA.2.758.root.9.12.lane7.NoIndex.L007.sequences",0.9696,0.6434,0.6936,0.957,0.953,0.8984,0.9646,0.8892,0.9588,0.6788,0.9764,0.9546,0.5156,0.9574,0.9548,0.95,0.7024,0.9716,0.9576,0.962,0.9566,0.9636,0.9692,0.9604,0.9544,0,0.5014,0.6334,0.9,0.492,0.9588,0.967,0.9642,0.6536,0.631,0.8956,0.9508,0.8924,0.9624,0.9692
