"","2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00389","1642.MS00515","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00541","2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00539","1642.MS00350","1642.MS00421","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00531","1642.MS00596","1642.MS00601","2382.DPOO1.C1.HA.3.437.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00534","1642.MS00602","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00477","1642.MS00390","1642.MS00612","1642.MS00525","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00497","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00523","1642.MS00617","1642.MS00502","1001.SKM7","1642.MS00410","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00438","1642.MS00368","2382.SH005.C3.RH.3.462.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00412","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00415","2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences"
"1642.MS00617",1,0.576,-0.865,1,-0.441,1,1,-0.927,1,-0.171,1,-0.122,-0.994,-0.785,1,0.544,-1,1,-0.102,0.996,-1,-0.847,1,1,-0.018,1,-0.435,0,0.126,1,-0.986,1,-0.037,1,1,0.387,1,1,-0.268,1
"1642.MS00502",1,-1,-0.976,1,-0.815,1,1,-0.656,0.604,-0.7,1,-0.455,-0.024,-0.055,1,-0.997,-0.246,1,-1,-0.551,-0.103,-0.982,1,1,-1,1,-0.532,0.126,0,1,0.367,1,-1,-0.584,1,0.186,1,1,0.04,1
"1001.SKM7",0.994,1,1,0.925,1,1,0.988,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"1642.MS00410",1,-0.526,-0.873,1,-0.33,1,1,-0.985,0.955,-0.986,1,-0.32,-0.912,-0.706,1,-0.141,-1,1,-0.121,0.542,-0.994,-0.946,1,1,-0.155,1,-0.57,-0.986,0.367,1,0,1,-0.886,0.987,1,-0.667,1,1,-1,1
"2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences",0.94,1,1,1,1,0.994,0.932,1,1,1,-0.869,1,1,1,-0.685,1,1,-0.175,1,1,1,1,1,0.479,1,0.98,1,1,1,1,1,0,1,1,-0.373,1,-0.291,-0.441,1,-0.811
"1642.MS00438",1,-1,-0.764,1,-0.164,1,1,-0.626,0.032,-0.978,1,0.046,0.0820000000000001,0.163,1,-0.902,-0.288,1,-0.998,-0.944,-0.491,-0.985,1,1,-0.978,1,-0.775,-0.037,-1,1,-0.886,1,0,-0.688,1,-0.544,1,1,-0.97,1
"1642.MS00368",1,-0.972,0.992,1,0.999,1,1,0.996,-1,-0.118,1,1,1,0.998,1,-0.298,1,1,0.466,-0.672,1,0.867,1,1,0.811,1,1,1,-0.584,1,0.987,1,-0.688,0,1,-0.263,1,1,0.351,1
"2382.SH005.C3.RH.3.462.rhizo.4.12.lane7.NoIndex.L007.sequences",0.656,1,1,1,1,1,0.954,1,1,1,-0.724,1,1,1,0.583,1,1,0.0900000000000001,1,1,1,1,1,0.95,1,0.988,1,1,1,1,1,-0.373,1,1,0,1,0.456,0.503,1,-1
"1642.MS00412",1,-0.591,-0.475,1,-0.109,1,1,-0.68,-0.496,-0.749,1,0.193,-0.016,0.154,1,0.56,-0.086,1,0.018,-0.362,0.028,-0.42,1,1,-0.377,1,-0.28,0.387,0.186,1,-0.667,1,-0.544,-0.263,1,0,1,1,-1,1
"2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences",0.998,1,1,1,1,1,0.96,1,1,1,0.415,1,1,1,-0.776,1,1,0.264,1,1,1,1,1,0.552,1,0.996,1,1,1,1,1,-0.291,1,1,0.456,1,0,0.507,1,-0.017
"2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,0.965,0.977,1,1,1,-0.962,1,1,1,0.48,1,1,-0.978,1,1,1,1,1,-0.597,1,0.955,1,1,1,1,1,-0.441,1,1,0.503,1,0.507,0,1,0.697
"1642.MS00415",1,-0.812,-0.669,1,-0.104,1,1,-0.78,-0.206,-0.982,1,-0.013,-0.282,-0.506,1,0.687,-0.465,1,-0.252,-0.488,-0.69,-0.899,1,1,-0.232,1,-0.752,-0.268,0.04,1,-1,1,-0.97,0.351,1,-1,1,1,0,1
"2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences",0.209,1,1,1,1,1,0.826,1,1,1,-0.308,1,1,1,-0.248,1,1,-0.219,1,1,1,1,1,0.932,1,0.988,1,1,1,1,1,-0.811,1,1,-1,1,-0.017,0.697,1,0
