"","2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00389","1642.MS00515","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00541","2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00539","1642.MS00350","1642.MS00421","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00531","1642.MS00596","1642.MS00601","2382.DPOO1.C1.HA.3.437.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00534","1642.MS00602","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00477","1642.MS00390","1642.MS00612","1642.MS00525","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00497","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00523","1642.MS00617","1642.MS00502","1001.SKM7","1642.MS00410","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00438","1642.MS00368","2382.SH005.C3.RH.3.462.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00412","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00415","2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences"
"2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences",0.7518,0.9586,0.9584,0.8314,0.9532,0.637,0.5962,0.949,0.9706,0.9528,0.863,0.96,0.9494,0.9606,0.8802,0.9538,0.9544,0.8634,0.9558,0.9646,0.9618,0.96,0.4362,0.8972,0.9556,0,0.9572,0.9554,0.9626,0.9796,0.9518,0.8702,0.9582,0.9744,0.8768,0.9594,0.8894,0.8598,0.955,0.8756
"1642.MS00523",0.9256,0.6292,0.5214,0.9656,0.5478,0.9466,0.971,0.4956,0.7566,0.5796,0.9198,0.5434,0.546,0.5756,0.9114,0.6564,0.5164,0.922,0.5388,0.6602,0.4988,0.521,0.9636,0.9216,0.5444,0.9572,0,0.549,0.5658,0.9908,0.5424,0.9184,0.534,0.771,0.9176,0.5554,0.9176,0.9192,0.5336,0.919
"1642.MS00617",0.9154,0.6332,0.5252,0.9674,0.5632,0.9428,0.9696,0.5114,0.7514,0.5654,0.8958,0.5718,0.4854,0.5272,0.8964,0.619,0.4568,0.892,0.588,0.7028,0.4506,0.5214,0.9602,0.8966,0.584,0.9554,0.549,0,0.609,0.9906,0.4928,0.8964,0.5828,0.783,0.892,0.59,0.9,0.894,0.5612,0.8984
"1642.MS00502",0.9374,0.4792,0.517,0.9662,0.5466,0.9504,0.9752,0.5576,0.6812,0.552,0.928,0.5752,0.5942,0.5986,0.924,0.5096,0.5836,0.9268,0.4608,0.5868,0.595,0.5112,0.9656,0.929,0.4998,0.9626,0.5658,0.609,0,0.9946,0.6212,0.9312,0.4718,0.6152,0.9292,0.6068,0.9324,0.9296,0.606,0.9302
"1001.SKM7",0.9476,0.9906,0.9918,0.9546,0.9892,0.9708,0.9702,0.991,0.9928,0.9884,0.9778,0.9918,0.9906,0.9934,0.9802,0.9914,0.9922,0.9658,0.9902,0.991,0.9918,0.9914,0.9796,0.9886,0.9816,0.9796,0.9908,0.9906,0.9946,0,0.9912,0.9674,0.99,0.9944,0.9686,0.9904,0.9782,0.97,0.9926,0.9624
"1642.MS00410",0.9102,0.5718,0.5244,0.9588,0.572,0.9344,0.9672,0.4926,0.713,0.4938,0.8932,0.5644,0.5114,0.5346,0.8804,0.5898,0.4778,0.8914,0.583,0.6418,0.4956,0.5064,0.9512,0.89,0.5768,0.9518,0.5424,0.4928,0.6212,0.9912,0,0.895,0.5234,0.7334,0.8754,0.5306,0.8918,0.8966,0.4758,0.8866
"2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences",0.7388,0.921,0.9058,0.9398,0.9164,0.8714,0.912,0.902,0.9344,0.899,0.5666,0.9146,0.8918,0.9078,0.5934,0.9042,0.8928,0.6222,0.9214,0.9354,0.9084,0.907,0.8972,0.678,0.9172,0.8702,0.9184,0.8964,0.9312,0.9674,0.895,0,0.9174,0.9454,0.6026,0.9088,0.6142,0.5992,0.9166,0.5658
"1642.MS00438",0.9192,0.4574,0.5436,0.9694,0.5866,0.9466,0.9718,0.5454,0.6472,0.5058,0.9196,0.595,0.5838,0.5958,0.9074,0.5296,0.5692,0.9108,0.4884,0.5386,0.557,0.5018,0.9616,0.9114,0.5122,0.9582,0.534,0.5828,0.4718,0.99,0.5234,0.9174,0,0.6054,0.9148,0.5492,0.9122,0.9188,0.512,0.9168
"1642.MS00368",0.9444,0.5642,0.7338,0.9728,0.7538,0.9574,0.978,0.7444,0.5196,0.6468,0.9406,0.7598,0.7778,0.7604,0.9342,0.639,0.7556,0.9308,0.6818,0.614,0.789,0.7054,0.9726,0.9328,0.7028,0.9744,0.771,0.783,0.6152,0.9944,0.7334,0.9454,0.6054,0,0.9332,0.6388,0.9424,0.9416,0.6726,0.9408
"2382.SH005.C3.RH.3.462.rhizo.4.12.lane7.NoIndex.L007.sequences",0.7052,0.9168,0.9046,0.9302,0.9012,0.8776,0.9122,0.89,0.9306,0.8814,0.5726,0.9008,0.8934,0.8966,0.6656,0.8884,0.888,0.6206,0.913,0.9274,0.9088,0.899,0.9032,0.7118,0.91,0.8768,0.9176,0.892,0.9292,0.9686,0.8754,0.6026,0.9148,0.9332,0,0.9048,0.6426,0.6402,0.9066,0.4754
"1642.MS00412",0.9202,0.5626,0.55,0.9626,0.5808,0.938,0.9706,0.5278,0.6128,0.5218,0.9142,0.5896,0.5674,0.5826,0.901,0.617,0.5644,0.9046,0.5882,0.5906,0.5736,0.5488,0.9596,0.9098,0.559,0.9594,0.5554,0.59,0.6068,0.9904,0.5306,0.9088,0.5492,0.6388,0.9048,0,0.9136,0.9128,0.4666,0.9084
"2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences",0.7744,0.917,0.9132,0.9392,0.913,0.8792,0.9156,0.9028,0.9374,0.903,0.6556,0.9156,0.8918,0.91,0.581,0.9094,0.898,0.639,0.9188,0.9334,0.9064,0.9072,0.9032,0.6764,0.916,0.8894,0.9176,0.9,0.9324,0.9782,0.8918,0.6142,0.9122,0.9424,0.6426,0.9136,0,0.6502,0.915,0.6236
"2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences",0.7762,0.9242,0.9106,0.9268,0.9122,0.8508,0.9192,0.8996,0.933,0.8994,0.5426,0.9142,0.889,0.908,0.6642,0.9032,0.8882,0.519,0.9174,0.9318,0.9066,0.9034,0.8916,0.6,0.9148,0.8598,0.9192,0.894,0.9296,0.97,0.8966,0.5992,0.9188,0.9416,0.6402,0.9128,0.6502,0,0.916,0.6574
"1642.MS00415",0.918,0.549,0.5466,0.9628,0.5862,0.9406,0.9684,0.5278,0.6338,0.4986,0.9146,0.5866,0.5614,0.5508,0.9038,0.6318,0.551,0.9128,0.5784,0.5822,0.539,0.5198,0.9584,0.914,0.575,0.955,0.5336,0.5612,0.606,0.9926,0.4758,0.9166,0.512,0.6726,0.9066,0.4666,0.915,0.916,0,0.9116
"2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences",0.6844,0.9198,0.9094,0.9364,0.909,0.8768,0.8996,0.8964,0.9362,0.896,0.6106,0.9108,0.8924,0.901,0.6226,0.9012,0.8948,0.6118,0.9164,0.9332,0.9106,0.9054,0.8974,0.7148,0.9172,0.8756,0.919,0.8984,0.9302,0.9624,0.8866,0.5658,0.9168,0.9408,0.4754,0.9084,0.6236,0.6574,0.9116,0
