"","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00350","2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00531","1642.MS00412","1642.MS00410","2382.DPOO1.C1.HA.3.437.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.3.462.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00602","1642.MS00368","1642.MS00415","1642.MS00523","1642.MS00617","1642.MS00502","2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00541","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00596","1001.SKM7","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00390","2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00389","1642.MS00539","1642.MS00497","1642.MS00612","1642.MS00601","1642.MS00421","2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00534","1642.MS00515","1642.MS00525","1642.MS00438","1642.MS00477"
"1642.MS00539",0.0934022933488,0.0377865506022,0.0937338461895,0.0983371478984,0.0214422589094,0.0243332168104,0.0219047192926,0.0872105667635,0.0882502407519,0.0893707868093,0.0210615183528,0.0371585494671,0.0231984281869,0.0224165212521,0.0226587406783,0.02197987596,0.0863947615129,0.0233833963903,0.090724822365,0.0221811543559,0.1646173772594,0.0852972550019,0.0894843634016,0.0283515014906,0.0913270019602,0.1073388533913,0.0242722936319,0,0.019738213816,0.0224685437847,0.0229018773062,0.0218587155054,0.096254867295,0.1216086384693,0.1110049170614,0.0239646544179,0.0217263070701,0.0215782960674,0.0208874056446,0.0220050458331
"1642.MS00497",0.0940586404514,0.0345392274872,0.0940656327744,0.1056522425214,0.0209318036627,0.0242974811387,0.0222367446412,0.087903911995,0.0880433165213,0.0891006422253,0.0223985823192,0.0356858933499,0.0223109380608,0.0233255910918,0.0239541084256,0.0199702335416,0.08768001529,0.0209991470726,0.0908909340512,0.0233226820015,0.1672193391345,0.08823399148,0.0890622994923,0.0268241186175,0.092141345836,0.1083004721476,0.0232008339952,0.019738213816,0,0.0247404955642,0.0230387785903,0.0206512629149,0.1026626225146,0.1256165409436,0.1110427539427,0.0233475533464,0.0189985768796,0.0221209300862,0.0207189643725,0.0183627736695
"1642.MS00612",0.0955612453149,0.0436288285979,0.0979491543956,0.104263503991,0.0241108928691,0.0292147070328,0.022878213652,0.0928860453506,0.0933516575916,0.0929522400639,0.0226149702452,0.0439042554487,0.0249227817554,0.0229592742637,0.0207635425742,0.0245571276552,0.0916610448888,0.0283959733062,0.0946070978207,0.0223181891084,0.1706090192485,0.0915795124895,0.0929402917461,0.0339059878442,0.0975122444965,0.1165128876584,0.0268816205486,0.0224685437847,0.0247404955642,0,0.0249713688457,0.0268349832466,0.1029009740908,0.1315926633725,0.121551582545,0.029543958551,0.0238447474224,0.023313508751,0.022826347533,0.0238700988303
"1642.MS00601",0.0937726210007,0.0448015210109,0.0951179555141,0.1027844444401,0.0239400594043,0.0283283520778,0.0237335520399,0.0891091656212,0.0895515645232,0.0894544835086,0.0221338709633,0.0422660723833,0.0257155173223,0.0263490021454,0.0248921634319,0.0224548659449,0.0879622547048,0.0245045782208,0.0924099693635,0.0210281880388,0.1656042392717,0.0885235383064,0.0921972906224,0.0330239596567,0.0954142391417,0.1095507278033,0.0257520126639,0.0229018773062,0.0230387785903,0.0249713688457,0,0.0238713046935,0.0978037525292,0.1250463864774,0.1132046195978,0.0244815483241,0.0218617985935,0.0207691215948,0.0255510838832,0.0219210508507
"1642.MS00421",0.0782035408636,0.029135439166,0.0786696055138,0.0861496517361,0.0223164142872,0.0224183653669,0.0192472001379,0.0766414837061,0.0731788573352,0.0750781939917,0.0230911075077,0.0266028192556,0.0204556073241,0.0262053430352,0.0259497755598,0.0232994927054,0.073095975814,0.0225953233854,0.077273368518,0.0240390609972,0.1519632151988,0.0746156403586,0.0773430777387,0.022771963426,0.0794156637967,0.0956388442032,0.019943653956,0.0218587155054,0.0206512629149,0.0268349832466,0.0238713046935,0,0.0830144523914,0.104981850083,0.095984788788,0.0217080118201,0.0208880917781,0.0215149856107,0.0200626920305,0.0207968105137
"2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences",0.0616614912226,0.0776981141313,0.0264010626313,0.0190423136774,0.1031334095044,0.0948898521688,0.0884344262462,0.0593747142844,0.0483055564839,0.0431910392513,0.1002547951905,0.0794692378812,0.0918053945745,0.1072871092428,0.1013781115211,0.0852427083032,0.0499292312844,0.095634576003,0.0393158796334,0.0953298812705,0.0854788111967,0.0440896437409,0.0453476875873,0.0849235149799,0.0569450413615,0.0154808730763,0.077787681654,0.096254867295,0.1026626225146,0.1029009740908,0.0978037525292,0.0830144523914,0,0.0187407903684,0.0186113713234,0.0742238330749,0.1062065988482,0.1006845497678,0.0890209300267,0.0899074692263
"2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences",0.0784764099793,0.0935089517091,0.0339775503691,0.0202809163728,0.1297641152076,0.1222403789641,0.1150501857333,0.0687554636599,0.0608966939733,0.0678529270347,0.1284844242216,0.0907378327231,0.1167451707313,0.1378972365257,0.1272893074629,0.1105292305584,0.0631606751756,0.1216666378464,0.0626403561904,0.1230385343124,0.0780762433718,0.0639570603585,0.0627040008115,0.1056560210205,0.076481693648,0.0218406137218,0.0997787225482,0.1216086384693,0.1256165409436,0.1315926633725,0.1250463864774,0.104981850083,0.0187407903684,0,0.0192916229495,0.0947450023669,0.1284766690871,0.1218628368529,0.1122727627339,0.1153541326772
"2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences",0.0735221623789,0.0902674023386,0.0319320972793,0.0268087822981,0.1187716657255,0.1118336666526,0.1035746257669,0.0581890512801,0.0545554203142,0.0586389592024,0.1166756742387,0.0909478230189,0.1093428490729,0.123701640473,0.1185557406172,0.0995456859633,0.0540700031028,0.1102759514491,0.0529909857398,0.1089502087137,0.0904400404798,0.0531696364405,0.0553776442024,0.1003374355251,0.0634740445761,0.0144458860593,0.0930062057181,0.1110049170614,0.1110427539427,0.121551582545,0.1132046195978,0.095984788788,0.0186113713234,0.0192916229495,0,0.0884095636198,0.1147004767858,0.1076802129644,0.1040885032935,0.1029966854038
"1642.MS00534",0.0795872005003,0.037990704151,0.0777387692804,0.0777101699081,0.0254143863256,0.0314101970352,0.0243076239837,0.073103287849,0.0744033995114,0.0748625640621,0.0236796956161,0.0327623505395,0.0280051713965,0.0307900558537,0.0274804931127,0.0214504720766,0.0750446407888,0.0233552422706,0.0741011498,0.0239871312796,0.1595489617822,0.0733121129441,0.0743550295221,0.0300377336692,0.0769819349022,0.0862481923907,0.0231873193308,0.0239646544179,0.0233475533464,0.029543958551,0.0244815483241,0.0217080118201,0.0742238330749,0.0947450023669,0.0884095636198,0,0.0224664598189,0.0227233838958,0.0266500715927,0.02196369902
"1642.MS00515",0.0952926833098,0.0370412947092,0.0968405499595,0.1103933038829,0.0208550761533,0.0265653674007,0.0223423828024,0.0885190616149,0.0899279144476,0.0921414411679,0.0207378665937,0.0356716444505,0.0236557505798,0.0240710997781,0.0226607706196,0.0186585886955,0.0884328466306,0.0192956816632,0.0922142104492,0.0216428909264,0.165848152483,0.0899302087237,0.0898390172497,0.0268472660677,0.0945168637092,0.1114253188898,0.022664117953,0.0217263070701,0.0189985768796,0.0238447474224,0.0218617985935,0.0208880917781,0.1062065988482,0.1284766690871,0.1147004767858,0.0224664598189,0,0.0202375160441,0.0212023781224,0.019398429907
"1642.MS00525",0.0866994481537,0.0400485038097,0.0921220554433,0.0984643651713,0.0213788716525,0.0278943253696,0.0216376289766,0.082581237145,0.083626165656,0.0820208384397,0.0219531463519,0.0354709123754,0.0233031549997,0.0239519689668,0.0228646168011,0.0204284698322,0.0826144754871,0.0226604257365,0.0837570368751,0.0206065031097,0.1678782087974,0.0824152767849,0.0844697866291,0.0287920778878,0.0857103644662,0.1046018594494,0.023417056892,0.0215782960674,0.0221209300862,0.023313508751,0.0207691215948,0.0215149856107,0.1006845497678,0.1218628368529,0.1076802129644,0.0227233838958,0.0202375160441,0,0.0220127839391,0.0197016328006
"1642.MS00438",0.088577739274,0.0320014761091,0.0827848786995,0.0916332127348,0.0226959485285,0.0225914218005,0.0186301372342,0.0782540432367,0.0810734188053,0.0840276685263,0.0238910431769,0.0280192220159,0.0185410811528,0.0200585641151,0.0243569218903,0.0213316205737,0.079728659224,0.0253032979223,0.0860273464814,0.0236595540692,0.1767383101056,0.0794545827597,0.0840497538843,0.0222719342803,0.0867410397045,0.1040625748359,0.0200989959427,0.0208874056446,0.0207189643725,0.022826347533,0.0255510838832,0.0200626920305,0.0890209300267,0.1122727627339,0.1040885032935,0.0266500715927,0.0212023781224,0.0220127839391,0,0.0202286421414
"1642.MS00477",0.0908278906179,0.0375274464579,0.0847733674971,0.0894208786609,0.0206755875152,0.0257841181902,0.0219369562697,0.0862396997889,0.084353972079,0.0876876321881,0.0229842724417,0.0365917941891,0.021914137977,0.022997481893,0.0239710917461,0.0184408943175,0.0852605391958,0.0210659927726,0.0881558255227,0.0221735520802,0.1707059390375,0.0869914653864,0.0884701129429,0.0245943439659,0.092494012051,0.1051255939452,0.0217158428519,0.0220050458331,0.0183627736695,0.0238700988303,0.0219210508507,0.0207968105137,0.0899074692263,0.1153541326772,0.1029966854038,0.02196369902,0.019398429907,0.0197016328006,0.0202286421414,0
