"","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00350","2382.SH008.C6.HA.4.343.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.5.698.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00531","1642.MS00412","1642.MS00410","2382.DPOO1.C1.HA.3.437.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.3.462.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00602","1642.MS00368","1642.MS00415","1642.MS00523","1642.MS00617","1642.MS00502","2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00541","2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00596","1001.SKM7","2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.622.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00390","2382.MU002.C3.HA.4.492.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.693.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00389","1642.MS00539","1642.MS00497","1642.MS00612","1642.MS00601","1642.MS00421","2382.MU002.C3.HA.3.688.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00534","1642.MS00515","1642.MS00525","1642.MS00438","1642.MS00477"
"1642.MS00415",2.95960573673194,-2.08771601108839,1.13087871028154,-1.96898025433509,-4.8737355984367,-4.67758758262551,-5.29307378201298,1.51048155632008,3.15678746100598,3.60088552148486,-3.47108554120833,-4.53062638690337,NA,-2.8810818671662,-3.05589780763974,-4.48491894133435,2.19053283738945,-3.40795813446526,3.79230194149638,-5.28634851736386,1.4679932258864,2.14995070087197,2.43959264221089,-6.8372419459809,2.51961855000092,0.311488546703607,-5.87759579518079,-4.60195206510782,-6.77076248450695,-3.52941284191419,-4.24594489542481,-4.82623803026129,-0.839022422376159,-0.170955705049748,0.776485600822672,-3.09416414499385,-4.61889641875002,-3.22604758002616,-6.55491436194715,-5.53103309938891
"1642.MS00523",9.59855166736572,-0.753740180013872,6.20333812125765,-0.499151826649491,-3.91098785075642,-2.4584318640653,-2.60214535189338,6.7533367281332,11.4373806516958,10.0101166049349,-2.27356839513538,-1.67102373002214,-2.8810818671662,NA,-3.95762903668743,-3.2387253431576,8.85066582660737,-3.44589684567075,10.3721124872001,-4.07141754505864,2.94361073751009,7.30259035081793,9.43199733358144,-2.65635913821527,8.04338416072658,2.20244104998699,-2.24373380479862,-4.8593692986264,-4.74545038850381,-3.04563936739425,-4.04481589671852,-3.00866775190252,1.65101323682835,2.11869586190413,2.63778899434723,-1.45731811164901,-2.56931140104495,-2.02487107766042,-5.64475316520168,-2.53256332954854
"1642.MS00617",6.28777289284771,-0.800678819777908,4.65124148518012,-0.866838477638749,-3.49064161319698,-2.23720267373822,-2.29110440788403,5.16743510036186,8.60894342093532,7.90777773032648,-3.27443643991119,-1.1087802495074,-3.05589780763974,-3.95762903668743,NA,-3.67136772621239,7.093860332211,-3.1372184348864,7.13382339789556,-3.93746922064843,2.45086695435839,5.16894899844199,7.10482348903321,-0.970354859921471,6.11692562563737,1.56285881186592,-2.85163008623222,-3.38895485047515,-4.75695614271092,-2.34215873893186,-3.1337782197953,-2.38085043737855,0.954308071790519,1.11637979695204,2.31341722609249,-1.12657309131474,-4.68156645577511,-2.98612225805433,-2.65265569947648,-3.82859674971582
"1642.MS00502",1.19659674870313,-0.683094619489159,-0.10256187834401,-1.96227625847592,-5.70883475523546,-1.77363773355845,-5.19070733978334,2.92583719689466,0.909109455586492,0.771791692601656,-3.93671751754961,-0.918926933484333,-4.48491894133435,-3.2387253431576,-3.67136772621239,NA,0.540004077454186,-6.01406099826652,1.14345038009941,-4.7510548351951,2.10355363944593,0.678466718120633,0.609566008951386,-6.10426415176191,1.11153252395994,-0.944019598406336,-5.64496872010538,-3.59596495233982,-5.36278150271201,-3.04368600089216,-5.69524760598929,-4.34682876883079,-1.42905330943335,-0.860792901196486,-0.526395036453137,-5.08502718456217,-6.05736005145256,-4.60502648218407,-5.13747050953447,-5.09025005365548
"2382.SH008.C6.HA.1.527.rhizo.4.12.lane7.NoIndex.L007.sequences",-4.65662199801289,-0.642955912970176,-4.87079503677442,-4.45146677447352,7.27096866240859,5.16242204146849,2.65972332003351,-7.17890665557754,-8.53300347646347,-5.52751133757154,7.51247176865046,-0.697788099145829,2.19053283738945,8.85066582660737,7.093860332211,0.540004077454186,NA,5.72169899525023,-6.92684422595367,6.23366709695276,-1.53010117906231,-7.88470128969871,-8.91821883541017,0.92301847252738,-6.12005826893211,-5.03843803304957,-0.88450890608367,5.90158001446606,3.23504468634529,6.28210835567278,5.74954163265406,0.463114972399646,-5.48014081591868,-4.12984748525779,-4.89430171163809,0.199705762025234,4.96043722333529,3.05662921774904,0.596064728567607,1.76597183614651
"1642.MS00541",7.84552276199906,-2.16900540762427,3.27920399973422,-1.15876045606247,-5.10694403710181,-2.76501835710497,-3.97924741528698,5.8274324387691,6.90128036792969,6.35706066701181,-4.09056186652789,-2.57146219137427,-3.40795813446526,-3.44589684567075,-3.1372184348864,-6.01406099826652,5.72169899525023,NA,7.11640852138947,-5.38544697368315,1.66895117551777,5.88226808746993,6.12164531643652,-4.02937574969368,5.48585227583198,0.791405770793137,-4.65102640536526,-4.16991912147187,-6.08950396404275,-1.69684250393312,-5.21430867673929,-5.29046183099288,-0.209860601566321,0.457153131135743,1.33316908029488,-4.95093566799042,-7.07624524393586,-5.163322614865,-4.58562453986508,-5.01860540217049
"2382.MU002.C3.HA.3.687.rhizo.9.12.lane7.NoIndex.L007.sequences",-6.49543659200461,0.323914304475154,-6.48372769838397,-3.75547618624043,7.37811957200791,6.0521495274412,3.75372447581201,-5.57520872164939,-6.78037674742161,-6.0817586498186,8.42848958108974,-0.170001366563572,3.79230194149638,10.3721124872001,7.13382339789556,1.14345038009941,-6.92684422595367,7.11640852138947,NA,5.48345916448328,-0.797233541606586,-7.67268167608665,-9.86911738242787,2.30757619129254,-4.65561256071202,-6.29685953163903,-0.138034515736635,7.44664158548913,3.74692055357284,7.31208007401835,6.83506230483763,1.64091588632864,-4.28810234694974,-5.14262626228729,-4.54868725234221,0.273812823277464,6.05575376467815,3.32698523861702,1.55509421976816,2.28673971168143
"1642.MS00596",7.00047928060542,-3.30861407839353,3.58427546708627,-0.793742850732765,-3.49836069740259,-3.95942563078229,-4.64000366258296,4.59649967694364,6.37064031893338,5.97215888916012,-2.9222113762665,-3.13731301248001,-5.28634851736386,-4.07141754505864,-3.93746922064843,-4.7510548351951,6.23366709695276,-5.38544697368315,5.48345916448328,NA,1.89044215166401,4.0929455573575,5.89920377125345,-4.84062435738022,3.86653901146278,0.865904121749746,-4.56370087367197,-4.85858630834765,-4.89530812401908,-2.75826902436634,-4.5539100626913,-4.85445786699675,0.147407047734281,0.847531803414699,1.46842388597218,-3.64716219429816,-5.5361520182247,-4.94711979242868,-5.24707480176456,-5.10387329225572
"1001.SKM7",-0.846894833894502,-0.280618463290511,-2.54581714475362,-2.24662025967506,2.02120960681572,1.89601710303082,1.56755326698779,-1.25863862171901,-1.74196951135454,-0.638480329883214,1.99253489461091,0.630807737846026,1.4679932258864,2.94361073751009,2.45086695435839,2.10355363944593,-1.53010117906231,1.66895117551777,-0.797233541606586,1.89044215166401,NA,-1.09009824437391,-1.1076703628242,1.02930492968947,-0.469123499079774,-3.18556992492504,1.55092938868393,2.05071621404149,2.12188581988273,2.29408414806628,1.8789757879438,1.14092685338938,-3.30261147946153,-3.5534058568186,-3.02813636700738,1.32929437462817,2.03123736432278,2.10794936904744,2.21238808487594,2.1573498503963
"2382.MU002.C3.HA.2.482.rhizo.4.12.lane7.NoIndex.L007.sequences",-5.14192556446247,-0.425824664555062,-5.08886572671435,-3.66455680543767,6.26443531407212,4.04572875620002,1.94702288884599,-8.58591330669297,-8.25056220435374,-7.46537761659552,6.57445994935868,-0.455323752404402,2.14995070087197,7.30259035081793,5.16894899844199,0.678466718120633,-7.88470128969871,5.88226808746993,-7.67268167608665,4.0929455573575,-1.09009824437391,NA,-9.45735562030275,1.37050021080548,-7.6991321088504,-7.35047233090807,-0.484659811275413,4.6348133718221,2.77879830214395,5.13585130068288,4.81267096254876,0.779923463668064,-4.76672010631436,-4.60614870109605,-5.20366996849099,-0.0147869868188345,4.7697769097157,2.60251651069003,0.539100702871087,1.77994443842828
