"","1642.MS00441","1642.MS00414","1642.MS00562","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00498","1642.MS00533","1642.MS00584","1642.MS00447","1642.MS00418","1642.MS00397","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00396","1642.MS00408","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00423","1642.MS00360","1642.MS00409","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.563.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00622","1642.MS00474","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00548","2382.SH008.C6.HA.5.348.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.4.568.root.4.12.lane7.NoIndex.L007.sequences","2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00510","2382.SH004.C1.RH.3.11.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00391","1642.MS00402","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00572","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00387","1642.MS00552"
"2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences",0.0905335772766,0.0893136345252,0.0921041978859,0.0419656491519,0.091298904738,0.1092398379319,0.1096122733021,0.10904250089,0.0935571063846,0.0828056626658,0,0.0299748883867,0.0968309228817,0.081144058094,0.0390245721227,0.0824931136224,0.085564999052,0.0773013247934,0.0248922482938,0.0277488515131,0.1008765000985,0.0965885889362,0.0435870516467,0.0403984424828,0.0258157550784,0.0305533131447,0.0409499027861,0.1076185230401,0.0410399459257,0.0362383451138,0.041773831199,0.1147184112364,0.0496530201822,0.0922163223084,0.0885227674329,0.034426272076,0.0972689216477,0.0411178427178,0.0806594721931,0.1107344027222
"2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences",0.1039811491412,0.1049908785627,0.1050091927745,0.057660100635,0.1052080969408,0.1227325271206,0.126380635322,0.1227664467718,0.1053035086504,0.092764190182,0.0299748883867,0,0.1100561690353,0.0979737528196,0.0598400096935,0.0992598826514,0.0948371259332,0.0904141768935,0.0369883913996,0.0269335084002,0.117973218702,0.1090561831693,0.023836454693,0.0456059944543,0.0389748418342,0.0261216419194,0.0134570994735,0.1112544772123,0.0239431239004,0.0223272820946,0.0261315339764,0.1139462333283,0.0236785579565,0.1018837211096,0.1049533346148,0.0182084237745,0.1116206929662,0.0140409681409,0.0940793460011,0.1209478915271
"1642.MS00396",0.022825782163,0.0213398341629,0.0268159468822,0.0937072623097,0.0243729677476,0.0256260774867,0.0290070708368,0.0265094828477,0.0218460252343,0.0208267131248,0.0968309228817,0.1100561690353,0,0.0216597732126,0.0989760610872,0.0236357558933,0.025214013549,0.0210302123515,0.0931725748301,0.0992170243455,0.0272847330098,0.0240391898695,0.1231377473183,0.0990065882821,0.0954086562974,0.101598062722,0.1146086670934,0.0251971751987,0.1141517443016,0.1124284232899,0.1190289499118,0.0231074655506,0.1235048131939,0.0218333615509,0.0232764351882,0.1090928794918,0.025484912026,0.1202202554055,0.0216328863677,0.0267313644986
"1642.MS00408",0.0198201177457,0.0213067138744,0.0213721198463,0.0808063830496,0.0217504741854,0.0237599491901,0.0278175313397,0.0267134914517,0.019595507266,0.0202978393626,0.081144058094,0.0979737528196,0.0216597732126,0,0.0851368071306,0.0198885651959,0.0283364687926,0.0183257561064,0.0796648880764,0.0866063607731,0.0225807553653,0.0209820197466,0.1097918595287,0.0859519760988,0.0802546100811,0.0852802068073,0.098371329665,0.0217653802903,0.0993721406124,0.0987574342959,0.106995676122,0.0220092743927,0.1063955723704,0.0225962456326,0.0214477087429,0.0967050097564,0.0218646459786,0.1074622237117,0.0201729217915,0.0255558972952
"2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0936554231616,0.0939691216403,0.0920812335661,0.0405531739328,0.0944956461766,0.1112415390101,0.1129837270142,0.1106056830185,0.0954855308519,0.0868271263016,0.0390245721227,0.0598400096935,0.0989760610872,0.0851368071306,0,0.0842606182911,0.0920738187759,0.082907021578,0.0336962859739,0.0519955057753,0.0992757617546,0.1001956127296,0.0719334328413,0.0716426601261,0.0360439820261,0.0445608834471,0.0709052360498,0.1005163114394,0.0577402786077,0.0630893550997,0.0812600166428,0.1080907127828,0.0674942522664,0.0979562499639,0.087337495106,0.063359039065,0.103412179396,0.0661044318752,0.0817242020298,0.1148380390144
"1642.MS00423",0.0216066628849,0.0236686583826,0.0223154617088,0.081758903223,0.0241160597499,0.0241375548347,0.0299147285567,0.0295182196175,0.0226578992925,0.0212872657793,0.0824931136224,0.0992598826514,0.0236357558933,0.0198885651959,0.0842606182911,0,0.03036557777,0.0192890794842,0.0785075437274,0.0865095299691,0.0243951705287,0.0236650741064,0.1097568770163,0.0853573254423,0.0804327308175,0.0877634923981,0.1019389184745,0.0230576278502,0.102063260438,0.0985410451924,0.1127743246217,0.0231400727324,0.1096839285525,0.0245115819655,0.0215357622425,0.0976356562309,0.0235256172527,0.1107592282832,0.0218867083039,0.0279442583419
"1642.MS00360",0.0291599250425,0.0238582585528,0.0375496261518,0.0935988775496,0.0327360469568,0.0381218402665,0.0395967665508,0.0332237576249,0.0265252748168,0.0231728878806,0.085564999052,0.0948371259332,0.025214013549,0.0283364687926,0.0920738187759,0.03036557777,0,0.0256816373016,0.0867221659362,0.0871150439397,0.0406021896437,0.0360184948881,0.1087979384438,0.0958822552557,0.0891008730998,0.0897072706282,0.099447557798,0.0358497452401,0.0969793047258,0.0992038177952,0.0999768664856,0.0329588721158,0.1095163004929,0.0262852384892,0.0300030501902,0.0983156890714,0.0373595230787,0.1029529118808,0.0274446953204,0.0352024449788
"1642.MS00409",0.0184929222389,0.0197953081754,0.0206489148115,0.0839943228412,0.0201122735835,0.0235427851879,0.0248352217346,0.0242111189224,0.0191119575173,0.0186401830859,0.0773013247934,0.0904141768935,0.0210302123515,0.0183257561064,0.082907021578,0.0192890794842,0.0256816373016,0,0.078326838075,0.0818073859073,0.0241858893727,0.0193948046928,0.1038513616736,0.0779556134328,0.079884663921,0.0837552022159,0.0946291633239,0.0196802842283,0.0953796421749,0.0926370528582,0.1006321350525,0.0192859339135,0.1035565637831,0.0206595392071,0.0216076874014,0.0914661876274,0.0215660698656,0.1006183563803,0.0206894609025,0.0222022014086
"2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences",0.090485559186,0.0892700920608,0.0859197063656,0.0310886743226,0.0889759114377,0.1018859117145,0.1076338762385,0.1074966205949,0.0927376712163,0.0804279920945,0.0248922482938,0.0369883913996,0.0931725748301,0.0796648880764,0.0336962859739,0.0785075437274,0.0867221659362,0.078326838075,0,0.03630197391,0.0942927715812,0.0934107348684,0.0527134549544,0.0510121455234,0.0227084077921,0.0324812061184,0.0454590045362,0.092505610043,0.0478102138724,0.0461563602131,0.0603898135822,0.1016308977388,0.0489513331184,0.0907235121459,0.0848438886269,0.0398178712971,0.0945641586028,0.0423042859704,0.077443324072,0.1054556226006
"2382.HE003.C181.HA.3.563.root.4.12.lane7.NoIndex.L007.sequences",0.0940984325384,0.0951742070127,0.0915965939384,0.0428798245851,0.0963583639981,0.1112664023137,0.11555977209,0.114194153744,0.0985444425663,0.0856364799466,0.0277488515131,0.0269335084002,0.0992170243455,0.0866063607731,0.0519955057753,0.0865095299691,0.0871150439397,0.0818073859073,0.03630197391,0,0.0998886197017,0.10047245043,0.024454162461,0.0340516113214,0.0333225794283,0.0247353160652,0.0314059767914,0.0961579224265,0.0236902026157,0.0148692310087,0.0375654363388,0.1061002259806,0.0244672694397,0.0955756624607,0.0874733776361,0.0226727767504,0.101011697887,0.023684076058,0.0841223866225,0.1109967469488
