"","1642.MS00441","1642.MS00414","1642.MS00562","2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences","1642.MS00498","1642.MS00533","1642.MS00584","1642.MS00447","1642.MS00418","1642.MS00397","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00396","1642.MS00408","2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00423","1642.MS00360","1642.MS00409","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.563.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00622","1642.MS00474","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.593.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.638.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.4.618.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00548","2382.SH008.C6.HA.5.348.root.9.11.lane1.NoIndex.L001.sequences","2382.HE003.C181.HA.4.568.root.4.12.lane7.NoIndex.L007.sequences","2382.GM.181.R4.root.10.12.lane7.NoIndex.L007.sequences","1642.MS00510","2382.SH004.C1.RH.3.11.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00391","1642.MS00402","2382.SH008.C6.HA.3.338.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00572","2382.SH007.C6.RH.5.723.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00387","1642.MS00552"
"2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences",-0.0500303833829218,-0.00982262527334901,0.240666346239605,-2.54259921592127,0.113740838412675,2.40834353033833,2.06477500448111,2.08925160066337,0.804421136928267,-0.703764569526903,NA,-2.20320316565377,0.746008009952251,-0.750307727885375,-2.14215021097429,-0.329553025686716,-1.26984625116525,-1.0868384777511,-7.77617160114735,-5.83538444488573,1.47045489754015,1.03924650365628,-3.75388207646412,-2.64072415546599,-8.01233109175344,-3.60408012688313,-3.57383653533184,1.5423162785909,-3.60885000763494,-3.62689469144807,-3.5034327208391,1.9072407913768,-2.85308245737391,0.145433332336909,0.586347195408006,-3.05480205728524,0.65452190401335,-3.40067413865505,-0.299618494126445,1.87344331769482
"2382.SH004.C1.RH.2.7.root.6.11.lane1.NoIndex.L001.sequences",-0.0822868162230933,0.0224981199994656,0.0491305261315397,-3.57485631947248,0.0327689581924128,1.17058596109234,1.08381403836456,0.892691530863766,5.63988568454293,-0.652542980920899,-2.20320316565377,NA,0.30571932533924,-0.349289756629641,-1.48412010307719,-0.232098518556842,-0.809492214892355,-0.812119444554147,-1.79568535564645,-6.76480196947174,0.813013356836959,0.317942461675501,-5.77346512891632,-2.62965627403277,-5.47714471865916,-3.58212716072469,-7.72300291723047,0.250992723604757,-4.79421041158915,-6.5076480748862,-5.78876765294917,0.300378601110876,-5.86670584366028,-0.320719045920092,0.206722457177787,-5.06009438174719,0.323209764718443,-7.34919622292351,2.83737618716491,0.854003048312139
"1642.MS00396",-4.69555520447294,-5.66784176018505,-2.04332274270979,6.17568224361333,-4.07794097862518,-3.41431869352848,-3.97906713016506,-3.14093470750591,-5.42588832542495,-4.78096910379812,0.746008009952251,0.30571932533924,NA,-3.70577934955169,8.24498890053445,-3.58085005719415,-4.27151126989476,-4.94143701117641,6.90692232980143,0.992341367020484,-2.86449644756177,-3.65143160459317,0.689656903171465,0.605651342665423,7.02830438777483,1.63463649146696,2.04564090735446,-3.37761316132175,0.564360579757469,0.239617888975745,0.966646128880284,-4.39442989484715,0.969473163542582,-4.39771097037583,-3.63918261782224,2.15378921120776,-3.02238994300398,1.57409101169331,-4.41468935771005,-4.65785462943852
"1642.MS00408",-6.30613924187204,-3.33583085335969,-4.41881094136292,1.30565718028858,-4.62567392631283,-4.30798995399095,-3.08350189562837,-2.08652717592603,-5.46106165075659,-4.93499148335543,-0.750307727885375,-0.349289756629641,-3.70577934955169,NA,2.2155119995701,-5.31782933314274,-2.68854928388201,-5.74524676451473,1.33366946643752,-0.338369724193579,-3.09178790544899,-4.50482446038748,-0.38997234542825,-0.0174302648827598,1.55742675364216,-0.796620227985517,-0.762193147429417,-3.96636138576417,-1.15439959465769,-0.846915227033258,-0.222873639727943,-3.9473264827866,-0.334381425912488,-4.8467621417897,-3.61004087303516,0.36387305224501,-4.27740506252527,-0.086946266588935,-4.85848927144267,-5.09515638647284
"2382.DPOO1.C1.HA.4.442.rhizo.4.12.lane7.NoIndex.L007.sequences",3.2815916603165,5.56428265990115,3.03334686713143,-3.70240423340207,3.78004497647122,13.4621212386967,10.8375864469101,10.3958034284936,8.93349859459354,1.69530477526897,-2.14215021097429,-1.48412010307719,8.24498890053445,2.2155119995701,NA,3.75171070069864,1.38480905645433,0.404100379792629,-6.565978711192,-2.62971956071526,10.3226959137233,8.49298199779307,-2.36854784857294,-1.29420930339888,-3.82406472278111,-3.3419093426439,-2.46270300622061,4.12276764816671,-4.61293378719646,-2.52644115999913,-1.94473706875904,4.63235363740405,-2.15902555482585,2.97463838026653,6.5415360494294,-2.4250904902898,6.86677937047073,-3.47991323830919,4.2445361680358,10.7263685679621
"1642.MS00423",-4.1047970778753,-3.89748720029032,-4.03771659948046,2.96577209854586,-3.34324814268053,-3.77549150164827,-2.76840495130607,-1.04111552548544,-4.32708967970786,-5.75663545337357,-0.329553025686716,-0.232098518556842,-3.58085005719415,-5.31782933314274,3.75171070069864,NA,-3.73587533510968,-6.09784142026217,2.63455070076271,-0.277415129027359,-2.20180389828494,-3.69331790479052,-0.303542310132555,-0.160294151380163,3.05337217213237,-0.256788486926913,0.122822488423415,-4.20700898425834,-0.656327491034167,-0.758748594057134,0.488587189855147,-4.56827517153483,-0.0227250821927876,-4.96515952575218,-2.14597833090043,0.789050646675705,-3.31528033567116,0.640335343189456,-4.34170541618757,-3.53234476187387
"1642.MS00360",-3.50496315128612,-5.08468066841218,-1.5135133231305,1.7134954076875,-3.81070065473388,-2.96534813554272,-3.06173694152918,-1.84229190828134,-2.73127635823606,-5.21235363795656,-1.26984625116525,-0.809492214892355,-4.27151126989476,-2.68854928388201,1.38480905645433,-3.73587533510968,NA,-3.95953757520392,0.770205581530112,-1.05735352819523,-1.64905747948388,-2.3299167957996,-0.781361284400983,-0.00390096160780778,1.679752774939,-0.788170685020022,-0.963635985569354,-2.54533296971915,-1.88473189449365,-1.16793241622107,-1.26037268354957,-3.23368448967981,-0.669018327527982,-2.75751250890292,-3.32262171986546,-0.473718266344,-2.42391647552112,-1.10880053580476,-3.24549840608203,-3.94229330093371
"1642.MS00409",-6.91436481060589,-4.67881269665026,-4.99811251973867,0.6716750587792,-5.45903651360483,-4.88768027432985,-4.04366143061748,-2.99008244577576,-5.73588668177959,-5.85516844331293,-1.0868384777511,-0.812119444554147,-4.94143701117641,-5.74524676451473,0.404100379792629,-6.09784142026217,-3.95953757520392,NA,0.145812066068229,-0.874971863643079,-3.00468634836356,-6.50772962677535,-0.922448527579892,-0.320555489179222,0.239752177774693,-0.816399992353592,-0.88103018726893,-5.45039253700075,-1.30859686494879,-1.20749494938385,-0.670881218066273,-6.59504807820302,-0.648852044905455,-5.10528728891212,-3.31890997011039,-0.432134367531805,-5.60316888902757,-0.725270225336292,-3.83718476379403,-6.72628811960298
"2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences",3.02769695443514,4.79689451593405,2.56584905038614,-8.15520788985129,3.37788883193911,11.3078545600627,9.85608293174339,10.671918446944,8.42629956250419,0.973817613882498,-7.77617160114735,-1.79568535564645,6.90692232980143,1.33366946643752,-6.565978711192,2.63455070076271,0.770205581530112,0.145812066068229,NA,-6.25942479077917,10.1337554518399,6.68745763905738,-7.41379482587534,-2.67476210295764,-9.04821129268169,-5.81988020141876,-5.66612949784685,3.16389265145081,-5.59855026034404,-7.76197616085369,-5.37603755355237,3.93714602347143,-5.38115221663119,2.19519012019612,6.94271866249308,-3.96123849946581,5.23395330786077,-6.80259420886331,3.32876520773372,8.81138133077461
"2382.HE003.C181.HA.3.563.root.4.12.lane7.NoIndex.L007.sequences",0.278457000606096,0.35922553712291,0.0407155941460659,-6.32490729569866,0.29678869359428,2.24504751496321,2.59575204446836,2.20378922474043,1.44740485167378,-0.660472166676412,-5.83538444488573,-6.76480196947174,0.992341367020484,-0.338369724193579,-2.62971956071526,-0.277415129027359,-1.05735352819523,-0.874971863643079,-6.25942479077917,NA,1.31950255309806,1.16114139828487,-5.93568641560693,-2.45559517249047,-6.41252321934263,-5.2210749137689,-7.35401501311444,0.308805274409008,-5.32172373022217,-6.42573164040282,-6.59156273699743,0.953556456346687,-6.24359856768517,-0.0559363506674109,-0.0194105929630888,-6.89015849356749,0.811023292337349,-7.59479164107765,-0.099844435952088,2.09720716123537
