"","1642.MS00354","1642.MS00611","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00552","1642.MS00376","1642.MS00620","2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00493","1642.MS00569","1642.MS00429","1642.MS00437","2382.SH004.C1.RH.3.412.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00411","1642.MS00491","1642.MS00347","1642.MS00390","2382.HE003.C181.HA.1.353.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00412","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00614","1642.MS00338","1642.MS00388","1642.MS00399","1642.MS00498","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00625","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.728.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00418","2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00370","1642.MS00363","2382.MU002.C3.HA.5.497.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.517.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00541"
"1642.MS00493",-2.20395522296299,-1.76853359894542,5.48868826201983,1.18842165156677,0.42615820841989,5.09131162768974,-3.69224486002063,-2.4254745927583,-0.940240112814328,1.18583689977699,NA,-3.06821889283161,-2.65832354036267,-4.46456047607103,4.68282116854369,-2.70910013083858,-1.44992244168471,-1.24599178265118,-2.26749226848771,-0.0898807667603759,-3.16910675878921,-0.354221789473173,-1.50172006610172,-1.25666297493104,-1.52798073392676,-3.0195111690927,-3.99077532789938,0.697246395969106,0.348082957916112,-5.58056138122633,0.702587323868298,0.515701324644325,-3.68594536630668,0.138055173167892,-1.54944561735902,-3.38811106067956,4.60562967255638,3.1414125535288,3.6462252818028,-3.01999715086941
"1642.MS00569",-0.835967288652617,-2.25513569497167,6.93604973092836,2.00044621629894,0.855399675038041,6.02753013595608,-3.50959973285834,-1.93192337399082,-1.92485216817182,1.42123845586651,-3.06821889283161,NA,-2.12889064630535,-4.09266182859914,6.20295468892054,-3.33517667378229,-2.6762697966068,-0.156424137161251,0.176104445402995,0.409106847137609,-0.135774206425204,0.66302172954204,-1.09517667299526,1.22124821310454,1.72477424366351,-1.72496033911156,-3.91314976715277,0.891029622195264,0.76445129087054,-4.16930788631135,1.43155799574648,0.859407146082809,-2.19713235581438,0.806238837180383,-1.72046305713208,-1.54806338913735,5.89619503588827,4.32325081138081,4.75386149586271,-5.87652380249761
"1642.MS00429",-5.6770344750067,-2.2323017267749,2.97235995916575,-0.576320698627522,-0.341904644418677,3.98504381785454,-4.33276389100637,-4.26469598096116,-1.48845599520151,-0.934316851250684,-2.65832354036267,-2.12889064630535,NA,-4.29210857208177,3.57958602768694,-3.88359384251624,-3.21426319537682,-2.79560756455614,-6.34414833375217,-0.462632799239366,-3.79947215648215,-0.126458888778142,-0.0216600609938973,-6.28851276337425,-4.7362006198833,-5.17048700208898,-5.39683894817894,0.198607277656005,0.0455212941721411,-2.93921260974656,-0.428259058503681,-1.05221879436164,-5.12435109219016,-0.204648664336455,-4.1478113855042,-5.31023358234328,3.43933796306647,2.32206089768716,2.37920235441439,-3.39357840205874
"1642.MS00437",-2.78658955264285,-1.4029546404787,3.24110410086969,-0.118855728104525,-0.0541027873957224,2.58637529061598,-5.3941364560564,-3.99091360494385,-1.75084800483786,0.198320616484435,-4.46456047607103,-4.09266182859914,-4.29210857208177,NA,2.61540740823111,-4.20902193087732,-3.15981495913378,-2.99809068083972,-4.03043974779362,-0.263915046011947,-4.56192945712032,-0.322961578135955,-0.512070908556905,-3.32317735751374,-3.01357689875456,-4.31641104892874,-5.06719942475388,-0.316655883075521,-0.309862326852539,-3.76804349278357,0.254615538264956,-0.147180445482061,-3.84122454541699,0.0260604133790029,-2.10051188313908,-4.32209935229926,2.91052579823563,1.51034314405759,1.61700609213064,-4.35198426083711
"2382.SH004.C1.RH.3.412.rhizo.4.12.lane7.NoIndex.L007.sequences",-0.856788347646823,5.87987675430358,-8.71658650888449,-7.62938120364575,-2.73839523277877,-10.9232112652244,8.76095244009439,1.21980069902633,10.58066266545,-3.14118788729094,4.68282116854369,6.20295468892054,3.57958602768694,2.61540740823111,NA,2.27636409068232,2.8396806174031,1.38754716061873,2.36011201994024,-6.02391561676167,7.29936066862202,-4.74002972247216,5.22256369061246,0.0645972569952108,2.81911532880295,1.6783421429363,2.18641656669167,-5.43040661058516,-6.03063662728612,6.88485184716112,-5.32533179477395,-6.86409766472651,7.30435459924086,-6.6548500352479,-0.886785509215906,-0.95445906752341,-8.46616383426745,-9.01810779323633,-8.84635672313324,7.49516138974763
"1642.MS00411",-3.02315557596401,-0.997423583059521,2.51936387205286,-0.0280981713757814,-0.0245062818871238,4.10444929952359,-4.06714694988342,-3.0026444361037,-0.0234592727855312,-0.253207512914094,-2.70910013083858,-3.33517667378229,-3.88359384251624,-4.20902193087732,2.27636409068232,NA,-3.68548182074868,-3.16464016711348,-3.59134100197509,-0.352740988761288,-2.75841012740981,-0.718685889577208,0.959456907643643,-2.77268707003156,-2.52893038543557,-5.33890857564997,-4.31265541383849,-0.177859529694794,-0.342877187421151,-3.51874341749768,0.0443793641539282,0.0128052043571833,-3.0044843053903,-0.0111614702646014,-1.81531546756094,-4.45395646375473,3.43690714739474,1.42713443906919,1.48951444043282,-2.94497499077942
"1642.MS00491",-1.66217895158024,-1.11099055154251,6.00816006632377,0.655604398372379,0.228337722868706,3.86573509049395,-2.84747221343768,-2.15536357023754,-0.65355133632787,0.642759504114988,-1.44992244168471,-2.6762697966068,-3.21426319537682,-3.15981495913378,2.8396806174031,-3.68548182074868,NA,-1.97154941801093,-2.88308573019655,-0.254478956811274,-1.75068055379466,-0.556427998970266,-0.147145575027166,-2.28902370784655,-2.78672263857682,-2.96363273927082,-3.06745750308358,-0.028620650068109,-0.32600735320575,-1.85145876129062,0.520569833882881,0.861431163420629,-3.25629514487241,0.0445116576990112,-1.96219516180825,-2.64771448683944,3.15333038216507,1.35655394544604,2.67258077710865,-1.45202018964101
"1642.MS00347",-6.10504136332101,1.3940030362004,2.04974202447426,-0.476036587284984,-0.0285114255094654,3.61725274414992,-2.78029212966897,-3.14473365760277,0.0110298971097552,-0.575620727829116,-1.24599178265118,-0.156424137161251,-2.79560756455614,-2.99809068083972,1.38754716061873,-3.16464016711348,-1.97154941801093,NA,-2.65568746224456,-0.717754777030977,-3.2428771093086,-0.210192711121796,3.65143590275187,-3.15537085328608,-3.03941846199877,-2.22405156245528,-2.71424089550294,-0.554544943579968,-0.550970528755768,-0.838635796755734,-0.151222094073295,-0.298609182972953,-2.01343222998437,-0.0237566744901803,-3.75519124882087,-2.82253466074486,1.54839858163118,1.07615346457965,1.68373063834759,0.0574592385557197
"1642.MS00390",-5.15636920199735,-1.6067688161787,2.57261374096856,-0.711127987670078,-0.282174743428953,4.42907036576596,-6.85543058597584,-4.22662998149846,-0.294616574582732,-1.07079252096403,-2.26749226848771,0.176104445402995,-6.34414833375217,-4.03043974779362,2.36011201994024,-3.59134100197509,-2.88308573019655,-2.65568746224456,NA,-0.833887925891634,-2.88311932618372,-1.42269592060816,1.16523138041446,-8.58739910284698,-4.08791155463953,-8.251461924032,-5.26284084143375,-0.401251174253168,-0.640834583044453,-2.60658954989779,-0.392341135980681,-0.510442174602029,-3.91037040053372,-0.427854616473372,-4.0502880463295,-5.35617337418736,2.88963217861564,2.04050893331964,1.87109645822575,-3.43654655981053
"2382.HE003.C181.HA.1.353.root.9.11.lane1.NoIndex.L001.sequences",-1.77529400466024,-0.249769786439224,-2.61805370860692,-6.21827074827886,-6.49091296513952,-2.19138917326574,0.657133146393801,-1.07672331390581,1.57822540527738,-5.8773193110641,-0.0898807667603759,0.409106847137609,-0.462632799239366,-0.263915046011947,-6.02391561676167,-0.352740988761288,-0.254478956811274,-0.717754777030977,-0.833887925891634,NA,0.238520963349753,-5.17597645530174,0.358067912048521,-1.33408332498529,-0.0308647944266242,-0.422942010310525,-0.373289894281904,-4.99458930359296,-5.70466967273771,0.0968864047954518,-3.61344877520726,-5.02865027644033,0.283170037156974,-7.71379132245814,-2.174270509528,-1.20665294344171,-2.23591187912038,-4.39125480396327,-3.00704898851292,-0.139812046671392
