"","1642.MS00354","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00620","1642.MS00388","1642.MS00625","1642.MS00569","1642.MS00429","1642.MS00541","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00370","2382.HE003.C181.HA.1.353.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00376","2382.MU002.C3.HA.5.497.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00390","1642.MS00493","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00611","1642.MS00491","1642.MS00437","1642.MS00418","1642.MS00614","1642.MS00363","2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.3.412.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00411","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00338","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00552","1642.MS00412","2382.SH008.C6.HA.1.728.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00399","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.4.517.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00347","2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00498"
"2382.HE003.C181.HA.1.353.root.9.11.lane1.NoIndex.L001.sequences",0.9776,0.8976,0.965,0.9416,0.9582,0.9598,0.9644,0.9572,0.6066,0.991,0,0.7886,0.9806,0.925,0.9688,0.9582,0.687,0.7342,0.9618,0.9628,0.9638,0.9616,0.9626,0.9576,0.737,0.8952,0.959,0.568,0.971,0.9028,0.9628,0.9642,0.5786,0.9138,0.959,0.7312,0.8882,0.9748,0.3256,0.9584
"2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences",0.9476,0.8746,0.905,0.9088,0.896,0.891,0.9148,0.8898,0.8868,0.9718,0.7886,0,0.9466,0.8718,0.9296,0.8926,0.5642,0.8204,0.9062,0.9004,0.9002,0.8984,0.9116,0.8966,0.8156,0.8904,0.903,0.8678,0.9404,0.8694,0.9234,0.908,0.8442,0.862,0.9198,0.8048,0.8762,0.93,0.8172,0.906
"1642.MS00376",0.667,0.9562,0.7922,0.7254,0.7918,0.7746,0.7164,0.779,0.9822,0.866,0.9806,0.9466,0,0.9568,0.71,0.7642,0.9592,0.9614,0.7904,0.791,0.7174,0.7222,0.8066,0.7196,0.9642,0.9624,0.7202,0.9864,0.7134,0.9488,0.7822,0.667,0.9698,0.9582,0.749,0.9534,0.9612,0.6128,0.9786,0.7684
"2382.MU002.C3.HA.5.497.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9584,0.742,0.8962,0.9442,0.8932,0.9008,0.9266,0.9224,0.9374,0.9798,0.925,0.8718,0.9568,0,0.9368,0.8936,0.8832,0.8356,0.9018,0.8814,0.9088,0.913,0.9122,0.9102,0.9042,0.656,0.9094,0.9542,0.9478,0.69,0.9378,0.9164,0.9164,0.6402,0.9358,0.8444,0.607,0.9388,0.9206,0.919
"1642.MS00390",0.6286,0.9376,0.6894,0.525,0.7074,0.6654,0.6004,0.6608,0.9704,0.809,0.9688,0.9296,0.71,0.9368,0,0.6458,0.9428,0.9456,0.705,0.7054,0.6152,0.583,0.721,0.5638,0.9602,0.9382,0.545,0.975,0.438,0.9268,0.6452,0.5906,0.9598,0.9358,0.5134,0.9384,0.9414,0.597,0.968,0.5878
"1642.MS00493",0.7636,0.8954,0.4966,0.6394,0.479,0.464,0.5802,0.5136,0.9642,0.888,0.9582,0.8926,0.7642,0.8936,0.6458,0,0.9146,0.9264,0.5024,0.483,0.488,0.497,0.5174,0.5704,0.941,0.8892,0.4694,0.9674,0.6984,0.8756,0.5592,0.5408,0.95,0.8824,0.5758,0.9078,0.8942,0.6926,0.9574,0.509
"2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences",0.9522,0.8748,0.9292,0.9326,0.9142,0.91,0.9264,0.9068,0.7706,0.9604,0.687,0.5642,0.9592,0.8832,0.9428,0.9146,0,0.7496,0.9266,0.9266,0.9254,0.9198,0.9308,0.9134,0.8338,0.883,0.915,0.714,0.945,0.8722,0.9362,0.9292,0.6974,0.8824,0.9282,0.8304,0.8748,0.9444,0.6822,0.9214
"2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences",0.9542,0.7992,0.9404,0.9236,0.9296,0.9298,0.9366,0.9234,0.6944,0.9746,0.7342,0.8204,0.9614,0.8356,0.9456,0.9264,0.7496,0,0.9348,0.9314,0.9372,0.9302,0.94,0.9262,0.6754,0.8102,0.928,0.7412,0.9472,0.8126,0.9446,0.936,0.6714,0.841,0.9384,0.6628,0.8246,0.9544,0.7512,0.929
"1642.MS00611",0.8072,0.913,0.5194,0.6982,0.484,0.4946,0.6328,0.584,0.9668,0.9244,0.9618,0.9062,0.7904,0.9018,0.705,0.5024,0.9266,0.9348,0,0.5216,0.5214,0.5438,0.457,0.6244,0.9424,0.9008,0.546,0.9734,0.747,0.8908,0.6096,0.5896,0.9506,0.8924,0.643,0.9134,0.9066,0.7496,0.9598,0.587
"1642.MS00491",0.7906,0.8972,0.5538,0.6804,0.4836,0.5166,0.6436,0.612,0.9646,0.8954,0.9628,0.9004,0.791,0.8814,0.7054,0.483,0.9266,0.9314,0.5216,0,0.5276,0.5796,0.5418,0.6088,0.944,0.8878,0.5464,0.9694,0.7402,0.8782,0.6394,0.5884,0.9464,0.8782,0.6576,0.9144,0.8822,0.7352,0.9628,0.5808
"1642.MS00437",0.7344,0.9148,0.541,0.5976,0.5184,0.496,0.5302,0.5792,0.9694,0.883,0.9638,0.9002,0.7174,0.9088,0.6152,0.488,0.9254,0.9372,0.5214,0.5276,0,0.4544,0.5304,0.5428,0.951,0.9092,0.4558,0.9736,0.668,0.8976,0.5992,0.4966,0.9548,0.9018,0.5796,0.917,0.9078,0.683,0.963,0.5418
"1642.MS00418",0.7296,0.9102,0.5518,0.5918,0.553,0.5146,0.536,0.5478,0.9682,0.8884,0.9616,0.8984,0.7222,0.913,0.583,0.497,0.9198,0.9302,0.5438,0.5796,0.4544,0,0.5618,0.5478,0.9492,0.9088,0.4502,0.9696,0.6466,0.8946,0.5562,0.475,0.9574,0.9054,0.5234,0.9132,0.9112,0.673,0.9622,0.5172
"1642.MS00614",0.8306,0.9224,0.529,0.714,0.487,0.512,0.6688,0.6278,0.9674,0.9326,0.9626,0.9116,0.8066,0.9122,0.721,0.5174,0.9308,0.94,0.457,0.5418,0.5304,0.5618,0,0.6604,0.9484,0.9172,0.577,0.9734,0.7772,0.9056,0.6586,0.6106,0.9592,0.9054,0.673,0.922,0.9092,0.7828,0.961,0.6142
"1642.MS00363",0.588,0.9058,0.6544,0.556,0.6104,0.5856,0.583,0.629,0.9622,0.7482,0.9576,0.8966,0.7196,0.9102,0.5638,0.5704,0.9134,0.9262,0.6244,0.6088,0.5428,0.5478,0.6604,0,0.942,0.9068,0.4912,0.9698,0.4948,0.89,0.6212,0.5638,0.9488,0.9052,0.4992,0.9146,0.9112,0.6546,0.9578,0.533
