"","1642.MS00354","1642.MS00611","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.1.253.root.9.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00552","1642.MS00376","1642.MS00620","2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00493","1642.MS00569","1642.MS00429","1642.MS00437","2382.SH004.C1.RH.3.412.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00411","1642.MS00491","1642.MS00347","1642.MS00390","2382.HE003.C181.HA.1.353.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00412","2382.HE003.C181.HA.3.131.r1.root.6.11.lane7.NoIndex.L007.sequences","1642.MS00614","1642.MS00338","1642.MS00388","1642.MS00399","1642.MS00498","2382.RU006.C181.RH.5.398.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00625","2382.SH004.C1.RH.3.613.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.728.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00418","2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00370","1642.MS00363","2382.MU002.C3.HA.5.497.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.517.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.542.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00541"
"1642.MS00493",0.0452073198363,0.0260812428783,0.095852380684,0.0976860872805,0.0911524100679,0.0905875196155,0.0276217089859,0.0436363772303,0.0278411111412,0.1054531582476,0,0.0235281001996,0.0313337539674,0.0231074066293,0.092307489706,0.0230741549818,0.026003200403,0.0439100328698,0.0348237018488,0.114960773749,0.028781350553,0.1251495669898,0.0278612358009,0.0389845768142,0.0371548681356,0.0273251670703,0.0241734768352,0.0925911469703,0.0972036064671,0.0220705515001,0.1320472831356,0.1147604752252,0.0246341196271,0.1232836297902,0.1077721351176,0.0265322527597,0.0927779497275,0.0938850709597,0.0871537939647,0.0262656443096
"1642.MS00569",0.0505800735972,0.0260466462492,0.1013650287096,0.1043037395479,0.0971522677834,0.093836207417,0.0301429451431,0.0497579870718,0.0272023796939,0.112563225911,0.0235281001996,0,0.0350615622999,0.0248188260555,0.0967798913726,0.0250975989739,0.0270997747838,0.0519509850593,0.0433296692731,0.1233071509325,0.0327272287618,0.1358000211173,0.0280465965562,0.0477885333766,0.0478639914474,0.0318436221612,0.0266519808419,0.0944949920729,0.1011698777091,0.0229505215587,0.1407451430641,0.1194788318984,0.0284972588478,0.1339855337902,0.1101322541064,0.0307596099679,0.0967666647536,0.0974640994386,0.0919119067768,0.0250992435265
"1642.MS00429",0.0306580605597,0.0372631178103,0.0944201888435,0.0960511423049,0.0907163653683,0.0936964321692,0.0279576366052,0.030180459193,0.0387545044874,0.0973816797598,0.0313337539674,0.0350615622999,0,0.0252800940694,0.093603847262,0.0266718613683,0.0342144248369,0.0315344904584,0.0248486771723,0.1154184911932,0.027768260143,0.1371792151591,0.0458782925483,0.0251090211901,0.0228979243348,0.024689326249,0.0260376108688,0.0950660128662,0.0999017926548,0.0355187108461,0.1271650441715,0.1057237733335,0.0250051657853,0.1220371161438,0.0907634125032,0.0239950556291,0.0963128510189,0.0974150662317,0.088725975224,0.0334105868164
"1642.MS00437",0.0387017656709,0.0282712440729,0.0932407603222,0.0968450687764,0.0904301263258,0.0862489110969,0.0280906102341,0.0339369261797,0.0292568057954,0.1034802518075,0.0231074066293,0.0248188260555,0.0252800940694,0,0.0893887718697,0.0213223045364,0.0279362385184,0.0341155882902,0.0296224166486,0.11481819496,0.0238731758589,0.1282017687409,0.0302656457309,0.0309643218694,0.0275382240576,0.0260301003122,0.0249421654811,0.0889454419879,0.0962132540519,0.0260303824716,0.1309196406813,0.112072214201,0.0223451933636,0.123607386678,0.1043370280794,0.0239016530232,0.0897708771486,0.0912031352099,0.0841970411889,0.029890266281
"2382.SH004.C1.RH.3.412.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0883844975428,0.097060088727,0.0264255206875,0.0400911075361,0.0366284940033,0.028459447841,0.113471938766,0.1065456148847,0.1097044347702,0.047574438708,0.092307489706,0.0967798913726,0.093603847262,0.0893887718697,0,0.0917761223001,0.0880490815396,0.1004070998832,0.1025267590553,0.052377256342,0.1012307868407,0.0712367281173,0.0993497944923,0.0947209188576,0.1021103061783,0.1009186806383,0.0947013774779,0.0538734937297,0.0511465729732,0.0949272041859,0.0648405856455,0.05093934499,0.0991285597926,0.0538603365422,0.1332732496158,0.0764412146656,0.0317473678477,0.0257084904037,0.024929002995,0.1049648525876
"1642.MS00411",0.0343574031693,0.0296624356462,0.0953079874989,0.0967536533829,0.0915248326182,0.0967224921632,0.0282744401117,0.0331829415494,0.0342862658287,0.1012692423012,0.0230741549818,0.0250975989739,0.0266718613683,0.0213223045364,0.0917761223001,0,0.0266372399233,0.0304804447843,0.0278066983925,0.1137078263921,0.0234738480652,0.1234659671066,0.0349846804863,0.0304017715077,0.0299044460201,0.0221967415831,0.0238639141213,0.0896147643851,0.0936489211642,0.0262240707527,0.1278822986998,0.1094043070518,0.0217264537054,0.1221098714069,0.099767285352,0.0231790246988,0.0978324685401,0.0935946916126,0.0874623785393,0.0273374654209
"1642.MS00491",0.0496745464352,0.0304609774986,0.102934367105,0.0991710211122,0.092366569349,0.0892600719381,0.0338280571309,0.0498109950064,0.0326309806593,0.1083567895898,0.026003200403,0.0270997747838,0.0342144248369,0.0279362385184,0.0880490815396,0.0266372399233,0,0.0453104079454,0.0388540537001,0.1152351170435,0.03378269308,0.1242851897534,0.0332695987685,0.0413589315546,0.0384982605901,0.0331356533029,0.0295832220967,0.0909135355794,0.0967954150481,0.0258505275949,0.1315586590716,0.1182256573137,0.0303620000172,0.1239076941359,0.1082369875975,0.0304887242621,0.0896122338055,0.0881675635975,0.0872792252162,0.0349753665248
"1642.MS00347",0.0204703402994,0.0579293787372,0.1070410271299,0.1042917723637,0.0979071599206,0.1122078015547,0.0434294368978,0.0251087716033,0.0500010246473,0.101976641013,0.0439100328698,0.0519509850593,0.0315344904584,0.0341155882902,0.1004070998832,0.0304804447843,0.0453104079454,0,0.0268346336031,0.1104796825383,0.0290755151276,0.1299573287563,0.0688070637435,0.0257670225931,0.0298694666986,0.0304731761781,0.0392324331181,0.0949475662773,0.1029221764133,0.0495722127415,0.1279172621878,0.1124115752583,0.0325324935552,0.1255809812662,0.0748988054688,0.0299613144077,0.1022668186855,0.1030325097302,0.1014449126304,0.0512390760137
"1642.MS00390",0.0246870347367,0.0412278357357,0.1042641676988,0.0959415903083,0.096309591622,0.1130449466035,0.0279469991321,0.0276644275749,0.0450261612302,0.0974437786016,0.0348237018488,0.0433296692731,0.0248486771723,0.0296224166486,0.1025267590553,0.0278066983925,0.0388540537001,0.0268346336031,0,0.1118366773747,0.030155601892,0.119893132367,0.0498236564852,0.01782233446,0.0223285468788,0.0194290218253,0.0280293238842,0.0959017326333,0.0996873749552,0.0381221874895,0.1280884665919,0.1095296529287,0.0267918778724,0.1229703250518,0.0832622488065,0.0266565629716,0.108355871348,0.1073805560139,0.0989456455479,0.0341008033766
"2382.HE003.C181.HA.1.353.root.9.11.lane1.NoIndex.L001.sequences",0.0887533699024,0.1138974365678,0.0622045798015,0.0323213435866,0.0283826420002,0.0705423732518,0.1300690899367,0.1131716076076,0.1419551901005,0.0247909624464,0.114960773749,0.1233071509325,0.1154184911932,0.11481819496,0.052377256342,0.1137078263921,0.1152351170435,0.1104796825383,0.1118366773747,0,0.1211120663684,0.0143623570658,0.126788884708,0.1027086709314,0.1208776162056,0.113932223664,0.1137254207647,0.0382726102052,0.0264659736178,0.1194629835653,0.0220943133734,0.0218364137542,0.1202028730293,0.0115861284335,0.1211004797806,0.0993419259303,0.0736531938385,0.0553837387261,0.057195247129,0.1173848892967
