"","1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00404","2382.RU006.C181.RH.4.793.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.5.423.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1001.SKD8","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00539","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00350","1642.MS00532","1642.MS00384","1642.MS00487","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00420","1642.MS00387","1642.MS00471","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.497.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00380","1642.MS00602","2382.SH007.C6.RH.3.513.root.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00581","1642.MS00583","2382.DPOO1.C1.HA.1.628.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00615","1642.MS00616","1642.MS00448","2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00410","1642.MS00438","1642.MS00579","1642.MS00440","1642.MS00634","1642.MS00413","1642.MS00557","2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00583",0.9072,0.9266,0.5822,0.9256,0.9298,0.932,0.9918,0.9518,0.5022,0.9434,0.7592,0.5114,0.6252,0.5152,0.9176,0.5454,0.566,0.5672,0.9038,0.919,0.8942,0.4976,0.959,0.9368,0.4592,0,0.9524,0.5222,0.5084,0.5534,0.9514,0.9214,0.5338,0.5516,0.4874,0.5352,0.6676,0.5468,0.5386,0.9682
"2382.DPOO1.C1.HA.1.628.root.9.12.lane7.NoIndex.L007.sequences",0.8488,0.6324,0.9308,0.7122,0.8222,0.8768,0.9822,0.5316,0.941,0.6646,0.9608,0.9354,0.9478,0.957,0.8426,0.9462,0.928,0.9472,0.9284,0.8786,0.9908,0.9452,0.5514,0.8032,0.9476,0.9524,0,0.9506,0.9368,0.9594,0.503,0.861,0.942,0.9494,0.945,0.9416,0.9466,0.9484,0.9436,0.594
"1642.MS00615",0.8986,0.9204,0.579,0.9098,0.9082,0.9156,0.987,0.9436,0.5338,0.9322,0.7644,0.5314,0.6402,0.5534,0.9032,0.5964,0.5844,0.5988,0.8942,0.9118,0.9088,0.5078,0.953,0.9254,0.5132,0.5222,0.9506,0,0.539,0.5954,0.9414,0.9066,0.5638,0.6054,0.5392,0.5534,0.6416,0.6042,0.591,0.9618
"1642.MS00616",0.871,0.9116,0.51,0.9014,0.8924,0.8986,0.992,0.9328,0.5158,0.9252,0.7502,0.5058,0.618,0.5578,0.884,0.545,0.5048,0.599,0.8578,0.8858,0.919,0.4406,0.9432,0.9176,0.5436,0.5084,0.9368,0.539,0,0.57,0.9332,0.8846,0.4784,0.5828,0.5412,0.5496,0.6026,0.5338,0.5246,0.9582
"1642.MS00448",0.919,0.9364,0.5814,0.9228,0.9374,0.9368,0.9918,0.9506,0.5538,0.9458,0.709,0.5704,0.6122,0.5344,0.9336,0.482,0.5712,0.6026,0.8948,0.935,0.8508,0.5576,0.9616,0.945,0.591,0.5534,0.9594,0.5954,0.57,0,0.9564,0.9314,0.5326,0.5284,0.6088,0.528,0.7308,0.565,0.6144,0.966
"2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences",0.8238,0.6224,0.928,0.7298,0.773,0.842,0.973,0.5498,0.939,0.6238,0.955,0.9324,0.9376,0.951,0.8312,0.9412,0.9212,0.943,0.9216,0.8666,0.987,0.9392,0.5916,0.6308,0.9456,0.9514,0.503,0.9414,0.9332,0.9564,0,0.827,0.9362,0.9458,0.9414,0.937,0.9494,0.9478,0.9382,0.6294
"2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences",0.6348,0.7906,0.8738,0.87,0.5758,0.5056,0.9696,0.8444,0.9,0.7542,0.9324,0.892,0.8976,0.924,0.5542,0.911,0.8736,0.9076,0.8428,0.666,0.9854,0.8934,0.8624,0.7136,0.91,0.9214,0.861,0.9066,0.8846,0.9314,0.827,0,0.8892,0.918,0.9118,0.8968,0.903,0.9082,0.9,0.8972
"1642.MS00410",0.8816,0.9154,0.4694,0.9018,0.8958,0.8974,0.9872,0.9392,0.4926,0.9314,0.713,0.491,0.5482,0.54,0.8932,0.4766,0.4544,0.5762,0.861,0.9036,0.8796,0.4778,0.9458,0.921,0.5714,0.5338,0.942,0.5638,0.4784,0.5326,0.9362,0.8892,0,0.5234,0.5682,0.5084,0.6364,0.4866,0.521,0.9572
"1642.MS00438",0.9044,0.9252,0.5726,0.9216,0.9258,0.9274,0.9892,0.945,0.5454,0.9402,0.6472,0.536,0.448,0.5384,0.9196,0.5042,0.5412,0.4716,0.897,0.9196,0.8048,0.5692,0.954,0.9354,0.568,0.5516,0.9494,0.6054,0.5828,0.5284,0.9458,0.918,0.5234,0,0.538,0.4756,0.7096,0.4892,0.528,0.9656
"1642.MS00579",0.904,0.9158,0.5868,0.9118,0.9094,0.9162,0.9924,0.9388,0.5092,0.9312,0.7054,0.4908,0.5804,0.5422,0.911,0.6068,0.5758,0.5384,0.8924,0.9184,0.8466,0.5236,0.9498,0.929,0.4958,0.4874,0.945,0.5392,0.5412,0.6088,0.9414,0.9118,0.5682,0.538,0,0.526,0.6714,0.5432,0.5188,0.9606
"1642.MS00440",0.884,0.9008,0.5154,0.8942,0.9,0.9086,0.9818,0.9316,0.498,0.9236,0.6638,0.488,0.487,0.515,0.903,0.503,0.4808,0.5028,0.8762,0.908,0.8256,0.5254,0.9424,0.9198,0.5328,0.5352,0.9416,0.5534,0.5496,0.528,0.937,0.8968,0.5084,0.4756,0.526,0,0.691,0.4954,0.5376,0.9582
"1642.MS00634",0.8782,0.927,0.6498,0.9316,0.9142,0.9282,0.989,0.9484,0.652,0.9446,0.8102,0.655,0.7276,0.7014,0.8878,0.7154,0.6422,0.734,0.8944,0.8892,0.9364,0.6096,0.9632,0.9376,0.6798,0.6676,0.9466,0.6416,0.6026,0.7308,0.9494,0.903,0.6364,0.7096,0.6714,0.691,0,0.655,0.5886,0.9734
"1642.MS00413",0.8932,0.9208,0.5476,0.9168,0.9158,0.9202,0.9912,0.9428,0.5374,0.9372,0.6498,0.52,0.51,0.5452,0.9068,0.5192,0.4884,0.5368,0.8782,0.91,0.8282,0.534,0.9548,0.9286,0.5768,0.5468,0.9484,0.6042,0.5338,0.565,0.9478,0.9082,0.4866,0.4892,0.5432,0.4954,0.655,0,0.4808,0.9658
"1642.MS00557",0.8898,0.9122,0.5736,0.913,0.9066,0.9142,0.9914,0.9404,0.5346,0.9352,0.6984,0.5246,0.568,0.5616,0.8954,0.5944,0.5398,0.5494,0.8826,0.8992,0.8476,0.5242,0.9516,0.9288,0.5666,0.5386,0.9436,0.591,0.5246,0.6144,0.9382,0.9,0.521,0.528,0.5188,0.5376,0.5886,0.4808,0,0.9616
"2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences",0.8972,0.7066,0.948,0.687,0.8344,0.8988,0.9654,0.644,0.96,0.7498,0.9694,0.9554,0.9618,0.9692,0.8852,0.9592,0.947,0.9618,0.937,0.9206,0.9908,0.9626,0.5248,0.8454,0.9624,0.9682,0.594,0.9618,0.9582,0.966,0.6294,0.8972,0.9572,0.9656,0.9606,0.9582,0.9734,0.9658,0.9616,0
