"","1642.MS00387","1642.MS00581","1642.MS00616","1642.MS00350","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00532","1642.MS00602","1642.MS00539","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00634","1642.MS00440","1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00","1642.MS00413","2382.SH007.C6.RH.3.513.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00438","2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00583","1642.MS00579","2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00404","2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00448","1642.MS00410","2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.5.497.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.4.793.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.1.628.root.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences","2382.SH004.C1.RH.5.423.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00380","1642.MS00420","1642.MS00615","1642.MS00384","1642.MS00557","1642.MS00471","1001.SKD8","1642.MS00487"
"1642.MS00413",0.0211979357829,0.0269416822514,0.0241508395471,0.0309406404646,0.0880448826591,0.0857802863745,0.0221777384136,0.0249250977784,0.0235857141053,0.0953097983781,0.085926025936,0.0334585539836,0.0221855360346,0.0862030301211,0,0.0971459558216,0.0197298524372,0.0877808051636,0.0251371828623,0.0248370926463,0.1195862598808,0.0225320643746,0.0886201269966,0.0246339247618,0.0195921452749,0.0945806575037,0.0896475648034,0.0924525276167,0.0986133205578,0.0849278688182,0.0893825752678,0.0968014911891,0.0486737784555,0.0206950397801,0.0302745531989,0.020058895882,0.0230631447401,0.0219493071107,0.1541053701591,0.0237962536318
"2382.SH007.C6.RH.3.513.root.4.12.lane7.NoIndex.L007.sequences",0.0897305041886,0.1126846252908,0.1019563841193,0.0858256298346,0.0217809864024,0.0442368868865,0.101127628497,0.111371925786,0.1012082143334,0.0199087205244,0.0543084163577,0.11246241553,0.0942034561645,0.0425243092536,0.0971459558216,0,0.0947180706789,0.0425809230086,0.1186299958609,0.1051237776411,0.0156556471782,0.09385180979,0.0403386275086,0.1138697083974,0.0967167504638,0.0213526727279,0.0556959956555,0.0217785413683,0.021744812685,0.0273538543479,0.0303381722433,0.0211829449908,0.1140216724703,0.105351792829,0.1135384650121,0.0871074764404,0.0959702098736,0.09220513918,0.0777721558284,0.1212624458933
"1642.MS00438",0.0207503248264,0.0245985623874,0.0245539013799,0.0318915231997,0.0866885321936,0.0887078076864,0.0218222244617,0.0242689306598,0.021631440781,0.0945873426308,0.0882159276946,0.0339313891753,0.0190154350204,0.0878953748821,0.0197298524372,0.0947180706789,0,0.0899196828293,0.0226304083059,0.0229510628472,0.1164918413017,0.0230802549413,0.0894980851169,0.0194890075995,0.0184937254117,0.0946796315754,0.1003588628042,0.0898593064435,0.1006657195053,0.0844182303015,0.088396025265,0.0973282677805,0.0461084563721,0.0189026927813,0.0265594950125,0.0201031899022,0.0230838224448,0.0220207204227,0.1472988183117,0.0231863580725
"2382.SH007.C6.RH.3.712.rhizo.9.12.lane7.NoIndex.L007.sequences",0.0786952780284,0.1004954372525,0.0956401910422,0.0824167280821,0.0374084053328,0.024165205415,0.0893896576155,0.0992535508046,0.094962498183,0.0335411936805,0.0505020579434,0.0886382853722,0.0845611372881,0.0279583039985,0.0877808051636,0.0425809230086,0.0899196828293,0,0.1088541121309,0.0982238026148,0.0534732237174,0.0790569616099,0.0199766410692,0.1086834027001,0.0850532677565,0.0371706893769,0.0313863635755,0.0506718492451,0.0471544118107,0.0273771997628,0.0223457586658,0.0436421247188,0.1103680125863,0.0944331672637,0.1054481639621,0.0743960946286,0.0873661613366,0.0858156298327,0.1139683619366,0.1136200143001
"1642.MS00583",0.0286987805369,0.0213430376812,0.0231117289107,0.0481621361428,0.1129507247093,0.1053196735185,0.0223709303541,0.0232274095137,0.0231345481507,0.1186888031685,0.1120421512003,0.0387685431126,0.0254253155695,0.1067895957837,0.0251371828623,0.1186299958609,0.0226304083059,0.1088541121309,0,0.0198142395235,0.1383673460982,0.028926235923,0.1106098832246,0.0238785060512,0.0237184206665,0.1158290520108,0.1044541960911,0.1178808507894,0.1209870786855,0.1057251716821,0.1113026489744,0.1241993197731,0.0669865483536,0.0252277536565,0.0241481153102,0.0285091276779,0.0250452518382,0.0246053050676,0.1765440341167,0.0224222514358
"1642.MS00579",0.0268109518014,0.0210294466352,0.0224490691503,0.043292336729,0.0975839471863,0.0956410993837,0.0216163455484,0.0210501794964,0.021281003729,0.1049404913329,0.0993939044125,0.0334193155499,0.0234967351268,0.0962987829972,0.0248370926463,0.1051237776411,0.0229510628472,0.0982238026148,0.0198142395235,0,0.1268190610723,0.0249119144666,0.1000958024709,0.0230751603418,0.0234972982958,0.1051132403402,0.1003777144259,0.0992345156952,0.1063903331877,0.0954221348347,0.0977505662292,0.1070891299668,0.0654356806426,0.0256271299413,0.0239230276428,0.0251840892086,0.0238690503654,0.023614789907,0.1621765725407,0.0219018044965
"2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences",0.1084418319744,0.1343768057941,0.1135695761175,0.0976593192992,0.028171651549,0.0554558359901,0.1207255038971,0.1293620838953,0.1161899346722,0.0273113047591,0.0775944491545,0.1310028657913,0.113575511506,0.053953164619,0.1195862598808,0.0156556471782,0.1164918413017,0.0534732237174,0.1383673460982,0.1268190610723,0,0.1111897488047,0.0573753396674,0.1300284674101,0.1153214895614,0.0201646806134,0.0664172701826,0.0253009342378,0.0225898138882,0.0352861798033,0.039764531396,0.0235163789305,0.1294750048304,0.1256512076222,0.1262449157692,0.1044830954538,0.1153810683269,0.1130200887888,0.0806078089232,0.1406385136505
"1642.MS00404",0.0204765644138,0.0279404079107,0.0247897858519,0.0343687996712,0.0823530371094,0.0786906831914,0.0210662480577,0.022874345837,0.0234896767001,0.0917663040287,0.0821883384918,0.0325479608889,0.0219030914731,0.0792263162147,0.0225320643746,0.09385180979,0.0230802549413,0.0790569616099,0.028926235923,0.0249119144666,0.1111897488047,0,0.0821599508264,0.0270132667605,0.020869326857,0.0910904292019,0.0821497052206,0.0862601484426,0.0947213342281,0.0831330629639,0.0801232203282,0.0948032153453,0.0607092691794,0.0239367629907,0.0292707997358,0.0200114115597,0.0272536088605,0.0232211102895,0.150666164087,0.0257527250949
"2382.SH007.C6.RH.1.502.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0812649475927,0.1047392777518,0.0988141092742,0.0856182011957,0.0348367845077,0.0322085765273,0.0923651910046,0.1032546851134,0.0982353310248,0.0308186641579,0.0476903402551,0.0968637329561,0.0880412110044,0.0297923459442,0.0886201269966,0.0403386275086,0.0894980851169,0.0199766410692,0.1106098832246,0.1000958024709,0.0573753396674,0.0821599508264,0,0.1079555031752,0.0877506818998,0.0386664894102,0.0365364346623,0.0455132962623,0.0468135016703,0.027451120504,0.0208304612941,0.0426984732253,0.1121282212303,0.0950682168244,0.1094596519659,0.0785528349731,0.090328572213,0.088088710857,0.1121266433643,0.116213357724
"1642.MS00448",0.0247232655248,0.0263777399595,0.0259642918418,0.0388046812811,0.1064492378104,0.1099592375961,0.024081038051,0.0245693430763,0.0235903883823,0.111186772221,0.1077180534652,0.0421092306964,0.0217135940572,0.103865049378,0.0246339247618,0.1138697083974,0.0194890075995,0.1086834027001,0.0238785060512,0.0230751603418,0.1300284674101,0.0270132667605,0.1079555031752,0,0.0222227114039,0.1113808643808,0.1077215512336,0.1085683119263,0.1160344183357,0.1021080821312,0.107289031626,0.1140784889646,0.0535823228323,0.0212405460817,0.0263910786568,0.025392747664,0.0281459145605,0.0231113087473,0.1687059398685,0.0213568032459
"1642.MS00410",0.0192131352633,0.0254042966551,0.0221213338076,0.0351520838224,0.0875235811529,0.0829963433077,0.0203685116961,0.0216608864003,0.0223503503379,0.0950523339472,0.0882168446593,0.0324196853063,0.0197431933978,0.0838959664476,0.0195921452749,0.0967167504638,0.0184937254117,0.0850532677565,0.0237184206665,0.0234972982958,0.1153214895614,0.020869326857,0.0877506818998,0.0222227114039,0,0.0937101484707,0.0823352817831,0.0906473537671,0.0989810157978,0.0866869507338,0.0870335289534,0.0955489321181,0.0571214368973,0.0203050412629,0.0272823830275,0.0195214089096,0.0226169784477,0.0222330311646,0.1559195996613,0.0257566700753
"2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences",0.0872152100164,0.1116869816749,0.0990788317058,0.0867194838819,0.0212648990359,0.0396758330838,0.0992427731233,0.1065425492386,0.099241171975,0.0183736408373,0.0721965451831,0.10863937784,0.0920914492926,0.0354190450827,0.0945806575037,0.0213526727279,0.0946796315754,0.0371706893769,0.1158290520108,0.1051132403402,0.0201646806134,0.0910904292019,0.0386664894102,0.1113808643808,0.0937101484707,0,0.0564533626235,0.0316474483906,0.0163133379595,0.0241558667571,0.0271709609655,0.0205498128564,0.1141446238196,0.1036727650325,0.1102965326928,0.0847879523118,0.0928311134444,0.0914038168465,0.0869007824616,0.1165294959369
"2382.MU002.C3.HA.5.497.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0809684800575,0.0987557498318,0.0920693591737,0.100133456163,0.0413501165933,0.0278230355541,0.0934826339078,0.0999197937193,0.096483174199,0.0497549713972,0.0520166903326,0.0817259730389,0.0874740917271,0.0290143605955,0.0896475648034,0.0556959956555,0.1003588628042,0.0313863635755,0.1044541960911,0.1003777144259,0.0664172701826,0.0821497052206,0.0365364346623,0.1077215512336,0.0823352817831,0.0564533626235,0,0.0562197254297,0.0488137723771,0.0584148290609,0.0420413782402,0.04633152061,0.1223465445834,0.0943205037725,0.1042314004192,0.0924695782557,0.0883823091366,0.1004105007499,0.1376721329022,0.1100568546413
"2382.RU006.C181.RH.4.793.root.9.12.lane7.NoIndex.L007.sequences",0.0845082368389,0.1106355585305,0.0995861161885,0.0786119874399,0.0292030011072,0.048894082034,0.0964747413754,0.1069002879956,0.0976738664892,0.0330435853539,0.0350911880762,0.1073511018564,0.0869262093762,0.046602863797,0.0924525276167,0.0217785413683,0.0898593064435,0.0506718492451,0.1178808507894,0.0992345156952,0.0253009342378,0.0862601484426,0.0455132962623,0.1085683119263,0.0906473537671,0.0316474483906,0.0562197254297,0,0.0321335695011,0.0367913475919,0.0400011831472,0.0336744831411,0.1088429580817,0.1022198402664,0.1087397332598,0.080572558762,0.0931247510492,0.0863776734842,0.0922664294941,0.1140354397193
"2382.DPOO1.C1.HA.1.628.root.9.12.lane7.NoIndex.L007.sequences",0.0930499041346,0.1154970030731,0.1001743849612,0.0916370762234,0.0239510118437,0.0421917602554,0.1027469635232,0.1120785505389,0.1013751582621,0.0214859612263,0.0768935649029,0.1107108997621,0.0976246119417,0.041431838452,0.0986133205578,0.021744812685,0.1006657195053,0.0471544118107,0.1209870786855,0.1063903331877,0.0225898138882,0.0947213342281,0.0468135016703,0.1160344183357,0.0989810157978,0.0163133379595,0.0488137723771,0.0321335695011,0,0.0306219879292,0.0315701853522,0.0179637616627,0.1250534420378,0.1110746959568,0.1145483284595,0.0915802399858,0.0985247275835,0.0944996845267,0.0865617573864,0.1194503611147
"2382.SH005.C3.RH.5.273.root.9.11.lane1.NoIndex.L001.sequences",0.077203439049,0.0984415813085,0.0959275595228,0.077117962556,0.0241639078292,0.0297572496991,0.0885568405823,0.097559223913,0.0945071886658,0.0176988459239,0.0570890329887,0.0970764540253,0.0839972787913,0.0285573464005,0.0849278688182,0.0273538543479,0.0844182303015,0.0273771997628,0.1057251716821,0.0954221348347,0.0352861798033,0.0831330629639,0.027451120504,0.1021080821312,0.0866869507338,0.0241558667571,0.0584148290609,0.0367913475919,0.0306219879292,0,0.0236853283373,0.0240604023227,0.1008597313114,0.0935298444668,0.1016062605128,0.0778164946743,0.0835363736537,0.0839750126766,0.0850746537881,0.1046183559049
"2382.SH004.C1.RH.5.423.root.4.12.lane7.NoIndex.L007.sequences",0.078675099538,0.1052702833594,0.0963188381428,0.0814870088068,0.0290589935814,0.0333412165825,0.0897074728502,0.1003610733363,0.0952762108497,0.0237876340137,0.0591862911808,0.0969314052799,0.0853055976539,0.030235111,0.0893825752678,0.0303381722433,0.088396025265,0.0223457586658,0.1113026489744,0.0977505662292,0.039764531396,0.0801232203282,0.0208304612941,0.107289031626,0.0870335289534,0.0271709609655,0.0420413782402,0.0400011831472,0.0315701853522,0.0236853283373,0,0.0323291491539,0.1097750810214,0.0959744973404,0.1078296172147,0.0756804563221,0.0882421863119,0.0852105910639,0.0931470417101,0.1050438958996
"2382.MU002.C3.HA.1.278.root.9.11.lane1.NoIndex.L001.sequences",0.0909991045235,0.1182138216241,0.1026265648164,0.0867229368306,0.0166291356346,0.0414559222429,0.1019574448501,0.1111793008287,0.1020056361393,0.0185670036889,0.0652971265374,0.1161252372193,0.0940272024685,0.0361452419941,0.0968014911891,0.0211829449908,0.0973282677805,0.0436421247188,0.1241993197731,0.1070891299668,0.0235163789305,0.0948032153453,0.0426984732253,0.1140784889646,0.0955489321181,0.0205498128564,0.04633152061,0.0336744831411,0.0179637616627,0.0240604023227,0.0323291491539,0,0.1164430911114,0.1047475461356,0.1130831297708,0.0939614240731,0.0967702030198,0.0939114217767,0.0863146043833,0.1231429529333
"1642.MS00380",0.0508954704407,0.06444279496,0.0746633725168,0.0275546385076,0.1073451941946,0.1177714357219,0.0614339882959,0.0627089083699,0.0578321243874,0.1141796574759,0.1070775228697,0.0713773263265,0.0479593497633,0.1169695048374,0.0486737784555,0.1140216724703,0.0461084563721,0.1103680125863,0.0669865483536,0.0654356806426,0.1294750048304,0.0607092691794,0.1121282212303,0.0535823228323,0.0571214368973,0.1141446238196,0.1223465445834,0.1088429580817,0.1250534420378,0.1008597313114,0.1097750810214,0.1164430911114,0,0.0477320712416,0.0709744100038,0.0415384383318,0.0600755534691,0.0540559937001,0.1408531798235,0.0602330610276
