"","1642.MS00343","1642.MS00336","1642.MS00346","1642.MS00408","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00472","1642.MS00436","1642.MS00443","1642.MS00428","2382.DPOO1.C1.HA.2.432.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00549","2382.SH005.C3.RH.2.657.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00430","1642.MS00392","1642.MS00617","1642.MS00440","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00445","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00573","1642.MS00335","1642.MS00592","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00516","2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00449","1642.MS00419","2382.SH008.C6.HA.5.548.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.87.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00621"
"2382.DPOO1.C1.HA.2.432.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0841051663163,0.1067245212166,0.0848323455956,0.0795296848831,0.0666493278886,0.0238227685662,0.0276809558633,0.0450894223235,0.0434714272018,0.0595085420377,0.0805313895413,0.0845302150394,0.0834118480518,0.0829995966641,0,0.0193125983753,0.0826910590659,0.0227015618459,0.0797795078421,0.0859605657237,0.0863034151677,0.0825205919213,0.0275923117768,0.0888078769941,0.0736409171927,0.049323191486,0.0904571056701,0.0907819710702,0.0878719391943,0.0370461847008,0.0911437717375,0.0750559627255,0.0839861558071,0.082698454666,0.0560836226953,0.0714210377843,0.0218562116301,0.0385216529184,0.0682393451139,0.0823896653663
"2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0752673946765,0.084661159284,0.0780837437412,0.0707182914476,0.060880827828,0.0265018676645,0.0256082495787,0.0507926726324,0.0466086740718,0.0458632627604,0.0773028976398,0.0808721914331,0.0817833922692,0.0753454437916,0.0193125983753,0,0.0799690493858,0.0246584678306,0.0761885014895,0.0728143135903,0.0866812952989,0.0768953600578,0.022045924667,0.0861441698732,0.0447966134415,0.0394862634871,0.0773081884003,0.0720577022825,0.0861501944968,0.0406206135864,0.0856284455431,0.0585798664858,0.0816786457274,0.0779930076775,0.0433083286133,0.0483508318357,0.0182617109793,0.0288536355586,0.0543696161843,0.0823587921025
"1642.MS00549",0.0284744264248,0.031029522935,0.0312801254556,0.018051474302,0.1033728781305,0.0805657024086,0.0816999832103,0.0872311467752,0.085699468039,0.1036966061407,0.0201457419063,0.0212749055459,0.0211229883963,0.0202867406326,0.0826910590659,0.0799690493858,0,0.0814054313395,0.0194108033366,0.0187087121546,0.0195541381867,0.0196294953754,0.0810021896459,0.0214754978023,0.0946922544637,0.0831218209822,0.0178444481899,0.0250135306344,0.0170667829778,0.0803171186954,0.017621741731,0.1107510236118,0.0187386114542,0.0218045754723,0.0950087116225,0.0915021285028,0.0831080249595,0.0827006985285,0.1074572320759,0.0183676812554
"2382.SH005.C3.RH.2.657.rhizo.9.12.lane7.NoIndex.L007.sequences",0.080272330825,0.0929237474396,0.0771942253223,0.0749903584893,0.0546973221047,0.0164863923208,0.0247799225146,0.0420878155914,0.037347331299,0.0470948465877,0.0808037411547,0.0862047794978,0.0850985155474,0.0792037415419,0.0227015618459,0.0246584678306,0.0814054313395,0,0.0814126223793,0.0767041945805,0.0893240634016,0.0798637901469,0.0268199039054,0.091777450634,0.0412934528146,0.0306152210291,0.0787404297656,0.0775794550744,0.0883259446316,0.0337972973135,0.0869488631071,0.0548497592507,0.0860412243946,0.0846977681244,0.0423439078844,0.0453914092022,0.0252413363957,0.0296683150824,0.0511411959467,0.0848192902743
"1642.MS00430",0.0226520933319,0.0244038409034,0.0257634560499,0.0187912449903,0.0969912359924,0.0817337896654,0.0800898788853,0.08088272228,0.0819359155494,0.0935663842701,0.0209873942458,0.0183280098156,0.0205168743721,0.0173046673147,0.0797795078421,0.0761885014895,0.0194108033366,0.0814126223793,0,0.0181414112634,0.0243012580856,0.0182567411598,0.079097045331,0.0186476995933,0.0883637468687,0.0791293154332,0.0213026496432,0.0197961086501,0.022081660206,0.0795026831059,0.0214072258701,0.1035864886972,0.0195620896222,0.018826904229,0.0866542101836,0.0856691257067,0.0832030214995,0.0787062817147,0.1037496922091,0.0242622272093
"1642.MS00392",0.0220010028471,0.0221249298063,0.0240956721134,0.0170446155642,0.0957525958724,0.0782751114736,0.0759228397158,0.0789883849457,0.079558397959,0.0939401714829,0.0196060416226,0.018286802867,0.0203821358636,0.0167517094167,0.0859605657237,0.0728143135903,0.0187087121546,0.0767041945805,0.0181414112634,0,0.0228588124884,0.0177205694494,0.0744290780629,0.0190376347285,0.088422342727,0.0778624061123,0.0201789009749,0.019500304395,0.0202887269192,0.073868186142,0.0197114842063,0.1022154434973,0.0194304845866,0.0198423535093,0.0885172342768,0.0864829932907,0.0783303138962,0.0728067527136,0.0989363383766,0.0222760813202
"1642.MS00617",0.0376355188619,0.0412838494067,0.0407059992017,0.0215572672598,0.1181280811443,0.0892945669025,0.0889840056947,0.0960406849046,0.0975068481808,0.1142397492377,0.0253806712364,0.0273794472091,0.0228705701092,0.0267513230609,0.0863034151677,0.0866812952989,0.0195541381867,0.0893240634016,0.0243012580856,0.0228588124884,0,0.0244720260887,0.0906772792995,0.0256506754772,0.1076839050434,0.0930961495993,0.0219922568074,0.0320569615721,0.0189954438632,0.0906044848342,0.0197847704009,0.1260979384525,0.0221279009437,0.0256628249373,0.1057080676336,0.1050385703282,0.0915898788363,0.093767841209,0.1234755033293,0.0200529700339
"1642.MS00440",0.0226776114925,0.021054978529,0.0264452518631,0.0181348842949,0.100481394664,0.0799667615025,0.0776854767695,0.0849988783387,0.0845586862034,0.0975982292514,0.019570221451,0.0173574142595,0.0212878961915,0.0175695036949,0.0825205919213,0.0768953600578,0.0196294953754,0.0798637901469,0.0182567411598,0.0177205694494,0.0244720260887,0,0.0789505492308,0.019576855647,0.0895575867257,0.078554151164,0.0212049188625,0.0203435585335,0.0216850264152,0.0803362356131,0.0210856915628,0.105857702672,0.0192204177954,0.0190018812717,0.0908925198929,0.0854451609166,0.0809803076846,0.0785003675009,0.1060276631258,0.0224462369831
"2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences",0.076094001166,0.0860770839358,0.0723724380083,0.0724103391011,0.0468569949902,0.0251715654769,0.0258347817314,0.0510862726347,0.046524410703,0.034372040488,0.0793954689546,0.0837574259107,0.0865062016375,0.0757431771662,0.0275923117768,0.022045924667,0.0810021896459,0.0268199039054,0.079097045331,0.0744290780629,0.0906772792995,0.0789505492308,0,0.0910822787412,0.0320864212567,0.0339862977768,0.0781022691763,0.0729002698499,0.0881542638833,0.0408899177461,0.0876486889853,0.0395486074569,0.0854751752443,0.0844587413575,0.0329968559855,0.0357793921174,0.0229439160101,0.0193474827714,0.047046018009,0.0843845216691
"1642.MS00445",0.0257452323048,0.0262316127479,0.0282292528658,0.0200505686645,0.1127116072598,0.0902269304224,0.091347065501,0.0937859403655,0.0941648699325,0.1124343194504,0.0229002300807,0.0192312941465,0.0215064060481,0.0191234088435,0.0888078769941,0.0861441698732,0.0214754978023,0.091777450634,0.0186476995933,0.0190376347285,0.0256506754772,0.019576855647,0.0910822787412,0,0.1034945532969,0.0917172918739,0.0236529976522,0.0245202432631,0.0226299104714,0.0887195384476,0.0226304687753,0.1214134723769,0.0199329458087,0.020260134146,0.104098925774,0.100517851602,0.0922722513801,0.0914791045419,0.1186723453566,0.0245760040063
"2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences",0.0833141559345,0.0807603050291,0.0735791584483,0.0863333081029,0.0212792872316,0.0445794571101,0.0352288136525,0.0644397804718,0.0630530697438,0.0144270597181,0.0901414461207,0.0946381506208,0.1033116621834,0.0851676409413,0.0736409171927,0.0447966134415,0.0946922544637,0.0412934528146,0.0883637468687,0.088422342727,0.1076839050434,0.0895575867257,0.0320864212567,0.1034945532969,0,0.0163811217742,0.0960823669351,0.0756626217291,0.1093128885497,0.0538132749178,0.1037288320074,0.0133724345946,0.1008847470363,0.0965121898227,0.0118879980588,0.0111875672857,0.0477115299499,0.0307671113836,0.0225048138429,0.1052742637218
"2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences",0.0810998002966,0.0796651518575,0.0700511845301,0.0739936982773,0.0227427568521,0.0326743323957,0.0293383609574,0.0463673026871,0.0486536684446,0.0196858165029,0.0812373923796,0.0845472873681,0.0879860926275,0.0774285789201,0.049323191486,0.0394862634871,0.0831218209822,0.0306152210291,0.0791293154332,0.0778624061123,0.0930961495993,0.078554151164,0.0339862977768,0.0917172918739,0.0163811217742,0,0.0816797435936,0.0719160250278,0.0928427230211,0.037458083167,0.0915214992888,0.021480783289,0.0874906267447,0.0867670675489,0.0185537665346,0.0173490084431,0.0403339590336,0.0353360440036,0.0241525960499,0.0894367193039
"1642.MS00573",0.0304170540859,0.0309583779234,0.032536142196,0.0189549608482,0.104628194801,0.0787701134848,0.0796986420091,0.0799480967728,0.0803761114385,0.0985644547429,0.0203971290053,0.0238036331012,0.0223060321714,0.021316688011,0.0904571056701,0.0773081884003,0.0178444481899,0.0787404297656,0.0213026496432,0.0201789009749,0.0219922568074,0.0212049188625,0.0781022691763,0.0236529976522,0.0960823669351,0.0816797435936,0,0.0248663049143,0.019380213589,0.0771895027254,0.0192977959013,0.1088617426916,0.0204472806572,0.0243986127293,0.0953066081559,0.0945073268725,0.0815913883527,0.0789235113045,0.1007893840093,0.019681640312
"1642.MS00335",0.0214255270927,0.0191643903339,0.0246768869413,0.020988875658,0.0867313232891,0.0779582714248,0.0724828352813,0.0740463074803,0.0755897438147,0.0845740943365,0.0248897662506,0.0216035303202,0.0250596338219,0.0192276152353,0.0907819710702,0.0720577022825,0.0250135306344,0.0775794550744,0.0197961086501,0.019500304395,0.0320569615721,0.0203435585335,0.0729002698499,0.0245202432631,0.0756626217291,0.0719160250278,0.0248663049143,0,0.0284588089999,0.0716683858178,0.0278489303286,0.0900416370768,0.0242900178984,0.02274421746,0.0767137336502,0.0722985070014,0.0791823726194,0.0699634599103,0.0940354541913,0.0305032151248
"1642.MS00592",0.0358338423871,0.0356301145099,0.0390232193975,0.0194441096994,0.1163716877587,0.0877565928218,0.0890480479909,0.0924342137669,0.0939457427275,0.1147173123181,0.0214798489074,0.0239899054607,0.0204924288609,0.0226838924413,0.0878719391943,0.0861501944968,0.0170667829778,0.0883259446316,0.022081660206,0.0202887269192,0.0189954438632,0.0216850264152,0.0881542638833,0.0226299104714,0.1093128885497,0.0928427230211,0.019380213589,0.0284588089999,0,0.0869153751228,0.0181246965395,0.1253144440848,0.0201932974411,0.0227120851428,0.1070393046809,0.1060106216177,0.0913288892522,0.0883121204152,0.1154723907588,0.01908889952
"2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0774378849014,0.0852617216403,0.0719453729249,0.0723805409661,0.0567470606499,0.0313503983994,0.0369109490888,0.0195496008117,0.0229010482269,0.0548283849502,0.0797661108724,0.0849133742552,0.0854648364195,0.075908615775,0.0370461847008,0.0406206135864,0.0803171186954,0.0337972973135,0.0795026831059,0.073868186142,0.0906044848342,0.0803362356131,0.0408899177461,0.0887195384476,0.0538132749178,0.037458083167,0.0771895027254,0.0716683858178,0.0869153751228,0,0.085639475631,0.0660557032076,0.0887943603557,0.0861800116322,0.0539296076365,0.0530838023596,0.0465884098531,0.0475537847425,0.0573119359275,0.0848411641896
"1642.MS00516",0.032821163331,0.0327701003623,0.0361865205766,0.0189080381417,0.1139878123152,0.0849161709352,0.0880887486195,0.0918463441562,0.091629481802,0.1135893072007,0.0214620992512,0.0230623913583,0.0216362773394,0.0221516830761,0.0911437717375,0.0856284455431,0.017621741731,0.0869488631071,0.0214072258701,0.0197114842063,0.0197847704009,0.0210856915628,0.0876486889853,0.0226304687753,0.1037288320074,0.0915214992888,0.0192977959013,0.0278489303286,0.0181246965395,0.085639475631,0,0.1219722784142,0.0206713711191,0.0233073523791,0.1051979317296,0.1018275034758,0.0883758239227,0.0884642271901,0.1170030673511,0.0195743446587
"2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences",0.0956937955129,0.094528205615,0.0815996481176,0.1022080872714,0.015728006222,0.0566106585711,0.0481620157733,0.08306472993,0.0809670702444,0.0121272824947,0.1093176514959,0.1112014829102,0.1253399671173,0.1000635828113,0.0750559627255,0.0585798664858,0.1107510236118,0.0548497592507,0.1035864886972,0.1022154434973,0.1260979384525,0.105857702672,0.0395486074569,0.1214134723769,0.0133724345946,0.021480783289,0.1088617426916,0.0900416370768,0.1253144440848,0.0660557032076,0.1219722784142,0,0.1214833162324,0.1139264987708,0.0133940585749,0.0158870513273,0.0610516730447,0.0416454079144,0.0158430524821,0.1219626691035
"1642.MS00449",0.0285410419415,0.0297430455629,0.0341232266032,0.018914207635,0.1138161458772,0.0854180853954,0.0847585439411,0.0929208854084,0.0947609892435,0.1116287482466,0.0219271299973,0.0199259127912,0.0180852598453,0.0210173180703,0.0839861558071,0.0816786457274,0.0187386114542,0.0860412243946,0.0195620896222,0.0194304845866,0.0221279009437,0.0192204177954,0.0854751752443,0.0199329458087,0.1008847470363,0.0874906267447,0.0204472806572,0.0242900178984,0.0201932974411,0.0887943603557,0.0206713711191,0.1214833162324,0,0.0181693379319,0.101202655186,0.09666051255,0.0883430484892,0.0873826876538,0.1195519580102,0.0213423599965
