"","1642.MS00343","1642.MS00336","1642.MS00346","1642.MS00408","2382.GM.181.R2.root.10.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences","1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00","2382.RU006.C181.RH.4.592.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.1.603.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00472","1642.MS00436","1642.MS00443","1642.MS00428","2382.DPOO1.C1.HA.2.432.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00549","2382.SH005.C3.RH.2.657.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00430","1642.MS00392","1642.MS00617","1642.MS00440","2382.SH004.C1.RH.4.617.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00445","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.4.55.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00573","1642.MS00335","1642.MS00592","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00516","2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00449","1642.MS00419","2382.SH008.C6.HA.5.548.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.87.root.6.11.lane1.NoIndex.L001.sequences","2382.DPOO1.C1.HA.3.637.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.2.457.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00621"
"1642.MS00472",-3.37617326009671,-3.56940775457254,-3.37732955199312,-4.563262992853,0.323945250411696,3.75347293740626,4.69838339771416,5.57994942663924,6.94302963185144,1.15144611640582,NA,-4.92187532838523,-4.17781190848645,-4.39697557121823,3.96530829319624,2.47441557193291,-5.06019869255855,4.54892900883371,-5.2312334459166,-4.51537757780464,-3.19168846702832,-4.79347904380017,2.82134311081824,-4.54006780643678,0.0722263944929546,-0.252979914904062,-4.21930699562344,-2.50139858279156,-5.15203587913817,4.01475600189085,-4.47750563235768,1.22817820047687,-4.82946415316587,-3.39837128524336,0.363558216376473,0.116639615740493,4.30394275757737,1.49874130571406,-0.0464279297406061,-3.73154926067711
"1642.MS00436",-2.94853456015519,-4.32628251712627,-3.05256955834977,-4.19459214237331,0.732627841685609,5.69112572701366,6.43130117106784,7.96085826383587,8.81363952561074,1.53228637110057,-4.92187532838523,NA,-3.34632989876685,-5.12866582042004,6.6875288844485,4.3731791886042,-4.03553142748249,6.30041748192727,-4.85096340133518,-5.49376323326106,-0.301730879754244,-5.07500926330373,4.68771726753488,-4.86601747082779,0.71843086457432,0.740258397848003,-2.4938030032979,-2.89654440085786,-2.50345740723974,6.44044740959014,-3.61850339004114,1.39356150417462,-4.19743083146932,-4.94077193854831,0.508105161299504,0.518539550383651,6.66083127202603,4.06754533624058,0.41845723944562,-0.669700034664091
"1642.MS00443",-1.6075697641222,-2.86851546184612,-1.45363537727094,-2.40795748005389,1.03448420585483,5.69595250199682,5.86989944158368,7.97682776639746,9.72230017407331,1.97890020207938,-4.17781190848645,-3.34632989876685,NA,-2.92006911068909,5.33471181752803,3.5518701175744,-2.3428039707334,6.14032385921082,-3.01551470065214,-4.4377870176147,-0.550510795209007,-4.01383579568083,4.33321665196483,-2.62559144587624,1.10857442446381,0.382738508449127,-2.7343883281625,-2.1531415793712,-3.67359991461288,6.26377522423811,-3.0300669268821,2.2882786786565,-1.92666390113012,-4.04425816635585,0.990446180509527,0.968159825004838,5.3074996269894,5.02773246516561,0.718776751384012,-2.92194614259867
"1642.MS00428",-3.74161809102479,-4.22048768580692,-3.06493925429161,-3.96015294077188,-0.517607922814848,2.81378378512073,3.13998181702698,6.74155837038184,6.29490592837992,0.437251748639366,-4.39697557121823,-5.12866582042004,-2.92006911068909,NA,4.22607353807506,1.56017549051939,-2.89787168923485,3.2954572536488,-3.85915668115656,-5.03856709102509,-0.211302972414895,-4.16589172860393,1.56715755043399,-3.51345115011674,-0.461151498128426,-0.477642016223996,-2.7319375288876,-5.17272844457586,-1.86835320328074,2.44162558894824,-2.9411614176018,0.136392839902201,-2.70067695230295,-2.91853804717118,-0.298591142506587,-0.458838092643163,3.1938851211101,0.469880707449971,-0.460546609659049,-2.13637655005005
"2382.DPOO1.C1.HA.2.432.rhizo.4.12.lane7.NoIndex.L007.sequences",2.25121595692442,2.81517824321651,1.48897687393655,3.05643679214414,-2.65192025948059,-7.6169991423013,-6.18237469793424,-4.76908366378673,-4.97120696936431,-1.90601999975975,3.96530829319624,6.6875288844485,5.33471181752803,4.22607353807506,NA,-6.270461488974,5.57531949158904,-7.69640930727572,4.56554275161417,2.5345107637889,7.3656121161287,5.09847440939021,-7.6725863446298,6.20275315547186,-0.781432008111593,-3.00124769554551,3.75802470859316,2.45391811137951,7.8765214928075,-5.93872475248073,6.19644336835351,-2.12808716533106,6.52668053672991,4.30800421309918,-2.92995403536202,-1.14607480661512,-5.82466837947859,-4.71251205621055,-2.18129975461825,7.23804140522434
"2382.DPOO1.C1.HA.5.447.rhizo.4.12.lane7.NoIndex.L007.sequences",0.0906649458921053,0.0298189469703296,0.211661757942734,0.467243673134174,-3.38179788950047,-7.88260274270825,-6.89787262329679,-5.01467827668612,-5.51949600946266,-3.06617463777745,2.47441557193291,4.3731791886042,3.5518701175744,1.56017549051939,-6.270461488974,NA,3.65195480607976,-7.92571487099618,2.82010227513098,0.151814422387183,6.71740954156763,2.57136625773645,-8.2690412700756,4.94670080550346,-3.18082245699483,-4.90674659933825,0.974038259131873,-0.387545758546597,6.39068263819535,-6.65133630365692,4.31295222834344,-3.48370123412928,4.4258756540928,2.30761506956086,-3.68899283869447,-3.84750691837345,-7.0800621714413,-7.3323601444985,-3.01108779492425,6.52587057595215
"1642.MS00549",-2.08449277986244,-3.15050684518523,-2.66644596295726,-4.9055680253831,0.296441331009996,4.0427999296179,5.37308652056262,8.55461594504359,7.93698508737449,1.43756543536547,-5.06019869255855,-4.03553142748249,-2.3428039707334,-2.89787168923485,5.57531949158904,3.65195480607976,NA,4.70126446875722,-4.13484276492969,-4.62853184085194,-3.66082944380922,-4.11677060800638,3.40159263066049,-3.515005595254,0.554291063545624,0.265156417496861,-3.27941771426989,-3.14032553925367,-4.58232327412081,4.76508065868866,-5.09503852300624,1.19528510772132,-4.17075953631879,-3.16511399836045,0.670617351369227,0.308587840535671,4.6771637681957,3.41629687512987,0.0755694448118085,-4.42160912947169
"2382.SH005.C3.RH.2.657.rhizo.9.12.lane7.NoIndex.L007.sequences",1.55108872941945,1.63759365750135,0.562425450815448,1.84928880795331,-2.86993779811233,-6.56185222037971,-7.43732275088969,-4.86258923292423,-5.8010058476842,-1.91380911720136,4.54892900883371,6.30041748192727,6.14032385921082,3.2954572536488,-7.69640930727572,-7.92571487099618,4.70126446875722,NA,6.00074228692358,1.25002916329588,8.79833445598573,4.03480777076908,-4.90819175023017,8.28421581204348,-4.09415165932429,-5.13552699663409,1.62518532532413,1.1096779249864,8.76139218020792,-6.43537868152778,5.34538399900232,-2.40352944441739,7.66345344253035,4.70783762081131,-2.77550204199199,-3.55225133606756,-6.99667087676072,-4.81228532628911,-3.31113834967976,8.66618665579724
"1642.MS00430",-4.003208925484,-3.18788294367907,-2.91877333264377,-3.96365195814785,-0.383773250580791,5.6126803345629,5.25763142322984,4.87776513015416,6.14719505110817,0.280440860531063,-5.2312334459166,-4.85096340133518,-3.01551470065214,-3.85915668115656,4.56554275161417,2.82010227513098,-4.13484276492969,6.00074228692358,NA,-5.71502799097805,-2.23139187820521,-4.27205537584983,3.56379772063389,-4.92171898323825,-0.208449430511755,-0.359652649534408,-3.15781973784365,-5.43934145920364,-3.65336715408735,5.00075167173425,-3.45626673984705,0.406364884629756,-3.81968996090438,-4.33378469408066,-0.374042996664897,-0.422376221165358,5.13236106751217,2.71432090429199,-0.312003419024036,-1.81484108565101
"1642.MS00392",-3.94140719175104,-4.39759972749621,-3.1439797465409,-5.42100799713219,-0.654659348301086,1.25491721855152,1.11964327219275,5.54092302079655,5.9158964152779,-0.0658554861928731,-4.51537757780464,-5.49376323326106,-4.4377870176147,-5.03856709102509,2.5345107637889,0.151814422387183,-4.62853184085194,1.25002916329588,-5.71502799097805,NA,-3.32846148137321,-5.67189629932019,0.311965990937011,-5.06905586163076,-0.605680661458,-0.888864767848085,-3.48558629491741,-4.23833393824717,-3.82171886322448,0.710797430165371,-4.24748160212174,-0.0709338754011263,-4.03447290229112,-3.85538414147894,-0.726277112440103,-0.601809558101312,1.08614913219453,-0.218356481689913,-0.760400509302939,-2.37673972217528
