"","1642.MS00489","1642.MS00404","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00599","2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.2.87.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00421","1642.MS00487","1642.MS00458","1642.MS00533","2382.SH004.C1.RH.2.607.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00459","1642.MS00595","1642.MS00531","1642.MS00604","2382.SH008.C6.HA.3.537.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00480","1642.MS00592","2382.MU002.C3.HA.5.497.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00600","1642.MS00425","1642.MS00390","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00465","1642.MS00335","1642.MS00490","1642.MS00331","1642.MS00363","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00617","1642.MS00550","1642.MS00443","1642.MS00578","1642.MS00556","1642.MS00505","2382.SH008.C6.HA.5.548.root.4.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00458",0.5714,0.4784,0.9318,0.687,0.8438,0.951,0.9508,0.9278,0.5264,0.5522,0,0.5182,0.8858,0.4858,0.5816,0.5698,0.4926,0.8826,0.599,0.4718,0.8908,0.5818,0.5414,0.6978,0.9164,0.6,0.6526,0.5864,0.6306,0.577,0.879,0.879,0.4824,0.5464,0.5286,0.6788,0.4656,0.5478,0.9428,0.9554
"1642.MS00533",0.4934,0.5104,0.9394,0.689,0.888,0.9502,0.9598,0.9348,0.5442,0.5084,0.5182,0,0.9112,0.4938,0.571,0.4832,0.5176,0.9072,0.569,0.4876,0.9138,0.4968,0.5516,0.6826,0.931,0.513,0.6668,0.5272,0.6334,0.6156,0.9048,0.8982,0.5412,0.4616,0.5564,0.5578,0.5098,0.5432,0.9512,0.962
"2382.SH004.C1.RH.2.607.rhizo.9.12.lane7.NoIndex.L007.sequences",0.9258,0.887,0.8756,0.945,0.7264,0.8978,0.8966,0.7868,0.9076,0.927,0.8858,0.9112,0,0.9066,0.9086,0.9196,0.902,0.5876,0.9318,0.9088,0.6566,0.918,0.903,0.9386,0.8362,0.9184,0.9268,0.926,0.9238,0.911,0.5766,0.6208,0.8996,0.9178,0.9204,0.9438,0.907,0.9202,0.8836,0.9062
"1642.MS00459",0.5526,0.4814,0.9426,0.6682,0.8524,0.9578,0.9634,0.939,0.5008,0.5442,0.4858,0.4938,0.9066,0,0.585,0.5278,0.5034,0.8992,0.6176,0.4808,0.9028,0.5496,0.5542,0.6694,0.9298,0.6108,0.6558,0.5828,0.6328,0.6054,0.9018,0.8916,0.4912,0.53,0.5012,0.6632,0.4914,0.5402,0.9548,0.967
"1642.MS00595",0.5992,0.5824,0.913,0.6666,0.893,0.913,0.935,0.8998,0.5808,0.6108,0.5816,0.571,0.9086,0.585,0,0.6036,0.5858,0.9042,0.6018,0.56,0.9178,0.6084,0.6042,0.715,0.9162,0.6208,0.6784,0.65,0.6716,0.6328,0.8974,0.8946,0.603,0.589,0.614,0.66,0.567,0.6182,0.9366,0.938
"1642.MS00531",0.5238,0.5576,0.9374,0.7028,0.8868,0.9366,0.959,0.9354,0.5628,0.5338,0.5698,0.4832,0.9196,0.5278,0.6036,0,0.5614,0.9124,0.6124,0.5076,0.9204,0.5012,0.5824,0.685,0.934,0.5292,0.6786,0.5486,0.6424,0.6382,0.9112,0.9056,0.5718,0.4912,0.5728,0.5868,0.5342,0.5628,0.9458,0.9598
"1642.MS00604",0.5792,0.5482,0.9454,0.673,0.8744,0.9574,0.9588,0.9372,0.5688,0.5652,0.4926,0.5176,0.902,0.5034,0.5858,0.5614,0,0.9066,0.6172,0.4856,0.911,0.5352,0.591,0.6962,0.9318,0.62,0.6776,0.6082,0.6714,0.6342,0.9026,0.9032,0.4952,0.544,0.5508,0.6454,0.4898,0.567,0.9532,0.9646
"2382.SH008.C6.HA.3.537.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9244,0.8732,0.874,0.9426,0.7734,0.8592,0.8992,0.7354,0.896,0.927,0.8826,0.9072,0.5876,0.8992,0.9042,0.9124,0.9066,0,0.9262,0.9006,0.6896,0.9156,0.8962,0.9366,0.8384,0.916,0.9182,0.9244,0.9128,0.8988,0.569,0.502,0.899,0.912,0.9194,0.9456,0.897,0.918,0.8464,0.9122
"1642.MS00480",0.572,0.6082,0.9488,0.7474,0.9144,0.9526,0.9616,0.9398,0.5564,0.575,0.599,0.569,0.9318,0.6176,0.6018,0.6124,0.6172,0.9262,0,0.5838,0.9298,0.6018,0.4678,0.6056,0.9402,0.5308,0.5504,0.5318,0.5362,0.5032,0.9194,0.9174,0.6152,0.5522,0.6152,0.4694,0.5766,0.468,0.9526,0.965
"1642.MS00592",0.5378,0.5096,0.9334,0.6614,0.8728,0.95,0.948,0.9308,0.5286,0.5368,0.4718,0.4876,0.9088,0.4808,0.56,0.5076,0.4856,0.9006,0.5838,0,0.906,0.5024,0.5568,0.6744,0.9164,0.5782,0.6506,0.566,0.6304,0.6034,0.8972,0.8944,0.4732,0.4988,0.5076,0.6136,0.4684,0.5226,0.9446,0.9566
"2382.MU002.C3.HA.5.497.rhizo.4.12.lane7.NoIndex.L007.sequences",0.9268,0.8828,0.891,0.9426,0.7348,0.9212,0.921,0.8598,0.9056,0.925,0.8908,0.9138,0.6566,0.9028,0.9178,0.9204,0.911,0.6896,0.9298,0.906,0,0.9216,0.908,0.9368,0.8652,0.925,0.9284,0.925,0.9226,0.9102,0.6212,0.6906,0.9058,0.9176,0.923,0.9474,0.91,0.9186,0.9166,0.9206
"1642.MS00600",0.5386,0.5946,0.939,0.6998,0.8998,0.9458,0.9572,0.9348,0.57,0.5448,0.5818,0.4968,0.918,0.5496,0.6084,0.5012,0.5352,0.9156,0.6018,0.5024,0.9216,0,0.585,0.6676,0.9322,0.5418,0.6722,0.5576,0.6482,0.6402,0.9088,0.9098,0.5692,0.4852,0.5772,0.5428,0.5464,0.5656,0.9482,0.96
"1642.MS00425",0.5802,0.5266,0.932,0.7124,0.8756,0.9446,0.9484,0.923,0.464,0.5652,0.5414,0.5516,0.903,0.5542,0.6042,0.5824,0.591,0.8962,0.4678,0.5568,0.908,0.585,0,0.567,0.9184,0.5284,0.5086,0.5256,0.4796,0.429,0.8906,0.8874,0.5814,0.5604,0.5806,0.5318,0.5408,0.4342,0.9388,0.9538
"1642.MS00390",0.659,0.66,0.9524,0.777,0.9258,0.9554,0.962,0.9496,0.573,0.6482,0.6978,0.6826,0.9386,0.6694,0.715,0.685,0.6962,0.9366,0.6056,0.6744,0.9368,0.6676,0.567,0,0.9428,0.6508,0.4852,0.618,0.5104,0.5638,0.9314,0.9318,0.7028,0.6696,0.6284,0.6392,0.671,0.61,0.9542,0.968
"2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences",0.9388,0.909,0.6572,0.954,0.8626,0.8266,0.6952,0.7226,0.9222,0.9396,0.9164,0.931,0.8362,0.9298,0.9162,0.934,0.9318,0.8384,0.9402,0.9164,0.8652,0.9322,0.9184,0.9428,0,0.923,0.9278,0.9414,0.9188,0.9266,0.7976,0.8342,0.9264,0.9228,0.9328,0.9526,0.9234,0.9304,0.735,0.7192
"1642.MS00465",0.5406,0.588,0.93,0.7454,0.8926,0.9398,0.9478,0.9324,0.5396,0.5476,0.6,0.513,0.9184,0.6108,0.6208,0.5292,0.62,0.916,0.5308,0.5782,0.925,0.5418,0.5284,0.6508,0.923,0,0.6228,0.509,0.594,0.59,0.9084,0.906,0.6262,0.5114,0.63,0.5032,0.5818,0.5536,0.9404,0.951
"1642.MS00335",0.6498,0.622,0.9386,0.765,0.9066,0.9376,0.9502,0.933,0.547,0.6514,0.6526,0.6668,0.9268,0.6558,0.6784,0.6786,0.6776,0.9182,0.5504,0.6506,0.9284,0.6722,0.5086,0.4852,0.9278,0.6228,0,0.6054,0.4506,0.4478,0.9108,0.9114,0.684,0.6462,0.6238,0.6148,0.644,0.5614,0.9408,0.9544
