"","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00550","1642.MS00592","1642.MS00363","1642.MS00489","1642.MS00578","1642.MS00459","1642.MS00458","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00390","2382.SH007.C6.RH.2.87.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00531","1642.MS00487","1642.MS00600","1642.MS00331","1642.MS00425","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00505","2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.497.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00617","1642.MS00595","1642.MS00480","1642.MS00490","1642.MS00599","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00404","1642.MS00604","1642.MS00335","2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.5.548.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00556","1642.MS00533","1642.MS00443","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.537.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00465","1642.MS00421","2382.SH004.C1.RH.2.607.rhizo.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00390",0.0992421674611,0.0951505439976,0.0310593465557,0.0368389339013,0.0273451279964,0.0303024061797,0.0318627612367,0.0319613513955,0.0378924021887,0.0979704577019,0,0.0975777195208,0.0339506283668,0.0332049364376,0.0343913139546,0.0216542970276,0.0236395250643,0.0929918645556,0.0295763506342,0.0873866469609,0.1074965329652,0.0408036485259,0.0385368244601,0.029523304277,0.0306916884614,0.0559764226142,0.1021312131772,0.0315429709585,0.0372302699494,0.0211060730562,0.1191409312422,0.104246457351,0.0339460825403,0.0336268242677,0.0307913640832,0.1194481183044,0.0963050879591,0.0292660082311,0.025814096922,0.0994546912038
"2382.SH007.C6.RH.2.87.root.6.11.lane1.NoIndex.L001.sequences",0.0466791129606,0.0427297094288,0.1149254112169,0.1240022374841,0.0828891364643,0.1282152597897,0.1165893253746,0.1167377983111,0.109444311808,0.0209469012979,0.0975777195208,0,0.1189939757895,0.1350307517175,0.1220625820034,0.0840746868756,0.0900884520991,0.0288993192275,0.0975711515972,0.0540135121905,0.0757345754726,0.1230420856766,0.0956019174939,0.1046664699628,0.1259319063242,0.12666733015,0.0265875730131,0.099638442351,0.1157367842977,0.0836735893669,0.0243497495539,0.0154728403213,0.1128654889308,0.1213894891751,0.1160173244453,0.0233828892348,0.0504150095697,0.1040414440744,0.097639007985,0.0559746907861
"1642.MS00531",0.1115615552666,0.1061392453463,0.0221315300221,0.0224071771278,0.0304145836422,0.0224978757385,0.0238852730993,0.0233693386084,0.0270887383388,0.1154788933789,0.0339506283668,0.1189939757895,0,0.0241512612528,0.0221034777279,0.0302071751195,0.0259391864222,0.1094317814821,0.0219511332211,0.0936389411394,0.1084584895554,0.0263507680584,0.0337778451692,0.0280887976467,0.0215691569604,0.0553023717022,0.1197383638464,0.0271601034076,0.0243658598377,0.0344486347981,0.1360439712335,0.1230129006042,0.0279216912112,0.0226925978876,0.026701602229,0.1368109892834,0.1089555770828,0.0228876589806,0.0247361022997,0.1075424440834
"1642.MS00487",0.1210446846989,0.1149796905686,0.0246097228328,0.0231141079463,0.029512279298,0.0194362406644,0.0246578388794,0.0253508920397,0.0276143128305,0.1232992674038,0.0332049364376,0.1350307517175,0.0241512612528,0,0.024515767321,0.029807302915,0.0243169200993,0.1142778477845,0.0220249401201,0.0927367951108,0.1167400067126,0.0261959469397,0.0305384453276,0.0251252622223,0.0190343621652,0.0317971285924,0.1304562767942,0.0285928742173,0.0256568479607,0.0315947005279,0.1464513461896,0.1369911432662,0.0276056251556,0.0233375617209,0.0247904856425,0.1464609781995,0.1180220350464,0.0231276353687,0.0258864976819,0.1138995421173
"1642.MS00600",0.1175462595392,0.1113079935721,0.024400237828,0.0214493461878,0.0332530049524,0.0250331974201,0.0229484804716,0.0262849547165,0.0297531284026,0.1163092966136,0.0343913139546,0.1220625820034,0.0221034777279,0.024515767321,0,0.0318527985402,0.0278490395701,0.1123681878853,0.0248191102236,0.1018590992726,0.1146832561382,0.0271240978363,0.0341201758726,0.0294632979003,0.0214629228079,0.0492810943211,0.1250803442019,0.0302665646084,0.0235981478353,0.0359938661171,0.1385660930823,0.1268394013456,0.0286052987015,0.0240146329483,0.0286720626108,0.1400198361352,0.1126050634763,0.0250779822608,0.0277961444746,0.1121339856565
"1642.MS00331",0.08160336046,0.0784512235714,0.0285671502631,0.0306815416549,0.0208154243842,0.0270875583863,0.0310885750197,0.0270989460827,0.0285912801839,0.0826133939337,0.0216542970276,0.0840746868756,0.0302071751195,0.029807302915,0.0318527985402,0,0.0210677036226,0.0764124138198,0.0258600830063,0.0683122136821,0.0977625992973,0.0342462891247,0.0330321415725,0.0257140451403,0.0256852474144,0.0518183538368,0.0880633054722,0.0264094230369,0.0325121542521,0.0213823651461,0.100858752512,0.0871933279086,0.0296374653602,0.028008073613,0.0292273934792,0.1032567102283,0.0827940395226,0.0261999998127,0.0234981857817,0.0846921664001
"1642.MS00425",0.0843628936213,0.0813952976255,0.0242253599597,0.025569684045,0.020468997068,0.0232073655057,0.026010767151,0.0230691494473,0.0251474056126,0.0887843799444,0.0236395250643,0.0900884520991,0.0259391864222,0.0243169200993,0.0278490395701,0.0210677036226,0,0.0836946793442,0.0187433053546,0.0688176370627,0.0978059308876,0.0289975184743,0.0300590507132,0.0229671826863,0.0210868644525,0.0553313601597,0.0931796365531,0.0229446898669,0.0276208897525,0.02220751964,0.10719802559,0.093578076502,0.0253580680562,0.0228914508575,0.0269186122279,0.1065453804069,0.0839541600492,0.0210244082355,0.0199528391208,0.0844753218456
"2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences",0.0395970329943,0.0421728834618,0.1031745142691,0.1064241099019,0.0767919613663,0.11180706874,0.1069936095674,0.1000527196499,0.09408589923,0.0270838297938,0.0929918645556,0.0288993192275,0.1094317814821,0.1142778477845,0.1123681878853,0.0764124138198,0.0836946793442,0,0.0872875401309,0.0497868820495,0.0657668776742,0.1082927999848,0.0866203128999,0.0908186791082,0.1101113892182,0.1137638402512,0.025818474263,0.0909971639748,0.10190235221,0.080793709248,0.0252868135256,0.0282089473459,0.1022172373214,0.1114397814846,0.1032380118702,0.0265974969359,0.0444805372717,0.0991641738618,0.085093579614,0.0415003699247
"1642.MS00505",0.0894487933155,0.0862285915966,0.0212938847906,0.0208929131521,0.0247382793806,0.0206244609891,0.0234397417123,0.0203585926274,0.0236584515377,0.0953366242952,0.0295763506342,0.0975711515972,0.0219511332211,0.0220249401201,0.0248191102236,0.0258600830063,0.0187433053546,0.0872875401309,0,0.0736642102678,0.1055106303841,0.0253968147459,0.0303337985946,0.0225420384314,0.0188860080152,0.0460679795979,0.098717915392,0.0222678367617,0.0238784678186,0.0263072194736,0.1131446315362,0.1003859222137,0.0238414574778,0.0213957210888,0.0233141266763,0.1124882557801,0.0889246142022,0.0217667438754,0.0219690644861,0.0872745536741
"2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences",0.0380877794755,0.0399197874562,0.0913752294925,0.0886031717518,0.062835375676,0.0901225261988,0.1007105356612,0.0809911442369,0.0778235079732,0.055388303347,0.0873866469609,0.0540135121905,0.0936389411394,0.0927367951108,0.1018590992726,0.0683122136821,0.0688176370627,0.0497868820495,0.0736642102678,0,0.0399841418424,0.0932788653298,0.0753402483701,0.0799459900756,0.0814429516589,0.086020584695,0.0511721688247,0.0694145378401,0.0835951542749,0.069697431956,0.0693036706334,0.0562203864417,0.0869049390594,0.0955120010039,0.0863746864782,0.065681300406,0.0439438267563,0.0865582717451,0.0714749949418,0.0386379542376
