"","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00550","1642.MS00592","1642.MS00363","1642.MS00489","1642.MS00578","1642.MS00459","1642.MS00458","2382.SH008.C6.HA.1.328.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00390","2382.SH007.C6.RH.2.87.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00531","1642.MS00487","1642.MS00600","1642.MS00331","1642.MS00425","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00505","2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.497.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00617","1642.MS00595","1642.MS00480","1642.MS00490","1642.MS00599","2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00404","1642.MS00604","1642.MS00335","2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.5.548.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00556","1642.MS00533","1642.MS00443","2382.SH007.C6.RH.2.708.root.9.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.3.537.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00465","1642.MS00421","2382.SH004.C1.RH.2.607.rhizo.9.12.lane7.NoIndex.L007.sequences"
"1642.MS00425",0.662234381614046,0.366422189477495,-4.84415394281971,-3.32869483022706,-6.01806181982603,-4.55244476081911,-6.1409065548602,-5.38843442526434,-3.29150517358289,-0.69616074037985,-7.08961213901795,-1.12643680024982,-3.83873278822719,-3.73779470188251,-3.26902376106535,-7.05553865444447,NA,-1.38501674758602,-6.55582410278332,-0.735811063556478,1.96197448019316,-0.547556972264873,-2.58022505103815,-3.76444152332581,-6.17942922898216,0.323466586332258,-1.50604230521872,-4.24738598642936,-2.36512365657289,-4.54342003945256,-0.920864951182567,-1.12402267167623,-2.74791980651783,-5.92281930702499,-2.85265709611541,-0.942581244964551,0.216800799990655,-7.00007652879897,-5.99959527480577,0.0319653698132389
"2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences",-4.81040302991566,-5.37155901101261,0.616401142829229,1.46809794949066,-2.28501205942467,1.09256445158014,0.104643206283636,0.270662565253081,-0.0901866480607304,-4.15277341411938,-1.3520196574529,-6.08745920974392,0.962268699264631,1.37493091333432,1.61440552435058,-2.35894543850642,-1.38501674758602,NA,-1.15017642380435,-4.31118144431715,-2.68818436842052,1.44530103244787,-1.18952757445463,-1.04194478985736,0.594113304892794,0.0736714230660413,-3.99555530003691,-0.464686867710187,0.412764327701036,-2.03446563169879,-6.58725357108774,-3.68609564167444,0.678104826293748,1.69053642331561,0.250698117415667,-4.75726878201633,-5.12568447954364,0.0649544966328125,-1.63909615324039,-4.60138646527959
"1642.MS00505",0.625497269384468,0.416652329774744,-5.59881727511686,-4.44498306331663,-4.25187682648399,-4.52309367233671,-5.90450507841734,-5.79783972165693,-3.40561227230696,-0.376519392185158,-4.38374975157117,-0.686811413194698,-5.67918357980395,-3.94546744628085,-4.13429055543046,-4.68625218391455,-6.55582410278332,-1.15017642380435,NA,-0.452678884645508,2.03549261151352,-2.29643211042044,-2.65873162999915,-3.57185246247103,-6.03731608178542,-0.588556603840364,-0.997081827011717,-4.81925291282933,-2.70112967437566,-3.92367729910789,-0.634952976218127,-0.6941988291775,-3.13635601443479,-5.39706671940789,-4.09800705817406,-0.617419294157827,0.340884103468497,-6.01610709614478,-5.53650115159862,0.0572589252815341
"2382.GM.181.R5.rhizo.10.12.lane7.NoIndex.L007.sequences",-7.66253215359614,-8.0943981638258,5.85200153786462,5.91072879368701,-1.70004648142754,4.25333147322572,1.76487922987145,3.64608568182409,3.36244695671343,-4.00349716795131,0.334124209693301,-5.36886550674618,5.93237902450429,6.00594014608347,7.54152016724201,-1.32286113842595,-0.735811063556478,-4.31118144431715,-0.452678884645508,NA,-6.84818877216141,6.97819261575617,0.911165933497248,0.0475661578149681,1.42240530772698,-0.203922488172921,-5.9118557359755,0.636299928845185,2.81877325170588,-1.50563736213164,-2.44052732506336,-4.02748834495764,4.54968075755289,7.7220561019815,3.06024475207286,-3.135165340245,-6.82144087493348,2.40843721326007,-0.179085309735386,-6.59199393813218
"2382.MU002.C3.HA.5.497.rhizo.4.12.lane7.NoIndex.L007.sequences",-6.10328753965781,-8.5316721515649,8.14674748095784,7.73833163227544,1.11973988623425,8.39850721844207,4.44328168675968,5.43756615127358,4.65134559387268,-3.41613759634935,2.9979379641871,-2.60556225955261,7.16977094197342,8.9115706806082,9.50996388053329,1.5454627473143,1.96197448019316,-2.68818436842052,2.03549261151352,-6.84818877216141,NA,7.27235300348209,1.94050344277023,3.13960856232811,6.47208528104908,0.966967656883532,-4.65180563188829,3.73979449299187,4.33088272887394,1.86007021308182,-1.36463213767118,-3.03665499623019,6.72073153244353,9.86860816047005,4.81857733969873,-2.19423168919605,-6.89044708496892,5.47430844149347,2.71078105401042,-8.04259814665259
"1642.MS00617",12.1046308996012,11.6770026659374,-2.45630091102012,-5.51834597861123,-2.09725141889223,-2.75190801270647,-4.87262740643717,-4.31755829241544,-2.20530479237667,3.15350585468423,-0.276782629730677,2.91581438593384,-3.92652717049228,-3.63195737335376,-4.68604987431368,-1.79692016791446,-0.547556972264873,1.44530103244787,-2.29643211042044,6.97819261575617,7.27235300348209,NA,-0.790274725827981,-2.07387104767144,-4.42180987368712,-0.111100505870146,1.88577648535577,-0.278174807917621,-2.52957910817959,-0.514654884819023,0.910652732914729,1.86838063808733,-1.66247672979768,-2.91725238159327,-1.18800454667713,1.21042977421724,11.7432378887376,-3.24431686634804,-2.29595955614118,5.98335669174258
"1642.MS00595",3.90550919160295,1.8986674163813,-2.14062244105968,-1.62565971517597,-3.35411034244074,-2.96651846747726,-2.50920917143002,-3.54851431333542,-1.58634841512005,0.0902467787875672,-3.73661691711547,0.44728665774937,-1.91433912964976,-3.04034377056928,-2.11960777652898,-4.09182711197584,-2.58022505103815,-1.18952757445463,-2.65873162999915,0.911165933497248,1.94050344277023,-0.790274725827981,NA,-3.55055448202725,-2.84322256536971,-2.46905786366404,-0.923295760815023,-1.35209566630687,-1.56553190006091,-3.30079362347419,-0.305026655617508,-0.545733893076089,-1.76446097799082,-1.80245905027422,-2.20534218685296,-0.207087143159988,1.72404571359137,-3.27748170322358,-4.17069423586159,1.08719091499839
"1642.MS00480",1.21263921916764,0.836435318297561,-4.01068981001781,-2.79245544861705,-3.9942486639816,-3.56817954199948,-3.02324140683436,-4.26883179537814,-1.96655769226604,-0.13381231970234,-4.28699613692225,-0.29760855603276,-3.72240408869687,-2.91678675156948,-2.69553463855817,-4.79721556807589,-3.76444152332581,-1.04194478985736,-3.57185246247103,0.0475661578149681,3.13960856232811,-2.07387104767144,-3.55055448202725,NA,-3.07257187224924,-3.24671988938956,-0.989277877529507,-3.38061888606428,-1.92505635216384,-3.22705109476172,-0.442933381526222,-0.395734426494528,-2.89323944668314,-3.41016112696294,-2.87694605280016,-0.248865172744084,0.628052001976454,-4.63026129522919,-3.82679750503972,0.240304354888532
"1642.MS00490",6.05413247794167,4.96558366719911,-5.31667570865361,-7.19253087963073,-5.15593805408823,-6.20935707371453,-3.24722908075029,-4.27382273884168,-4.11481477477848,1.70338144068313,-3.12735855148303,1.8972213215962,-4.74983547654147,-6.32245706517465,-6.90115359812908,-4.81218954297674,-6.17942922898216,0.594113304892794,-6.03731608178542,1.42240530772698,6.47208528104908,-4.42180987368712,-2.84322256536971,-3.07257187224924,NA,0.365877330161,1.4729606957533,-3.69148901010521,-5.98419941446324,-3.213556189927,0.636307293546667,1.56972175566812,-5.0548093076092,-3.87485711889774,-6.00057719708921,0.98280669453873,4.87602683568926,-4.49152808773017,-4.14158088528672,4.46957445647714
"1642.MS00599",1.88195382318362,1.30457907756116,0.314741352693821,0.404339207537014,-0.597716443228429,-0.620583220334939,0.0696863034481291,-2.13180469329053,-0.094992587869349,1.03614130451852,-1.05837688091901,0.484170908021586,0.126764918047475,-2.43185643768407,-0.595345383345629,-0.849236001079539,0.323466586332258,0.0736714230660413,-0.588556603840364,-0.203922488172921,0.966967656883532,-0.111100505870146,-2.46905786366404,-3.24671988938956,0.365877330161,NA,0.154886845676889,0.932656955006659,0.696860633583785,-0.737276016259412,0.476903536397322,0.855813987800389,-0.632474615789774,-0.439027542865243,-0.568501704733419,0.369647379750529,1.39542829534779,-0.688551589211322,-2.26099090109323,0.48575790753022
"2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences",-5.90388967967226,-6.49948529709444,0.927193421641968,1.89547692713892,-2.16883967514233,2.60937412622705,0.107221317592303,1.00934919465537,0.413487895981509,-7.1355340929241,-1.43516877500052,-5.9004129832675,1.53943907498381,2.40295746864013,2.27172892572026,-2.07508561684031,-1.50604230521872,-3.99555530003691,-0.997081827011717,-5.9118557359755,-4.65180563188829,1.88577648535577,-0.923295760815023,-0.989277877529507,1.4729606957533,0.154886845676889,NA,-0.456562667148941,0.777539885632376,-2.17341671777818,-4.71006793823775,-5.60096706773747,1.13287236639461,2.34386016438336,1.35633606359416,-4.25821863071417,-6.0011687850601,0.0484689366245866,-1.29396907747764,-3.70208335577458
"1642.MS00404",5.81274225231498,4.84120519158348,-3.19518387517175,-2.82784204956975,-4.2586272122242,-2.48462869244219,-4.5457961918819,-4.66130628687212,-4.08715913265079,0.912141175541739,-3.997624816409,0.411380608448641,-3.20148011100734,-2.63688952851913,-3.03163191955263,-4.59621088470014,-4.24738598642936,-0.464686867710187,-4.81925291282933,0.636299928845185,3.73979449299187,-0.278174807917621,-1.35209566630687,-3.38061888606428,-3.69148901010521,0.932656955006659,-0.456562667148941,NA,-2.18016187940976,-2.76540432587996,-0.154908367594904,0.129430690960779,-2.2204329038264,-4.05370768404069,-2.96331226015531,0.148364465912428,4.16451882460339,-4.44419395291562,-4.93874745514884,2.26439632789924
"1642.MS00604",7.42299111082577,5.80503062428691,-5.17047295860307,-6.93911314469474,-2.5922440001014,-2.86337720955738,-4.75510755538764,-2.77027872367897,-2.21179122658741,1.8160172107853,-2.25235826577708,1.19232826600785,-5.03031188037802,-4.37921903661928,-6.63800252761424,-2.93497292628507,-2.36512365657289,0.412764327701036,-2.70112967437566,2.81877325170588,4.33088272887394,-2.52957910817959,-1.56553190006091,-1.92505635216384,-5.98419941446324,0.696860633583785,0.777539885632376,-2.18016187940976,NA,-1.68162335419987,0.499782806756514,0.930195334972291,-2.89122238387595,-4.276024625324,-2.00000969556229,0.650823503252374,5.0613510773264,-3.82853485178686,-2.9414257987467,3.99575080165249
"1642.MS00335",0.113179834822911,-0.395420305966545,-2.58365242152401,-1.69691763709688,-3.60150857845458,-2.77872011397175,-3.02438282255146,-3.64335891971928,-2.66909704062628,-1.33346041165955,-7.92945204783818,-1.91641502705611,-2.81220811471438,-2.48197975364813,-1.7797067843037,-4.10768735396639,-4.54342003945256,-2.03446563169879,-3.92367729910789,-1.50563736213164,1.86007021308182,-0.514654884819023,-3.30079362347419,-3.22705109476172,-3.213556189927,-0.737276016259412,-2.17341671777818,-2.76540432587996,-1.68162335419987,NA,-1.11609643460035,-1.6653708609517,-2.87023043721705,-3.52113536189505,-2.40171092323592,-0.812393670891023,-0.517902782047406,-3.5308271967835,-3.54339007542302,-0.543172204470265
"2382.HE003.C181.HA.3.763.root.9.12.lane7.NoIndex.L007.sequences",-5.18955467865957,-6.47960443850405,0.614176060507663,0.829327093425004,-1.17578168843838,1.2224647878948,0.155270324612412,0.409027103133413,0.0382479005472662,-3.72431219754827,-0.595647770884615,-5.34724091635098,0.765435408451745,1.24601614316757,0.978360609370399,-1.29281268807095,-0.920864951182567,-6.58725357108774,-0.634952976218127,-2.44052732506336,-1.36463213767118,0.910652732914729,-0.305026655617508,-0.442933381526222,0.636307293546667,0.476903536397322,-4.71006793823775,-0.154908367594904,0.499782806756514,-1.11609643460035,NA,-2.685535317343,0.455903892950146,0.996525427241322,0.435175444206928,-5.18009980052822,-5.38414481329236,0.093304868822672,-0.633191134637748,-3.91513761373495
"2382.SH008.C6.HA.5.548.root.4.12.lane7.NoIndex.L007.sequences",-3.08099453554085,-3.62728275378412,1.36902735014013,1.90117623092217,-1.70007461402987,2.37615469284756,0.637410098447273,1.19546544522827,0.796027900811341,-7.69170767409955,-0.871317450836152,-7.03522046735724,1.71470268076776,2.57560474648613,2.2794773521297,-1.64143583106086,-1.12402267167623,-3.68609564167444,-0.6941988291775,-4.02748834495764,-3.03665499623019,1.86838063808733,-0.545733893076089,-0.395734426494528,1.56972175566812,0.855813987800389,-5.60096706773747,0.129430690960779,0.930195334972291,-1.6653708609517,-2.685535317343,NA,1.30180932123137,2.10858961099854,1.09812946047155,-5.51600796829252,-3.37619036358615,0.426526972759461,-0.64769107106207,-2.52578751056918
