"","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.3.463.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00470","1642.MS00447","1642.MS00525","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00577","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00429","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00398","1642.MS00349","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00493","1642.MS00532","1642.MS00489","2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00379","2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00485","1642.MS00442","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00520","2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00413","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00553"
"1642.MS00532",0.0975810048666,0.0877098801537,0.0982444689053,0.0828713450279,0.0189674160111,0.0267712793234,0.0191325093118,0.0827656414128,0.0193618722504,0.0892276049029,0.0882349239542,0.0242164535297,0.0900274725937,0.0313234356822,0.0385507513439,0.0875079047304,0.1017603435931,0.0825270041837,0.0850941192595,0.0187467287605,0,0.0203665412471,0.0969540612048,0.0260306882457,0.0950879614488,0.0205244886195,0.0220151421413,0.0815642826725,0.0933466444099,0.0222272657788,0.0847817046634,0.0213593280122,0.084905417347,0.100076566954,0.0893084747298,0.1087024694884,0.0852270531445,0.1015594394496,0.094842480941,0.0297470556092
"1642.MS00489",0.1169145842555,0.1013644939626,0.1169167014078,0.1000674957829,0.0195706919103,0.0234045393269,0.0213569132552,0.0913352020748,0.0209167373138,0.1103239829532,0.1074151372724,0.0259136647039,0.1088407339897,0.026344711507,0.0392996943758,0.1123466320945,0.120003193279,0.1053241544816,0.100535019298,0.0225207415884,0.0203665412471,0,0.1140474895849,0.0239550320578,0.1109512509112,0.0178141979891,0.0223952351563,0.1022870766028,0.1128299435388,0.0194631733582,0.1059229539009,0.022426323816,0.1077985216514,0.1003135899537,0.1108063397864,0.1250676692675,0.1077908427585,0.1213341017987,0.1148759418152,0.0297599835082
"2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences",0.0192672558242,0.0221054308746,0.0196898611627,0.0192972521161,0.0959835863037,0.1107724289058,0.1035693617485,0.0447160137751,0.0931827473638,0.0647402210962,0.0242311368874,0.0960454193363,0.0171589542205,0.0855285370535,0.0947945023465,0.0560679402657,0.0141709712239,0.0378428487405,0.0201000517377,0.0943750836774,0.0969540612048,0.1140474895849,0,0.0927045644091,0.0280773341342,0.1086588253803,0.101868722146,0.0420035524588,0.0227205936907,0.089617392126,0.020084703726,0.0924353855398,0.052201124175,0.0213753201551,0.021774789243,0.0183318982021,0.0414585148032,0.0202789409666,0.0212099936376,0.1097826382235
"1642.MS00379",0.0956810728079,0.0836717242563,0.0962086264366,0.0808912467657,0.0262092275357,0.0229426196841,0.0273080014287,0.0807045447463,0.0276321119328,0.0859730791435,0.0851573812063,0.0221502289297,0.0870257544308,0.0222794725089,0.0250553826989,0.087294191402,0.0968952188538,0.0811466550359,0.0806264224391,0.02615040923,0.0260306882457,0.0239550320578,0.0927045644091,0,0.0893456922627,0.026322452934,0.0231850784315,0.0778649004187,0.0918383224504,0.0272340976076,0.0834331417335,0.0212375264701,0.0864978788943,0.0897596672795,0.0846300793814,0.1048985675464,0.0827912584175,0.1006584108497,0.0938994552859,0.0367795838605
"2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences",0.0340456179353,0.0305999740424,0.0300917661198,0.0297384661099,0.0957891148884,0.1108834881849,0.1052439425811,0.0401157802297,0.0908730551793,0.0789802135337,0.0414349787016,0.098155738948,0.0307380189575,0.0859621690261,0.0894535579355,0.0455996248691,0.0284063137152,0.0560884430564,0.0351533173436,0.0934399667141,0.0950879614488,0.1109512509112,0.0280773341342,0.0893456922627,0,0.1079318766477,0.1004473026843,0.0425310665198,0.0120097433409,0.0860025859674,0.0374689474516,0.0920241625316,0.0683241375492,0.0295635457169,0.0397004636781,0.0368078499392,0.0583639810311,0.0337330454167,0.0368292006031,0.1093446181441
"1642.MS00485",0.1148665404142,0.0998787404844,0.1121086901614,0.0953649309712,0.0196252036752,0.0252099298364,0.0205199854249,0.0981740607758,0.0202854071417,0.1068498472205,0.1037343741828,0.0287047674865,0.1038802467023,0.0280702686791,0.0425994735947,0.1058706117077,0.117350066576,0.1018875793374,0.0984331968877,0.0222579657945,0.0205244886195,0.0178141979891,0.1086588253803,0.026322452934,0.1079318766477,0,0.022037937048,0.1106517671037,0.1071447456516,0.0182282343749,0.101691645062,0.0252823296887,0.1049222928716,0.1181546903051,0.1057282585355,0.1231736315408,0.1036648143465,0.1162168866204,0.1102619869453,0.0313076732561
"1642.MS00442",0.1054971019717,0.093145554264,0.1047530420851,0.0862287246215,0.0214599691349,0.0230528793357,0.0222718806534,0.0883177628843,0.0240978616647,0.0920609845246,0.0928686813542,0.0274682956936,0.0942698963644,0.0294375511332,0.038609050916,0.0945318797586,0.1087519434087,0.0868129304243,0.0901437516189,0.0221107652666,0.0220151421413,0.0223952351563,0.101868722146,0.0231850784315,0.1004473026843,0.022037937048,0,0.086864900556,0.1002253677888,0.023624188959,0.0903175887657,0.0204334522814,0.0895951491963,0.1095922687561,0.0953819759341,0.1133831600598,0.0879781247458,0.108628019386,0.1022007794032,0.0293868047942
"2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences",0.033888047817,0.0338472272682,0.0408895305313,0.031164960761,0.0824132426433,0.0979182828796,0.0828877176,0.0415468448685,0.0831376316931,0.0542864297469,0.0320108995313,0.0768384705539,0.0353881743783,0.0802876760804,0.0845692744164,0.0496820108812,0.0332190583748,0.0244016742795,0.0301424933874,0.0812255039547,0.0815642826725,0.1022870766028,0.0420035524588,0.0778649004187,0.0425310665198,0.1106517671037,0.086864900556,0,0.0359507059598,0.0968387711694,0.0304566606843,0.0804724620565,0.0433764204282,0.0376908159338,0.0242540251836,0.0316892758863,0.0482525846739,0.0465413677367,0.0314146776196,0.1085208111724
"2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences",0.0272081044226,0.0262526636661,0.0206409365707,0.0253545881544,0.0940118552175,0.112099925164,0.0979657136967,0.0345690268357,0.0900591998354,0.0649003311461,0.0316896888198,0.0947216537017,0.0251697481666,0.086375060525,0.0893984694966,0.0406281266602,0.0204148965504,0.0443001539734,0.0288565501637,0.0901115697257,0.0933466444099,0.1128299435388,0.0227205936907,0.0918383224504,0.0120097433409,0.1071447456516,0.1002253677888,0.0359507059598,0,0.084082362481,0.0290713108395,0.0900894312936,0.0545787186507,0.025611473969,0.0302532353735,0.0254489322339,0.0481631851262,0.0255832864844,0.0257797358803,0.1069475628866
"1642.MS00520",0.0943277497096,0.0843632976367,0.0901725705412,0.0793731680854,0.0224433260048,0.0234783634996,0.0204106535569,0.0840553853492,0.0195352392338,0.1205621656264,0.0872680925522,0.0251492669713,0.0857319653371,0.0242911632516,0.0410256309886,0.0889039799304,0.0956466484154,0.0881441646623,0.0794240156805,0.0239148668977,0.0222272657788,0.0194631733582,0.089617392126,0.0272340976076,0.0860025859674,0.0182282343749,0.023624188959,0.0968387711694,0.084082362481,0,0.0853923363902,0.0245100985735,0.0944702189272,0.0958904307031,0.0887638523424,0.1001792458299,0.1211086828918,0.0965903350306,0.0902012580364,0.0319226401524
