"","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences","2382.SH005.C3.RH.3.463.root.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.4.293.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00470","1642.MS00447","1642.MS00525","2382.RU006.C181.RH.1.577.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00577","2382.MU002.C3.HA.3.487.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00429","2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00398","1642.MS00349","2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00493","1642.MS00532","1642.MS00489","2382.SH007.C6.RH.4.318.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00379","2382.RU006.C181.RH.5.598.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00485","1642.MS00442","2382.SH008.C6.HA.2.533.root.4.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.3.588.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00520","2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00413","2382.MU002.C3.HA.5.697.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.GM.181.R3.root.10.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.4.518.root.4.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.503.root.4.12.lane7.NoIndex.L007.sequences","2382.SH008.C6.HA.4.742.rhizo.9.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.5.498.root.4.12.lane7.NoIndex.L007.sequences","2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00553"
"2382.DPOO1.C1.HA.4.243.root.9.11.lane1.NoIndex.L001.sequences",-3.34248698251982,-3.65565114094074,-5.09488912677308,-3.11861174600157,-0.183427567116257,0.626372364702984,-0.244816897692244,-2.67443512357085,-0.305124958469899,-2.17189075087723,NA,-0.786658821861049,-6.62235387608689,-0.778653880008412,-0.964003236718325,-2.18263793052633,-4.79082893470156,-6.34927701211131,-6.75516732906453,-0.180676765180319,-0.147312664628191,1.02537871748226,-5.54522540081689,-0.736635424959006,-3.44312611133516,0.704675901502001,0.0239752160525009,-3.63800913055017,-5.00694184375631,-0.434768294003581,-5.33358168319304,-0.515349667243849,-3.85176881021359,-4.56263566816648,-4.50731157847435,-3.44689049547981,-3.49775697770036,-4.73659073735548,-5.35670408811005,0.581399413245849
"1642.MS00429",-0.520396006441232,-0.923746272572879,-1.16553099830068,0.109664137619106,-1.89351695231115,-1.21556287868762,-1.96883541172322,2.02703028793825,-2.83100219715808,3.38722131802612,-0.786658821861049,NA,-0.61639921792761,-3.13116177899795,-2.59248831978575,4.39742453673152,-0.307240614584695,2.18565557585478,0.27086393977979,-1.44363608955929,-2.55330771824439,-2.08080674271979,0.0680864240039053,-3.03114558977164,0.0138284419466395,-1.63579509390243,-2.02843512493769,-1.1060845911775,0.443351028728048,-2.56953924172645,0.637442519925264,-4.09824472789295,4.70739224407075,-1.40673001187627,0.60784494108431,-0.290115644057332,2.34793131652214,-0.0487119604219483,-0.838721965497311,-1.69817855739252
"2382.MU002.C3.HA.3.71.root.6.11.lane1.NoIndex.L001.sequences",-6.63488261022837,-4.28785134043466,-5.41734873896566,-6.54899307235071,-0.041486049740207,1.57294710665846,0.102872184640226,-5.05761345123627,-0.31970427793713,-2.3025987569636,-6.62235387608689,-0.61639921792761,NA,-0.915578772984001,-0.991113447496373,-4.58029231115262,-6.27844028238445,-4.70337245238069,-5.80932278948019,0.0329812105059725,0.181100524095015,1.84404475810353,-7.02123815397318,-0.635089783027764,-5.30771549172281,1.34424291493449,0.407317233913949,-4.1383064486604,-4.98438279501149,-0.47702937731095,-4.65464908817911,-0.485937931081145,-3.41875655468194,-4.47553662743672,-5.10194385996263,-5.21640674684853,-3.19895455175428,-6.78587478391795,-5.78322035603053,1.02294608977131
"1642.MS00398",-0.779710592542694,-0.928005950666569,-1.18269948937394,-0.717989405295518,-2.61363471741923,-2.454298033617,-1.83882013630877,-0.00680332282162633,-2.83018965479644,1.37513176144238,-0.778653880008412,-3.13116177899795,-0.915578772984001,NA,-1.62097814424073,3.73997171225558,-0.857979522829298,0.198096744331483,-0.615209774519985,-1.38290834760195,-2.26465188092394,-2.33626967271032,-0.777683726643334,-5.52204310920771,-0.989231148948658,-2.0058973363762,-2.19577686282831,-0.827029157839093,-0.620106056041883,-2.43949525508044,-0.280000953016401,-3.3703304110964,0.752036886935279,-2.18850092769457,-0.359914435810924,-0.825327517522991,1.20386182068103,-0.733782599838047,-0.928942655238913,-0.941035778715347
"1642.MS00349",-0.649217584265897,-0.911264902289429,-1.0009584522578,-0.668175355112562,-0.906092146633372,-0.492740504764267,-0.655679667992977,0.274653417274272,-1.69715843633139,1.41355986950028,-0.964003236718325,-2.59248831978575,-0.991113447496373,-1.62097814424073,NA,1.85194173680152,-0.714209122908098,0.418357952131171,-0.571519666579174,-0.829458951157395,-1.29958746479173,-1.11815255489303,-0.386269893157674,-2.63677814271973,-1.04577247839626,-0.815346612499066,-0.870910916859737,-0.908439383577996,-0.375918262142449,-1.00242575736402,-0.616967283112909,-2.27677130021962,0.817206324187747,-2.33320879214097,-0.328322177741982,-0.834570210424908,1.28793058778225,-0.245990721156824,-0.690135057660946,-0.430295104844534
"2382.RU006.C181.RH.2.782.rhizo.9.12.lane7.NoIndex.L007.sequences",-3.72819835446836,-3.79089608064514,-3.82741895261678,-3.29722370752804,8.72361227541712,12.7382783218526,8.7727712483534,-4.90363414047832,9.06676628717464,-3.49083959024424,-2.18263793052633,4.39742453673152,-4.58029231115262,3.73997171225558,1.85194173680152,NA,-3.15596064019149,-5.86199849777117,-4.36086748126017,9.00848744357262,8.73361242676551,10.2850448179265,-2.87112461707309,6.03892199857434,-2.58958597142296,12.5019145941116,9.92914537985567,-3.18115189714003,-4.785003665758,8.67341403952292,-3.8559188109479,6.88484586099292,-5.58777900086111,-2.40741848511258,-2.88908669663884,-1.61370393006433,-5.01478031251374,-3.49156788449851,-3.46201726163819,6.00162562615096
"2382.SH007.C6.RH.1.703.root.9.12.lane7.NoIndex.L007.sequences",-5.19225610658153,-3.92931003070036,-5.44605827604944,-6.15539321267999,0.562192934395596,2.03934264949257,0.539302417956681,-3.44955518474405,-0.0213328349811444,-2.24105776577713,-4.79082893470156,-0.307240614584695,-6.27844028238445,-0.857979522829298,-0.714209122908098,-3.15596064019149,NA,-4.18405687051885,-6.24798350084785,0.759869073031493,0.63759003563354,2.21851728965565,-6.06720505710989,-0.285545410815059,-3.58969972255299,1.70197207405024,1.27177553907898,-3.71744280261548,-4.45784034650437,-0.381866101869212,-5.77213196639753,0.0820448287590449,-3.1915029860668,-4.65639860833396,-7.38269003899866,-5.0760800813801,-3.53031297757379,-6.48117591136339,-5.46458057182086,1.70409908627743
"2382.SH007.C6.RH.5.522.rhizo.4.12.lane7.NoIndex.L007.sequences",-3.61906414035642,-4.97203885323892,-7.20180420505739,-3.74703766456591,3.13130172787883,7.96554160511596,1.89087263262377,-7.71587557427372,0.880369961622456,-5.65557452912942,-6.34927701211131,2.18565557585478,-4.70337245238069,0.198096744331483,0.418357952131171,-5.86199849777117,-4.18405687051885,NA,-4.95515163146748,3.43256392971031,3.49968260531393,7.0376901151474,-4.63523591301098,3.35119763052358,-3.29021453274383,7.00725643423602,5.16569285545999,-6.07743192761914,-5.99980749549724,0.210861812522502,-5.24346455734102,1.29741187981892,-4.55032790271552,-1.45007658588779,-2.47849960468005,-2.35719918693985,-6.46744356740924,-4.85421847667724,-4.99327094160162,4.04517148791381
"2382.MU002.C3.HA.5.79.root.6.11.lane1.NoIndex.L001.sequences",-3.45249876873036,-4.49404715431868,-7.6173522288377,-7.49283791484696,1.67002080975388,3.19866025291722,1.96166613222515,-5.27520533076993,1.67908812135169,-2.56029310538624,-6.75516732906453,0.27086393977979,-5.80932278948019,-0.615209774519985,-0.571519666579174,-4.36086748126017,-6.24798350084785,-4.95515163146748,NA,1.88280209333028,1.90318681920027,3.04579462727629,-5.80949163625254,-0.185847650725082,-3.85738683711905,3.38906625893435,1.78461149707829,-3.63080516692178,-5.33550209727659,1.24109730859872,-6.13761606848463,0.790025102133992,-3.40850237446499,-5.68041602492483,-6.15251908686812,-6.90382211820748,-4.67044779287368,-4.3449573388419,-6.3430391693647,2.45673780584621
"1642.MS00493",0.642008667196877,0.0776385124917254,-0.34396496240923,0.0126555815376577,-2.90150080695538,-1.32685477360903,-2.24117357709715,2.84952802849977,-2.91349586474344,3.70732098396124,-0.180676765180319,-1.44363608955929,0.0329812105059725,-1.38290834760195,-0.829458951157395,9.00848744357262,0.759869073031493,3.43256392971031,1.88280209333028,NA,-3.92445966384583,-2.64381930123784,0.570467344760287,-2.26522488709833,0.100333320317468,-2.3793409985331,-3.4240694625461,0.18879603022051,1.00554607923993,-4.21323335295441,0.965972526789725,-3.16591934155146,4.33860588022132,0.715523369975394,1.73199638366297,0.145754627878531,3.82362496828613,0.470443330285498,0.268271557846616,-0.658077083689803
