"","1642.MS00516","2382.MU002.C3.HA.1.477.rhizo.4.12.lane7.NoIndex.L007.sequences","1642.MS00621","2382.RU006.C181.RH.4.792.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00541","1642.MS00606","2382.SH008.C6.HA.1.SH008.root.root.9.12.lane7.NoIndex.L007.sequences","2382.HE003.C181.HA.2.358.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00530","1642.MS00601","2382.SH005.C3.RH.5.673.root.9.12.lane7.NoIndex.L007.sequences","2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences","2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00602","2382.RU006.C181.RH.3.388.root.9.11.lane1.NoIndex.L001.sequences","2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00482","1642.MS00612","2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences","2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences","1642.MS00524","1642.MS00461","2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences","1642.MS00433","1642.MS00559","2382.SH005.C3.RH.5.59.root.6.11.lane1.NoIndex.L001.sequences","1642.MS00361","1642.MS00431","1642.MS00522","2382.HE003.C181.HA.3.762.rhizo.9.12.lane7.NoIndex.L007.sequences","1642.MS00430","1642.MS00442","1642.MS00341","2382.SH007.C6.RH.3.713.root.9.12.lane7.NoIndex.L007.sequences","2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences","2382.SH007.C6.RH.1.303.root.9.11.lane1.NoIndex.L001.sequences","2382.MU002.C3.HA.3.288.root.9.11.lane1.NoIndex.L001.sequences","1642.MS00413","1642.MS00505","1642.MS00633"
"2382.SH005.C3.RH.5.673.root.9.12.lane7.NoIndex.L007.sequences",1,1,1,1,1,1,-1,-0.968,1,1,0,-0.935,0.998,1,-0.45,-0.043,1,1,1,-1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,-0.93,-0.992,-0.998,-0.998,1,1,1
"2382.RU006.C181.RH.2.147.root.6.11.lane1.NoIndex.L001.sequences",1,1,1,0.889,1,1,-0.958,-1,1,1,-0.935,0,0.992,1,-0.992,-0.79,1,1,0.954,-0.694,1,1,-1,1,1,-0.839,1,1,1,1,1,1,1,-1,-0.975,-0.986,-1,1,1,1
"2382.SH007.C6.RH.2.707.rhizo.9.12.lane7.NoIndex.L007.sequences",1,-0.285,1,0.972,1,1,0.999,0.957,1,1,0.998,0.992,0,1,1,1,1,1,-0.755,0.992,1,1,0.983,1,1,0.998,1,1,1,-0.73,1,1,1,0.676,0.988,0.256,0.998,1,1,1
"1642.MS00602",-0.992,1,-0.998,1,-0.828,-1,1,1,-0.994,-0.922,1,1,1,0,1,1,0.585,-0.982,1,1,-0.919,0.0069999999999999,1,-0.641,-0.948,1,0.998,-0.585,-0.297,1,-0.495,-0.643,0.96,1,1,1,1,-0.506,-0.758,-0.681
"2382.RU006.C181.RH.3.388.root.9.11.lane1.NoIndex.L001.sequences",1,1,1,0.6,1,1,0.0469999999999999,-0.662,1,1,-0.45,-0.992,1,1,0,-1,1,1,1,0.507,1,1,-0.349,1,1,0.348,1,1,1,1,1,1,1,-0.606,0.34,0.426,-0.53,1,1,1
"2382.RU006.C181.RH.4.155.root.6.11.lane1.NoIndex.L001.sequences",1,1,1,0.505,1,1,0.946,0.152,1,1,-0.043,-0.79,1,1,-1,0,1,1,1,0.95,1,1,0.716,1,1,0.0860000000000001,1,1,1,1,1,1,1,0.638,0.998,0.345,0.822,1,1,1
"1642.MS00482",-0.423,1,0.102,1,-0.174,0.0960000000000001,1,1,-0.646,0.418,1,1,1,0.585,1,1,0,0.0600000000000001,1,1,0.452,-0.853,1,0.335,-0.518,1,0.915,-0.192,-0.785,1,-0.382,-0.362,0.994,1,1,1,1,-0.217,0.0089999999999999,0.0620000000000001
"1642.MS00612",-0.894,1,-0.957,1,0.0740000000000001,-0.859,1,1,-0.976,-0.657,1,1,1,-0.982,1,1,0.0600000000000001,0,1,1,-0.966,0.548,1,-0.639,-0.993,1,1,-0.505,0.0409999999999999,1,-0.266,-0.965,1,1,1,1,1,-0.592,-0.281,-0.559
"2382.HE003.C181.HA.1.552.rhizo.4.12.lane7.NoIndex.L007.sequences",1,0.579,1,0.94,1,1,1,0.48,1,1,1,0.954,-0.755,1,1,1,1,1,0,0.998,1,1,0.98,1,1,1,1,1,1,-0.974,1,1,1,0.552,0.988,0.497,0.998,1,1,1
"2382.MU002.C3.HA.3.488.root.4.12.lane7.NoIndex.L007.sequences",1,0.986,1,1,1,1,-1,-0.904,1,1,-1,-0.694,0.992,1,0.507,0.95,1,1,0.998,0,1,1,-0.996,1,1,-0.99,1,1,1,1,1,1,1,-0.952,-0.966,-0.968,-0.998,1,1,1
"1642.MS00524",-0.772,1,-0.871,1,0.156,-0.69,1,1,-0.91,-0.0649999999999999,1,1,1,-0.919,1,1,0.452,-0.966,1,1,0,0.803,1,-0.812,-0.976,1,0.998,-0.57,0.123,1,-0.19,-0.932,0.98,1,1,1,1,-0.791,-0.32,-0.08
"1642.MS00461",-0.821,1,0.0920000000000001,1,-0.899,-0.418,1,1,-0.389,-0.183,1,1,1,0.0069999999999999,1,1,-0.853,0.548,1,1,0.803,0,1,0.794,-0.229,1,0.805,-0.109,-0.784,1,-0.0590000000000001,0.668,0.984,1,1,1,1,0.382,-0.681,-0.458
"2382.SH004.C1.RH.5.623.root.9.12.lane7.NoIndex.L007.sequences",1,0.998,1,1,1,1,-1,-0.998,1,1,-1,-1,0.983,1,-0.349,0.716,1,1,0.98,-0.996,1,1,0,1,1,-0.974,1,1,1,0.996,1,1,1,-1,-1,-1,-1,1,1,1
